,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,new_addition,apt_id,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-01-31 09:00:59.000000,2024-01-29 18:02:12,3832.0,61.0,1918.0,238.0,4119.0,99.0,2118.0,11670.0,2023-08-15 20:00:30,1.11.1,67.0,5799.0,5799.0,375.0,,,2815907.0,1.0,-1.0,coredns/coredns,7042521.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,147.0,259993921.0,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],40,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-02-01 17:36:28.000000,2024-02-01 16:07:18,8446.0,316.0,1915.0,146.0,3265.0,177.0,3035.0,11114.0,2023-12-12 16:08:13,1.12.7,100.0,788.0,788.0,429.0,,,1801946.0,1.0,,,70275900.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-02-01 17:48:41.000000,2024-02-01 17:45:07,4973.0,121.0,1208.0,123.0,4082.0,321.0,2140.0,8903.0,2024-01-25 13:34:39,0.61.0,100.0,3344.0,3344.0,439.0,,,5140895.0,1.0,,openpolicyagent/opa,5326076.0,https://hub.docker.com/r/openpolicyagent/opa,2024-02-01 14:52:33.390746,41.0,494141942.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-01-09 08:35:12.000000,2024-01-06 20:50:34,1694.0,14.0,461.0,68.0,495.0,79.0,293.0,2709.0,2023-01-10 13:13:43,3.2.2,48.0,488812.0,488812.0,195.0,,,84412385.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,84412385.0,,,,,,,,,
16,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-01-26 23:38:45.000000,2024-01-26 23:38:34,625.0,7.0,1192.0,309.0,157.0,335.0,428.0,22201.0,,,,993318.0,993318.0,38.0,https://www.npmjs.com/package/passport,9702407.0,9702407.0,1.0,,,,,,,,,,,,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-02-01 17:48:15.000000,2024-02-01 17:48:15,23930.0,702.0,5868.0,375.0,14182.0,1939.0,6775.0,18906.0,2024-01-29 08:15:36,23.0.5,49.0,,,1323.0,,,63680.0,1.0,,quay.io/keycloak/keycloak,2419857.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
18,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-01-17 08:32:59.000000,2024-01-17 08:32:38,1374.0,20.0,390.0,62.0,185.0,74.0,349.0,4137.0,2023-12-17 12:54:58,1.3.0,33.0,30515.0,30515.0,105.0,,,6750207.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,6750207.0,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-02-01 18:07:06.000000,2024-02-01 18:01:26,18934.0,443.0,3880.0,826.0,19159.0,982.0,4877.0,29219.0,2024-01-30 20:59:02,1.15.5,100.0,6912.0,6912.0,1443.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-02-01 12:08:05.342072,2024-02-01 11:33:29,3776.0,45.0,1335.0,232.0,1745.0,83.0,1395.0,14896.0,2023-05-24 08:55:23,2.1.2,100.0,3.0,3.0,291.0,,,3939032.0,2.0,1.0,oryd/hydra,705078.0,https://hub.docker.com/r/oryd/hydra,2024-02-01 12:08:05.342072,75.0,412540876.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
21,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-02-01 05:17:08.000000,2024-01-31 23:49:57,1196.0,100.0,1662.0,127.0,122.0,5.0,866.0,9077.0,2024-01-26 21:01:20,0.0.83,3.0,2499.0,2499.0,53.0,,,174014.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,174014.0,,,,,,,,,
22,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,36,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-02-01 16:13:46.000000,2024-01-29 14:17:15,9629.0,42.0,1183.0,123.0,1093.0,80.0,910.0,7193.0,2023-11-22 02:28:28,0.5.16,10.0,1458.0,1458.0,226.0,,,178256.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,178256.0,,,,,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],35,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-02-01 15:16:15.000000,2024-02-01 11:39:56,4103.0,89.0,855.0,107.0,1809.0,170.0,1037.0,9853.0,2023-07-12 20:24:48,1.0.0,43.0,327.0,327.0,218.0,,,1634481.0,1.0,,oryd/kratos,36777.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112727489.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-01-31 01:47:29.000000,2024-01-31 01:45:08,1536.0,38.0,252.0,41.0,373.0,10.0,435.0,5380.0,2024-01-31 01:45:14,@casl/mongoose@7.2.2,100.0,64833.0,64833.0,67.0,https://www.npmjs.com/package/@casl/ability,2079188.0,2079188.0,1.0,,,,,,,,,,,,,,,,,,,
25,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-12-31 10:36:48.000000,2023-12-31 10:32:49,1083.0,5.0,1562.0,233.0,484.0,39.0,739.0,16437.0,2023-12-31 10:34:10,2.81.0,100.0,2712.0,2712.0,138.0,https://www.npmjs.com/package/casbin,184571.0,271154.0,2.0,,,,,,,,casbin,https://pypi.org/project/casbin,86583.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
26,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3528.0,336.0,109.0,432.0,390.0,15865.0,2020-03-22 14:01:55,0.22.2,38.0,8212.0,8212.0,25.0,https://www.npmjs.com/package/face-api.js,152537.0,152537.0,2.0,,,,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-02-01 14:56:21.000000,2024-01-30 22:51:31,24612.0,608.0,3827.0,606.0,4651.0,,,10657.0,2023-12-29 14:54:27,7.0.0,100.0,21.0,21.0,346.0,,,5999.0,2.0,,apereo/cas,,https://hub.docker.com/r/apereo/cas,2024-02-01 00:41:37.184462,129.0,893942.0,,,,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-02-01 17:29:18.000000,2024-02-01 13:35:29,7886.0,611.0,543.0,58.0,5609.0,312.0,1419.0,4261.0,2024-01-09 21:11:36,ockam_v0.116.0,100.0,183.0,183.0,305.0,,,13239.0,2.0,,,344222.0,,,,,,,,,,,build-trust/ockam/ockam,,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-02-01 18:15:16.000000,2024-02-01 18:12:14,3319.0,180.0,274.0,38.0,3942.0,80.0,875.0,3782.0,2024-01-10 15:55:52,0.25.0,100.0,13.0,13.0,91.0,,,19652639.0,2.0,,pomerium/pomerium,51224.0,https://hub.docker.com/r/pomerium/pomerium,2024-02-01 18:12:17.794490,10.0,1198749763.0,,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-01-30 13:07:06.000000,2024-01-30 13:06:56,3603.0,9.0,387.0,31.0,522.0,72.0,353.0,533.0,2024-01-30 11:50:06,7.5.0,51.0,1669.0,1669.0,172.0,,,571253.0,2.0,1.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,571253.0,,,,,,,,,
31,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-01-13 20:33:11.000000,2022-06-10 09:12:18,238.0,,12953.0,1565.0,225.0,723.0,584.0,50991.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,64889.0,2.0,,animcogn/face_recognition,1224.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7352.0,face_recognition,https://pypi.org/project/face_recognition,64787.0,,,,,,,,,
32,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-01-16 12:11:24.000000,2024-01-16 12:11:24,4735.0,4.0,1701.0,181.0,1688.0,438.0,1346.0,9662.0,2023-04-14 09:36:52,r1.4.1,15.0,88.0,88.0,131.0,,,218838.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,218838.0,,,,,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-02-01 18:12:19.000000,2024-01-30 22:27:08,3481.0,188.0,223.0,37.0,1294.0,98.0,318.0,4163.0,2024-01-22 11:44:28,1.29.0,65.0,44.0,44.0,41.0,,,60962.0,2.0,-1.0,authzed/spicedb,43660.0,https://hub.docker.com/r/authzed/spicedb,2024-01-30 20:22:56.548026,6.0,1783731.0,,,,,,,,,,,,
34,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-02-01 18:13:04.000000,2024-02-01 18:12:23,6402.0,140.0,421.0,80.0,3512.0,145.0,1197.0,1605.0,2023-12-21 19:45:00,1.8.7,96.0,133.0,133.0,182.0,,,2549.0,2.0,,ghcr.io/spiffe/spire-server,193737.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
35,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-02-01 04:37:49.000000,2024-01-30 21:18:57,2707.0,82.0,1501.0,174.0,2022.0,284.0,802.0,8777.0,2024-01-25 14:31:22,2.38.0,81.0,146.0,146.0,231.0,,,3.0,2.0,,quay.io/dexidp/dex,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
36,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-02-01 18:06:05.000000,2024-02-01 17:46:43,3911.0,406.0,254.0,197.0,4018.0,77.0,246.0,3752.0,2024-01-30 23:59:36,0.15.0,50.0,8.0,8.0,153.0,,,250513.0,3.0,,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-01-31 00:05:52.365063,12.0,12275161.0,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-02-01 16:26:07.000000,2024-02-01 08:24:54,12446.0,799.0,693.0,117.0,6460.0,3853.0,8906.0,717.0,2023-01-30 04:38:12,6.1.0,100.0,,,697.0,,,16217.0,2.0,-1.0,wso2/wso2is,22460.0,https://hub.docker.com/r/wso2/wso2is,2021-03-12 19:48:53.680553,34.0,1847429.0,,,,,,,,,,,,
38,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4948.0,501.0,152.0,1009.0,1350.0,20203.0,2023-04-02 07:43:27,0.7,1.0,1586.0,1586.0,58.0,,,171286.0,3.0,,animcogn/insightface,1712852.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,,
39,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-02-01 10:30:20.000000,2024-02-01 10:30:10,2664.0,65.0,116.0,59.0,301.0,25.0,254.0,781.0,2024-01-31 11:57:05,5.3.0,36.0,126.0,126.0,43.0,,,60029.0,2.0,2.0,,7669.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,59945.0,,,,,,,,,
40,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-01-11 16:17:28.000000,2024-01-11 16:14:43,440.0,63.0,152.0,38.0,108.0,1.0,87.0,761.0,2024-01-11 16:18:23,2.0.0,25.0,979.0,979.0,26.0,,,53998.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,53998.0,,,,,,,,,
41,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,29,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-02-01 16:36:23.000000,2024-02-01 16:36:21,5229.0,322.0,987.0,157.0,5070.0,72.0,1101.0,18619.0,2022-12-21 09:01:04,4.37.5,100.0,,,146.0,,,674.0,2.0,,,33068.0,,,,,,,,,,,,,,,,
42,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-02-01 17:52:22.000000,2024-02-01 15:06:12,2238.0,156.0,940.0,58.0,1365.0,100.0,1088.0,7983.0,2024-02-01 15:15:09,1.521.1,100.0,3.0,3.0,164.0,,,3079.0,2.0,,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2024-02-01 10:05:12.122611,13.0,123189.0,,,,,,,,casbin/casdoor,,,,
43,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,29,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-02-01 10:33:51.000000,2024-02-01 04:18:28,5635.0,543.0,295.0,38.0,4976.0,67.0,269.0,6796.0,2023-12-06 09:10:56,1.12.0,52.0,10.0,10.0,46.0,,,1033.0,2.0,,svhd/logto,2959.0,https://hub.docker.com/r/svhd/logto,2024-01-24 01:20:33.367662,2.0,28790.0,,,,,,,,,,,,
44,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-01-29 07:12:11.000000,2024-01-29 07:12:04,2391.0,19.0,1003.0,107.0,821.0,30.0,832.0,5238.0,2023-12-01 16:03:07,.5.6.8,64.0,8480.0,8480.0,315.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
45,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-02-01 16:49:01.000000,2024-02-01 15:35:36,1499.0,17.0,319.0,56.0,1118.0,41.0,267.0,4455.0,,,51.0,26.0,26.0,71.0,,,716683.0,2.0,,oryd/keto,18821.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,50863374.0,,,,,,,,,,,,
46,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-01-13 04:51:09.000000,2024-01-13 04:41:13,1213.0,13.0,163.0,30.0,1525.0,108.0,101.0,3350.0,2024-01-13 04:08:30,0.27.3,100.0,82.0,82.0,66.0,,,29663.0,2.0,,,2708.0,,,,,oso,https://pypi.org/project/oso,29588.0,,,,,,,,,
47,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-01-24 16:55:57.000000,2024-01-16 18:03:51,5261.0,138.0,279.0,41.0,767.0,48.0,258.0,1260.0,2024-01-24 19:01:59,7.0.0,53.0,1618.0,1618.0,296.0,,,,2.0,,,,,,,,,,,,,,,,,,,
48,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-02-01 18:06:44.000000,2024-01-18 04:03:26,614.0,6.0,64.0,40.0,214.0,4.0,84.0,310.0,2024-01-18 04:03:55,8.0.0,100.0,4419.0,4419.0,41.0,https://www.npmjs.com/package/did-jwt,167035.0,167035.0,1.0,,,,,,,,,,,,,,,,,,,
49,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-01-27 07:23:50.000000,2023-12-18 20:11:16,136.0,12.0,6091.0,472.0,205.0,,,55244.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,66.0,,,266215.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,266215.0,,,,,,,,,
50,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-01-26 03:06:01.000000,2024-01-12 15:14:56,1787.0,5.0,12633.0,1523.0,515.0,15.0,828.0,48348.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,3835.0,3.0,,,230127.0,,,,,,,,,,,,,,,,
51,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9181.0,1115.0,131.0,541.0,801.0,44349.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3672.0,3.0,,,172616.0,,,,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3492.0,759.0,74.0,9.0,370.0,14980.0,2016-02-25 17:42:46,0.2.1,4.0,68.0,68.0,30.0,,,1596.0,3.0,,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161227.0,,,,,,,,,,,,
53,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-02-01 16:38:06.000000,2024-01-30 19:34:13,6439.0,101.0,547.0,140.0,4380.0,191.0,2707.0,4907.0,2024-01-30 19:10:20,release-2024-01-30,100.0,,,129.0,,,20613.0,2.0,,letsencrypt/boulder-tools,63933.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-01-17 23:45:40.135569,13.0,1961790.0,,,,,,,,,,,,
54,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-01-31 18:15:38.000000,2023-09-08 08:05:44,1354.0,,326.0,48.0,718.0,50.0,277.0,3156.0,2023-07-18 10:23:06,0.40.6,100.0,3.0,3.0,109.0,,,1141053.0,3.0,,oryd/oathkeeper,34671.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,36.0,87825567.0,,,,,,,,,,,,
