,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-04-01 21:20:15.000000,2026-04-01 21:20:15,4696.0,156.0,2334.0,225.0,5294.0,245.0,2247.0,14115.0,2026-03-06 06:34:58,1.14.2,5830229.0,2769199.0,80.0,14669.0,14669.0,477.0,https://hub.docker.com/r/coredns/coredns,2026-03-06 06:36:36.159566,165.0,328938860.0,1.0,,,,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-04-02 09:17:52.000000,2026-04-02 09:17:52,10709.0,354.0,2300.0,145.0,4637.0,161.0,3560.0,13730.0,2026-03-27 19:13:14,1.20.1,116126364.0,2977599.0,100.0,2512.0,2512.0,553.0,,,,,1.0,,,,,,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-02-28 14:03:09.000000,2026-02-28 14:03:09,1818.0,31.0,492.0,62.0,530.0,87.0,305.0,2961.0,2025-06-20 05:53:03,3.3.1,,299303518.0,50.0,646761.0,646761.0,202.0,,,,,1.0,9.0,oauthlib,https://pypi.org/project/oauthlib,299303518.0,,,,,,,,,,,,
15,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,39,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,1.0,3984.0,111.0,3337.0,385.0,4686.0,28173.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,14101110.0,100.0,480085.0,480085.0,899.0,,,,,1.0,-1.0,,,,next-auth,https://www.npmjs.com/package/next-auth,14101110.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-03-01 10:18:45.000000,2026-03-01 10:15:23,2113.0,18.0,3010.0,182.0,343.0,5.0,1230.0,22469.0,2026-03-01 10:18:45,0.0.99,,868893.0,19.0,8569.0,8569.0,96.0,,,,,1.0,33.0,deepface,https://pypi.org/project/deepface,868893.0,,,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-04-01 18:31:07.000000,2026-04-01 18:31:07,1750.0,113.0,517.0,57.0,307.0,115.0,420.0,5256.0,2026-03-02 07:50:44,1.6.9,,124801221.0,50.0,50906.0,50906.0,142.0,,,,,1.0,,authlib,https://pypi.org/project/authlib,124801221.0,,,,authlib/authlib,,,,,,,,
18,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-04-02 18:39:42.000000,2026-04-02 18:13:03,23088.0,692.0,4505.0,781.0,25144.0,1222.0,5300.0,35332.0,2026-03-05 06:37:01,1.21.4,,,100.0,15605.0,15605.0,1616.0,,,,,1.0,,,,,,,,,,,,,,,,
19,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1234.0,292.0,166.0,354.0,430.0,23523.0,,,,27045767.0,,1321238.0,1321238.0,38.0,,,,,2.0,,,,,passport,https://www.npmjs.com/package/passport,27045767.0,,,,,,,,,
20,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-04-02 17:55:58.000000,2026-04-02 17:55:55,5076.0,121.0,1099.0,112.0,2251.0,148.0,1287.0,13587.0,2026-03-20 14:10:32,26.2.0,57975.0,1215828.0,49.0,55.0,55.0,244.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115430228.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
21,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-04-02 15:10:16.000000,2026-03-13 09:09:43,1749.0,37.0,298.0,38.0,574.0,17.0,493.0,6875.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,4956167.0,100.0,102136.0,102136.0,77.0,,,,,1.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,4956167.0,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-04-02 09:09:21.000000,2026-04-02 09:09:20,4430.0,72.0,1510.0,235.0,1936.0,98.0,1491.0,17113.0,2026-03-20 13:23:08,26.2.0,545622.0,3282334.0,100.0,,,321.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429233520.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13464.0,1544.0,250.0,778.0,598.0,56281.0,2018-04-02 17:18:43,1.2.2,1449.0,233403.0,2.0,5628.0,5628.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10798.0,1.0,,face_recognition,https://pypi.org/project/face_recognition,233291.0,,,,,,,,,,,,
24,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-04-02 17:50:56.436257,2026-04-02 17:33:15,3368.0,215.0,1597.0,74.0,2729.0,113.0,2140.0,13295.0,2026-04-02 17:42:50,2.378.0,1281.0,16971.0,100.0,12.0,12.0,280.0,https://hub.docker.com/r/casbin/casdoor,2026-04-02 17:50:56.436257,23.0,1077889.0,1.0,,,,,,,,,,,,,,,,
25,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-04-02 16:04:11.000000,2026-04-01 10:00:16,7716.0,206.0,587.0,77.0,5124.0,113.0,1574.0,2299.0,2026-03-19 20:04:54,1.14.4,821846.0,13472.0,100.0,208.0,208.0,252.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-04-02 12:15:57.000000,2026-03-31 03:02:56,4901.0,6.0,1943.0,187.0,1922.0,264.0,1754.0,12580.0,2025-03-05 07:11:35,r1.5.0,,1636298.0,17.0,170.0,170.0,163.0,,,,,2.0,,paddlepaddle,https://pypi.org/project/paddlepaddle,1636298.0,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-04-02 09:44:17.000000,2026-04-02 09:22:12,32513.0,1367.0,3923.0,582.0,7398.0,,,11454.0,2026-03-26 02:32:20,7.2.7.1,3651.0,8560.0,100.0,21.0,21.0,374.0,https://hub.docker.com/r/apereo/cas,2026-04-02 01:31:48.446223,131.0,1484768.0,2.0,,,,,,,,,,,,,,,,
28,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-03-29 11:01:56.000000,2026-03-29 11:01:56,2397.0,11.0,5895.0,511.0,211.0,1217.0,1395.0,28283.0,2023-04-02 07:43:27,0.7,12682364.0,352289.0,1.0,4981.0,4981.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,270.0,2.0,1.0,,,,,,,,,,,,,,,
29,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-04-02 17:31:17.000000,2026-04-02 05:05:28,9189.0,515.0,1364.0,163.0,9260.0,61.0,1357.0,27392.0,2026-03-14 08:28:15,4.39.16,47194.0,737.0,100.0,,,282.0,,,,,2.0,,,,,,,,,,,,,,,,
30,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,33,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-03-23 12:21:37.000000,2026-03-23 12:21:23,1165.0,10.0,1724.0,236.0,642.0,46.0,890.0,19977.0,2026-01-26 17:06:22,3.10.0,,2309120.0,100.0,,,163.0,,,,,2.0,,casbin,https://pypi.org/project/casbin,1735639.0,casbin,https://www.npmjs.com/package/casbin,573481.0,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
31,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,33,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-03-31 16:48:08.000000,2026-03-30 14:50:50,10593.0,17.0,1643.0,136.0,1449.0,124.0,1057.0,11411.0,2026-03-30 14:41:48,1.1.0,,1827086.0,15.0,,,274.0,,,,,2.0,-5.0,speechbrain,https://pypi.org/project/speechbrain,1827086.0,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-04-02 18:55:55.154633,2026-04-02 18:29:35,4247.0,172.0,320.0,41.0,5092.0,81.0,1001.0,4742.0,2026-03-17 22:56:18,0.32.4,56597.0,18543045.0,100.0,23.0,23.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-04-02 18:55:55.154633,13.0,1613171563.0,2.0,,,,,,,,,,,,,,,,
33,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-04-02 12:20:18.000000,2026-04-02 12:20:16,3824.0,227.0,1796.0,167.0,3186.0,336.0,883.0,10697.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,194.0,194.0,296.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-04-02 18:29:49.000000,2026-04-02 18:29:47,5486.0,160.0,370.0,49.0,2352.0,103.0,474.0,6567.0,2026-03-24 16:27:50,1.51.0,200369.0,140393.0,100.0,155.0,155.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-03-24 16:42:28.002810,7.0,7607090.0,2.0,,,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-04-02 09:09:45.000000,2026-04-02 09:09:44,1900.0,84.0,375.0,55.0,1406.0,42.0,293.0,5308.0,2026-03-20 14:29:37,26.2.0,44554.0,530918.0,55.0,41.0,41.0,86.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51450625.0,2.0,,,,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-04-02 06:03:43.000000,2026-04-02 06:03:35,2784.0,47.0,762.0,66.0,286.0,,1.0,3711.0,2026-03-18 11:58:17,9.7.1,,914571.0,100.0,2085.0,2085.0,76.0,,,,,2.0,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,914571.0,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-04-02 09:10:02.000000,2026-04-02 09:10:01,1669.0,62.0,390.0,48.0,772.0,66.0,309.0,3594.0,2026-03-20 11:40:09,26.2.0,25452.0,880904.0,100.0,16.0,16.0,124.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90707185.0,2.0,,,,,,,,,,,,,,,,
38,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,421.0,28.0,563.0,99.0,362.0,603.0,2025-10-07 20:02:21,7.5.4,,3109912.0,55.0,2217.0,2217.0,181.0,,,,,2.0,,pysaml2,https://pypi.org/project/pysaml2,3109912.0,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-04-02 18:45:30.000000,2026-04-02 17:37:38,21421.0,1248.0,1529.0,71.0,16631.0,805.0,3268.0,20784.0,2026-03-03 20:13:59,ersion/2026.2.1,6065.0,224.0,100.0,,,525.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-04-02 18:43:16.000000,2026-04-02 08:49:55,8366.0,341.0,736.0,51.0,7642.0,167.0,629.0,11857.0,2026-03-31 10:45:02,1.38.0,7702.0,6923.0,82.0,8.0,8.0,86.0,https://hub.docker.com/r/svhd/logto,2026-04-02 08:55:12.242988,6.0,392302.0,2.0,,,,,,,,,,,,,,,,
41,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-04-02 01:35:05.000000,2026-04-02 01:35:05,2674.0,103.0,310.0,21.0,2815.0,229.0,971.0,4754.0,2026-03-13 05:28:21,1.9.2,421.0,9153.0,55.0,42.0,42.0,150.0,https://hub.docker.com/r/kanidm/server,2026-03-20 01:54:51.431132,4.0,786753.0,2.0,,,,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-04-02 18:04:14.000000,2026-04-01 19:13:43,5044.0,91.0,301.0,188.0,6153.0,109.0,285.0,4032.0,2026-02-13 13:52:10,0.21.1,,305413.0,74.0,13.0,13.0,203.0,https://hub.docker.com/r/hashicorp/boundary,2026-02-13 14:00:41.345158,19.0,22906025.0,3.0,,,,,,,,,,,,,,,,
43,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-04-02 18:10:02.000000,2026-04-02 18:10:02,18380.0,835.0,959.0,108.0,9461.0,1475.0,16306.0,888.0,2025-10-24 04:51:27,7.2.0,21377.0,14346.0,100.0,,,747.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2011075.0,2.0,,,,,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-04-02 15:35:21.000000,2026-04-02 13:53:08,4418.0,265.0,1004.0,60.0,7440.0,850.0,2681.0,13411.0,2026-04-01 07:41:31,4.13.1,15824.0,1438.0,100.0,1.0,1.0,248.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
45,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-04-02 10:30:31.000000,2026-04-02 10:30:27,2569.0,49.0,1040.0,101.0,902.0,44.0,858.0,5470.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11150.0,11150.0,339.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
46,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-04-02 18:47:38.000000,2026-04-02 16:26:32,35802.0,308.0,168.0,30.0,7911.0,292.0,5214.0,618.0,2026-01-22 17:46:22,1.16.0,9436.0,314.0,100.0,16.0,16.0,143.0,,,,,3.0,,,,,,,,,,,,,,,,
47,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-03-27 21:08:20.000000,2026-03-27 21:08:20,167.0,1.0,11790.0,720.0,361.0,,,97053.0,2025-06-26 01:06:09,20250625,,1845255.0,13.0,21.0,21.0,80.0,,,,,3.0,,openai-whisper,https://pypi.org/project/openai-whisper,1845255.0,,,,,,,,,,,,
48,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-03-31 11:49:11.000000,2026-03-31 11:49:00,1871.0,16.0,13257.0,1522.0,540.0,4.0,897.0,55104.0,2025-12-21 02:44:08,3.0.0,79633.0,925.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-04-01 01:56:32.000000,2026-03-31 22:31:29,7309.0,99.0,617.0,131.0,5372.0,173.0,3120.0,5692.0,2026-03-31 22:47:13,0.20260331.0,34473.0,16597.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-03-09 18:18:10.190464,13.0,2053502.0,2.0,,,,,,,,,,,,,,,,
50,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-03-31 14:43:17.000000,2026-03-20 20:29:58,3030.0,40.0,139.0,59.0,340.0,40.0,322.0,1092.0,2026-01-22 14:54:05,5.9.0,42079.0,34000.0,46.0,227.0,227.0,53.0,,,,,2.0,,yubikey-manager,https://pypi.org/project/yubikey-manager,33641.0,,,,,,,,,,,,
51,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-04-01 16:45:57.000000,2025-12-01 01:00:51,676.0,,70.0,37.0,234.0,5.0,87.0,370.0,2025-08-25 22:29:37,8.0.18,,446836.0,100.0,6216.0,6216.0,42.0,,,,,1.0,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,446836.0,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3481.0,740.0,77.0,5.0,382.0,15484.0,2024-10-04 12:56:15,0.2.2,,1288.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163660.0,3.0,,,,,,,,,,,,,,,,
53,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-03-30 17:28:35.000000,2026-03-30 08:11:38,2442.0,175.0,173.0,33.0,2601.0,49.0,367.0,4303.0,2026-02-04 09:23:48,0.51.0,63807.0,1046.0,75.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
