,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,trending,gem_url,brew_id,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-02-19 17:01:10.000000,2026-02-19 17:00:29,10546.0,356.0,2254.0,144.0,4515.0,156.0,3545.0,13573.0,2026-02-02 16:24:37,1.18.5,110482431.0,2832882.0,100.0,2433.0,2433.0,545.0,,,,,1.0,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,openpolicyagent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-02-18 12:30:38.852239,2026-02-18 11:46:04,6198.0,188.0,1495.0,133.0,5412.0,372.0,2526.0,11282.0,2026-02-18 09:10:22,1.13.2,20207742.0,5361179.0,100.0,6444.0,6444.0,560.0,https://hub.docker.com/r/openpolicyagent/opa,2026-02-18 12:30:38.852239,46.0,611558050.0,1.0,,,,,,,,,,,,,,,,
14,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,40,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,2.0,3984.0,110.0,3329.0,383.0,4680.0,28085.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,10690305.0,100.0,478511.0,478511.0,899.0,,,,,1.0,next-auth,https://www.npmjs.com/package/next-auth,10690305.0,,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-02-10 18:09:26.000000,2026-02-10 18:09:23,2112.0,41.0,2996.0,179.0,343.0,6.0,1228.0,22226.0,2026-01-25 23:05:37,0.0.98,,528502.0,18.0,8521.0,8521.0,96.0,,,,,1.0,,,,deepface,https://pypi.org/project/deepface,528502.0,,,,,,,,,,
16,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-02-17 01:14:03.000000,2026-02-10 09:56:41,1720.0,90.0,510.0,57.0,295.0,117.0,416.0,5215.0,2026-02-17 01:11:29,1.6.8,,62560303.0,49.0,49166.0,49166.0,138.0,,,,,1.0,,,,authlib,https://pypi.org/project/authlib,62560303.0,authlib/authlib,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-01-31 14:28:24.000000,2026-01-04 19:46:27,1785.0,1.0,491.0,62.0,522.0,84.0,305.0,2953.0,2025-06-20 05:53:03,3.3.1,,263753917.0,50.0,644312.0,644312.0,202.0,,,,,1.0,,,,oauthlib,https://pypi.org/project/oauthlib,263753917.0,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2026-02-06 12:19:03.000000,2026-01-25 08:47:55,1163.0,23.0,1718.0,234.0,637.0,41.0,889.0,19846.0,2026-01-26 17:06:22,3.10.0,,1593053.0,100.0,3577.0,3577.0,163.0,,,,,1.0,casbin,https://www.npmjs.com/package/casbin,456116.0,casbin,https://pypi.org/project/casbin,1136937.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-02-11 21:13:53.000000,2026-02-11 21:13:53,10583.0,25.0,1618.0,134.0,1441.0,123.0,1057.0,11219.0,2025-04-07 17:05:07,1.0.3,,1344633.0,14.0,4058.0,4058.0,272.0,,,,,1.0,,,,speechbrain,https://pypi.org/project/speechbrain,1344633.0,,,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-02-18 14:35:14.000000,2026-02-17 09:10:13,1741.0,72.0,297.0,38.0,559.0,17.0,493.0,6798.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,4135704.0,100.0,101958.0,101958.0,77.0,,,,,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,4135704.0,,,,,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-02-19 18:24:02.000000,2026-02-18 15:15:40,22696.0,448.0,4479.0,781.0,25086.0,1209.0,5287.0,35062.0,2026-01-07 18:09:58,1.21.2,,,100.0,15441.0,15441.0,1612.0,,,,,1.0,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1230.0,291.0,162.0,354.0,430.0,23516.0,,,,24355179.0,,1319604.0,1319604.0,38.0,,,,,2.0,passport,https://www.npmjs.com/package/passport,24355179.0,,,,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-02-18 09:53:24.000000,2026-02-18 09:53:23,4390.0,74.0,1510.0,235.0,1930.0,94.0,1489.0,17013.0,2025-11-07 14:57:03,25.4.0,525351.0,3330229.0,100.0,,,320.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,78.0,428871061.0,2.0,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-02-19 17:40:24.000000,2026-02-19 17:40:22,5013.0,97.0,1082.0,112.0,2245.0,153.0,1273.0,13471.0,2025-11-07 15:48:50,25.4.0,56435.0,1240316.0,48.0,54.0,54.0,244.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115277538.0,1.0,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13467.0,1547.0,250.0,780.0,598.0,56142.0,2018-04-02 17:18:43,1.2.2,1448.0,191964.0,2.0,5606.0,5606.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10598.0,2.0,,,,face_recognition,https://pypi.org/project/face_recognition,191852.0,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP gateway and auth server with web UI supporting..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-02-19 08:40:05.000000,2026-02-18 18:13:29,3286.0,234.0,1545.0,75.0,2600.0,105.0,2082.0,13047.0,2026-02-18 18:22:05,2.326.0,1204.0,16804.0,100.0,12.0,12.0,269.0,https://hub.docker.com/r/casbin/casdoor,2026-02-18 18:29:47.058806,23.0,998427.0,1.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-02-19 18:18:33.050016,2026-02-19 16:22:57,31813.0,1185.0,3928.0,585.0,7161.0,,,11420.0,2026-02-06 05:18:05,7.3.4,3270.0,8415.0,100.0,21.0,21.0,373.0,https://hub.docker.com/r/apereo/cas,2026-02-19 18:18:33.050016,131.0,1443867.0,1.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-02-19 18:33:10.000000,2026-02-18 18:34:54,7611.0,153.0,558.0,77.0,4993.0,113.0,1553.0,2210.0,2026-01-15 18:54:44,1.14.1,850293.0,14411.0,100.0,206.0,206.0,246.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-02-02 04:44:50.000000,2025-11-25 04:00:35,2386.0,10.0,5855.0,511.0,206.0,1216.0,1394.0,27888.0,2023-04-02 07:43:27,0.7,12131948.0,356824.0,1.0,4907.0,4907.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,250.0,2.0,,,,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-02-19 04:50:19.000000,2026-02-12 04:38:26,8865.0,371.0,1335.0,161.0,8921.0,63.0,1346.0,26779.0,2025-11-29 12:13:04,4.39.15,42054.0,678.0,100.0,,,276.0,,,,,2.0,,,,,,,,,,,,,,,,
31,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,33,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-02-11 12:59:03.000000,2026-01-27 09:27:06,4896.0,1.0,1941.0,188.0,1915.0,263.0,1757.0,12533.0,2025-03-05 07:11:35,r1.5.0,,1279431.0,17.0,167.0,167.0,161.0,,,,,2.0,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1279431.0,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-02-19 17:12:30.000000,2026-02-19 03:30:48,4161.0,146.0,320.0,41.0,4991.0,81.0,994.0,4687.0,2026-02-19 00:39:43,0.32.2,56865.0,18978808.0,100.0,22.0,22.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-02-19 05:39:32.929468,13.0,1613125519.0,2.0,,,,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,419.0,27.0,561.0,94.0,362.0,602.0,2025-10-07 20:02:21,7.5.4,,2314280.0,55.0,2189.0,2189.0,181.0,,,,,2.0,,,,pysaml2,https://pypi.org/project/pysaml2,2314280.0,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-02-19 16:18:49.000000,2026-02-19 16:05:59,5409.0,126.0,358.0,50.0,2260.0,102.0,464.0,6447.0,2026-02-09 15:05:59,1.49.1,193263.0,126790.0,100.0,145.0,145.0,74.0,https://hub.docker.com/r/authzed/spicedb,2026-02-09 15:15:49.695171,7.0,6609528.0,2.0,,,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-02-18 09:53:16.000000,2026-02-18 09:53:15,1852.0,63.0,371.0,55.0,1403.0,40.0,294.0,5280.0,2025-11-07 14:48:11,25.4.0,43481.0,541553.0,54.0,40.0,40.0,85.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51400155.0,2.0,,,,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-02-19 08:07:13.000000,2026-02-19 08:07:09,2750.0,23.0,763.0,66.0,278.0,,,3687.0,2026-02-19 08:01:22,9.6.1,,731030.0,100.0,2032.0,2032.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,731030.0,,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-02-18 09:54:01.000000,2026-02-18 09:54:00,1631.0,49.0,380.0,47.0,768.0,65.0,305.0,3572.0,2025-11-07 14:57:21,25.4.0,24984.0,897456.0,100.0,16.0,16.0,122.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90617690.0,2.0,,,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-02-19 17:18:36.000000,2026-02-19 15:16:53,17843.0,408.0,944.0,109.0,9143.0,1498.0,16003.0,883.0,2025-10-24 04:51:27,7.2.0,20997.0,14492.0,100.0,,,738.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2003765.0,2.0,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-02-19 18:28:56.000000,2026-02-19 17:55:55,20874.0,1168.0,1476.0,69.0,15834.0,788.0,3171.0,20197.0,2026-02-12 16:07:43,ersion/2025.10.4,5025.0,186.0,100.0,,,504.0,,,,,2.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-02-18 01:10:51.000000,2026-02-14 05:48:18,8197.0,274.0,691.0,50.0,7436.0,163.0,610.0,11584.0,2026-01-30 06:46:50,1.36.0,7407.0,6645.0,79.0,5.0,5.0,81.0,https://hub.docker.com/r/svhd/logto,2026-02-14 05:53:25.427504,5.0,363127.0,2.0,,,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-02-19 18:49:59.000000,2026-02-18 21:57:37,5011.0,79.0,301.0,190.0,6040.0,111.0,281.0,4016.0,2026-02-13 13:52:10,0.21.1,,306660.0,74.0,13.0,13.0,200.0,https://hub.docker.com/r/hashicorp/boundary,2026-02-13 14:00:41.345158,19.0,22386210.0,3.0,,,,,,,,,,,,,,,,
42,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11600.0,702.0,353.0,,,94830.0,2025-06-26 01:06:09,20250625,,1423276.0,13.0,21.0,21.0,79.0,,,,,3.0,,,,openai-whisper,https://pypi.org/project/openai-whisper,1423276.0,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-02-19 18:23:10.000000,2026-02-19 09:28:48,4286.0,196.0,936.0,62.0,7214.0,830.0,2609.0,13016.0,2026-02-16 09:48:38,4.11.0,15023.0,1502.0,100.0,1.0,1.0,242.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,,https://charts.zitadel.com,1.0,,,,,
44,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-02-19 18:31:24.000000,2026-02-19 18:31:22,3698.0,141.0,1778.0,168.0,3050.0,344.0,863.0,10593.0,2025-09-01 13:23:20,2.44.0,362.0,2.0,92.0,185.0,185.0,283.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
45,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-02-19 03:40:43.000000,2026-02-19 03:40:43,2632.0,81.0,288.0,21.0,2764.0,228.0,943.0,4593.0,2026-02-17 01:44:12,1.9.0,420.0,8705.0,53.0,42.0,42.0,144.0,https://hub.docker.com/r/kanidm/server,2026-02-17 02:42:28.139167,4.0,730855.0,3.0,,,,,,,,,,,,,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-02-18 14:30:19.000000,2026-02-18 14:30:05,3027.0,58.0,138.0,59.0,335.0,38.0,322.0,1066.0,2026-01-22 14:54:05,5.9.0,40286.0,41428.0,46.0,219.0,219.0,53.0,,,,,2.0,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,41078.0,,,,,,,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-02-19 18:16:44.000000,2026-02-19 17:46:37,35627.0,213.0,162.0,30.0,7628.0,420.0,4990.0,609.0,2026-01-22 17:46:22,1.16.0,8579.0,306.0,100.0,11.0,11.0,141.0,,,,,3.0,,,,,,,,,,,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-02-19 01:00:17.000000,2026-02-18 23:28:11,7264.0,77.0,619.0,132.0,5319.0,175.0,3108.0,5666.0,2026-02-17 17:26:24,0.20260217.0,35555.0,16878.0,100.0,,,147.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-02-04 20:20:49.475767,13.0,2045228.0,2.0,,,,,,,,,,,,,,,,
49,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-02-12 07:43:13.000000,2026-02-12 07:33:45,2531.0,14.0,1036.0,102.0,884.0,48.0,851.0,5453.0,2025-04-04 08:29:47,5.8.2,,,70.0,11039.0,11039.0,336.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,14.0,558.0,52.0,7293.0,,1780.0,4599.0,2025-06-30 22:09:21,ockam_v0.157.0,15032.0,334.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
51,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-01-12 11:21:39.000000,2026-01-11 10:32:45,3308.0,69.0,298.0,73.0,892.0,296.0,644.0,1796.0,2026-01-07 15:47:40,6.0.0,,9405.0,60.0,3.0,3.0,90.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005390.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,2067.0,,,,,,,,,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2026-02-19 17:09:18.000000,2026-02-19 17:08:25,8097.0,221.0,390.0,37.0,1521.0,1.0,321.0,1593.0,2026-02-18 15:25:01,bff-4.1.1,,,100.0,3029.0,3029.0,340.0,,,,,2.0,,,,,,,DuendeSoftware/products,,,,1.0,,,,,
53,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-01-05 12:30:09.000000,2026-01-05 12:29:50,1856.0,6.0,13281.0,1524.0,537.0,4.0,894.0,54972.0,2025-12-21 02:44:08,3.0.0,69045.0,821.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
