,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,gem_url,apt_id,updated_github_id,github-id
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-04-16 00:54:01.000000,2024-04-14 11:46:00,3881.0,61.0,1955.0,239.0,4208.0,114.0,2133.0,11931.0,2023-08-15 20:00:30,1.11.1,67.0,5999.0,5999.0,384.0,,,2893712.0,1.0,7284747.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,152.0,272925109.0,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-04-18 14:52:47.000000,2024-04-15 18:16:19,5048.0,99.0,1244.0,125.0,4173.0,344.0,2162.0,9154.0,2024-03-28 16:33:25,0.63.0,100.0,3797.0,3797.0,453.0,,,5481719.0,1.0,6568775.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2024-04-16 18:19:42.343048,41.0,536228716.0,,,,,,,,,,,,
15,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-04-18 14:38:56.000000,2024-04-18 14:38:56,9775.0,151.0,1250.0,127.0,1179.0,79.0,939.0,7854.0,2024-02-26 20:54:49,1.0.0,11.0,1741.0,1741.0,233.0,,,3608689.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,3608689.0,,,,,,,,,
16,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,,466.0,67.0,496.0,79.0,293.0,2739.0,2023-01-10 13:13:43,3.2.2,48.0,516402.0,516402.0,195.0,,,104928520.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,104928520.0,,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-04-18 17:34:04.000000,2024-04-18 14:06:50,24741.0,936.0,6087.0,375.0,15244.0,1762.0,7832.0,19766.0,2024-04-16 17:20:28,24.0.3,55.0,,,1373.0,,,67029.0,1.0,2681199.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
18,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-04-05 14:18:15.000000,2024-04-05 14:18:14,3807.0,50.0,1348.0,232.0,1768.0,82.0,1408.0,15119.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,292.0,,,3900597.0,1.0,756013.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,416255885.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
19,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,37,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-04-16 21:08:08.000000,2024-04-16 19:12:40,1410.0,249.0,1762.0,132.0,187.0,1.0,1005.0,9906.0,2024-04-16 21:08:09,0.0.90,10.0,2924.0,2924.0,59.0,,,63692.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,63692.0,,,,,,,,,
20,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-04-16 12:47:21.000000,2024-04-08 13:03:35,1391.0,16.0,409.0,60.0,197.0,81.0,350.0,4254.0,2023-12-17 12:54:58,1.3.0,33.0,32127.0,32127.0,113.0,,,8560485.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,8560485.0,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-04-18 18:11:41.000000,2024-04-18 18:11:23,19437.0,581.0,3926.0,823.0,20399.0,1004.0,4958.0,29609.0,2024-04-04 13:39:03,1.16.1,100.0,7114.0,7114.0,1472.0,,,,1.0,,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,1.0,1205.0,309.0,157.0,339.0,428.0,22405.0,,,,1039025.0,1039025.0,38.0,https://www.npmjs.com/package/passport,10252295.0,10252295.0,2.0,,,,,,,,,,,,,,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-04-18 14:06:37.000000,2024-04-17 18:06:17,4204.0,119.0,905.0,112.0,1900.0,180.0,1067.0,10556.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,221.0,,,1593294.0,1.0,39026.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,113069622.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-04-16 09:12:27.000000,2024-04-16 09:09:00,1567.0,35.0,251.0,41.0,394.0,13.0,441.0,5567.0,2024-03-27 10:22:02,@casl/mongoose@7.3.1,100.0,70297.0,70297.0,68.0,https://www.npmjs.com/package/@casl/ability,2231760.0,2231760.0,1.0,,,,,,,,,,,,,,,,,,
25,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-04-07 09:25:56.000000,2024-04-07 09:21:56,1092.0,9.0,1580.0,230.0,494.0,44.0,748.0,16819.0,2024-04-07 09:23:08,2.87.1,100.0,2966.0,2966.0,143.0,https://www.npmjs.com/package/casbin,191553.0,310684.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,119131.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
26,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-04-18 17:53:05.000000,2024-04-18 17:34:46,8357.0,550.0,556.0,58.0,6007.0,314.0,1437.0,4343.0,2024-04-12 21:06:47,ockam_v0.121.0,100.0,183.0,183.0,310.0,,,12772.0,2.0,357617.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
27,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3551.0,338.0,109.0,433.0,390.0,16073.0,2020-03-22 14:01:55,0.22.2,38.0,8899.0,8899.0,25.0,https://www.npmjs.com/package/face-api.js,105226.0,105226.0,2.0,,,,,,,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-04-18 06:58:44.667673,2024-04-13 10:12:37,25060.0,500.0,3844.0,604.0,4683.0,,,10758.0,2024-03-29 09:25:57,7.0.3,100.0,21.0,21.0,347.0,,,6240.0,2.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2024-04-18 06:58:44.667673,129.0,942368.0,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-04-17 17:02:43.000000,2024-04-17 16:52:14,3746.0,282.0,241.0,37.0,1407.0,97.0,331.0,4489.0,2024-04-16 12:48:56,1.31.0,71.0,50.0,50.0,44.0,,,71833.0,2.0,57040.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2024-04-16 19:40:23.945877,7.0,2239791.0,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-04-18 16:10:50.970362,2024-04-18 15:22:15,3407.0,112.0,274.0,39.0,4051.0,80.0,888.0,3841.0,2024-04-05 20:18:47,0.25.2,100.0,17.0,17.0,91.0,,,22250923.0,2.0,55036.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2024-04-18 16:10:50.970362,10.0,1401740197.0,,,,,,,,,,,,
31,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-04-18 07:51:24.000000,2024-04-05 15:02:13,3604.0,5.0,392.0,31.0,524.0,77.0,357.0,540.0,2024-01-30 11:50:06,7.5.0,51.0,1722.0,1722.0,173.0,,,631726.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,631726.0,,,,,,,,,
32,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,13034.0,1567.0,227.0,731.0,584.0,51716.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,231877.0,2.0,1229.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7659.0,face_recognition,https://pypi.org/project/face_recognition,231773.0,,,,,,,,,
33,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-04-16 08:38:52.000000,2024-03-04 02:55:39,4740.0,3.0,1754.0,183.0,1696.0,482.0,1361.0,10091.0,2023-04-14 09:36:52,r1.4.1,15.0,98.0,98.0,136.0,,,221012.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,221012.0,,,,,,,,,
34,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-04-18 17:46:41.000000,2024-04-18 17:40:36,6555.0,184.0,443.0,77.0,3694.0,152.0,1227.0,1666.0,2024-04-06 00:05:44,1.9.4,100.0,143.0,143.0,185.0,,,3132.0,2.0,231778.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
35,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-04-18 16:46:09.000000,2024-04-18 16:46:09,12964.0,640.0,698.0,118.0,6750.0,4115.0,9226.0,748.0,2024-03-04 08:48:32,7.0.0,100.0,,,699.0,,,16133.0,2.0,11083.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1901951.0,,,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,31,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-04-18 17:45:08.000000,2024-04-18 17:45:07,5693.0,511.0,1021.0,158.0,5509.0,59.0,1157.0,19498.0,2024-04-15 03:51:44,4.38.8,100.0,,,162.0,,,740.0,2.0,36289.0,,,,,,,,,,,,,,,,,
37,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-04-18 15:48:59.000000,2024-04-15 17:11:09,2836.0,160.0,1533.0,172.0,2146.0,292.0,811.0,9003.0,2024-04-09 11:55:18,2.39.1,83.0,157.0,157.0,239.0,,,3.0,2.0,312.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
38,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,31,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-04-18 16:36:12.000000,2024-04-11 11:09:48,2403.0,186.0,994.0,63.0,1458.0,96.0,1188.0,8585.0,2024-04-10 16:28:03,1.595.0,100.0,3.0,3.0,173.0,,,4017.0,2.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2024-04-10 16:33:20.358091,13.0,168751.0,,,,,,,,-1.0,,,,
39,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-04-18 18:16:46.000000,2024-04-18 18:00:01,4109.0,260.0,265.0,201.0,4324.0,84.0,253.0,3790.0,2024-04-09 20:31:26,0.15.4,55.0,8.0,8.0,158.0,,,270745.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2024-04-09 20:33:27.875004,14.0,13808000.0,,,,,,,,,,,,
40,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2024-04-16 17:01:38.000000,2024-04-16 17:01:38,2284.0,1.0,5070.0,500.0,154.0,1045.0,1355.0,21196.0,2023-04-02 07:43:27,0.7,1.0,1987.0,1987.0,58.0,,,233932.0,3.0,2807178.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,-1.0,,,,
41,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-04-18 16:50:38.000000,2024-04-18 16:47:26,6054.0,528.0,332.0,39.0,5315.0,80.0,291.0,7200.0,2024-04-10 14:00:25,1.15.0,56.0,11.0,11.0,52.0,,,2152.0,2.0,3063.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2024-04-10 13:59:24.508738,2.0,68863.0,,,,,,,,,,,,
42,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-04-02 11:15:40.000000,2024-03-26 16:46:53,2700.0,71.0,119.0,60.0,308.0,30.0,256.0,807.0,2024-03-27 08:06:51,5.4.0,37.0,135.0,135.0,46.0,,,117533.0,2.0,9673.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,117429.0,,,,,,,,,
43,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-03-28 21:00:00.000000,2024-03-28 20:56:35,462.0,22.0,155.0,37.0,117.0,4.0,89.0,794.0,2024-03-28 21:00:33,2.1.0,26.0,1024.0,1024.0,27.0,,,84789.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,84789.0,,,,,,,,,
44,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-04-18 11:45:52.000000,2024-04-18 11:45:33,1814.0,27.0,12745.0,1526.0,519.0,17.0,830.0,49144.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4750.0,3.0,294543.0,,,,,,,,,,,,,,,,,
45,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-04-18 08:13:01.000000,2024-04-03 08:20:20,2414.0,25.0,1009.0,108.0,832.0,29.0,838.0,5255.0,2024-02-14 08:01:40,.5.6.9,65.0,8614.0,8614.0,322.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
46,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-04-15 23:15:10.000000,2024-04-11 15:24:48,1507.0,15.0,330.0,57.0,1125.0,36.0,276.0,4607.0,,,52.0,29.0,29.0,72.0,,,699155.0,2.0,21438.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51014339.0,,,,,,,,,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-04-15 08:14:10.000000,2024-04-15 08:14:09,1363.0,9.0,330.0,47.0,722.0,53.0,279.0,3199.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,111.0,,,1117396.0,3.0,37053.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,88236301.0,,,,,,,,,,,,
48,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-04-12 16:20:16.000000,2024-04-03 18:17:24,3085.0,54.0,291.0,77.0,853.0,284.0,628.0,1766.0,2024-04-04 10:50:02,5.7.10,54.0,3.0,3.0,87.0,https://www.npmjs.com/package/solid-server,639.0,9372.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-04 10:48:39.575604,5.0,1004333.0,,,,,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-04-18 17:19:38.000000,2024-03-25 23:02:49,622.0,8.0,64.0,40.0,215.0,5.0,85.0,320.0,2024-03-25 23:03:17,8.0.4,100.0,4740.0,4740.0,41.0,https://www.npmjs.com/package/did-jwt,181078.0,181078.0,1.0,,,,,,,,,,,,,,-1.0,,,,
50,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-04-12 16:25:42.000000,2023-12-18 20:11:16,136.0,,6720.0,510.0,218.0,,,59920.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,66.0,,,279494.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,279494.0,,,,,1.0,,,,
51,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9385.0,1124.0,131.0,541.0,801.0,45251.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3637.0,3.0,178224.0,,,,,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3502.0,760.0,74.0,10.0,371.0,15058.0,2016-02-25 17:42:46,0.2.1,4.0,73.0,73.0,30.0,,,1568.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161512.0,,,,,,,,,,,,
53,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-04-18 17:11:07.000000,2024-04-18 13:45:15,3013.0,199.0,413.0,40.0,5152.0,505.0,1587.0,6989.0,2024-04-18 14:37:15,2.50.2,100.0,,,106.0,,,535.0,3.0,2142.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-04-18 17:19:45.000000,2024-04-18 17:00:38,6525.0,100.0,563.0,138.0,4474.0,199.0,2747.0,4979.0,2024-04-15 18:40:14,release-2024-04-15,100.0,,,132.0,,,20636.0,2.0,66253.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-04-04 15:03:09.460634,13.0,1974049.0,,,,,,,,,,,,
