,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",42,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-07-16 01:06:04.000000,2026-07-16 01:06:03,4923.0,192.0,2395.0,221.0,5564.0,239.0,2282.0,14346.0,2026-07-10 05:51:46,1.14.6,84.0,15009.0,15009.0,503.0,,,2732029.0,1.0,coredns/coredns,5359480.0,https://hub.docker.com/r/coredns/coredns,2026-07-10 06:57:15.135816,166.0,333139747.0,1.0,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-07-16 14:14:28.000000,2026-07-16 14:14:28,11112.0,339.0,2348.0,143.0,4937.0,153.0,3612.0,13940.0,2026-07-08 22:40:40,1.21.0,100.0,2745.0,2745.0,570.0,,,3430182.0,1.0,,133777135.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",42,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-07-16 12:16:27.297998,2026-07-16 11:01:24,6590.0,266.0,1598.0,132.0,5868.0,345.0,2645.0,12034.0,2026-07-02 13:31:31,1.18.2,100.0,7081.0,7081.0,592.0,,,5275200.0,1.0,openpolicyagent/opa,23157775.0,https://hub.docker.com/r/openpolicyagent/opa,2026-07-16 12:16:27.297998,47.0,618353466.0,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-07-14 21:42:53.000000,2026-07-14 21:42:53,1838.0,19.0,506.0,61.0,556.0,89.0,310.0,2974.0,2025-06-20 05:53:03,3.3.1,50.0,652599.0,652599.0,205.0,,,315465969.0,1.0,,,,,,,2.0,oauthlib,https://pypi.org/project/oauthlib,315465969.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-06-29 11:52:30.000000,2026-06-29 11:52:30,2125.0,12.0,3097.0,185.0,361.0,10.0,1231.0,23110.0,2026-05-09 18:30:37,0.0.100,20.0,8695.0,8695.0,98.0,,,841752.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,841752.0,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-06-15 11:24:25.000000,2026-06-15 11:24:25,10599.0,5.0,1675.0,138.0,1467.0,126.0,1059.0,11690.0,2026-03-30 14:41:48,1.1.0,15.0,4309.0,4309.0,277.0,,,1564413.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1564413.0,,,,,,,,,
18,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-07-06 19:54:44.000000,2026-07-06 19:54:27,1809.0,52.0,300.0,39.0,625.0,10.0,505.0,6996.0,2026-07-06 19:54:44,@casl/vue@3.0.1,100.0,102522.0,102522.0,78.0,https://www.npmjs.com/package/@casl/ability,6725625.0,6725625.0,1.0,,,,,,,,,,,,,,,,,,,
19,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-06-19 06:59:03.000000,2026-06-19 06:59:02,1792.0,26.0,541.0,57.0,332.0,117.0,427.0,5371.0,2026-05-06 08:10:42,1.7.2,56.0,55142.0,55142.0,143.0,,,151850893.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,151850893.0,authlib/authlib,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-07-16 18:21:39.000000,2026-07-16 18:21:37,23897.0,695.0,4610.0,779.0,25229.0,1253.0,5318.0,35932.0,2026-06-17 20:23:38,2.0.3,100.0,15913.0,15913.0,1618.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1232.0,291.0,167.0,355.0,430.0,23532.0,,,,1324474.0,1324474.0,38.0,https://www.npmjs.com/package/passport,30950722.0,30950722.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-07-16 16:52:23.000000,2026-07-16 16:52:21,5223.0,125.0,1143.0,112.0,2262.0,148.0,1298.0,13787.0,2026-03-20 14:10:32,26.2.0,49.0,56.0,56.0,246.0,,,1185770.0,1.0,oryd/kratos,66746.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,116121673.0,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,36,True,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2026-06-25 11:12:50.000000,2026-06-25 11:12:50,241.0,3.0,13456.0,1542.0,256.0,775.0,604.0,56606.0,2018-04-02 17:18:43,1.2.2,2.0,5661.0,5661.0,55.0,,,211911.0,2.0,animcogn/face_recognition,1462.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,11534.0,,face_recognition,https://pypi.org/project/face_recognition,211796.0,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-07-16 09:31:17.000000,2026-07-16 09:31:16,4506.0,68.0,1544.0,236.0,1945.0,103.0,1500.0,17476.0,2026-03-20 13:23:08,26.2.0,100.0,,,323.0,,,3217525.0,2.0,oryd/hydra,646452.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,430264555.0,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-07-14 07:53:07.520221,2026-07-14 07:35:50,3681.0,152.0,1714.0,79.0,2833.0,98.0,2305.0,13983.0,2026-07-14 07:44:57,3.117.0,100.0,12.0,12.0,301.0,,,21567.0,1.0,casbin/casdoor,3424.0,https://hub.docker.com/r/casbin/casdoor,2026-07-14 07:53:07.520221,23.0,1409461.0,-1.0,,,,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-06-21 19:56:07.000000,2026-06-12 09:15:14,4907.0,6.0,1947.0,187.0,1929.0,267.0,1757.0,12649.0,2025-03-05 07:11:35,r1.5.0,17.0,171.0,171.0,163.0,,,2246012.0,2.0,,,,,,,3.0,paddlepaddle,https://pypi.org/project/paddlepaddle,2246012.0,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-07-16 09:16:04.000000,2026-07-15 16:37:28,33919.0,1212.0,3919.0,584.0,7932.0,,,11487.0,2026-07-10 20:12:16,7.3.7.3,100.0,24.0,24.0,376.0,,,10304.0,1.0,apereo/cas,4552.0,https://hub.docker.com/r/apereo/cas,2026-07-16 01:09:29.603417,131.0,1817449.0,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-07-16 16:24:49.000000,2026-07-16 15:47:51,7958.0,190.0,612.0,79.0,5400.0,101.0,1637.0,2437.0,2026-07-09 20:07:55,1.15.2,100.0,214.0,214.0,271.0,,,15658.0,2.0,ghcr.io/spiffe/spire-server,861220.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,-1.0,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-05-23 06:45:57.000000,2026-05-23 06:45:57,2433.0,36.0,5987.0,523.0,214.0,1223.0,1399.0,29263.0,2023-04-02 07:43:27,0.7,1.0,5227.0,5227.0,67.0,,,381009.0,2.0,animcogn/insightface,14859273.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,299.0,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-07-16 17:49:28.000000,2026-07-15 21:19:19,9947.0,592.0,1437.0,164.0,10088.0,55.0,1389.0,28303.0,2026-05-26 10:26:19,4.39.20,100.0,,,293.0,,,997.0,2.0,,64834.0,,,,,,,,,,,,,,,,,
31,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,33,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-07-16 14:02:03.000000,2026-07-16 12:30:17,8809.0,410.0,1008.0,99.0,8189.0,141.0,709.0,14131.0,2026-06-30 08:09:25,1.41.0,86.0,13.0,13.0,110.0,,,8656.0,2.0,svhd/logto,8727.0,https://hub.docker.com/r/svhd/logto,2026-07-16 12:34:55.420665,7.0,517640.0,,,,,,,,,,,,,
32,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],33,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-07-16 09:29:21.000000,2026-07-16 09:29:19,1978.0,61.0,382.0,54.0,1416.0,46.0,295.0,5383.0,2026-03-20 14:29:37,26.2.0,55.0,43.0,43.0,87.0,,,517049.0,2.0,oryd/keto,49611.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51651022.0,,,,,,,,,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-07-16 19:04:05.000000,2026-07-16 17:41:57,4426.0,152.0,342.0,39.0,5363.0,82.0,1021.0,4927.0,2026-07-16 18:24:42,0.33.0,100.0,24.0,24.0,103.0,,,17927611.0,2.0,pomerium/pomerium,61059.0,https://hub.docker.com/r/pomerium/pomerium,2026-07-16 18:39:29.395831,14.0,1613401741.0,,,,,,,,,,,,,
34,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,casbin,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-07-01 15:49:19.000000,2026-07-01 15:49:19,1174.0,9.0,1744.0,236.0,658.0,46.0,893.0,20249.0,2026-06-23 16:48:13,3.11.0-snapshot.7,100.0,,,167.0,https://www.npmjs.com/package/casbin,751417.0,3147775.0,2.0,,91.0,,,,,,casbin,https://pypi.org/project/casbin,2396356.0,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-07-16 18:16:59.000000,2026-07-16 18:03:52,5616.0,99.0,398.0,50.0,2551.0,102.0,496.0,6875.0,2026-06-18 23:27:56,1.54.0,100.0,176.0,176.0,79.0,,,174392.0,2.0,authzed/spicedb,266188.0,https://hub.docker.com/r/authzed/spicedb,2026-06-19 00:49:54.121558,7.0,9932291.0,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-07-07 16:02:15.000000,2026-07-07 16:01:33,2854.0,37.0,766.0,66.0,295.0,,5.0,3774.0,2026-07-07 16:02:12,9.9.1,100.0,2244.0,2244.0,76.0,https://www.npmjs.com/package/oidc-provider,2005227.0,2005227.0,2.0,,,,,,,-1.0,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-07-16 09:29:59.000000,2026-07-16 09:29:57,1729.0,48.0,404.0,47.0,780.0,70.0,311.0,3627.0,2026-03-20 11:40:09,26.2.0,100.0,16.0,16.0,125.0,,,858443.0,2.0,oryd/oathkeeper,28923.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90965535.0,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-07-15 18:44:29.000000,2026-07-15 18:44:28,18802.0,411.0,1007.0,106.0,9819.0,1511.0,16708.0,907.0,2026-05-13 11:06:23,7.3.0,100.0,,,753.0,,,14309.0,2.0,wso2/wso2is,24423.0,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,40.0,2041559.0,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-07-16 19:09:06.000000,2026-07-16 17:28:12,23073.0,1442.0,1701.0,67.0,19015.0,851.0,3570.0,22358.0,2026-07-15 17:15:23,ersion/2026.5.5,100.0,,,575.0,,,365.0,2.0,,8775.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-07-16 18:55:32.000000,2026-07-16 16:27:53,3983.0,120.0,1834.0,168.0,3366.0,342.0,892.0,10961.0,2026-03-03 13:43:12,2.45.1,94.0,205.0,205.0,305.0,,,2.0,2.0,quay.io/dexidp/dex,365.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
41,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,31,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-07-16 08:34:03.000000,2026-07-16 08:34:03,2703.0,127.0,1038.0,98.0,943.0,30.0,878.0,5510.0,2026-06-15 20:17:01,5.9.3,74.0,11419.0,11419.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-07-08 16:51:48.000000,2026-07-08 16:51:46,5114.0,53.0,301.0,186.0,6347.0,110.0,287.0,4070.0,2026-04-30 15:23:16,0.21.3,78.0,14.0,14.0,206.0,,,309048.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,21.0,24105777.0,,,,,,,,,,,,,
43,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,435.0,29.0,571.0,101.0,362.0,607.0,2025-10-07 20:02:21,7.5.4,55.0,2286.0,2286.0,181.0,,,2598773.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,2598773.0,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-07-16 16:35:46.000000,2026-07-16 16:35:44,4541.0,92.0,1175.0,62.0,7709.0,931.0,2756.0,14434.0,2026-07-10 05:56:50,4.16.0,100.0,1.0,1.0,260.0,,,1598.0,3.0,ghcr.io/zitadel/zitadel,22383.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,https://charts.zitadel.com,,,,,,,
45,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-07-16 07:14:20.947906,2026-07-16 06:45:57,2769.0,81.0,336.0,20.0,2943.0,251.0,1014.0,5136.0,2026-06-23 03:18:29,1.10.4,62.0,42.0,42.0,156.0,,,10535.0,3.0,kanidm/server,446.0,https://hub.docker.com/r/kanidm/server,2026-07-16 07:14:20.947906,5.0,937173.0,,,,,,,,,,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-07-10 09:20:46.000000,2026-06-30 15:17:03,3049.0,13.0,145.0,59.0,345.0,44.0,323.0,1157.0,2026-06-30 15:04:47,5.9.2,48.0,241.0,241.0,54.0,,,26139.0,2.0,,54059.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,25689.0,,,,,,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-07-16 16:05:05.000000,2026-07-16 10:27:00,36217.0,246.0,174.0,31.0,8525.0,291.0,5535.0,640.0,2026-06-22 09:49:09,2.2.0,100.0,16.0,16.0,146.0,,,320.0,3.0,,10571.0,,,,,,,,,,,,,,,,,
48,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,,12581.0,753.0,387.0,,,105068.0,2025-06-26 01:06:09,20250625,13.0,24.0,24.0,81.0,,,3147400.0,3.0,,,,,,,1.0,openai-whisper,https://pypi.org/project/openai-whisper,3147400.0,,,,,,,,,
49,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-07-06 00:36:36.000000,2026-07-06 00:36:19,1899.0,19.0,13211.0,1518.0,545.0,7.0,899.0,55348.0,2025-12-21 02:44:08,3.0.0,5.0,,,98.0,,,1162.0,3.0,,103422.0,,,,,,,,,,,,,,,,,
50,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2026-07-15 16:28:51.000000,2026-07-15 16:28:27,746.0,3.0,3485.0,736.0,79.0,1.0,382.0,15497.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,32.0,,,1261.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163963.0,1.0,,,,,,,,,,,,
51,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-07-16 17:34:33.000000,2026-07-16 05:09:34,7411.0,90.0,624.0,130.0,5506.0,193.0,3151.0,5749.0,2026-07-13 22:35:19,0.20260713.0,100.0,,,148.0,,,16394.0,2.0,letsencrypt/boulder-tools,34436.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-06-15 23:34:12.383934,13.0,2070775.0,,,,,,,,,,,,,
52,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,29,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-07-16 13:05:44.000000,2026-07-12 12:22:51,2084.0,10.0,279.0,27.0,649.0,38.0,143.0,5484.0,2026-05-13 07:15:38,0.9.6,79.0,47.0,47.0,79.0,,,8532.0,3.0,permitio/opal-server,2279.0,https://hub.docker.com/r/permitio/opal-server,2026-07-07 12:41:36.404114,1.0,552294.0,,,,,,,,,,,,,
53,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-07-15 13:47:41.000000,2026-07-15 13:47:41,2620.0,148.0,198.0,34.0,2796.0,55.0,374.0,4495.0,2026-05-05 11:34:52,0.53.0,77.0,35.0,35.0,35.0,,,1998.0,3.0,ghcr.io/cerbos/cerbos,127928.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
