,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-03-06 18:11:57.215373,2025-03-06 16:57:16,5539.0,165.0,1365.0,133.0,4700.0,375.0,2322.0,10039.0,2025-02-28 14:35:54,1.2.0,100.0,5055.0,5055.0,499.0,,,5577090.0,1.0,12484302.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-03-06 18:11:57.215373,43.0,595569683.0,,,,,,,,,,,,,
14,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,40,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-03-06 14:03:51.000000,2025-03-06 14:03:51,1933.0,242.0,2467.0,168.0,275.0,7.0,1162.0,18046.0,2024-08-17 07:30:49,0.0.93,13.0,5853.0,5853.0,85.0,,,573398.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,573398.0,,,,,,,,,,
15,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-03-03 13:45:05.000000,2025-02-18 06:05:47,4070.0,26.0,2118.0,235.0,4600.0,210.0,2175.0,12892.0,2024-11-21 19:41:27,1.12.0,70.0,13508.0,13508.0,414.0,,,2957953.0,1.0,8399810.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2024-11-21 19:43:25.886232,159.0,310565048.0,,,,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,40,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-02-27 22:29:00.000000,2025-02-25 11:27:08,10390.0,47.0,1415.0,134.0,1331.0,111.0,1026.0,9458.0,2024-10-31 10:06:07,1.0.2,13.0,2959.0,2959.0,257.0,,,3348708.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,3348708.0,,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-02-06 06:35:56.000000,2025-02-06 06:35:56,1703.0,3.0,476.0,64.0,497.0,83.0,294.0,2855.0,2023-01-10 13:13:43,3.2.2,48.0,604979.0,604979.0,197.0,,,144350179.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,144350179.0,,,,,,,,,,
18,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-03-06 17:42:44.000000,2025-03-06 17:42:44,27625.0,676.0,6950.0,388.0,19037.0,1754.0,11717.0,25738.0,2025-02-28 10:04:13,26.1.3,75.0,,,1562.0,,,72488.0,1.0,3696895.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,
19,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,38,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-02-28 15:17:00.000000,2025-02-28 14:43:08,1477.0,45.0,465.0,61.0,228.0,90.0,374.0,4723.0,2025-02-27 15:47:39,1.5.0,38.0,39848.0,39848.0,129.0,,,14768045.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,14768045.0,1.0,,,,,,,,,
20,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-02-27 08:05:42.000000,2025-02-27 08:05:41,4009.0,108.0,1415.0,236.0,1881.0,69.0,1472.0,15977.0,2025-01-17 08:51:44,2.3.0,100.0,3.0,3.0,306.0,,,3626045.0,2.0,895484.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,426600439.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
21,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-03-06 16:34:42.000000,2025-03-06 15:11:42,4587.0,100.0,956.0,113.0,2151.0,153.0,1220.0,11595.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,231.0,,,1392022.0,1.0,49544.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,114080308.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
22,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2025-03-06 18:26:37.000000,2025-03-06 16:09:03,20880.0,320.0,4177.0,807.0,23419.0,1074.0,5184.0,31902.0,2025-03-05 20:28:28,1.19.0,100.0,14438.0,14438.0,1560.0,,,,1.0,,,,,,,,,,,,,,,,,,,
23,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1224.0,302.0,161.0,348.0,429.0,23203.0,,,,1216571.0,1216571.0,38.0,https://www.npmjs.com/package/passport,13278123.0,13278123.0,2.0,,,,,,,,,,,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,36,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-03-05 07:22:21.000000,2025-03-04 06:39:50,4852.0,49.0,1879.0,187.0,1841.0,544.0,1401.0,11592.0,2025-03-05 07:11:35,r1.5.0,17.0,140.0,140.0,154.0,,,350133.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,350133.0,1.0,,,,,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-03-03 17:03:02.000000,2025-02-22 01:51:04,1659.0,39.0,273.0,39.0,462.0,17.0,469.0,6265.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,92412.0,92412.0,70.0,https://www.npmjs.com/package/@casl/ability,2891105.0,2891105.0,1.0,,,,,,,,,,,,,,,,,,,
26,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13318.0,1568.0,235.0,759.0,594.0,54302.0,2018-04-02 17:18:43,1.2.2,2.0,4223.0,4223.0,54.0,,,157035.0,2.0,1403.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9137.0,face_recognition,https://pypi.org/project/face_recognition,156926.0,,,,,,,,,,
27,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-12-28 12:15:32.000000,2024-12-28 12:11:50,1109.0,1.0,1653.0,245.0,516.0,42.0,792.0,18250.0,2024-12-28 12:13:32,2.103.0,100.0,3346.0,3346.0,151.0,https://www.npmjs.com/package/casbin,290266.0,498737.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,208471.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
28,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3705.0,345.0,111.0,447.0,393.0,17042.0,2020-03-22 14:01:55,0.22.2,38.0,12478.0,12478.0,25.0,https://www.npmjs.com/package/face-api.js,184768.0,184768.0,2.0,,,,,,,,,,,,,,,,,,,
29,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-03-06 18:19:46.000000,2025-03-06 16:55:22,26887.0,703.0,3907.0,602.0,5181.0,,,11166.0,2025-02-21 09:55:29,7.1.5,100.0,21.0,21.0,360.0,,,7091.0,2.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-03-06 15:07:52.927571,131.0,1148781.0,,,,,,,,,,,,,
30,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,33,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-03-04 06:34:07.191620,2025-03-04 06:16:16,2703.0,102.0,1278.0,78.0,1779.0,120.0,1496.0,11153.0,2025-03-04 06:25:35,1.855.0,100.0,7.0,7.0,216.0,,,9350.0,2.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-03-04 06:34:07.191620,17.0,495595.0,,,,,,,,,,,,,
31,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-03-05 23:02:21.000000,2025-03-05 22:52:57,4519.0,207.0,292.0,46.0,1694.0,94.0,407.0,5435.0,2025-03-03 15:59:50,1.41.0,91.0,98.0,98.0,56.0,,,96241.0,2.0,135528.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-03-03 16:10:19.783199,7.0,3999687.0,,,,,,,,,,,,,
32,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-03-06 07:38:15.000000,2025-03-06 07:21:33,9243.0,160.0,557.0,58.0,6882.0,316.0,1464.0,4514.0,2025-03-03 20:19:35,ockam_v0.148.0,100.0,188.0,188.0,318.0,,,11001.0,2.0,396041.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-03-06 17:49:45.915732,2025-03-05 17:36:39,3685.0,81.0,287.0,41.0,4411.0,106.0,941.0,4180.0,2024-11-11 19:02:17,0.28.0,100.0,22.0,22.0,95.0,,,21792170.0,2.0,67141.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-03-06 17:49:45.915732,11.0,1612536442.0,,,,,,,,,,,,,
34,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,33,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-03-06 18:17:56.000000,2025-03-06 18:17:54,15455.0,1056.0,745.0,116.0,7894.0,1041.0,14312.0,796.0,2025-02-28 19:19:04,7.1.0,100.0,,,715.0,,,15236.0,2.0,15417.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1952988.0,,,,1.0,,,,,,,,,
35,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-03-06 05:02:42.000000,2025-02-10 21:50:06,3612.0,7.0,407.0,30.0,538.0,85.0,358.0,576.0,2025-02-10 21:52:03,7.5.2,53.0,1969.0,1969.0,174.0,,,951338.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,951338.0,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-03-06 12:49:09.000000,2025-03-06 12:49:08,6967.0,379.0,1173.0,165.0,6897.0,50.0,1244.0,22985.0,2025-02-16 10:16:32,4.38.19,100.0,,,207.0,,,849.0,2.0,50118.0,,,,,,,,,,,,,,,,,,
37,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-03-06 17:33:20.000000,2025-03-06 09:56:04,7096.0,150.0,484.0,77.0,4371.0,145.0,1408.0,1884.0,2025-02-13 21:08:41,1.11.2,100.0,168.0,168.0,209.0,,,7464.0,2.0,507576.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
38,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-03-02 09:08:35.000000,2025-03-02 09:08:35,2355.0,7.0,5438.0,519.0,187.0,1147.0,1388.0,24470.0,2023-04-02 07:43:27,0.7,1.0,3537.0,3537.0,65.0,,,297244.0,3.0,6836582.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,184.0,,,,,,,,,,,,,
39,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-03-06 10:55:34.000000,2025-03-06 10:55:34,3209.0,138.0,1639.0,175.0,2605.0,313.0,845.0,9725.0,2025-02-19 13:18:29,2.42.0,88.0,170.0,170.0,266.0,,,3.0,2.0,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
40,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-03-06 12:28:03.000000,2025-03-06 12:28:02,1596.0,40.0,350.0,56.0,1297.0,36.0,289.0,4945.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,609910.0,2.0,27412.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,8.0,51202266.0,,,,1.0,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-03-06 14:56:22.000000,2025-03-06 14:55:18,4577.0,114.0,284.0,199.0,5196.0,116.0,264.0,3918.0,2025-03-04 18:32:32,0.19.1,68.0,10.0,10.0,179.0,,,298402.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-03-04 18:35:27.449762,18.0,18500955.0,,,,,,,,,,,,,
42,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-03-06 15:43:25.000000,2025-03-06 15:41:39,2549.0,16.0,756.0,71.0,252.0,,,3331.0,2025-03-06 15:43:40,8.8.1,100.0,1578.0,1578.0,74.0,https://www.npmjs.com/package/oidc-provider,312377.0,312377.0,2.0,,,,,,,,,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,4.0,9125.0,628.0,296.0,,,77626.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,469383.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,469383.0,-1.0,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2025-03-06 17:09:05.000000,2025-03-06 06:26:33,3591.0,143.0,654.0,53.0,6054.0,621.0,2040.0,9851.0,2025-03-06 07:52:30,2.70.2,100.0,,,179.0,,,1145.0,2.0,6872.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,,
45,logto,https://github.com/logto-io/logto,idp,"An identity and access management (IAM) infrastructure with authentication, authorization, MFA, SSO, user management,..",,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-03-06 11:12:38.000000,2025-03-06 10:59:51,7201.0,163.0,486.0,51.0,6395.0,163.0,444.0,9593.0,2025-02-28 07:22:39,1.25.0,68.0,22.0,22.0,70.0,,,5596.0,2.0,5119.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-03-06 11:03:31.952687,5.0,245265.0,,,,,,,,,,,,,
46,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-01-31 07:17:13.000000,2025-01-31 07:17:13,2499.0,10.0,1029.0,105.0,869.0,39.0,848.0,5365.0,2024-12-09 07:54:33,5.8.1,69.0,9890.0,9890.0,330.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-02-26 22:20:37.000000,2025-01-30 10:42:00,1424.0,31.0,349.0,49.0,754.0,59.0,293.0,3353.0,2025-01-30 10:40:58,0.40.9,100.0,3.0,3.0,112.0,,,999592.0,3.0,49516.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,40.0,89912773.0,,,,,,,,,,,,,
48,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-02-25 19:20:11.000000,2025-02-25 19:20:09,522.0,36.0,173.0,35.0,137.0,1.0,102.0,900.0,2025-02-02 05:30:22,2.5.1,31.0,1313.0,1313.0,30.0,,,397359.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,397359.0,-1.0,,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-03-06 18:27:27.000000,2025-01-23 17:44:21,634.0,11.0,70.0,39.0,227.0,4.0,86.0,349.0,2025-01-23 17:44:48,8.0.8,100.0,5634.0,5634.0,42.0,https://www.npmjs.com/package/did-jwt,338696.0,338696.0,1.0,,,,,,,,,,,,,,,,,,,
50,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3501.0,753.0,77.0,2.0,382.0,15316.0,2024-10-04 12:56:15,0.2.2,5.0,88.0,88.0,31.0,,,1424.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162444.0,,,,,,,,,,,,,
51,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-03-06 18:15:03.000000,2025-03-06 18:03:09,16583.0,619.0,1029.0,64.0,10101.0,664.0,2210.0,15174.0,2025-02-26 20:23:39,ersion/2025.2.1,100.0,,,350.0,,,196.0,3.0,5690.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,,
52,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-03-05 10:07:27.000000,2025-03-05 10:04:28,1944.0,84.0,151.0,34.0,2079.0,40.0,342.0,3654.0,2025-03-05 10:10:53,0.41.0,64.0,29.0,29.0,33.0,,,2158.0,3.0,103612.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
53,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-03-05 03:21:09.000000,2025-03-05 03:21:09,2293.0,112.0,205.0,24.0,2375.0,198.0,776.0,3181.0,2025-02-10 09:12:21,1.5.0,35.0,42.0,42.0,105.0,,,7117.0,3.0,415.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-02-11 07:35:01.054671,3.0,519154.0,,,,,,,,,,,,,
