,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,gem_url,updated_github_id,apt_id,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-12-23 13:51:00.000000,2024-12-20 00:28:38,4045.0,64.0,2086.0,236.0,4516.0,184.0,2168.0,12711.0,2024-11-21 19:41:27,1.12.0,70.0,13333.0,13333.0,414.0,,,3000746.0,1.0,coredns/coredns,8162080.0,https://hub.docker.com/r/coredns/coredns,2024-11-21 19:43:25.886232,157.0,306421653.0,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-12-20 13:01:09.000000,2024-12-20 13:01:09,9190.0,105.0,2051.0,150.0,3761.0,150.0,3297.0,12298.0,2024-11-20 19:21:40,1.16.2,100.0,1443.0,1443.0,474.0,,,2943148.0,1.0,,111839633.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-12-25 18:15:18.079830,2024-12-20 21:45:36,5400.0,114.0,1348.0,128.0,4554.0,382.0,2280.0,9854.0,2024-12-20 21:43:27,1.0.0,100.0,4781.0,4781.0,491.0,,,5696221.0,1.0,openpolicyagent/opa,11182400.0,https://hub.docker.com/r/openpolicyagent/opa,2024-12-25 18:15:18.079830,43.0,594004248.0,,,,,,,,,,,,
15,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],39,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-12-27 12:08:42.000000,2024-12-27 12:07:31,27077.0,884.0,6757.0,381.0,18298.0,1776.0,11021.0,24264.0,2024-12-03 07:16:20,26.0.7,70.0,,,1533.0,,,72733.0,1.0,quay.io/keycloak/keycloak,3491196.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-12-26 13:45:24.000000,2024-12-26 13:45:20,1715.0,81.0,2261.0,153.0,257.0,4.0,1144.0,15221.0,2024-08-17 07:30:49,0.0.93,13.0,4939.0,4939.0,75.0,,,318091.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,318091.0,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-12-20 13:04:03.000000,2024-12-20 13:04:03,10284.0,117.0,1383.0,134.0,1307.0,99.0,1012.0,9107.0,2024-10-31 10:06:07,1.0.2,13.0,2635.0,2635.0,247.0,,,2408129.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,2408129.0,,,,,,,,,
18,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-12-08 07:28:29.000000,2024-12-08 07:28:28,1701.0,5.0,474.0,63.0,493.0,83.0,293.0,2840.0,2023-01-10 13:13:43,3.2.2,48.0,586624.0,586624.0,197.0,,,122726956.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,122726956.0,,,,,,,,,
19,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-12-24 13:29:05.000000,2024-12-23 14:13:24,4504.0,116.0,940.0,111.0,2109.0,186.0,1172.0,11415.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,229.0,,,1442807.0,1.0,oryd/kratos,47133.0,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,113918765.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
20,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-12-20 08:47:38.000000,2024-12-20 08:47:18,1439.0,15.0,456.0,61.0,218.0,91.0,364.0,4622.0,2024-08-30 14:26:59,1.3.2,35.0,37707.0,37707.0,125.0,,,15834330.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,15834330.0,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-12-27 01:39:12.000000,2024-12-26 17:24:24,20628.0,314.0,4142.0,811.0,22890.0,1046.0,5155.0,31473.0,2024-12-18 17:20:05,1.18.3,100.0,14318.0,14318.0,1548.0,,,,1.0,,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1222.0,300.0,160.0,347.0,429.0,23074.0,,,,1174978.0,1174978.0,38.0,https://www.npmjs.com/package/passport,10768866.0,10768866.0,2.0,,,,,,,,,,,,,,,,,,
23,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-12-01 14:36:56.000000,2024-12-01 14:33:35,1108.0,2.0,1649.0,240.0,516.0,42.0,792.0,17963.0,2024-12-01 14:35:07,2.102.0,100.0,3270.0,3270.0,151.0,https://www.npmjs.com/package/casbin,244024.0,397109.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,153085.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,The most scalable and customizable OpenID Certified OpenID Connect and OAuth Provider on the market. Become an OpenID..,,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-12-18 08:59:27.000000,2024-12-18 08:59:25,3905.0,29.0,1401.0,237.0,1860.0,89.0,1437.0,15797.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,300.0,,,3710365.0,2.0,oryd/hydra,881700.0,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,77.0,425440293.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-12-27 03:25:41.000000,2024-12-27 03:25:41,4820.0,62.0,1855.0,185.0,1808.0,553.0,1383.0,11316.0,2024-06-27 03:45:31,r1.4.2,16.0,134.0,134.0,152.0,,,332351.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,332351.0,,,,3.0,,,,,
26,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-12-08 23:42:26.000000,2024-10-30 06:34:35,1620.0,9.0,271.0,39.0,448.0,22.0,456.0,6125.0,2024-10-30 06:34:17,@casl/ability@6.7.2,100.0,87226.0,87226.0,70.0,https://www.npmjs.com/package/@casl/ability,2526356.0,2526356.0,1.0,,,,,,,,,,,,,,,,,,
27,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,34,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13280.0,1569.0,234.0,757.0,592.0,53814.0,2018-04-02 17:18:43,1.2.2,2.0,3790.0,3790.0,54.0,,,141357.0,2.0,animcogn/face_recognition,1398.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,8854.0,face_recognition,https://pypi.org/project/face_recognition,141247.0,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-12-25 19:43:46.000000,2024-12-25 19:27:06,9107.0,204.0,560.0,58.0,6768.0,321.0,1459.0,4493.0,2024-12-12 19:30:23,ockam_v0.145.0,100.0,187.0,187.0,318.0,,,11884.0,2.0,,392192.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3672.0,343.0,111.0,444.0,393.0,16838.0,2020-03-22 14:01:55,0.22.2,38.0,11409.0,11409.0,25.0,https://www.npmjs.com/package/face-api.js,106910.0,106910.0,2.0,,,,,,,,,,,,,,,,,,
30,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-12-27 08:17:37.000000,2024-12-27 08:17:37,26260.0,420.0,3900.0,601.0,4953.0,,,11113.0,2024-12-06 13:19:28,7.1.3,100.0,21.0,21.0,358.0,,,6982.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2024-12-27 00:35:47.355570,131.0,1110246.0,,,,,,,,,,,,
31,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,33,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-12-23 08:15:50.000000,2024-12-23 08:07:14,2617.0,76.0,1229.0,74.0,1688.0,109.0,1433.0,10683.0,2024-12-23 08:15:51,1.778.0,100.0,7.0,7.0,209.0,,,8487.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2024-12-20 09:27:00.408640,16.0,424352.0,,,,,,,,,,,,
32,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-12-19 21:38:37.000000,2024-12-19 21:29:39,4351.0,253.0,284.0,43.0,1625.0,101.0,392.0,5257.0,2024-12-12 19:35:21,1.39.1,88.0,92.0,92.0,53.0,,,91031.0,2.0,authzed/spicedb,115605.0,https://hub.docker.com/r/authzed/spicedb,2024-12-12 19:47:49.682853,7.0,3522691.0,,,,,,,,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-12-26 22:33:27.000000,2024-12-23 12:37:11,3618.0,70.0,286.0,39.0,4320.0,95.0,937.0,4099.0,2024-11-11 19:02:17,0.28.0,100.0,19.0,19.0,94.0,,,22711555.0,2.0,pomerium/pomerium,65144.0,https://hub.docker.com/r/pomerium/pomerium,2024-12-23 15:06:12.042488,11.0,1612437872.0,,,,,,,,,,,,
34,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,32,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-12-01 05:47:01.000000,2024-12-01 05:47:01,150.0,11.0,8603.0,600.0,278.0,,,73397.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,72.0,,,445453.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,445453.0,,,,5.0,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2024-12-05 07:41:28.000000,2024-12-05 07:41:28,2348.0,14.0,5390.0,513.0,183.0,1133.0,1386.0,23848.0,2023-04-02 07:43:27,0.7,1.0,3137.0,3137.0,63.0,,,296348.0,3.0,animcogn/insightface,5926928.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,182.0,,,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-12-27 11:15:07.000000,2024-12-27 11:15:06,6668.0,462.0,1134.0,166.0,6588.0,70.0,1210.0,22105.0,2024-10-30 22:45:13,4.38.17,100.0,,,195.0,,,838.0,2.0,,46934.0,,,,,,,,,,,,,,,,
37,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-12-23 17:56:04.000000,2024-12-19 17:05:55,6975.0,130.0,473.0,76.0,4222.0,145.0,1374.0,1834.0,2024-12-12 19:48:53,1.11.1,100.0,168.0,168.0,201.0,,,6660.0,2.0,ghcr.io/spiffe/spire-server,446246.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
38,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-12-27 10:32:20.000000,2024-12-27 05:57:51,7077.0,193.0,450.0,50.0,6273.0,143.0,403.0,9150.0,2024-11-22 09:34:00,1.22.0,63.0,19.0,19.0,68.0,,,5602.0,2.0,svhd/logto,4767.0,https://hub.docker.com/r/svhd/logto,2024-12-27 06:01:24.120133,5.0,229073.0,,,,,,,,,,,,
39,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,31,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-12-23 11:50:04.000000,2024-12-23 11:50:04,2493.0,43.0,1026.0,105.0,865.0,36.0,848.0,5345.0,2024-12-09 07:54:33,5.8.1,69.0,9600.0,9600.0,328.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-12-26 19:21:01.000000,2024-12-23 19:55:35,4491.0,129.0,284.0,196.0,5012.0,113.0,264.0,3891.0,2024-12-12 19:06:20,0.18.2,66.0,10.0,10.0,177.0,,,301907.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-12-12 18:27:36.882545,18.0,17812546.0,,,,,,,,,,,,
41,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2024-12-10 00:07:50.000000,2024-12-10 00:07:43,2534.0,25.0,748.0,72.0,250.0,,,3273.0,2024-11-21 09:30:37,8.6.0,100.0,1519.0,1519.0,73.0,https://www.npmjs.com/package/oidc-provider,219871.0,219871.0,2.0,,,,,,,,,,,,,5.0,,,,,
42,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-12-20 18:45:59.000000,2024-12-20 18:45:59,14532.0,696.0,730.0,117.0,7462.0,1038.0,13479.0,787.0,2024-03-04 08:48:32,7.0.0,100.0,,,713.0,,,15505.0,2.0,wso2/wso2is,14311.0,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1944880.0,,,,,,,,,,,,
43,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-08-16 16:34:15.000000,2024-04-24 15:14:06,3605.0,,400.0,30.0,534.0,84.0,357.0,568.0,2024-01-30 11:50:06,7.5.0,51.0,1923.0,1923.0,174.0,,,744559.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,744559.0,,,,,,,,,
44,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-12-24 04:50:02.000000,2024-12-20 09:12:38,3071.0,47.0,1616.0,175.0,2498.0,305.0,837.0,9602.0,2024-09-10 09:40:25,api/v2.2.0,87.0,167.0,167.0,261.0,,,3.0,2.0,quay.io/dexidp/dex,352.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
45,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-12-13 14:46:01.813465,2024-12-13 14:12:31,1397.0,13.0,350.0,47.0,748.0,56.0,292.0,3326.0,2024-12-13 14:46:10,0.40.8,100.0,3.0,3.0,112.0,,,1031661.0,3.0,oryd/oathkeeper,46338.0,https://hub.docker.com/r/oryd/oathkeeper,2024-12-13 14:46:01.813465,39.0,89707170.0,,,,,,,,,,,,
46,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-12-05 00:15:53.000000,2024-12-05 00:15:43,486.0,15.0,170.0,36.0,127.0,3.0,95.0,877.0,2024-12-05 00:18:36,2.4.0,29.0,1254.0,1254.0,29.0,,,334302.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,334302.0,,,,,,,,,
47,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,1.0,3500.0,756.0,77.0,2.0,382.0,15249.0,2024-10-04 12:56:15,0.2.2,5.0,84.0,84.0,33.0,,,1461.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,162224.0,,,,,,,,,,,,
48,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2024-12-27 04:45:12.000000,2024-12-25 18:51:26,16098.0,555.0,954.0,60.0,9479.0,595.0,2056.0,14053.0,2024-12-23 15:54:26,ersion/2024.12.1,100.0,,,320.0,,,169.0,3.0,,4919.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
49,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-12-27 10:22:10.000000,2024-12-23 07:01:35,3473.0,137.0,607.0,49.0,5862.0,568.0,1952.0,9344.0,2024-12-18 16:19:33,2.66.1,100.0,,,165.0,,,1026.0,3.0,ghcr.io/zitadel/zitadel,5131.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
50,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-12-24 03:17:10.000000,2024-12-19 14:02:18,1569.0,32.0,343.0,57.0,1257.0,38.0,285.0,4889.0,,,52.0,34.0,34.0,74.0,,,632157.0,2.0,oryd/keto,25718.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51176265.0,,,,,,,,,,,,
51,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2024-12-23 00:29:14.000000,2024-12-23 00:29:06,2212.0,147.0,188.0,24.0,2274.0,185.0,729.0,2845.0,2024-12-21 07:46:30,1.4.5,33.0,42.0,42.0,94.0,,,6860.0,3.0,kanidm/server,331.0,https://hub.docker.com/r/kanidm/server,2024-12-21 08:29:13.642333,2.0,479865.0,,,,,,,,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-12-21 13:04:28.000000,2024-12-21 12:59:09,5915.0,119.0,352.0,42.0,872.0,15.0,282.0,1506.0,2024-10-28 19:17:34,7.0.8,68.0,2422.0,2422.0,316.0,,,,2.0,,,,,,,,,,,,,,,,DuendeSoftware/products,,
53,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-12-25 01:03:58.000000,2024-12-20 19:04:19,6807.0,105.0,596.0,140.0,4804.0,194.0,2880.0,5256.0,2024-12-17 21:35:16,release-2024-12-17,100.0,,,136.0,,,18190.0,2.0,letsencrypt/boulder-tools,34781.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-09-05 15:49:11.555826,13.0,1993312.0,,,,,,,,,,,,
54,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,28,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2024-12-27 11:10:57.000000,2024-12-27 11:10:54,4069.0,403.0,226.0,26.0,1628.0,45.0,172.0,5056.0,2024-12-18 12:11:42,1.2.4,100.0,4.0,4.0,62.0,,,219.0,3.0,ghcr.io/permify/permify,5708.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,5.0,,,,,
