,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,brew_id,trending,gem_url,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-05-29 14:09:19.000000,2025-05-29 14:09:19,4180.0,110.0,2159.0,233.0,4721.0,225.0,2186.0,13158.0,2025-03-31 20:26:21,1.12.1,71.0,13712.0,13712.0,428.0,,,2964584.0,1.0,coredns/coredns,8745172.0,https://hub.docker.com/r/coredns/coredns,2025-03-31 20:27:47.160048,161.0,316854644.0,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-05-29 10:09:52.000000,2025-05-29 10:09:52,9555.0,175.0,2159.0,150.0,3929.0,151.0,3394.0,12844.0,2025-04-25 14:57:32,1.12.17,100.0,1857.0,1857.0,505.0,,,3061270.0,1.0,,116328286.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-05-29 17:33:26.793707,2025-05-29 14:21:03,5676.0,152.0,1402.0,133.0,4848.0,381.0,2379.0,10335.0,2025-05-29 14:56:18,1.5.0,100.0,5447.0,5447.0,518.0,,,5552825.0,1.0,openpolicyagent/opa,14614209.0,https://hub.docker.com/r/openpolicyagent/opa,2025-05-29 17:33:26.793707,44.0,599945913.0,,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-05-17 21:07:21.000000,2025-05-17 21:07:21,1998.0,99.0,2575.0,176.0,283.0,6.0,1180.0,19203.0,2024-08-17 07:30:49,0.0.93,13.0,7957.0,7957.0,89.0,,,632656.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,632656.0,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-05-28 18:10:13.000000,2025-05-28 18:10:13,10535.0,85.0,1470.0,133.0,1379.0,119.0,1035.0,9888.0,2025-04-07 17:05:07,1.0.3,14.0,3638.0,3638.0,261.0,,,826007.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,826007.0,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-05-22 12:59:05.000000,2025-05-22 12:58:21,1541.0,64.0,477.0,60.0,253.0,104.0,390.0,4838.0,2025-05-23 06:59:27,1.6.0,41.0,43766.0,43766.0,129.0,,,28115329.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,28115329.0,authlib/authlib,,,,,,,,,
18,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-05-15 21:26:02.000000,2025-03-08 06:23:18,1704.0,1.0,478.0,63.0,501.0,84.0,296.0,2882.0,2023-01-10 13:13:43,3.2.2,48.0,631711.0,631711.0,198.0,,,150683591.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,150683591.0,,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-05-29 18:18:38.000000,2025-05-29 17:36:06,21297.0,439.0,4252.0,797.0,24274.0,1112.0,5212.0,32471.0,2025-05-16 17:52:45,1.19.4,100.0,14653.0,14653.0,1590.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1221.0,300.0,162.0,350.0,430.0,23320.0,,,,1296778.0,1296778.0,38.0,https://www.npmjs.com/package/passport,14965644.0,14965644.0,2.0,,,,,,,,,,,,,,,,,,,
21,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-05-20 20:49:51.000000,2025-05-19 09:32:18,4670.0,99.0,978.0,114.0,2206.0,151.0,1235.0,11954.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,234.0,,,1361406.0,1.0,oryd/kratos,51836.0,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114290220.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13365.0,1566.0,238.0,771.0,594.0,54841.0,2018-04-02 17:18:43,1.2.2,2.0,5328.0,5328.0,54.0,,,203952.0,2.0,animcogn/face_recognition,1413.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9399.0,face_recognition,https://pypi.org/project/face_recognition,203843.0,,,,,,,,,,
23,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-04-19 15:33:22.000000,2025-04-19 15:30:00,1111.0,2.0,1668.0,243.0,523.0,43.0,794.0,18659.0,2025-04-19 15:31:30,2.105.0,100.0,3424.0,3424.0,153.0,https://www.npmjs.com/package/casbin,257617.0,401686.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,144069.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-05-21 11:30:04.000000,2025-05-21 11:30:01,4041.0,32.0,1436.0,239.0,1904.0,77.0,1477.0,16286.0,2025-01-17 08:51:44,2.3.0,100.0,,,308.0,,,3570782.0,2.0,oryd/hydra,929285.0,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,427182031.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-05-26 03:08:58.000000,2025-05-26 03:08:58,4884.0,34.0,1900.0,188.0,1888.0,473.0,1501.0,11936.0,2025-03-05 07:11:35,r1.5.0,17.0,159.0,159.0,156.0,,,383797.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,383797.0,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-05-28 14:49:15.567153,2025-05-28 14:29:40,2776.0,78.0,1329.0,77.0,1862.0,117.0,1594.0,11647.0,2025-05-28 14:40:06,1.924.0,100.0,11.0,11.0,227.0,,,10762.0,1.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-05-28 14:49:15.567153,19.0,591915.0,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-05-29 11:28:07.000000,2025-05-29 09:33:34,28059.0,1236.0,3910.0,596.0,5651.0,,,11243.0,2025-05-04 08:38:22,7.2.2,100.0,21.0,21.0,362.0,,,7324.0,1.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2025-05-29 00:36:20.853827,131.0,1201284.0,,,,,,,,,,,,,
28,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,34,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-05-28 20:47:31.000000,2025-04-16 03:36:29,1661.0,2.0,281.0,40.0,467.0,18.0,473.0,6390.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,99557.0,99557.0,72.0,https://www.npmjs.com/package/@casl/ability,3145405.0,3145405.0,2.0,,,,,,,,,,,,,,,,,,,
29,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-05-29 18:15:29.000000,2025-05-29 17:44:23,9477.0,250.0,554.0,57.0,7068.0,316.0,1464.0,4524.0,2025-03-20 18:18:54,ockam_v0.150.0,100.0,188.0,188.0,318.0,,,10848.0,2.0,,401407.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-05-29 16:49:37.000000,2025-05-29 16:39:03,4840.0,326.0,311.0,50.0,1832.0,99.0,412.0,5716.0,2025-05-19 19:53:03,1.44.0,95.0,110.0,110.0,60.0,,,106808.0,2.0,authzed/spicedb,166680.0,https://hub.docker.com/r/authzed/spicedb,2025-05-19 20:02:45.579058,7.0,4635918.0,,,,,,,,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-05-29 17:08:42.000000,2025-05-29 15:34:41,3764.0,85.0,298.0,41.0,4518.0,101.0,952.0,4293.0,2025-05-22 16:13:27,0.29.4,100.0,22.0,22.0,95.0,,,21220503.0,2.0,pomerium/pomerium,68177.0,https://hub.docker.com/r/pomerium/pomerium,2025-05-29 16:49:00.786800,12.0,1612671927.0,,,,,,,,,,,,,
32,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-05-28 15:03:10.000000,2025-05-28 14:55:52,2658.0,112.0,758.0,69.0,259.0,,,3417.0,2025-05-28 15:03:09,9.1.2,100.0,1767.0,1767.0,74.0,https://www.npmjs.com/package/oidc-provider,488265.0,488265.0,2.0,,,,,,,,,,,,,,,,,,,
33,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-05-29 17:36:28.000000,2025-05-29 17:34:28,7205.0,120.0,499.0,78.0,4501.0,144.0,1442.0,1957.0,2025-05-19 17:21:24,1.12.2,100.0,168.0,168.0,216.0,,,9073.0,2.0,ghcr.io/spiffe/spire-server,607947.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-05-19 21:33:58.000000,2025-02-10 21:50:06,3612.0,,412.0,29.0,544.0,88.0,358.0,585.0,2025-02-10 21:52:03,7.5.2,53.0,2040.0,2040.0,175.0,,,1244111.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1244111.0,,,,,,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-05-22 08:20:52.000000,2025-05-22 08:20:52,2362.0,9.0,5525.0,514.0,194.0,1175.0,1390.0,25333.0,2023-04-02 07:43:27,0.7,1.0,4468.0,4468.0,66.0,,,327805.0,2.0,animcogn/insightface,8195090.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,189.0,,,,,,,,,-1.0,,,,
36,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-05-29 17:24:37.000000,2025-05-29 17:24:36,7504.0,568.0,1220.0,163.0,7482.0,53.0,1288.0,23987.0,2025-05-25 02:27:28,4.39.4,100.0,,,229.0,,,927.0,2.0,,55643.0,,,,,,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-05-29 11:23:44.000000,2025-05-29 11:23:44,16064.0,644.0,751.0,115.0,8181.0,1277.0,14581.0,807.0,2025-02-28 19:19:04,7.1.0,100.0,,,719.0,,,15132.0,2.0,wso2/wso2is,17169.0,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1965098.0,,,,,,,,,,,,,
38,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-05-29 18:05:05.000000,2025-05-29 14:23:19,17466.0,937.0,1135.0,69.0,11221.0,641.0,2435.0,16390.0,2025-05-15 17:48:29,ersion/2025.4.1,100.0,,,376.0,,,204.0,2.0,,5926.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,,
39,logto,https://github.com/logto-io/logto,idp,"Open-source auth infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-05-29 10:53:32.000000,2025-05-29 05:00:16,7459.0,268.0,534.0,49.0,6649.0,138.0,510.0,10198.0,2025-05-26 13:25:04,1.28.0,71.0,24.0,24.0,75.0,,,5740.0,2.0,svhd/logto,5611.0,https://hub.docker.com/r/svhd/logto,2025-05-29 05:04:15.749732,5.0,262711.0,,,,,,,,,,,,,
40,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-05-29 04:05:40.000000,2025-05-22 02:49:35,3319.0,114.0,1676.0,176.0,2716.0,319.0,847.0,9921.0,2025-05-22 09:03:17,2.43.1,91.0,171.0,171.0,271.0,,,3.0,2.0,quay.io/dexidp/dex,357.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
41,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-05-23 03:30:52.000000,2025-04-28 09:15:41,1609.0,18.0,355.0,56.0,1322.0,33.0,291.0,5038.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,596188.0,2.0,oryd/keto,29178.0,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51240008.0,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-05-29 18:23:37.000000,2025-05-29 18:19:31,4656.0,83.0,285.0,200.0,5417.0,109.0,274.0,3943.0,2025-05-08 17:05:22,0.19.2,69.0,11.0,11.0,181.0,,,302981.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-05-08 17:14:37.402104,18.0,19390845.0,,,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-05-13 18:22:39.000000,2025-05-13 18:22:31,158.0,4.0,9784.0,649.0,304.0,,,82429.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,74.0,,,730033.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,730033.0,,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-04-29 14:37:34.000000,2025-04-29 14:37:32,1431.0,7.0,349.0,50.0,757.0,63.0,293.0,3401.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,112.0,,,979702.0,3.0,oryd/oathkeeper,52369.0,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90079140.0,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-05-28 08:15:47.000000,2025-05-28 08:13:32,2891.0,59.0,129.0,63.0,320.0,40.0,295.0,947.0,2025-05-28 07:15:51,5.7.0,42.0,176.0,176.0,48.0,,,117768.0,2.0,,21171.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,117569.0,,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-05-29 18:12:50.000000,2025-05-14 19:32:21,650.0,16.0,71.0,38.0,228.0,5.0,86.0,354.0,2025-05-14 19:32:41,8.0.15,100.0,5914.0,5914.0,42.0,https://www.npmjs.com/package/did-jwt,325715.0,325715.0,1.0,,,,,,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-05-29 18:23:45.000000,2025-05-29 18:23:43,3718.0,139.0,713.0,58.0,6304.0,699.0,2148.0,10729.0,2025-05-28 09:16:41,2.71.11,100.0,,,193.0,,,1745.0,3.0,ghcr.io/zitadel/zitadel,6982.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-05-26 13:35:47.000000,2025-05-26 13:35:41,2505.0,6.0,1031.0,104.0,875.0,44.0,848.0,5396.0,2025-04-04 08:29:47,5.8.2,70.0,10075.0,10075.0,331.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-05-29 08:00:23.000000,2025-05-29 08:00:23,2016.0,85.0,155.0,33.0,2148.0,41.0,347.0,3860.0,2025-04-07 12:01:02,0.43.0,66.0,29.0,29.0,33.0,,,2270.0,3.0,ghcr.io/cerbos/cerbos,113540.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-05-27 01:32:05.000000,2025-05-27 01:32:05,2378.0,90.0,226.0,23.0,2476.0,206.0,821.0,3535.0,2025-05-14 05:40:36,1.6.3,39.0,42.0,42.0,113.0,,,7757.0,3.0,kanidm/server,417.0,https://hub.docker.com/r/kanidm/server,2025-05-14 05:53:01.182175,3.0,581373.0,,,,,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-05-28 15:01:06.000000,2025-05-22 15:50:58,7225.0,459.0,376.0,41.0,1188.0,7.0,314.0,1549.0,2025-05-07 02:07:18,is-7.2.3,78.0,2864.0,2864.0,336.0,,,,2.0,,,,,,,,,,DuendeSoftware/products,,,,,,,,,
52,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-05-21 16:58:55.000000,2025-05-21 16:58:33,1835.0,4.0,13270.0,1537.0,526.0,31.0,845.0,54036.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7301.0,3.0,,547646.0,,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3500.0,750.0,77.0,2.0,382.0,15371.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1402.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162648.0,,,,,,,,,,,,,
