,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,maven_id,maven_url,helm_id,brew_id,gem_url,updated_github_id,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-04-10 16:24:43.000000,2025-04-10 16:24:43,9433.0,210.0,2136.0,150.0,3869.0,144.0,3368.0,12671.0,2025-02-14 14:13:35,1.12.16,100.0,1677.0,1677.0,493.0,,,3170880.0,1.0,,120493463.0,,,,,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-04-08 13:46:30.000000,2025-04-08 13:46:30,4118.0,73.0,2129.0,232.0,4652.0,217.0,2179.0,13015.0,2025-03-31 20:26:21,1.12.1,71.0,13595.0,13595.0,421.0,,,2952308.0,1.0,,8537669.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-03-31 20:27:47.160048,161.0,312766710.0,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-04-10 15:49:09.060797,2025-04-10 15:06:39,5581.0,169.0,1380.0,131.0,4748.0,381.0,2344.0,10164.0,2025-03-27 14:52:49,1.3.0,100.0,5195.0,5195.0,506.0,,,5550983.0,1.0,,13377980.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-04-10 15:49:09.060797,43.0,596737952.0,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-04-10 12:52:55.000000,2025-04-10 12:52:55,1982.0,182.0,2528.0,174.0,278.0,7.0,1171.0,18576.0,2024-08-17 07:30:49,0.0.93,13.0,6642.0,6642.0,87.0,,,681126.0,1.0,-1.0,,,,,,,deepface,https://pypi.org/project/deepface,681126.0,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-04-10 14:34:56.000000,2025-04-07 18:23:37,10499.0,86.0,1438.0,134.0,1345.0,115.0,1031.0,9659.0,2025-04-07 17:05:07,1.0.3,14.0,3212.0,3212.0,257.0,,,1408823.0,1.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1408823.0,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-03-08 06:23:18.000000,2025-03-08 06:23:18,1704.0,3.0,476.0,63.0,497.0,83.0,294.0,2870.0,2023-01-10 13:13:43,3.2.2,48.0,615725.0,615725.0,198.0,,,141059106.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,141059106.0,,,,,,,,,
18,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,38,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-04-10 15:01:09.000000,2025-04-10 15:00:26,1495.0,54.0,469.0,61.0,237.0,99.0,379.0,4774.0,2025-04-02 13:03:49,1.5.2,40.0,41185.0,41185.0,129.0,,,17083872.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,17083872.0,,,,,,,,,
19,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1223.0,301.0,162.0,351.0,430.0,23261.0,,,,1247216.0,1247216.0,38.0,https://www.npmjs.com/package/passport,14061402.0,14061402.0,2.0,,,,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,36,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-03-18 00:57:13.000000,2025-03-18 00:53:54,1110.0,1.0,1666.0,243.0,521.0,44.0,792.0,18452.0,2025-03-18 00:55:22,2.104.0,100.0,3379.0,3379.0,152.0,https://www.npmjs.com/package/casbin,305738.0,447077.0,1.0,,,,,,,,casbin,https://pypi.org/project/casbin,141339.0,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
21,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-04-10 11:10:07.000000,2025-04-10 11:10:05,4022.0,97.0,1424.0,236.0,1891.0,73.0,1474.0,16130.0,2025-01-17 08:51:44,2.3.0,100.0,,,306.0,,,3597697.0,2.0,,901894.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,426848475.0,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-04-10 11:16:00.000000,2025-04-07 10:48:18,4638.0,108.0,965.0,113.0,2181.0,152.0,1225.0,11804.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,231.0,,,1376328.0,1.0,,50766.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,114168436.0,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
23,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,36,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-04-08 03:29:22.000000,2025-04-08 03:29:22,4875.0,52.0,1889.0,188.0,1879.0,551.0,1409.0,11766.0,2025-03-05 07:11:35,r1.5.0,17.0,146.0,146.0,156.0,,,419912.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,419912.0,,,,,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13341.0,1570.0,236.0,765.0,594.0,54555.0,2018-04-02 17:18:43,1.2.2,2.0,4534.0,4534.0,54.0,,,169972.0,2.0,,1409.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9238.0,face_recognition,https://pypi.org/project/face_recognition,169863.0,,,,,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-04-10 14:35:48.000000,2025-04-10 14:30:55,1660.0,7.0,276.0,40.0,465.0,16.0,472.0,6309.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,95030.0,95030.0,71.0,https://www.npmjs.com/package/@casl/ability,2971178.0,2971178.0,2.0,,,,,,,,,,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-04-10 17:58:59.695911,2025-04-10 17:43:54,2738.0,104.0,1300.0,77.0,1817.0,120.0,1531.0,11351.0,2025-04-10 17:52:35,1.887.0,100.0,11.0,11.0,221.0,,,10083.0,1.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-04-10 17:58:59.695911,18.0,544525.0,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-04-10 17:08:39.033798,2025-04-10 15:53:40,27331.0,963.0,3915.0,598.0,5382.0,,,11205.0,2025-03-21 10:42:43,7.2.0,100.0,21.0,21.0,361.0,,,7181.0,1.0,1.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-04-10 17:08:39.033798,131.0,1170622.0,,,,,,,,,,,,
28,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-03-25 03:36:40.000000,2025-03-25 03:36:40,2359.0,11.0,5465.0,517.0,190.0,1157.0,1389.0,24825.0,2023-04-02 07:43:27,0.7,1.0,3879.0,3879.0,66.0,,,306834.0,2.0,1.0,7363988.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,186.0,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-04-10 17:27:16.000000,2025-04-10 14:19:24,4657.0,240.0,297.0,48.0,1745.0,95.0,410.0,5549.0,2025-04-02 14:48:28,1.42.1,93.0,107.0,107.0,57.0,,,100300.0,2.0,,150393.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-04-02 15:25:15.007796,7.0,4259359.0,,,,,,,,,,,,
30,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-04-10 17:32:34.000000,2025-04-10 16:47:31,9314.0,185.0,556.0,57.0,6954.0,316.0,1464.0,4522.0,2025-03-20 18:18:54,ockam_v0.150.0,100.0,188.0,188.0,318.0,,,11087.0,2.0,,399140.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-04-10 18:23:05.375517,2025-04-10 17:15:14,3718.0,93.0,290.0,41.0,4460.0,104.0,946.0,4217.0,2025-03-28 23:11:31,0.29.2,100.0,22.0,22.0,95.0,,,21502341.0,2.0,,67891.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-04-10 18:23:05.375517,11.0,1612590789.0,,,,,,,,,,,,
32,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-04-10 16:39:44.000000,2025-04-10 16:38:04,7150.0,156.0,488.0,77.0,4430.0,148.0,1421.0,1921.0,2025-03-21 19:39:35,1.12.0,100.0,168.0,168.0,214.0,,,8241.0,2.0,,543944.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
33,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,33,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-04-10 14:34:49.000000,2025-04-10 14:34:48,15703.0,1109.0,746.0,115.0,8023.0,1139.0,14471.0,803.0,2025-02-28 19:19:04,7.1.0,100.0,,,716.0,,,15165.0,2.0,,16254.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,36.0,1957186.0,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-03-06 05:02:42.000000,2025-02-10 21:50:06,3612.0,7.0,410.0,29.0,540.0,86.0,358.0,580.0,2025-02-10 21:52:03,7.5.2,53.0,1991.0,1991.0,174.0,,,1228749.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1228749.0,,,,,,,,,
35,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-04-10 08:12:34.000000,2025-04-10 02:07:16,7206.0,501.0,1192.0,163.0,7157.0,51.0,1269.0,23383.0,2025-03-18 03:57:41,4.39.1,100.0,,,220.0,,,891.0,2.0,,52595.0,,,,,,,,,,,,,,,,,
36,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],31,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-04-10 18:10:59.000000,2025-04-10 16:20:49,21026.0,338.0,4220.0,801.0,23768.0,1087.0,5200.0,32180.0,2025-04-04 13:14:25,1.19.1,100.0,,,1577.0,,,,1.0,-6.0,,,,,,,,,,,,,,,,,,
37,logto,https://github.com/logto-io/logto,idp,The better auth and identity infrastructure and the open-source alternative to Auth0. No framework restrictions.,,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-04-10 13:08:49.000000,2025-04-10 12:47:01,7345.0,251.0,501.0,50.0,6537.0,169.0,457.0,9838.0,2025-03-31 08:09:45,1.26.0,69.0,23.0,23.0,71.0,,,5652.0,2.0,,5342.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-04-10 12:50:56.135781,5.0,253203.0,,,,,,,,,,,,
38,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-04-09 04:13:17.000000,2025-04-03 08:00:04,3224.0,129.0,1650.0,174.0,2649.0,316.0,846.0,9803.0,2025-02-19 13:18:29,2.42.0,88.0,171.0,171.0,268.0,,,3.0,2.0,,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
39,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-04-07 12:38:25.000000,2025-04-07 12:33:56,1603.0,12.0,352.0,55.0,1305.0,35.0,289.0,4991.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,602929.0,2.0,,28533.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,8.0,51217536.0,,,,,,,,,,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-04-10 17:54:23.000000,2025-04-02 19:09:17,4603.0,86.0,286.0,199.0,5256.0,117.0,263.0,3930.0,2025-03-04 18:32:32,0.19.1,68.0,11.0,11.0,180.0,,,299349.0,3.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-03-04 18:35:27.449762,18.0,18859039.0,,,,,,,,,,,,
41,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-04-08 14:55:33.000000,2025-03-17 11:12:21,1429.0,10.0,350.0,48.0,755.0,63.0,293.0,3376.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,112.0,,,989341.0,3.0,,51073.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,40.0,89977920.0,,,,,,,,,,,,
42,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-04-09 15:57:27.000000,2025-04-09 15:55:37,2558.0,23.0,756.0,70.0,254.0,,,3364.0,2025-03-06 15:43:40,8.8.1,100.0,1639.0,1639.0,74.0,https://www.npmjs.com/package/oidc-provider,370856.0,370856.0,2.0,,,,,,,,,,,,,,,,,,,
43,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-03-07 19:43:28.000000,2025-03-07 19:43:16,526.0,39.0,173.0,34.0,138.0,,103.0,916.0,2025-03-07 19:43:46,2.5.2,32.0,1351.0,1351.0,30.0,,,596117.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,596117.0,,,,,,,,,
44,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-04-04 08:29:47.000000,2025-04-04 08:27:33,2503.0,10.0,1032.0,104.0,870.0,43.0,848.0,5380.0,2025-04-04 08:29:47,5.8.2,70.0,9987.0,9987.0,331.0,,,,2.0,2.0,,,,,,,,,,,,,,doorkeeper,,,,
45,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-04-10 15:48:58.000000,2025-03-19 02:57:53,636.0,13.0,70.0,38.0,227.0,4.0,86.0,350.0,2025-03-19 02:58:20,8.0.9,100.0,5756.0,5756.0,42.0,https://www.npmjs.com/package/did-jwt,296761.0,296761.0,1.0,,,,,,,,,,,,,,,,,,,
46,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,,9418.0,635.0,300.0,,,79729.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,586016.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,586016.0,,,,,,,,,
47,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-04-10 18:04:55.000000,2025-04-10 15:38:46,16960.0,795.0,1062.0,65.0,10577.0,640.0,2323.0,15607.0,2025-04-08 18:39:57,ersion/2025.2.4,100.0,,,365.0,,,207.0,2.0,,5812.0,,,,,,,,,,,https://charts.goauthentik.io,,,,,,
48,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-04-10 12:54:06.000000,2025-04-09 11:29:58,3646.0,151.0,679.0,55.0,6169.0,669.0,2090.0,10242.0,2025-04-09 12:16:51,2.69.10,100.0,,,183.0,,,1567.0,2.0,,6268.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,https://charts.zitadel.com,,,,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-04-10 13:53:03.000000,2025-04-07 11:43:50,1979.0,94.0,152.0,32.0,2115.0,40.0,344.0,3741.0,2025-04-07 12:01:02,0.43.0,66.0,29.0,29.0,33.0,,,2211.0,3.0,,108362.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-04-10 14:45:50.000000,2025-04-09 04:49:06,2327.0,98.0,215.0,23.0,2419.0,196.0,798.0,3346.0,2025-02-10 09:12:21,1.5.0,35.0,42.0,42.0,110.0,,,7307.0,2.0,,416.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-04-04 00:33:17.262462,3.0,540331.0,,,,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-04-10 10:47:40.000000,2025-04-10 08:08:31,7074.0,475.0,374.0,42.0,1119.0,7.0,311.0,1536.0,2025-03-18 15:53:09,is-7.2.0,75.0,2720.0,2720.0,336.0,,,,2.0,,,,,,,,,,,,,,,,DuendeSoftware/products,,,
52,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-04-01 12:17:27.000000,2025-04-01 12:17:14,2856.0,31.0,126.0,63.0,320.0,39.0,290.0,930.0,2025-03-18 11:59:27,5.6.1,41.0,172.0,172.0,48.0,,,130717.0,2.0,,17839.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,130548.0,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3506.0,750.0,77.0,2.0,382.0,15337.0,2024-10-04 12:56:15,0.2.2,5.0,92.0,92.0,31.0,,,1413.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162505.0,,,,,,,,,,,,
