,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,trending,helm_id,brew_id,gem_url,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-11-04 05:31:16.000000,2025-11-04 05:31:14,4431.0,176.0,2264.0,226.0,5004.0,240.0,2213.0,13652.0,2025-10-08 20:47:23,1.13.1,76.0,14194.0,14194.0,449.0,,,2873326.0,1.0,coredns/coredns,9302762.0,https://hub.docker.com/r/coredns/coredns,2025-10-08 20:48:53.393158,162.0,323495742.0,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-11-06 12:32:38.000000,2025-11-06 12:32:37,10150.0,403.0,2206.0,145.0,4286.0,149.0,3489.0,13292.0,2025-10-15 15:33:31,1.19.1,100.0,2206.0,2206.0,526.0,,,2298836.0,1.0,,91953476.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-11-06 15:24:28.276147,2025-11-06 14:42:37,5971.0,144.0,1453.0,130.0,5157.0,376.0,2456.0,10865.0,2025-11-05 09:23:17,1.10.1,100.0,6055.0,6055.0,547.0,,,5382086.0,1.0,openpolicyagent/opa,17865718.0,https://hub.docker.com/r/openpolicyagent/opa,2025-11-06 15:24:28.276147,45.0,606722001.0,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-11-05 04:20:08.000000,2025-11-05 04:20:07,1781.0,5.0,487.0,62.0,516.0,83.0,304.0,2932.0,2025-06-20 05:53:03,3.3.1,50.0,639913.0,639913.0,201.0,,,204652527.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,204652527.0,,,,,,,,,,
16,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-11-04 06:58:02.000000,2025-11-04 06:55:34,1627.0,60.0,500.0,57.0,281.0,121.0,404.0,5088.0,2025-10-14 06:27:46,1.6.5,46.0,46582.0,46582.0,133.0,,,45376414.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,45376414.0,authlib/authlib,,,,,,,,,
17,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-10-21 18:01:33.000000,2025-10-21 18:01:32,2071.0,15.0,2818.0,173.0,305.0,9.0,1200.0,20973.0,2025-08-05 20:40:18,0.0.95,15.0,8407.0,8407.0,96.0,,,320180.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,320180.0,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-11-04 14:19:12.000000,2025-11-04 12:29:19,1138.0,16.0,1689.0,234.0,573.0,16.0,854.0,19374.0,2025-11-04 12:30:59,2.132.0,100.0,3531.0,3531.0,159.0,https://www.npmjs.com/package/casbin,347329.0,1336699.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,989370.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-11-06 16:26:42.000000,2025-11-02 20:44:23,10557.0,10.0,1564.0,132.0,1408.0,129.0,1046.0,10736.0,2025-04-07 17:05:07,1.0.3,14.0,3923.0,3923.0,266.0,,,1077199.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1077199.0,,,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-11-06 02:31:19.000000,2025-11-05 23:02:21,22148.0,533.0,4359.0,779.0,25019.0,1165.0,5264.0,33424.0,2025-10-22 20:29:23,1.21.0,100.0,15150.0,15150.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-11-06 17:01:19.000000,2025-11-06 17:01:18,29525.0,711.0,7611.0,390.0,21759.0,2089.0,14077.0,30802.0,2025-10-23 06:59:32,26.4.2,92.0,,,1682.0,,,18841.0,1.0,quay.io/keycloak/keycloak,1111626.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,37.0,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1231.0,293.0,162.0,354.0,430.0,23456.0,,,,1315190.0,1315190.0,38.0,https://www.npmjs.com/package/passport,17564021.0,17564021.0,2.0,,,,,,,,,,,,,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13455.0,1558.0,243.0,774.0,598.0,55718.0,2018-04-02 17:18:43,1.2.2,2.0,5563.0,5563.0,54.0,,,194051.0,2.0,animcogn/face_recognition,1436.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,10072.0,face_recognition,https://pypi.org/project/face_recognition,193942.0,,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-11-06 12:52:34.000000,2025-11-06 12:52:33,4291.0,173.0,1484.0,233.0,1923.0,84.0,1484.0,16723.0,2025-01-17 08:51:44,2.3.0,100.0,,,315.0,,,3403328.0,2.0,oryd/hydra,456929.0,https://hub.docker.com/r/oryd/hydra,2025-10-15 14:44:34.818688,78.0,428186733.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
25,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],35,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-11-06 12:52:20.000000,2025-11-06 12:52:19,4881.0,133.0,1026.0,110.0,2235.0,156.0,1258.0,12500.0,2024-10-28 10:21:42,1.3.1,47.0,52.0,52.0,239.0,,,1276824.0,1.0,oryd/kratos,51931.0,https://hub.docker.com/r/oryd/kratos,2025-10-16 12:40:06.120895,21.0,114847540.0,,,,,,,3.0,https://k8s.ory.sh/helm/charts,,,,,
26,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-11-03 02:49:26.000000,2025-08-12 14:47:33,1669.0,1.0,287.0,38.0,478.0,19.0,482.0,6620.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101489.0,101489.0,73.0,https://www.npmjs.com/package/@casl/ability,3464193.0,3464193.0,2.0,,,,,,,,,,,,,-1.0,,,,,,
27,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-11-06 13:54:57.327269,2025-11-06 13:28:51,2995.0,131.0,1444.0,78.0,2156.0,82.0,1850.0,12554.0,2025-11-06 13:47:11,2.126.0,100.0,12.0,12.0,256.0,,,13363.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-11-06 13:54:57.327269,22.0,815177.0,,,,,,,,,,,,,
28,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,9.0,1934.0,185.0,1907.0,255.0,1756.0,12332.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,159.0,,,670451.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,670451.0,,,,,,,,,,
29,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-11-06 16:30:59.000000,2025-11-05 12:35:18,30289.0,1152.0,3925.0,590.0,6583.0,,,11360.0,2025-10-20 03:46:58,7.2.7,100.0,21.0,21.0,368.0,,,7902.0,2.0,apereo/cas,1246.0,https://hub.docker.com/r/apereo/cas,2025-11-06 01:12:19.104984,131.0,1338874.0,,,,,,,,,,,,,
30,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-11-05 17:04:01.000000,2025-11-05 14:31:37,7426.0,114.0,531.0,74.0,4774.0,119.0,1521.0,2106.0,2025-10-23 13:05:05,1.13.3,100.0,193.0,193.0,233.0,,,13481.0,2.0,ghcr.io/spiffe/spire-server,822371.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
31,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,34,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,417.0,27.0,555.0,91.0,362.0,595.0,2025-10-07 20:02:21,7.5.4,55.0,2123.0,2123.0,181.0,,,1811718.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1811718.0,,,,,,,,,,
32,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-11-06 15:04:48.000000,2025-11-06 15:02:17,8401.0,552.0,1294.0,157.0,8424.0,62.0,1330.0,25740.0,2025-10-12 05:45:48,4.39.13,100.0,,,258.0,,,830.0,2.0,,49800.0,,,,,,,,,,,,,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-11-05 17:07:54.000000,2025-11-02 22:32:07,5254.0,240.0,342.0,48.0,2067.0,96.0,443.0,6177.0,2025-10-24 16:23:54,1.46.2,100.0,131.0,131.0,70.0,,,117544.0,2.0,authzed/spicedb,176338.0,https://hub.docker.com/r/authzed/spicedb,2025-10-27 19:47:57.620439,7.0,5790401.0,,,,,,,,,,,,,
34,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-11-06 15:40:34.000000,2025-11-05 22:47:46,3995.0,115.0,314.0,41.0,4787.0,98.0,968.0,4525.0,2025-10-24 16:32:30,0.30.7,100.0,22.0,22.0,99.0,,,19671581.0,2.0,pomerium/pomerium,55612.0,https://hub.docker.com/r/pomerium/pomerium,2025-11-06 00:12:19.637943,13.0,1612998493.0,,,,,,,,,,,,,
35,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-11-04 16:28:50.000000,2025-11-04 11:27:32,2724.0,25.0,766.0,66.0,266.0,,,3590.0,2025-10-24 08:28:38,9.5.2,100.0,1904.0,1904.0,76.0,https://www.npmjs.com/package/oidc-provider,769427.0,769427.0,2.0,,,,,,,,,,,,,,,,,,,
36,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-11-05 02:27:44.000000,2025-11-05 02:27:44,17376.0,614.0,925.0,108.0,8913.0,1372.0,15791.0,865.0,2025-10-24 04:51:27,7.2.0,100.0,,,729.0,,,14676.0,2.0,wso2/wso2is,19688.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1987454.0,,,,,,,,,,,,,
37,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,11151.0,676.0,334.0,,,90445.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,1168256.0,2.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,1168256.0,,,,,,,,,,
38,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-09-27 16:27:11.000000,2025-09-27 16:27:10,2372.0,2.0,5744.0,507.0,199.0,1199.0,1394.0,26956.0,2023-04-02 07:43:27,0.7,1.0,4806.0,4806.0,67.0,,,342215.0,2.0,animcogn/insightface,10608609.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,211.0,,,,,,,-1.0,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-11-06 18:14:36.000000,2025-11-06 16:47:21,19544.0,1206.0,1349.0,69.0,13879.0,745.0,2828.0,18703.0,2025-11-03 16:49:16,ersion/2025.10.1,100.0,,,448.0,,,160.0,2.0,,4661.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-11-06 16:05:07.000000,2025-11-06 03:01:51,7882.0,221.0,622.0,48.0,7074.0,160.0,565.0,10995.0,2025-10-31 06:54:33,1.33.0,76.0,30.0,30.0,79.0,,,6065.0,2.0,svhd/logto,6598.0,https://hub.docker.com/r/svhd/logto,2025-11-06 03:12:13.606717,5.0,313341.0,,,,,,,,,,,,,
41,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-11-06 12:54:51.000000,2025-11-06 12:52:12,1772.0,104.0,369.0,53.0,1365.0,35.0,293.0,5172.0,2025-03-06 12:24:46,0.14.0,53.0,39.0,39.0,81.0,,,558291.0,2.0,oryd/keto,37249.0,https://hub.docker.com/r/oryd/keto,2025-10-15 12:37:47.231311,9.0,51322064.0,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-11-06 18:02:12.000000,2025-11-06 16:28:44,4892.0,169.0,292.0,194.0,5828.0,107.0,281.0,3975.0,2025-11-03 18:46:15,0.20.1,72.0,11.0,11.0,197.0,,,303046.0,2.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-11-03 18:53:47.754438,18.0,21213259.0,,,,,,,,,,,,,
43,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-11-06 12:52:54.000000,2025-11-06 12:52:53,1564.0,92.0,374.0,47.0,764.0,62.0,300.0,3507.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,119.0,,,922674.0,2.0,oryd/oathkeeper,36748.0,https://hub.docker.com/r/oryd/oathkeeper,2025-10-15 10:27:43.779599,43.0,90384642.0,,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-11-06 17:36:54.000000,2025-11-06 09:57:42,4077.0,229.0,846.0,55.0,6862.0,815.0,2417.0,12127.0,2025-11-05 15:57:00,4.6.4,100.0,1.0,1.0,228.0,,,1436.0,3.0,ghcr.io/zitadel/zitadel,11495.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
45,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-11-06 04:01:43.000000,2025-11-03 12:52:37,3550.0,155.0,1747.0,170.0,2921.0,333.0,857.0,10345.0,2025-09-01 13:23:20,2.44.0,92.0,177.0,177.0,280.0,,,2.0,2.0,quay.io/dexidp/dex,358.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-11-01 20:03:28.000000,2025-10-02 07:52:09,2959.0,19.0,130.0,58.0,327.0,36.0,319.0,1014.0,2025-09-03 07:38:43,5.8.0,45.0,196.0,196.0,48.0,,,182854.0,2.0,,31689.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,182572.0,,,,,,,,,,
47,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-11-04 01:36:36.000000,2025-11-03 02:52:53,672.0,18.0,70.0,37.0,232.0,6.0,86.0,364.0,2025-08-25 22:29:37,8.0.18,100.0,6039.0,6039.0,42.0,https://www.npmjs.com/package/did-jwt,318448.0,318448.0,1.0,,,,,,,,,,,,,,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-11-06 18:26:00.000000,2025-11-06 18:25:58,7175.0,91.0,612.0,132.0,5209.0,171.0,3070.0,5582.0,2025-11-04 01:22:55,0.20251103.0,100.0,,,143.0,,,17209.0,2.0,letsencrypt/boulder-tools,37124.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-10-07 19:11:39.538310,13.0,2033494.0,,,,,,,,,,,,,
49,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-11-03 18:17:20.000000,2025-11-02 00:53:16,9720.0,3.0,562.0,52.0,7293.0,,1780.0,4572.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,188.0,188.0,318.0,,,352.0,3.0,,14817.0,,,,,,,,,,,1.0,,build-trust/ockam/ockam,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-11-05 21:37:46.000000,2025-11-05 21:37:45,2531.0,77.0,270.0,19.0,2644.0,219.0,885.0,4189.0,2025-10-13 01:43:03,1.7.4,45.0,42.0,42.0,134.0,,,8249.0,3.0,kanidm/server,420.0,https://hub.docker.com/r/kanidm/server,2025-10-31 05:30:25.959939,4.0,667834.0,,,,,,,,,,,,,
51,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-11-06 11:02:53.000000,2025-11-06 11:02:53,2178.0,97.0,165.0,31.0,2317.0,47.0,354.0,4119.0,2025-10-28 08:42:42,0.47.0,71.0,33.0,33.0,33.0,,,1114.0,3.0,ghcr.io/cerbos/cerbos,62433.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-11-06 16:34:24.000000,2025-11-06 16:34:24,7788.0,256.0,386.0,36.0,1409.0,4.0,320.0,1574.0,2025-09-17 16:58:52,is-7.3.2,98.0,2982.0,2982.0,338.0,,,,2.0,,,,,,,,,,DuendeSoftware/products,,,,,,,,,
53,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],29,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-11-06 18:02:23.000000,2025-11-06 11:39:59,35378.0,202.0,151.0,29.0,7282.0,406.0,4760.0,592.0,2025-10-14 13:41:20,1.13.0,100.0,8.0,8.0,138.0,,,472.0,3.0,,11801.0,,,,,,,,,,,1.0,,,,,,
