,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,updated_github_id,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-05-01 12:01:11.000000,2024-04-26 19:08:47,3891.0,59.0,1966.0,239.0,4229.0,132.0,2134.0,11963.0,2024-05-01 12:01:11,1.11.3,68.0,6015.0,6015.0,387.0,,,2894466.0,1.0,coredns/coredns,7329294.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,152.0,275850470.0,1.0,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-05-02 12:40:39.000000,2024-05-02 12:40:39,8726.0,272.0,1963.0,148.0,3453.0,176.0,3113.0,11488.0,2024-04-25 11:37:03,1.14.5,100.0,1008.0,1008.0,449.0,,,2229078.0,1.0,,80246831.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-05-02 06:26:13.000000,2024-04-30 20:29:23,5061.0,88.0,1248.0,125.0,4192.0,344.0,2172.0,9187.0,2024-04-26 18:43:55,0.64.1,100.0,3845.0,3845.0,455.0,,,5517285.0,1.0,openpolicyagent/opa,6786098.0,https://hub.docker.com/r/openpolicyagent/opa,2024-04-30 21:05:40.207253,42.0,544784159.0,1.0,,,,,,,,,,,
15,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-05-02 14:32:56.000000,2024-05-02 11:42:13,9802.0,158.0,1264.0,127.0,1192.0,81.0,945.0,7903.0,2024-02-26 20:54:49,1.0.0,11.0,1802.0,1802.0,234.0,,,3617192.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,3617192.0,,,,,,,,
16,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-05-02 18:16:15.000000,2024-05-02 18:10:08,24860.0,913.0,6133.0,374.0,15356.0,1770.0,7983.0,19953.0,2024-04-16 17:20:28,24.0.3,55.0,,,1389.0,,,66480.0,1.0,quay.io/keycloak/keycloak,2725709.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,,466.0,67.0,496.0,80.0,293.0,2744.0,2023-01-10 13:13:43,3.2.2,48.0,520964.0,520964.0,195.0,,,113251512.0,1.0,,,,,,,-1.0,oauthlib,https://pypi.org/project/oauthlib,113251512.0,,,,,,,,
18,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,37,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-05-02 09:05:07.000000,2024-05-02 09:05:07,1439.0,241.0,1787.0,134.0,193.0,3.0,1026.0,10085.0,2024-05-02 07:29:37,0.0.91,11.0,3024.0,3024.0,61.0,,,62330.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,62330.0,,,,,,,,
19,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-04-23 08:31:42.000000,2024-04-08 13:03:35,1391.0,16.0,411.0,60.0,199.0,81.0,351.0,4276.0,2023-12-17 12:54:58,1.3.0,33.0,32463.0,32463.0,113.0,,,8950289.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,8950289.0,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-05-02 18:08:29.000000,2024-05-02 17:45:33,19548.0,594.0,3964.0,825.0,20648.0,1018.0,4966.0,29692.0,2024-04-30 14:28:14,1.15.8+ent,100.0,7131.0,7131.0,1480.0,,,,1.0,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,,1203.0,307.0,157.0,339.0,428.0,22456.0,,,,1047355.0,1047355.0,38.0,https://www.npmjs.com/package/passport,10544130.0,10544130.0,2.0,,,,,,,-1.0,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-04-26 14:34:44.000000,2024-04-26 14:34:44,3814.0,36.0,1349.0,233.0,1770.0,81.0,1409.0,15176.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,292.0,,,3871155.0,2.0,oryd/hydra,765069.0,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,416968251.0,-1.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-05-02 17:04:30.000000,2024-05-02 17:04:29,4225.0,119.0,903.0,113.0,1913.0,183.0,1075.0,10608.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,223.0,,,1572177.0,1.0,oryd/kratos,39291.0,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,113142406.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
24,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-04-29 10:14:34.000000,2024-04-29 10:10:46,1093.0,10.0,1583.0,230.0,495.0,44.0,751.0,16892.0,2024-04-29 10:11:58,2.88.0,100.0,2979.0,2979.0,144.0,https://www.npmjs.com/package/casbin,192794.0,315131.0,1.0,,,,,,,1.0,casbin,https://pypi.org/project/casbin,122337.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-04-30 07:04:49.000000,2024-04-30 07:01:28,1569.0,33.0,252.0,40.0,396.0,14.0,441.0,5605.0,2024-03-27 10:22:02,@casl/mongoose@7.3.1,100.0,71318.0,71318.0,68.0,https://www.npmjs.com/package/@casl/ability,2304155.0,2304155.0,1.0,,,,,,,,,,,,,,,,,,
26,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-05-02 17:32:13.000000,2024-05-02 13:09:25,8410.0,523.0,555.0,58.0,6073.0,315.0,1439.0,4352.0,2024-04-23 23:00:30,ockam_v0.122.0,100.0,183.0,183.0,310.0,,,12413.0,2.0,,359987.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
27,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3555.0,338.0,109.0,433.0,390.0,16109.0,2020-03-22 14:01:55,0.22.2,38.0,9019.0,9019.0,25.0,https://www.npmjs.com/package/face-api.js,103319.0,103319.0,2.0,,,,,,,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-05-02 17:41:56.853717,2024-04-27 07:17:50,25100.0,409.0,3847.0,604.0,4686.0,,,10782.0,2024-04-26 13:09:39,7.0.4,100.0,21.0,21.0,347.0,,,6253.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2024-05-02 17:41:56.853717,129.0,950580.0,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-05-02 17:45:47.000000,2024-05-02 16:50:16,3774.0,276.0,242.0,39.0,1416.0,96.0,334.0,4547.0,2024-04-16 12:48:56,1.31.0,71.0,54.0,54.0,44.0,,,71515.0,2.0,authzed/spicedb,59697.0,https://hub.docker.com/r/authzed/spicedb,2024-04-16 19:40:23.945877,7.0,2298452.0,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-05-02 17:56:06.328820,2024-05-02 17:31:48,3427.0,102.0,276.0,38.0,4072.0,84.0,890.0,3862.0,2024-04-05 20:18:47,0.25.2,100.0,18.0,18.0,91.0,,,22493886.0,2.0,pomerium/pomerium,55666.0,https://hub.docker.com/r/pomerium/pomerium,2024-05-02 17:56:06.328820,10.0,1439540248.0,,,,,,,,,,,,
31,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-04-16 08:38:52.000000,2024-03-04 02:55:39,4740.0,3.0,1767.0,183.0,1696.0,488.0,1364.0,10171.0,2023-04-14 09:36:52,r1.4.1,15.0,100.0,100.0,136.0,,,268461.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,268461.0,,,,,,,,
32,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-05-02 16:24:37.000000,2024-05-01 22:44:40,6578.0,170.0,443.0,77.0,3723.0,156.0,1236.0,1675.0,2024-04-06 00:05:44,1.9.4,100.0,143.0,143.0,187.0,,,3232.0,2.0,ghcr.io/spiffe/spire-server,242467.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
33,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-05-02 16:47:33.000000,2024-05-02 16:47:33,13053.0,592.0,699.0,118.0,6796.0,4104.0,9279.0,749.0,2024-03-04 08:48:32,7.0.0,100.0,,,699.0,,,16079.0,2.0,wso2/wso2is,11224.0,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1911779.0,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-04-24 15:14:06.000000,2024-04-24 15:14:06,3605.0,2.0,393.0,31.0,526.0,77.0,357.0,540.0,2024-01-30 11:50:06,7.5.0,51.0,1728.0,1728.0,174.0,,,630280.0,2.0,,,,,,,-1.0,pysaml2,https://pypi.org/project/pysaml2,630280.0,,,,,,,,
35,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,31,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,13042.0,1567.0,227.0,733.0,584.0,51836.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,250910.0,2.0,animcogn/face_recognition,1230.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7716.0,-1.0,face_recognition,https://pypi.org/project/face_recognition,250807.0,,,,,,,,
36,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2024-05-02 03:32:08.000000,2024-05-02 03:32:08,2286.0,3.0,5097.0,501.0,155.0,1049.0,1356.0,21326.0,2023-04-02 07:43:27,0.7,1.0,2050.0,2050.0,59.0,,,229382.0,2.0,animcogn/insightface,2981956.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,1.0,,,,,,,,,,,
37,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,31,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-05-02 12:00:40.000000,2024-05-02 11:42:47,5733.0,499.0,1024.0,158.0,5558.0,61.0,1160.0,19611.0,2024-04-15 03:51:44,4.38.8,100.0,,,161.0,,,739.0,2.0,,36995.0,,,,,,,,,,,,,,,,
38,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-05-01 04:39:27.000000,2024-04-15 17:11:09,2836.0,123.0,1534.0,173.0,2158.0,296.0,813.0,9042.0,2024-04-09 11:55:18,2.39.1,83.0,158.0,158.0,239.0,,,3.0,2.0,quay.io/dexidp/dex,312.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
39,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,31,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-05-02 12:33:36.000000,2024-05-01 10:04:50,2422.0,181.0,1014.0,63.0,1468.0,98.0,1211.0,8664.0,2024-05-01 10:14:00,1.606.0,100.0,3.0,3.0,175.0,,,4270.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2024-05-01 10:19:23.254704,13.0,183613.0,,,,,,,,,,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-05-02 16:19:13.000000,2024-05-02 16:07:18,4148.0,229.0,272.0,201.0,4413.0,92.0,253.0,3799.0,2024-04-30 17:15:47,0.16.0,56.0,8.0,8.0,160.0,,,271202.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-04-30 17:17:53.705870,14.0,14102550.0,,,,,,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-05-02 04:29:15.000000,2024-05-01 15:49:30,6099.0,461.0,336.0,40.0,5368.0,85.0,295.0,7254.0,2024-04-10 14:00:25,1.15.0,56.0,12.0,12.0,53.0,,,2146.0,2.0,svhd/logto,3199.0,https://hub.docker.com/r/svhd/logto,2024-05-01 16:05:58.256575,2.0,70678.0,,,,,,,,,,,,
42,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-05-01 21:00:54.000000,2024-04-24 10:43:31,2415.0,24.0,1009.0,108.0,833.0,29.0,838.0,5253.0,2024-04-24 10:44:56,5.7.0,66.0,8679.0,8679.0,322.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
43,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-03-28 21:00:00.000000,2024-03-28 20:56:35,462.0,22.0,155.0,37.0,117.0,5.0,89.0,798.0,2024-03-28 21:00:33,2.1.0,26.0,1039.0,1039.0,27.0,,,106078.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,106078.0,,,,,,,,
44,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-04-29 07:21:09.000000,2024-04-26 16:39:46,1821.0,34.0,12764.0,1527.0,520.0,18.0,829.0,49276.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4882.0,3.0,,307601.0,,,,,,,,,,,,,,,,
45,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-04-30 10:44:39.000000,2024-04-30 10:44:38,1513.0,12.0,330.0,57.0,1128.0,36.0,276.0,4624.0,,,52.0,30.0,30.0,72.0,,,689821.0,2.0,oryd/keto,21648.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51022530.0,,,,,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-05-02 10:12:23.000000,2024-04-15 08:14:09,1363.0,9.0,331.0,47.0,723.0,53.0,280.0,3206.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,111.0,,,1104728.0,3.0,oryd/oathkeeper,37312.0,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,88340059.0,,,,,,,,,,,,
47,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-04-30 17:23:49.835167,2024-04-30 17:12:40,3113.0,77.0,292.0,77.0,854.0,285.0,628.0,1770.0,2024-04-30 17:30:03,5.7.11,55.0,3.0,3.0,87.0,https://www.npmjs.com/package/solid-server,889.0,9547.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004344.0,,,,,,,,,,,,
48,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-04-30 10:40:31.000000,2024-04-29 13:26:45,2706.0,41.0,119.0,60.0,310.0,31.0,256.0,814.0,2024-03-27 08:06:51,5.4.0,37.0,135.0,135.0,46.0,,,91023.0,2.0,,9937.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,90918.0,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-05-02 16:47:15.000000,2024-03-25 23:02:49,622.0,8.0,64.0,40.0,216.0,5.0,85.0,321.0,2024-03-25 23:03:17,8.0.4,100.0,4768.0,4768.0,41.0,https://www.npmjs.com/package/did-jwt,188746.0,188746.0,1.0,,,,,,,,,,,,,,,,,,
50,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9447.0,1125.0,131.0,540.0,801.0,45522.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3584.0,3.0,,179208.0,,,,,,,,,,,,,,,,
51,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3500.0,760.0,74.0,10.0,371.0,15078.0,2016-02-25 17:42:46,0.2.1,4.0,73.0,73.0,30.0,,,1553.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161571.0,,,,,,,,,,,,
52,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-05-02 15:55:40.000000,2024-05-02 13:21:03,3047.0,213.0,423.0,39.0,5206.0,485.0,1637.0,7107.0,2024-05-02 13:59:06,2.51.1,100.0,,,106.0,,,533.0,3.0,ghcr.io/zitadel/zitadel,2134.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,
53,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-05-01 21:31:57.000000,2024-05-01 20:57:32,6541.0,99.0,563.0,137.0,4492.0,199.0,2754.0,4994.0,2024-04-30 16:42:47,release-2024-04-30,100.0,,,132.0,,,20458.0,2.0,letsencrypt/boulder-tools,65564.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-04-04 15:03:09.460634,13.0,1975119.0,,,,,,,,,,,,
54,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,28,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-03-13 15:25:23.000000,2024-01-13 04:41:13,1213.0,,169.0,30.0,1526.0,108.0,101.0,3408.0,2024-01-13 04:08:30,0.27.3,100.0,83.0,83.0,67.0,,,33520.0,3.0,,2720.0,,,,,,oso,https://pypi.org/project/oso,33451.0,,,,,,,,
