,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,new_addition,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
76,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-04-13 20:24:31.000000,2023-04-13 20:24:25,543.0,14.0,6.0,40.0,59.0,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,9.0,14,False,54.0,7.0,5.0,10.0,,32.0,0.0,3.0,,17.0,32.0,,,,,,,,,,,,,,,,,,,
77,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,44.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3.0,,,14.0,,,,,,,,,,,,,,,,,,,
78,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,Apache-2.0,2021-10-26 18:13:46,2023-04-17 15:18:25.726588,2023-04-10 16:31:01,334.0,10.0,1.0,68.0,14.0,web-wallet @ walt.id.,15.0,14,False,27.0,10.0,41.0,9.0,2023-01-23 16:08:26,,47.0,3.0,0.6.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-04-17 15:18:25.726588,858.0,,,,,,,,,,,,,,,
79,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-04-20 12:50:08.000000,2023-04-13 12:29:04,233.0,2.0,2.0,16.0,12.0,OIDC identity provider for SSI & NFTs.,8.0,14,False,63.0,2.0,31.0,11.0,2023-04-13 12:38:53,,41.0,3.0,1.2304131229.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-04-13 12:34:27.595284,534.0,,,,,,,,,,,,,,,
80,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-04-13 14:46:39.000000,2023-02-17 20:49:03,822.0,7.0,6.0,95.0,20.0,A Typescript implementation of the DIF Presentation Exchange specification.,12.0,13,False,7.0,4.0,12.0,23.0,2023-02-17 20:56:06,42.0,2.0,3.0,1.1.6,47.0,42.0,,,,,,,,,,,,,,,,,,,
81,mobile-sdk,evernym/mobile-sdk,evernym-ssi,,decentralized,https://github.com/evernym/mobile-sdk,https://github.com/evernym/mobile-sdk,Apache-2.0,2020-01-14 21:16:21,2023-03-29 23:11:17.000000,2023-03-29 23:11:14,598.0,5.0,62.0,81.0,15.0,Evernyms SDK for building mobile identity agents. This is a read-only mirror. Contributions are welcomed at..,25.0,13,False,4.0,,,100.0,2021-03-22 11:09:10,,5.0,3.0,1.4.1,198.0,,,,,,,,,,,,,,,,,,,,
82,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-04-21 13:52:51.000000,2023-04-21 07:28:50,252.0,4.0,5.0,56.0,22.0,SDK to work with Polygon ID.,10.0,12,False,138.0,4.0,2.0,5.0,2023-04-07 12:33:13,5.0,,3.0,1.0.0-beta.5,,5.0,,,,,,,,,,,,,,,,,,,
83,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,9.0,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,12,False,3.0,3.0,,,,24.0,,3.0,,,24.0,,,,,,,,,,,,,,,,,,,
84,beyond,cogolabs/beyond,,,machine,https://github.com/cogolabs/beyond,https://github.com/cogolabs/beyond,,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,25.0,9.0,2.0,228.0,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,5.0,11,False,,4.0,1.0,4.0,2022-05-26 15:15:14,,259.0,3.0,1.8.10,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,17621.0,,,,,,,,,,,,,,,
85,credible,spruceid/credible,spruceid,,decentralized,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,35.0,A reference credential wallet built on Flutter and DIDKit.,11.0,11,False,,10.0,24.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
86,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,6.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,9,False,9.0,1.0,6.0,1.0,2023-02-06 15:38:55,,,3.0,1.2302061536.0,,,,,,,,,,,,,,,,,,,,,
87,ssi-mobile-wallet,sphereon-opensource/ssi-mobile-wallet,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-04-21 18:42:59.000000,2023-04-21 18:42:53,468.0,,3.0,73.0,11.0,Open-Source Mobile SSI Wallet.,6.0,8,False,308.0,3.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
88,connectme,evernym/connectme,evernym-ssi,,decentralized,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,2.0,4.0,,2.0,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,6,False,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
89,cfssl,cloudfare/cfssl,,,pki,,{},,,2023-04-19 16:11:58.448706,,,,,,23.0,CloudFlares PKI toolkit.,,2,False,,,,,,,,3.0,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2023-04-19 16:11:58.448706,3937362.0,,,23.0,,,,,,,,,,,,
90,ion,,,,others,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
91,decentralized-web-node,decentralized-identity/decentralize-web-node,,,standards,,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,"['dif', 'web5']",True,,,,,,,,,,,,,
92,didcomm-messaging,decentralized-identity/didcomm-messagging,,,standards,,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,['dif'],True,,,,,,,,,,,,,
