,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,pypi_id,pypi_url,pypi_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
13,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,42,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-06-19 15:51:51.000000,2025-06-19 15:51:30,1762.0,58.0,477.0,64.0,507.0,82.0,299.0,2889.0,2025-06-17 23:20:47,3.3.0,49.0,635891.0,635891.0,199.0,,,153661068.0,1.0,,oauthlib,https://pypi.org/project/oauthlib,153661068.0,4.0,,,,,,,,,,,,,,
14,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-06-18 18:58:10.000000,2025-06-18 18:58:08,4214.0,139.0,2178.0,233.0,4758.0,233.0,2191.0,13252.0,2025-06-06 11:42:00,1.12.2,72.0,13757.0,13757.0,432.0,,,2948027.0,1.0,8831106.0,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-06-06 11:43:43.926071,161.0,317895342.0,,,,,,,,,
15,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-06-19 17:01:49.780402,2025-06-19 16:18:10,5737.0,183.0,1407.0,134.0,4906.0,376.0,2396.0,10398.0,2025-06-04 09:21:58,1.5.1,100.0,5566.0,5566.0,521.0,,,5526733.0,1.0,15186714.0,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-06-19 17:01:49.780402,44.0,601665914.0,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-06-18 02:07:31.000000,2025-06-10 13:24:15,10538.0,64.0,1484.0,133.0,1385.0,118.0,1037.0,10003.0,2025-04-07 17:05:07,1.0.3,14.0,3798.0,3798.0,262.0,,,912816.0,1.0,,speechbrain,https://pypi.org/project/speechbrain,912816.0,,,,,,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-06-13 08:34:59.000000,2025-06-13 08:34:10,1547.0,70.0,479.0,60.0,254.0,105.0,390.0,4868.0,2025-05-23 06:59:27,1.6.0,41.0,44685.0,44685.0,129.0,,,30783862.0,1.0,,authlib,https://pypi.org/project/authlib,30783862.0,,,,,,,authlib/authlib,,,,,,,,
18,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-06-18 13:44:53.000000,2025-06-18 13:44:53,2000.0,35.0,2594.0,178.0,285.0,6.0,1182.0,19406.0,2024-08-17 07:30:49,0.0.93,13.0,8261.0,8261.0,90.0,,,637034.0,1.0,,deepface,https://pypi.org/project/deepface,637034.0,,,,,,,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-06-19 18:17:50.000000,2025-06-19 17:54:53,21410.0,478.0,4269.0,796.0,24506.0,1112.0,5223.0,32612.0,2025-05-29 22:59:58,1.19.5,100.0,14721.0,14721.0,1593.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,37,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-06-07 08:56:45.000000,2025-06-07 08:53:33,1113.0,3.0,1670.0,241.0,525.0,43.0,797.0,18769.0,2025-06-07 08:54:49,2.107.0,100.0,3449.0,3449.0,153.0,https://www.npmjs.com/package/casbin,299348.0,523588.0,1.0,,casbin,https://pypi.org/project/casbin,224240.0,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1223.0,300.0,162.0,351.0,430.0,23333.0,,,,1309516.0,1309516.0,38.0,https://www.npmjs.com/package/passport,15707684.0,15707684.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-06-18 15:22:13.000000,2025-06-18 15:22:12,4061.0,45.0,1445.0,239.0,1908.0,78.0,1478.0,16354.0,2025-01-17 08:51:44,2.3.0,100.0,,,308.0,,,3542678.0,2.0,943415.0,,,,1.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,427336905.0,,,,https://k8s.ory.sh/helm/charts,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13368.0,1567.0,241.0,773.0,594.0,54946.0,2018-04-02 17:18:43,1.2.2,2.0,5512.0,5512.0,54.0,,,217129.0,2.0,1417.0,face_recognition,https://pypi.org/project/face_recognition,217020.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9467.0,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-06-10 07:59:28.000000,2025-06-10 07:59:28,4885.0,25.0,1907.0,188.0,1892.0,455.0,1522.0,12002.0,2025-03-05 07:11:35,r1.5.0,17.0,159.0,159.0,157.0,,,400944.0,2.0,,paddlepaddle,https://pypi.org/project/paddlepaddle,400944.0,,,,,,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-06-18 13:08:47.913495,2025-06-18 12:46:53,2793.0,78.0,1345.0,78.0,1884.0,114.0,1610.0,11768.0,2025-06-18 13:01:48,1.941.0,100.0,11.0,11.0,228.0,,,10976.0,1.0,,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-06-18 13:08:47.913495,19.0,614693.0,,,,,,,,,
26,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-06-19 16:57:55.000000,2025-06-19 16:38:38,28367.0,1254.0,3909.0,596.0,5770.0,,,11256.0,2025-05-30 08:52:19,7.2.3,100.0,21.0,21.0,362.0,,,7380.0,1.0,,,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-06-19 01:32:42.460808,131.0,1217831.0,,,,,,,,,
27,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,34,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-06-16 11:01:09.000000,2025-04-16 03:36:29,1661.0,2.0,281.0,40.0,470.0,19.0,473.0,6429.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,100959.0,100959.0,72.0,https://www.npmjs.com/package/@casl/ability,3190100.0,3190100.0,2.0,,,,,6.0,,,,,,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-06-19 18:19:37.000000,2025-06-18 18:11:22,9642.0,382.0,554.0,57.0,7187.0,,1780.0,4538.0,2025-06-17 21:21:46,ockam_v0.154.0,100.0,188.0,188.0,318.0,,,10591.0,2.0,402473.0,,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-06-16 05:23:39.000000,2025-06-16 05:23:39,2367.0,10.0,5558.0,513.0,196.0,1182.0,1391.0,25524.0,2023-04-02 07:43:27,0.7,1.0,4638.0,4638.0,66.0,,,329199.0,2.0,8559141.0,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,192.0,,,,,,,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-06-19 17:45:22.000000,2025-06-19 17:42:55,4923.0,333.0,318.0,50.0,1874.0,99.0,414.0,5784.0,2025-06-16 19:43:23,1.44.4,98.0,115.0,115.0,60.0,,,108243.0,2.0,172567.0,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-06-16 19:49:10.837268,7.0,4802845.0,,,,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-06-19 00:16:03.000000,2025-06-17 16:36:50,3784.0,84.0,301.0,42.0,4545.0,102.0,953.0,4318.0,2025-05-22 16:13:27,0.29.4,100.0,22.0,22.0,95.0,,,20945342.0,2.0,68564.0,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-06-17 17:51:37.627563,12.0,1612704838.0,,,,,,,,,
32,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-06-19 10:37:59.000000,2025-06-19 10:37:54,2666.0,110.0,760.0,69.0,259.0,,,3439.0,2025-06-02 08:27:05,9.1.3,100.0,1798.0,1798.0,74.0,https://www.npmjs.com/package/oidc-provider,467043.0,467043.0,2.0,,,,,,,,,,,,,,,,,,,
33,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-06-19 16:45:45.000000,2025-06-19 16:14:03,7240.0,123.0,499.0,78.0,4540.0,144.0,1456.0,1974.0,2025-06-17 21:39:13,1.12.3,100.0,168.0,168.0,217.0,,,9685.0,2.0,639271.0,,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-19 04:53:23.000000,2025-02-10 21:50:06,3612.0,,414.0,29.0,547.0,90.0,358.0,586.0,2025-02-10 21:52:03,7.5.2,53.0,2055.0,2055.0,175.0,,,1436397.0,2.0,,pysaml2,https://pypi.org/project/pysaml2,1436397.0,,,,,,,,,,,,,,,
35,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-06-17 19:13:52.000000,2025-06-17 13:41:30,7560.0,453.0,1225.0,164.0,7549.0,55.0,1293.0,24180.0,2025-05-25 02:27:28,4.39.4,100.0,,,232.0,,,936.0,2.0,57154.0,,,,,,,,,,,,,,,,,,
36,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-06-18 15:47:44.000000,2025-06-18 15:47:42,4699.0,91.0,988.0,114.0,2210.0,154.0,1240.0,12030.0,2024-10-28 10:21:42,1.3.1,47.0,,,235.0,,,1346097.0,2.0,52413.0,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114349818.0,,,,https://k8s.ory.sh/helm/charts,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-06-19 17:38:37.000000,2025-06-19 17:38:37,16254.0,673.0,752.0,114.0,8266.0,1242.0,14730.0,812.0,2025-02-28 19:19:04,7.1.0,100.0,,,719.0,,,15037.0,2.0,17263.0,,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1967810.0,,,,,,,,,
38,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-06-19 18:20:05.000000,2025-06-19 18:11:55,17735.0,1014.0,1174.0,69.0,11544.0,650.0,2464.0,16616.0,2025-06-16 17:54:39,ersion/2025.6.2,100.0,,,385.0,,,219.0,2.0,6363.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
39,logto,https://github.com/logto-io/logto,idp,"Auth infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-06-19 14:52:53.000000,2025-06-19 07:43:02,7495.0,249.0,551.0,50.0,6687.0,133.0,521.0,10302.0,2025-05-26 13:25:04,1.28.0,71.0,25.0,25.0,75.0,,,5720.0,2.0,5700.0,,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-06-19 07:49:58.853818,5.0,267366.0,,,,,,,,,
40,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-06-19 04:06:09.000000,2025-06-18 22:07:46,3344.0,131.0,1686.0,176.0,2744.0,319.0,847.0,9951.0,2025-05-22 09:03:17,2.43.1,91.0,171.0,171.0,272.0,,,3.0,2.0,357.0,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,
41,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-06-18 15:07:53.000000,2025-06-18 15:07:52,1620.0,19.0,358.0,56.0,1326.0,34.0,291.0,5054.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,75.0,,,589468.0,2.0,29570.0,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51251241.0,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-06-19 18:29:15.000000,2025-06-19 11:55:12,4674.0,79.0,284.0,200.0,5472.0,108.0,275.0,3948.0,2025-05-08 17:05:22,0.19.2,69.0,11.0,11.0,183.0,,,301869.0,3.0,,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-05-08 17:14:37.402104,18.0,19621527.0,,,,,,,,,
43,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-06-17 10:16:10.000000,2025-06-17 10:15:26,1440.0,11.0,355.0,50.0,759.0,63.0,295.0,3412.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,113.0,,,969641.0,3.0,52993.0,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90122496.0,,,,,,,,,
44,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-05-13 18:22:39.000000,2025-05-13 18:22:31,158.0,4.0,9986.0,653.0,304.0,,,83549.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,74.0,,,719014.0,3.0,,openai-whisper,https://pypi.org/project/openai-whisper,719014.0,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-06-19 11:05:43.000000,2025-06-19 09:56:16,2919.0,65.0,131.0,62.0,321.0,35.0,305.0,952.0,2025-06-09 16:31:27,5.7.2,44.0,184.0,184.0,48.0,,,109738.0,2.0,23214.0,yubikey-manager,https://pypi.org/project/yubikey-manager,109522.0,,,,,,,,,,,,,,,
46,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-06-19 14:17:09.000000,2025-06-19 09:42:44,3746.0,126.0,736.0,58.0,6342.0,726.0,2178.0,10887.0,2025-06-12 06:54:48,3.3.0,100.0,,,195.0,,,1696.0,3.0,8480.0,,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,
47,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-06-09 12:25:18.000000,2025-06-09 12:25:18,2507.0,8.0,1031.0,104.0,875.0,44.0,848.0,5400.0,2025-04-04 08:29:47,5.8.2,70.0,10173.0,10173.0,332.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
48,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-06-19 10:30:18.000000,2025-06-19 10:30:18,2039.0,79.0,157.0,33.0,2170.0,43.0,350.0,3898.0,2025-06-16 14:09:23,0.45.0,68.0,30.0,30.0,33.0,,,2286.0,3.0,116608.0,,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-06-19 10:50:07.000000,2025-06-19 10:50:07,2390.0,80.0,231.0,23.0,2489.0,211.0,826.0,3616.0,2025-06-11 06:06:42,1.6.4,40.0,42.0,42.0,116.0,,,7872.0,3.0,418.0,,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-06-19 06:17:20.259273,4.0,597850.0,,,,,,,,,
50,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-06-19 15:57:13.000000,2025-06-18 06:20:18,7322.0,325.0,381.0,41.0,1228.0,7.0,316.0,1550.0,2025-06-04 20:30:12,is-7.2.4,81.0,2910.0,2910.0,336.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
51,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-05-21 16:58:55.000000,2025-05-21 16:58:33,1835.0,4.0,13278.0,1536.0,526.0,31.0,845.0,54139.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7373.0,3.0,560354.0,,,,,,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3500.0,750.0,77.0,5.0,382.0,15370.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1391.0,3.0,,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162853.0,,,,,,,,,
53,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-06-19 00:18:04.000000,2025-06-18 14:37:20,7031.0,109.0,596.0,140.0,5055.0,172.0,3006.0,5465.0,2025-06-16 17:48:12,release-2025-06-16,100.0,,,137.0,,,17632.0,2.0,37125.0,,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-06-07 00:37:44.409943,13.0,2009134.0,,,,,,,,,
