,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-04-09 12:24:00.000000,2026-04-09 12:24:00,4721.0,178.0,2334.0,223.0,5320.0,248.0,2251.0,14140.0,2026-03-06 06:34:58,1.14.2,5873020.0,2771612.0,80.0,14701.0,14701.0,479.0,https://hub.docker.com/r/coredns/coredns,2026-03-06 06:36:36.159566,165.0,329185808.0,1.0,,,,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-04-09 17:39:57.000000,2026-04-09 17:25:58,10733.0,356.0,2303.0,144.0,4656.0,162.0,3563.0,13742.0,2026-03-27 19:13:14,1.20.1,117524399.0,3013446.0,100.0,2522.0,2522.0,553.0,,,,,1.0,,,,,,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-02-28 14:03:09.000000,2026-02-28 14:03:09,1818.0,23.0,493.0,63.0,541.0,87.0,308.0,2959.0,2025-06-20 05:53:03,3.3.1,,303507466.0,50.0,647130.0,647130.0,203.0,,,,,1.0,oauthlib,https://pypi.org/project/oauthlib,303507466.0,9.0,,,,,,,,,,,,
15,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,39,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,1.0,3981.0,111.0,3339.0,385.0,4686.0,28172.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,14034873.0,100.0,480324.0,480324.0,899.0,,,,,1.0,,,,-1.0,next-auth,https://www.npmjs.com/package/next-auth,14034873.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-03-01 10:18:45.000000,2026-03-01 10:15:23,2113.0,14.0,3015.0,182.0,343.0,8.0,1230.0,22520.0,2026-03-01 10:18:45,0.0.99,,884615.0,19.0,8577.0,8577.0,96.0,,,,,1.0,deepface,https://pypi.org/project/deepface,884615.0,33.0,,,,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-04-03 15:45:42.000000,2026-04-03 15:45:42,10594.0,18.0,1646.0,136.0,1451.0,124.0,1057.0,11432.0,2026-03-30 14:41:48,1.1.0,,1913849.0,15.0,4124.0,4124.0,274.0,,,,,1.0,speechbrain,https://pypi.org/project/speechbrain,1913849.0,,,,,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-04-01 18:31:07.000000,2026-04-01 18:31:07,1750.0,103.0,518.0,57.0,307.0,115.0,420.0,5266.0,2026-03-02 07:50:44,1.6.9,,123554456.0,50.0,51221.0,51221.0,142.0,,,,,1.0,authlib,https://pypi.org/project/authlib,123554456.0,,,,,authlib/authlib,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-04-09 18:18:52.000000,2026-04-09 18:18:51,23143.0,716.0,4510.0,780.0,25166.0,1223.0,5303.0,35377.0,2026-03-05 06:37:01,1.21.4,,,100.0,15631.0,15631.0,1616.0,,,,,1.0,,,,,,,,,,,,,,,,
20,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,quay.io/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2026-04-09 18:20:29.000000,2026-04-09 18:20:29,30711.0,825.0,8062.0,393.0,23533.0,2282.0,15737.0,33796.0,2026-04-08 08:54:19,26.6.0,1081928.0,18337.0,100.0,,,1784.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,1.0,,,,37.0,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1236.0,292.0,166.0,354.0,430.0,23524.0,,,,26270947.0,,1321463.0,1321463.0,38.0,,,,,2.0,,,,,passport,https://www.npmjs.com/package/passport,26270947.0,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-04-09 10:52:11.000000,2026-04-09 10:52:10,5082.0,118.0,1101.0,112.0,2252.0,149.0,1287.0,13594.0,2026-03-20 14:10:32,26.2.0,58654.0,1216152.0,49.0,55.0,55.0,244.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115460196.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-04-08 18:56:15.000000,2026-04-08 18:55:51,1751.0,24.0,298.0,38.0,576.0,16.0,494.0,6883.0,2026-04-08 18:56:15,@casl/prisma@1.6.2,,4897926.0,100.0,102164.0,102164.0,78.0,,,,,1.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,4897926.0,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-04-09 09:58:10.000000,2026-04-09 09:58:09,4434.0,72.0,1511.0,236.0,1936.0,98.0,1492.0,17127.0,2026-03-20 13:23:08,26.2.0,552782.0,3282873.0,100.0,,,321.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429294240.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13468.0,1543.0,250.0,779.0,598.0,56294.0,2018-04-02 17:18:43,1.2.2,1449.0,235631.0,2.0,5630.0,5630.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10846.0,2.0,face_recognition,https://pypi.org/project/face_recognition,235519.0,,,,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-04-09 14:46:19.000000,2026-04-09 14:37:08,3429.0,262.0,1606.0,74.0,2747.0,106.0,2151.0,13336.0,2026-04-09 14:46:20,2.401.0,1496.0,17493.0,100.0,12.0,12.0,282.0,https://hub.docker.com/r/casbin/casdoor,2026-04-08 17:21:17.149289,23.0,1105177.0,2.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-04-09 14:14:29.000000,2026-04-09 10:54:45,32570.0,1358.0,3924.0,582.0,7435.0,,,11456.0,2026-04-04 03:04:39,7.3.6,3729.0,8600.0,100.0,21.0,21.0,374.0,https://hub.docker.com/r/apereo/cas,2026-04-09 02:31:29.922888,131.0,1491565.0,2.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-04-09 18:40:27.000000,2026-04-09 18:03:02,7747.0,231.0,587.0,77.0,5161.0,112.0,1578.0,2306.0,2026-04-08 19:23:31,1.14.5,814509.0,13805.0,100.0,210.0,210.0,252.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-04-02 12:15:57.000000,2026-03-31 03:02:56,4901.0,6.0,1942.0,187.0,1922.0,264.0,1754.0,12581.0,2025-03-05 07:11:35,r1.5.0,,1612340.0,17.0,170.0,170.0,163.0,,,,,2.0,paddlepaddle,https://pypi.org/project/paddlepaddle,1612340.0,,,,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-03-29 11:01:56.000000,2026-03-29 11:01:56,2397.0,11.0,5904.0,513.0,211.0,1218.0,1395.0,28364.0,2023-04-02 07:43:27,0.7,12810426.0,355847.0,1.0,4994.0,4994.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,281.0,2.0,,,,,,,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-04-09 18:59:34.000000,2026-04-09 12:51:38,9272.0,586.0,1369.0,163.0,9342.0,57.0,1363.0,27457.0,2026-04-09 12:01:47,4.39.17,48745.0,773.0,100.0,,,283.0,,,,,2.0,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-04-09 18:31:53.248286,2026-04-09 16:30:33,4258.0,171.0,321.0,41.0,5104.0,80.0,1004.0,4748.0,2026-04-08 20:21:36,0.32.5,56471.0,18543154.0,100.0,23.0,23.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-04-09 18:31:53.248286,13.0,1613180017.0,2.0,,,,,,,,,,,,,,,,
33,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-03-23 12:21:37.000000,2026-03-23 12:21:23,1165.0,3.0,1723.0,236.0,643.0,46.0,890.0,19988.0,2026-01-26 17:06:22,3.10.0,,2378006.0,100.0,,,163.0,,,,,2.0,casbin,https://pypi.org/project/casbin,1812382.0,,casbin,https://www.npmjs.com/package/casbin,565624.0,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
34,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-04-09 04:46:15.000000,2026-04-09 04:46:13,3847.0,250.0,1802.0,167.0,3208.0,336.0,886.0,10714.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,195.0,195.0,297.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-04-09 11:18:28.000000,2026-04-08 22:32:55,5492.0,160.0,370.0,49.0,2367.0,103.0,474.0,6584.0,2026-03-24 16:27:50,1.51.0,201737.0,143225.0,100.0,162.0,162.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-03-24 16:42:28.002810,7.0,7763945.0,2.0,,,,,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-04-09 09:58:09.000000,2026-04-09 09:58:08,1906.0,87.0,376.0,55.0,1406.0,42.0,293.0,5319.0,2026-03-20 14:29:37,26.2.0,44922.0,531002.0,55.0,41.0,41.0,86.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51458378.0,2.0,,,,,,,,,,,,,,,,
37,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-04-07 14:01:43.000000,2026-04-07 14:01:07,2788.0,51.0,762.0,66.0,286.0,,1.0,3714.0,2026-04-07 14:01:43,9.8.0,,910458.0,100.0,2090.0,2090.0,76.0,,,,,2.0,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,910458.0,,,,,,,,,
38,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-04-09 09:59:10.000000,2026-04-09 09:59:09,1672.0,62.0,392.0,47.0,773.0,66.0,309.0,3596.0,2026-03-20 11:40:09,26.2.0,25640.0,881038.0,100.0,16.0,16.0,124.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90720951.0,2.0,,,,,,,,,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-04-09 15:19:52.000000,2026-04-09 13:10:00,18476.0,907.0,962.0,108.0,9543.0,1449.0,16381.0,890.0,2025-10-24 04:51:27,7.2.0,21495.0,14357.0,100.0,,,747.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2012268.0,2.0,,,,,,,,,,,,,,,,
40,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,422.0,29.0,564.0,99.0,362.0,604.0,2025-10-07 20:02:21,7.5.4,,3084126.0,55.0,2221.0,2221.0,181.0,,,,,2.0,pysaml2,https://pypi.org/project/pysaml2,3084126.0,,,,,,,,,,,,,
41,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-04-09 18:09:38.000000,2026-04-09 18:08:00,21545.0,1313.0,1533.0,71.0,16775.0,813.0,3277.0,20890.0,2026-04-07 16:18:57,ersion/2026.2.2,6456.0,248.0,100.0,,,528.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
42,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-04-09 14:06:30.000000,2026-04-08 07:19:50,8376.0,305.0,744.0,50.0,7665.0,163.0,637.0,11885.0,2026-03-31 10:45:02,1.38.0,7762.0,7058.0,82.0,8.0,8.0,86.0,https://hub.docker.com/r/svhd/logto,2026-04-08 07:25:11.381653,6.0,400059.0,2.0,,,,,,,,,,,,,,,,
43,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-04-09 02:33:01.000000,2026-04-09 02:33:01,2680.0,101.0,309.0,21.0,2823.0,231.0,973.0,4771.0,2026-03-13 05:28:21,1.9.2,421.0,9254.0,55.0,42.0,42.0,150.0,https://hub.docker.com/r/kanidm/server,2026-03-20 01:54:51.431132,4.0,795473.0,2.0,,,,,,,,,,,,,,,,
44,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-04-09 18:38:42.000000,2026-04-09 12:07:48,5055.0,99.0,301.0,188.0,6172.0,109.0,285.0,4031.0,2026-04-07 15:32:19,0.21.2,,306507.0,75.0,13.0,13.0,204.0,https://hub.docker.com/r/hashicorp/boundary,2026-04-07 15:42:13.962398,19.0,22988055.0,3.0,,,,,,,,,,,,,,,,
45,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-04-09 14:22:52.000000,2026-04-09 09:30:23,4428.0,263.0,1009.0,60.0,7466.0,864.0,2683.0,13482.0,2026-04-01 07:41:31,4.13.1,16231.0,1475.0,100.0,1.0,1.0,251.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
46,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-04-02 10:30:31.000000,2026-04-02 10:30:27,2569.0,49.0,1041.0,101.0,902.0,44.0,858.0,5474.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11164.0,11164.0,339.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-04-09 18:38:17.000000,2026-04-09 17:51:24,35881.0,373.0,169.0,30.0,7955.0,279.0,5249.0,621.0,2026-01-22 17:46:22,1.16.0,9808.0,326.0,100.0,16.0,16.0,143.0,,,,,3.0,,,,,,,,,,,,,,,,
48,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-04-08 09:07:57.000000,2026-04-08 09:07:47,1879.0,23.0,13261.0,1521.0,540.0,3.0,897.0,55144.0,2025-12-21 02:44:08,3.0.0,82559.0,959.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-04-09 16:38:13.000000,2026-04-09 16:38:10,7317.0,103.0,617.0,131.0,5379.0,174.0,3122.0,5695.0,2026-04-06 21:22:20,0.20260406.0,34313.0,16597.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-04-07 23:09:29.625326,13.0,2054545.0,2.0,,,,,,,,,,,,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-04-09 14:27:26.000000,2026-04-09 14:26:16,2462.0,181.0,173.0,33.0,2625.0,49.0,367.0,4307.0,2026-02-04 09:23:48,0.51.0,67826.0,1111.0,75.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
51,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-04-09 11:39:39.000000,2026-03-20 20:29:58,3030.0,38.0,139.0,59.0,340.0,41.0,322.0,1095.0,2026-01-22 14:54:05,5.9.0,42380.0,29259.0,46.0,228.0,228.0,53.0,,,,,2.0,yubikey-manager,https://pypi.org/project/yubikey-manager,28897.0,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3481.0,738.0,77.0,5.0,382.0,15483.0,2024-10-04 12:56:15,0.2.2,,1288.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163675.0,3.0,,,,,,,,,,,,,,,,
53,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-04-08 23:14:39.000000,2025-12-01 01:00:51,676.0,,70.0,37.0,235.0,5.0,87.0,370.0,2025-08-25 22:29:37,8.0.18,,434708.0,100.0,6222.0,6222.0,42.0,,,,,1.0,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,434708.0,,,,,,,,,
