,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,updated_github_id,pypi_url,pypi_monthly_downloads,trending,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-01-22 17:08:36.197163,2026-01-22 16:24:44,6130.0,187.0,1489.0,132.0,5337.0,378.0,2493.0,11178.0,2026-01-14 22:23:15,1.12.3,100.0,6316.0,6316.0,557.0,,,5366246.0,1.0,19463543.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-01-22 17:08:36.197163,46.0,610064429.0,,,,,,,,,,,,,
14,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-01-21 09:50:05.000000,2026-01-21 09:49:00,1677.0,50.0,510.0,57.0,292.0,115.0,414.0,5184.0,2026-01-09 08:31:38,1.6.6,47.0,48127.0,48127.0,136.0,,,44635469.0,1.0,,,,,,,authlib,authlib/authlib,https://pypi.org/project/authlib,44635469.0,1.0,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-01-18 05:33:42.000000,2026-01-04 19:46:27,1785.0,2.0,489.0,62.0,521.0,84.0,305.0,2950.0,2025-06-20 05:53:03,3.3.1,50.0,642733.0,642733.0,202.0,,,225518680.0,1.0,,,,,,,oauthlib,,https://pypi.org/project/oauthlib,225518680.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-01-22 14:31:17.000000,2026-01-22 14:31:12,2105.0,34.0,2949.0,176.0,337.0,7.0,1222.0,21898.0,2026-01-13 18:38:08,0.0.97,17.0,8491.0,8491.0,96.0,,,300451.0,1.0,,,,,,,deepface,,https://pypi.org/project/deepface,300451.0,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2026-01-20 03:24:07.000000,2026-01-08 15:46:41,1162.0,28.0,1714.0,234.0,626.0,39.0,887.0,19739.0,2026-01-08 15:48:06,3.9.0,100.0,3560.0,3560.0,161.0,https://www.npmjs.com/package/casbin,330961.0,1210350.0,1.0,,,,,,,casbin,,https://pypi.org/project/casbin,879389.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-01-05 12:21:45.000000,2025-12-15 16:37:20,10572.0,19.0,1599.0,132.0,1428.0,125.0,1053.0,11075.0,2025-04-07 17:05:07,1.0.3,14.0,4011.0,4011.0,269.0,,,891897.0,1.0,,,,,,,speechbrain,,https://pypi.org/project/speechbrain,891897.0,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-01-22 18:04:35.000000,2026-01-22 18:04:28,22498.0,397.0,4391.0,780.0,25054.0,1190.0,5282.0,33863.0,2026-01-07 18:09:58,1.21.2,100.0,15324.0,15324.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-01-22 02:00:12.000000,2026-01-18 07:40:11,1734.0,65.0,295.0,38.0,550.0,19.0,491.0,6747.0,2026-01-18 07:40:26,@casl/vue@2.2.6,100.0,101771.0,101771.0,77.0,https://www.npmjs.com/package/@casl/ability,3004425.0,3004425.0,2.0,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1227.0,292.0,162.0,354.0,430.0,23497.0,,,,1318217.0,1318217.0,38.0,https://www.npmjs.com/package/passport,18246890.0,18246890.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-01-22 15:45:52.000000,2026-01-22 15:45:51,4368.0,96.0,1506.0,235.0,1928.0,93.0,1487.0,16952.0,2025-11-07 14:57:03,25.4.0,100.0,,,316.0,,,3354461.0,2.0,501327.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428673537.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-01-22 15:45:50.000000,2026-01-22 15:45:49,4976.0,111.0,1077.0,112.0,2241.0,155.0,1269.0,13398.0,2025-11-07 15:48:50,25.4.0,48.0,54.0,54.0,241.0,,,1252574.0,1.0,54444.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115167336.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13468.0,1548.0,250.0,778.0,598.0,56082.0,2018-04-02 17:18:43,1.2.2,2.0,5595.0,5595.0,54.0,,,178866.0,2.0,1444.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10449.0,face_recognition,,https://pypi.org/project/face_recognition,178755.0,,,,,,,,,
25,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",35,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-01-22 02:36:11.000000,2026-01-22 02:36:11,4564.0,151.0,2314.0,225.0,5150.0,242.0,2231.0,13916.0,2026-01-16 05:35:34,1.14.1,79.0,,,466.0,,,2814368.0,1.0,5456581.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-01-16 05:37:05.155162,164.0,326346613.0,,,,,-6.0,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,35,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-01-22 16:12:02.000000,2026-01-22 15:01:38,3196.0,235.0,1517.0,78.0,2434.0,89.0,2011.0,12918.0,2026-01-22 15:10:30,2.257.0,100.0,12.0,12.0,268.0,,,15458.0,1.0,1029.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-01-22 15:18:35.835047,23.0,941524.0,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-01-22 16:22:06.000000,2026-01-22 16:18:40,31327.0,1131.0,3932.0,586.0,6959.0,,,11410.0,2026-01-10 02:18:14,7.3.3,100.0,21.0,21.0,371.0,,,8290.0,1.0,2608.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-01-22 13:50:26.750430,131.0,1416295.0,,,,,,,,,,,,,
28,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-01-21 23:34:59.000000,2025-09-28 02:58:15,4895.0,,1938.0,186.0,1913.0,262.0,1758.0,12499.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,160.0,,,1034019.0,2.0,,,,,,,paddlepaddle,,https://pypi.org/project/paddlepaddle,1034019.0,1.0,,,,,,,,
29,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-01-22 17:51:14.000000,2026-01-22 11:33:43,7564.0,153.0,551.0,77.0,4932.0,111.0,1551.0,2184.0,2026-01-15 18:54:44,1.14.1,100.0,204.0,204.0,243.0,,,14488.0,2.0,840312.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,14.0,5834.0,510.0,202.0,1210.0,1395.0,27645.0,2023-04-02 07:43:27,0.7,1.0,4877.0,4877.0,67.0,,,355505.0,2.0,11731605.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,213.0,,,,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-01-22 17:57:48.000000,2026-01-22 05:15:24,8763.0,444.0,1317.0,161.0,8811.0,62.0,1342.0,26463.0,2025-11-29 12:13:04,4.39.15,100.0,,,269.0,,,643.0,2.0,39253.0,,,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-01-22 18:22:58.000000,2026-01-17 04:16:04,4100.0,121.0,321.0,42.0,4923.0,80.0,991.0,4662.0,2026-01-20 21:26:16,0.32.0,100.0,22.0,22.0,101.0,,,19204356.0,2.0,56595.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-01-20 21:37:10.454932,13.0,1613092894.0,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-01-16 19:30:32.000000,2025-10-07 20:35:19,3632.0,,417.0,27.0,559.0,94.0,362.0,601.0,2025-10-07 20:02:21,7.5.4,55.0,2170.0,2170.0,181.0,,,1606693.0,2.0,,,,,,,pysaml2,,https://pypi.org/project/pysaml2,1606693.0,,,,,,,,,
34,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,32,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-01-22 12:16:17.000000,2026-01-22 08:52:48,8106.0,254.0,675.0,50.0,7329.0,158.0,602.0,11472.0,2025-12-30 09:43:29,1.35.0,78.0,33.0,33.0,81.0,,,6495.0,2.0,7207.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-01-22 08:58:04.893727,5.0,348471.0,,,,,,,,,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-01-22 17:35:43.000000,2026-01-22 17:19:36,5358.0,127.0,358.0,51.0,2197.0,100.0,462.0,6371.0,2025-12-12 01:37:39,1.48.0,100.0,139.0,139.0,74.0,,,122459.0,2.0,188100.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-12-12 01:46:32.300906,7.0,6268794.0,,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-01-22 17:54:15.000000,2026-01-22 15:45:48,1827.0,67.0,372.0,55.0,1397.0,40.0,294.0,5262.0,2025-11-07 14:48:11,25.4.0,54.0,40.0,40.0,82.0,,,546991.0,2.0,41645.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51371718.0,,,,,,,,,,,,,
37,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-01-22 08:57:53.000000,2026-01-22 08:57:49,2739.0,23.0,765.0,66.0,274.0,,,3658.0,2025-12-07 19:27:28,9.6.0,100.0,1990.0,1990.0,76.0,https://www.npmjs.com/package/oidc-provider,556219.0,556219.0,2.0,,,,,,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-01-22 10:42:43.000000,2026-01-22 10:42:42,17616.0,265.0,940.0,109.0,9040.0,1462.0,15932.0,875.0,2025-10-24 04:51:27,7.2.0,100.0,,,733.0,,,14559.0,2.0,20683.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1998854.0,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-01-22 18:21:59.000000,2026-01-22 17:56:21,20477.0,1038.0,1442.0,68.0,15219.0,795.0,3059.0,19828.0,2026-01-16 01:04:03,ersion/2025.12.1,100.0,,,489.0,,,167.0,2.0,4866.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-01-22 18:21:16.000000,2026-01-22 15:55:40,4970.0,106.0,299.0,192.0,5961.0,108.0,281.0,4008.0,2025-12-11 17:18:44,0.21.0,73.0,13.0,13.0,199.0,,,306597.0,2.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-12-11 17:30:05.287895,19.0,22075012.0,,,,,,,,,,,,,
41,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11493.0,691.0,347.0,,,93550.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,1010989.0,3.0,,,,,,,openai-whisper,,https://pypi.org/project/openai-whisper,1010989.0,,,,,,,,,
42,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-01-22 04:03:12.000000,2026-01-21 06:59:08,3633.0,106.0,1771.0,168.0,2983.0,344.0,860.0,10524.0,2025-09-01 13:23:20,2.44.0,92.0,181.0,181.0,282.0,,,2.0,2.0,358.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
43,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-01-22 07:35:59.000000,2026-01-22 07:35:59,2596.0,74.0,283.0,21.0,2717.0,236.0,925.0,4476.0,2025-12-13 02:42:40,1.8.5,51.0,42.0,42.0,140.0,,,8583.0,3.0,420.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-12-13 04:43:49.936254,4.0,711992.0,,,,,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-01-22 15:46:21.000000,2026-01-22 15:46:20,1616.0,61.0,379.0,48.0,766.0,67.0,303.0,3553.0,2025-11-07 14:57:21,25.4.0,100.0,,,120.0,,,905761.0,3.0,24391.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90551354.0,,,,,-2.0,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-01-22 15:17:38.000000,2026-01-22 15:17:30,3009.0,48.0,136.0,58.0,333.0,37.0,320.0,1048.0,2026-01-22 14:54:05,5.9.0,46.0,215.0,215.0,52.0,,,40276.0,2.0,36510.0,,,,,,yubikey-manager,,https://pypi.org/project/yubikey-manager,39956.0,,,,,,,,,
46,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-01-22 17:51:04.000000,2026-01-22 17:27:08,35546.0,225.0,160.0,29.0,7506.0,413.0,4934.0,605.0,2026-01-22 17:46:22,1.16.0,100.0,10.0,10.0,141.0,,,284.0,3.0,7673.0,,,,,,,,,,,,,,,,,,
47,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-01-05 12:30:09.000000,2026-01-05 12:29:50,1856.0,14.0,13288.0,1531.0,533.0,41.0,852.0,54911.0,2025-12-21 02:44:08,3.0.0,5.0,,,98.0,,,687.0,3.0,57090.0,,,,,,,,,,,,,,,,,,
48,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-01-22 17:15:54.000000,2026-01-22 16:07:47,4204.0,154.0,915.0,63.0,7047.0,848.0,2534.0,12789.0,2026-01-22 10:49:06,4.9.2,100.0,1.0,1.0,239.0,,,1385.0,3.0,13857.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-01-22 16:04:39.000000,2026-01-22 00:14:44,7230.0,74.0,617.0,132.0,5286.0,179.0,3092.0,5638.0,2026-01-20 17:24:48,0.20260120.0,100.0,,,146.0,,,17005.0,2.0,36699.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-12-03 17:22:24.944806,13.0,2039886.0,,,,,,,,,,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,15.0,559.0,52.0,7293.0,,1780.0,4592.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,189.0,189.0,318.0,,,339.0,3.0,14922.0,,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
51,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-01-12 11:21:39.000000,2026-01-11 10:32:45,3308.0,97.0,298.0,73.0,892.0,295.0,643.0,1794.0,2026-01-07 15:47:40,6.0.0,60.0,3.0,3.0,90.0,https://www.npmjs.com/package/solid-server,3823.0,11215.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005322.0,,,,,,,,,,,,,
52,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-01-21 18:10:24.000000,2025-12-01 01:00:51,676.0,7.0,69.0,36.0,233.0,5.0,87.0,364.0,2025-08-25 22:29:37,8.0.18,100.0,6141.0,6141.0,42.0,https://www.npmjs.com/package/did-jwt,242322.0,242322.0,1.0,,,,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3488.0,741.0,77.0,5.0,382.0,15464.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1318.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163516.0,,,,,,,,,,,,,
