,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,license,maven_id,maven_url,gem_url,helm_id,brew_id,github,apt_id,github-id
18,deepface,{},biometrics,,,,13,False,serengil/deepface,deepface,8733.0,8733.0,101.0,https://pypi.org/project/deepface,455744.0,455744.0,1.0,,,,,,,,,,,,,,,,,,,,
19,ageitgey-face-recognition,{},biometrics,GPU Face Recognition built from https://github.com/ageitgey/face_recognition.,,,12,False,ageitgey/face_recognition,face_recognition,5675.0,5675.0,55.0,https://pypi.org/project/face_recognition,179632.0,179632.0,2.0,,,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,2021-08-17 00:42:22.824355,20.0,20.0,12355.0,,,,,,,,,
20,node-oidc-provider,{},authentication,,,,12,False,panva/node-oidc-provider,,2327.0,2327.0,76.0,,,2695664.0,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,2695664.0,,,,,,,,,,,,,,,,,
21,did-jwt,{},dids,,,['dif'],12,False,decentralized-identity/did-jwt,,6284.0,6284.0,42.0,,,391585.0,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,391585.0,,,,,,,,,,,,,,,,,
22,coredns,{},machine,CoreDNS docker repository.,,"['linux-foundation', 'cncf']",11,False,coredns/coredns,,15054.0,15054.0,515.0,,,,1.0,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-08-19 01:41:39.289838,2026-08-19 01:41:39.289838,166.0,166.0,334985624.0,,,,,,,,,
23,did-jwt-vc,{},ssi-sdks,,,['dif'],11,False,decentralized-identity/did-jwt-vc,,1388.0,1388.0,22.0,,,69581.0,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,69581.0,,,,,,,,,,,,,,,,,
24,paddlespeech,{},biometrics,,,,11,False,PaddlePaddle/PaddleSpeech,paddlepaddle,172.0,172.0,163.0,https://pypi.org/project/paddlepaddle,2010629.0,2010629.0,2.0,,,,,,,,,,,,,,,,,,,,
25,open-policy-agent,{},authorization,Official build of the Open Policy Agent project.,,"['cncf', 'linux-foundation']",10,False,open-policy-agent/opa,,7371.0,7371.0,608.0,,,,1.0,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-08-27 19:48:55.681960,2026-08-27 19:48:55.681960,47.0,47.0,620967584.0,,,,,,,,,
26,vault,{},pki,,,['hashicorp'],10,False,hashicorp/vault,,15948.0,15948.0,1624.0,,,,1.0,,,,,,,,,,,,Business Source License 1.1,,,,,,,,
27,web-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/web-did-resolver,,1495.0,1495.0,12.0,,,91034.0,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,91034.0,,,,,,,,,,,,,,,,,
28,ethr-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/ethr-did-resolver,,1927.0,1927.0,38.0,,,44779.0,2.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,44779.0,,,,,,,,,,,,,,,,,
29,whisper,{},biometrics,,,,10,False,openai/whisper,openai-whisper,24.0,24.0,82.0,https://pypi.org/project/openai-whisper,4739323.0,4739323.0,2.0,,,,,,,,,,,,,,,,,,,,
30,casbin,{},authorization,,,,9,False,casbin/casbin,casbin,,,172.0,https://pypi.org/project/casbin,3091361.0,3969859.0,2.0,casbin,https://www.npmjs.com/package/casbin,878498.0,,,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
31,oso,{},authorization,,,,9,False,osohq/oso,oso,224.0,224.0,69.0,https://pypi.org/project/oso,31855.0,31855.0,2.0,,,,,,,,,,,,,,,,,,,,
32,yubikey-manager,{},pki,,,,9,False,Yubico/yubikey-manager,yubikey-manager,242.0,242.0,53.0,https://pypi.org/project/yubikey-manager,48404.0,48404.0,1.0,,,,,,,,,,,,,,,,,,,,
33,doorkeeper,{},authentication,,,,8,False,doorkeeper-gem/doorkeeper,,11465.0,11465.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,,
34,py_webauthn,{},authentication,,,,8,False,duo-labs/py_webauthn,webauthn,,,35.0,https://pypi.org/project/webauthn,7447410.0,7447410.0,2.0,,,,,,,,,,,,,,,,,,,,
35,node-solid-server,{},ssi-agents,Node Solid Server.,,['solid'],7,False,nodesolidserver/node-solid-server,,3.0,3.0,92.0,,,3366.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,3366.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,2024-04-30 17:23:49.835167,5.0,5.0,1006089.0,MIT,,,,,,,,
36,cert-manager,{},pki,,,['linux-foundation'],7,False,cert-manager/cert-manager,,2864.0,2864.0,583.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
37,did-resolver,{},dids,,,['dif'],7,False,decentralized-identity/did-resolver,,8015.0,8015.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
38,face-api-js,{},biometrics,,,,7,False,justadudewhohacks/face-api.js,,,,25.0,,,502160.0,3.0,face-api.js,https://www.npmjs.com/package/face-api.js,502160.0,,,,,,,,,,,,,,,,,
39,insightface,{},biometrics,,,,7,False,deepinsight/insightface,,5333.0,5333.0,67.0,,,,3.0,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,2021-03-18 22:57:48.799620,,,356.0,,,,,,,,,
40,cas,{},idp,"Welcome to the home of the Central Authentication Service project, more commonly referred to as CAS.",,,6,False,apereo/cas,,24.0,24.0,381.0,,,,1.0,,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-08-27 03:31:09.231567,2026-08-27 03:31:09.231567,131.0,131.0,1856037.0,,,,,,,,,
41,casdoor,{},idp,A UI-first centralized authentication / Single-Sign-On (SSO) platform based on OAuth 2.0 / OIDC.,,,6,False,casdoor/casdoor,,12.0,12.0,308.0,,,,1.0,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-08-27 16:15:34.999990,2026-08-27 16:15:34.999990,23.0,23.0,1589732.0,,,,,,,,,
42,ory-kratos,{},idp,"Never build user login, user registration, 2fa, profile management ever again!.",,['ory'],6,False,ory/kratos,,56.0,56.0,246.0,,,,1.0,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,2026-03-20 14:10:20.091266,22.0,22.0,116517240.0,,,,,https://k8s.ory.sh/helm/charts,,,,
43,dex,{},authentication,,,['linux-foundation'],6,False,dexidp/dex,,211.0,211.0,308.0,,,,2.0,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
44,spire,{},machine,,,"['cncf', 'linux-foundation']",6,False,spiffe/spire,,220.0,220.0,279.0,,,,2.0,,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
45,veramo,{},ssi-sdks,,,,6,False,decentralized-identity/veramo,,937.0,937.0,60.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
46,keystone,{},idp,,,['openstack'],6,False,openstack/keystone,,199.0,199.0,763.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
47,solid-client-authn-js,{},authentication,,,['solid'],6,False,inrupt/solid-client-authn-js,,1006.0,1006.0,28.0,,,,2.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,,,,,
48,did-method-plc,{},dids,,,,6,False,did-method-plc/did-method-plc,,1.0,1.0,16.0,,,509748.0,3.0,did-resolver,https://www.npmjs.com/package/did-resolver,509748.0,,,,,,,,,,,,,,,,,
49,django-passkeys,{},authentication,,,,6,False,mkalioby/django-passkeys,django-passkeys,25.0,25.0,6.0,https://pypi.org/project/django-passkeys,9090.0,9090.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
50,passwordlessid-webauthn,{},authentication,,,,6,False,passwordless-id/webauthn,,5619.0,5619.0,20.0,,,,2.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,,,,,
51,freeipa,{},idp,FreeIPA server in container.,,,5,False,freeipa/freeipa,,,,265.0,,,,2.0,,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2026-08-26 05:44:37.192156,2026-08-26 05:44:37.192156,181.0,181.0,6574300.0,,,,,,,,,
52,openface,{},biometrics,OpenFace.,,,5,False,cmusatyalab/openface,,96.0,96.0,32.0,,,,3.0,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,2018-06-18 18:11:58.528635,71.0,71.0,164037.0,,,,,,,,,
53,boundary,{},machine,Boundary provides simple and secure access to hosts and services.,,['hashicorp'],5,False,hashicorp/boundary,,14.0,14.0,206.0,,,,2.0,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,2026-04-30 15:31:22.303713,21.0,21.0,24580060.0,,,,,,,,,
54,spicedb,{},authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,5,False,authzed/spicedb,,179.0,179.0,80.0,,,,2.0,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2026-08-26 18:09:37.970582,2026-08-26 18:09:37.970582,7.0,7.0,11148804.0,,,,,,,,,
55,kanidm,{},idp,Kanidm Server.,,,5,False,kanidm/kanidm,,42.0,42.0,161.0,,,,2.0,,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2026-08-25 07:27:11.922848,2026-08-25 07:27:11.922848,6.0,6.0,1026052.0,,,,,,,,,
56,hanko,{},idp,,,,5,False,teamhanko/hanko,,344.0,344.0,58.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
57,ockam,{},machine,,,,5,False,build-trust/ockam,,190.0,190.0,318.0,,,,2.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
58,athenz,{},pki,,,['linux-foundation'],5,False,athenz/athenz,,382.0,382.0,113.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
59,spruceid-ssi,{},ssi-sdks,Core library for decentralized identity.,,,5,False,spruceid/ssi,,223.0,223.0,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
60,polygon-js-sdk,{},ssi-sdks,,,,5,False,0xPolygonID/js-sdk,,276.0,276.0,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
61,dwn-sdk-js,{},ssi-agents,,,['web5'],5,False,TBD54566975/dwn-sdk-js,,502.0,502.0,48.0,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,,,,,,,,
62,fido2-net-lib,{},authentication,,,,5,False,passwordless-lib/fido2-net-lib,,420.0,420.0,55.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
63,oathkeeper,{},machine,"A cloud native, security first firewall for your APIs. Integrates natively with ORY Hydra.",,['ory'],4,False,ory/oathkeeper,,16.0,16.0,125.0,,,,3.0,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,2026-03-20 11:39:54.790499,44.0,44.0,91151192.0,,,,,,,,,
64,wso2-identity-server,{},idp,WSO2 Identity Server.,,,4,False,wso2/product-is,,,,755.0,,,,3.0,,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,2026-06-02 07:04:46.132226,40.0,40.0,2057738.0,,,,,,,,,
65,conjur,{},machine,Secrets management and machine identity for modern infrastructure.,,,4,False,cyberark/conjur,,,,118.0,,,,3.0,,,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2026-07-14 23:11:57.083033,2026-07-14 23:11:57.083033,29.0,29.0,7714103.0,LGPL,,,,,,,,
66,pomerium,{},machine,Pomerium is an identity-aware access proxy.,,,4,False,pomerium/pomerium,,24.0,24.0,103.0,,,,3.0,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-08-27 21:40:26.737193,2026-08-27 21:40:26.737193,14.0,14.0,1613516126.0,,,,,,,,,
67,keto,{},authorization,Use best practices established by cloud providers and express complex permission environments.,,['ory'],4,False,ory/keto,,43.0,43.0,87.0,,,,3.0,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,2026-03-20 14:29:27.004272,10.0,10.0,51798159.0,,,,,,,,,
68,logto,{},idp,The open source identity solution.,,,4,False,logto-io/logto,,,,112.0,,,,3.0,,,,-2.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-08-28 02:02:00.951647,2026-08-28 02:02:00.951647,7.0,7.0,617542.0,MPL-2.0,,,,,,,,
69,opal,{},authorization,,,,4,False,permitio/opal,,47.0,47.0,79.0,,,,3.0,,,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2026-08-27 16:01:40.044229,2026-08-27 16:01:40.044229,1.0,1.0,577906.0,,,,,,,,,
70,satosa,{},authentication,,,,4,False,IdentityPython/satosa,,44.0,44.0,58.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
71,ja3,{},pki,,,,4,False,salesforce/ja3,pyja3,1.0,1.0,27.0,https://pypi.org/project/pyja3,2588.0,2588.0,2.0,,,,,,,,,,,,,,,,,,,,
72,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,4,False,spruceid/didkit,,14.0,14.0,23.0,,,,2.0,,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
73,hyperledger-anoncreds-rs,{},ssi-sdks,,,['hyperledger'],4,False,hyperledger/anoncreds-rs,,76.0,76.0,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
74,iota-identity,{},ssi-sdks,,,,4,False,iotaledger/identity.rs,,161.0,161.0,44.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
75,tbd-ssi-sdk,{},ssi-sdks,,,['web5'],4,False,tbd54566975/ssi-sdk,,81.0,81.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
76,web5-js,{},ssi-sdks,,,['web5'],4,False,TBD54566975/web5-js,,73.0,73.0,32.0,,,,2.0,web5/api,https://www.npmjs.com/package/web5/api,,,,,,,,,,,,,,,,,,
77,digitalbazaar-vc,{},ssi-sdks,,,,4,False,digitalbazaar/vc,,649.0,649.0,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
78,keripy,{},ssi-sdks,,,,4,False,weboftrust/keripy,,79.0,79.0,39.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
79,authgear,{},idp,,,,4,False,authgear/authgear-server,,9.0,9.0,50.0,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
80,ory-hydra,{},authentication,"Scalable, security first OAuth 2.0 and OpenID Connect server.",,['ory'],3,False,ory/hydra,,,,323.0,,,,3.0,,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,2026-03-20 13:22:55.749711,78.0,78.0,430754884.0,,,,,https://k8s.ory.sh/helm/charts,,,,
81,boulder,{},pki,,,['linux-foundation'],3,False,letsencrypt/boulder,,,,151.0,,,,3.0,,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-08-25 18:26:56.561688,2026-08-25 18:26:56.561688,13.0,13.0,2078292.0,,,,,,,,,
82,identity-server,{},authentication,,,,3,False,duendesoftware/identityserver,,,,341.0,,,,3.0,,,,,,,,,,,,https://duendesoftware.com/license,,,,,,,,
83,cerbos,{},authorization,,,,3,False,cerbos/cerbos,,35.0,35.0,35.0,,,,3.0,,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,
84,keycloak,{},idp,,,['cncf'],3,False,keycloak/keycloak,,,,1899.0,,,,3.0,,,,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
85,authentik,{},idp,,,,3,False,goauthentik/authentik,,,,602.0,,,,3.0,,,,,,,,,,,,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,,,,https://charts.goauthentik.io,,,,
86,verity-sdk,{},ssi-sdks,,,,3,False,evernym/verity-sdk,,17.0,17.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
87,gotrue,{},idp,,,,3,False,netlify/gotrue,,,,48.0,,,,3.0,,,,-2.0,,,,,,,,MIT,,,,,,,,
88,deepfacelab,{},biometrics,,,,3,False,iperov/DeepFaceLab,,24.0,24.0,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
89,aip-identity,{},dids,"Decentralized identity and trust layer for AI agents using Ed25519-based DIDs, vouch-based trust chains, and encrypted..",,,3,False,The-Nexus-Guard/aip,aip-identity,,,,https://pypi.org/project/aip-identity,56.0,56.0,3.0,,,,,,,,,,,,MIT,,,,,,,,
90,maxkey,{},idp,maxkey-.,,,2,False,dromara/MaxKey,,,,61.0,,,,3.0,,,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2026-06-30 01:47:11.347464,2026-06-30 01:47:11.347464,5.0,5.0,53292.0,,,,,,,,,
91,permify,{},authorization,,,,2,False,permify/permify,,5.0,5.0,80.0,,,,3.0,,,,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
92,zitadel,{},idp,,,,2,False,zitadel/zitadel,,1.0,1.0,261.0,,,,3.0,,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,
93,authelia,{},idp,,,,2,False,authelia/authelia,,,,304.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
94,crypto,{},pki,"Library providing privacy enhancing cryptographic primitives, ZKPs, BBS+ and BBS# signatures.",,,2,False,docknetwork/crypto,,27.0,27.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
95,aries-python,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-cloudagent-python,,,,169.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
96,aries-mobile-agent-react-native,{},ssi-agents,,,['hyperledger'],2,False,hyperledger/aries-mobile-agent-react-native,,9.0,9.0,66.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
97,aries-framework-go,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-framework-go,,3.0,3.0,62.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,universal-resolver,{},dids,The Universal Resolver resolves Decentralized Identifiers (DIDs) across many different DID methods.,,,2,False,decentralized-identity/universal-resolver,,,,136.0,,,,3.0,,,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-08-25 22:11:06.828388,2026-08-25 22:11:06.828388,,,160929.0,,,,,,,,,
99,barbican,{},pki,,,['openstack'],2,False,openstack/barbican,,,,313.0,,,,3.0,,,,-2.0,,,,,,,,,,,,,,,,
100,beyond,{},machine,Google BeyondCorp-inspired Access Proxy.,,,2,False,cogolabs/beyond,,,,6.0,,,,3.0,,,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,2021-03-16 02:43:33.655703,,,18168.0,Apache-2.0,,,,,,,,
101,supertokens,{},idp,,,,2,False,supertokens/supertokens-core,,,,40.0,,,,3.0,,,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,,,,,,,,
102,lemur,{},pki,,,,2,False,netflix/lemur,,,,162.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
103,did-spec-registries,{},dids,,,,2,False,w3c/did-spec-registries,,,,280.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
104,webauthn,{},specs,,,['w3c'],2,False,w3c/webauthn,,,,83.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
105,vc-data-model,{},specs,,,['w3c'],2,False,w3c/vc-data-model,,,,81.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
106,did-core,{},specs,,,['w3c'],2,False,w3c/did-core,,,,71.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
107,universal-wallet-interop-spec,{},specs,,,['w3c'],2,False,w3c-ccg/universal-wallet-interop-spec,,3.0,3.0,10.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
108,webauthn-json,{},authentication,,,,2,False,github/webauthn-json,,30.0,30.0,15.0,,,,3.0,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,,,,,
109,procivis-one-wallet,{},ssi-agents,"Digital wallet with eIDAS 2.0 compliancy, ISO 18013-5 mdocs, IETF SD-JWT VC, OID4VC, and W3C VCs.",,['w3c'],2,False,procivis/one-wallet,,,,,,,,2.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
110,procivis-one-core,,ssi-sdks,"Issue, hold and verify digital identities and credentials on any device with eIDAS 2.0 compliancy, ISO 18013-5 mdocs,..",,['w3c'],2,False,,,,,,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,procivis/one-core,,
111,ejbca-ce,{},pki,EJBCA Open source public key infrastructure (PKI) and certificate authority (CA) software.,,,1,False,Keyfactor/ejbca,,,,,,,,3.0,,,,,keyfactor/ejbca-ce,https://hub.docker.com/r/keyfactor/ejbca-ce,2025-12-17 01:31:09.041590,2025-12-17 01:31:09.041590,61.0,61.0,790233.0,,,,,,,,,
112,cfssl,{},pki,CloudFlares PKI toolkit.,,,1,False,cloudfare/cfssl,,,,,,,,3.0,,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2026-04-17 14:15:15.991400,2026-04-17 14:15:15.991400,26.0,26.0,4701676.0,,,,,,,,,
113,pyMDOC-CBOR,{},ssi-sdks,,,,1,False,IdentityPython/pyMDOC-CBOR,pymdoccobr,3.0,3.0,11.0,https://pypi.org/project/pymdoccobr,,,3.0,,,,,,,,,,,,,,,,,,,,
114,ladon,{},authorization,,,['ory'],1,False,ory/ladon,,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
115,warrant,{},authorization,,,,1,False,warrant-dev/warrant,,6.0,6.0,5.0,,,,3.0,,,,,warrantdev/warrant,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,
116,jansen,{},idp,,,['linux-foundation'],1,False,janssenproject/jans,,,,147.0,,,,3.0,,,,-2.0,,,,,,,,,,,,,,,,
117,spiffe,{},machine,,,"['cncf', 'linux-foundation']",1,False,spiffe/spiffe,,,,76.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
118,waltid-identity,{},ssi-sdks,,,,1,False,walt-id/waltid-identity,,,,51.0,,,,3.0,,,,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,
119,cf-identity-wallet,{},ssi-agents,,,,1,False,cardano-foundation/cf-identity-wallet,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
120,sphereon-ssi,{},ssi-sdks,,,,1,False,sphereon-opensource/ssi-sdk,,2.0,2.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
121,sphereon-openid4vci,{},ssi-sdks,,,,1,False,sphereon-opensource/openid4vci,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
122,sphereon-pex,{},ssi-sdks,,,,1,False,sphereon-opensource/pex,,1.0,1.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
123,trinsic-sdk,{},ssi-sdks,,,,1,False,trinsic-id/sdk,,3.0,3.0,12.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
