,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,updated_github_id,gem_url,new_addition,apt_id
10,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],39,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-11-08 18:34:31.000000,2023-11-06 21:57:09,8126.0,175.0,1880.0,148.0,3117.0,163.0,2973.0,10864.0,2023-10-30 12:58:49,1.13.2,100.0,682.0,682.0,414.0,,,1629048.0,1.0,,61903832.0,,,,,,,,,,,,,,,,
11,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-10 10:09:37.000000,2023-10-30 10:16:51,9583.0,231.0,1139.0,124.0,1020.0,96.0,861.0,6805.0,2023-07-22 18:07:47,0.5.15,9.0,1105.0,1105.0,223.0,,,189604.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,189604.0,,,,,,,,,
12,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-10-19 15:43:32.000000,2023-03-10 17:27:55,617.0,,1184.0,311.0,156.0,334.0,424.0,21918.0,,,,943696.0,943696.0,38.0,https://www.npmjs.com/package/passport,8753858.0,8753858.0,2.0,,,,,,,,,,,,,,,,,,
13,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-11 19:22:27.000000,2023-11-10 13:47:39,23245.0,638.0,5634.0,368.0,13262.0,1843.0,6047.0,17976.0,2023-10-24 10:22:23,22.0.5,43.0,,,1285.0,,,62814.0,1.0,quay.io/keycloak/keycloak,2198523.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-10 22:12:44.000000,2023-11-10 19:43:44,18522.0,665.0,3835.0,813.0,18217.0,920.0,4819.0,28846.0,2023-11-08 19:39:49,1.15.2,100.0,6724.0,6724.0,1421.0,,,,2.0,,,,,,,,,,,,,,,,,,
15,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-11 16:10:31.000000,2023-11-10 14:04:08,4027.0,150.0,808.0,108.0,1754.0,176.0,1001.0,9556.0,2023-07-12 20:24:48,1.0.0,43.0,326.0,326.0,214.0,,,1703735.0,1.0,oryd/kratos,34715.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112396804.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
16,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-10-30 06:10:48.000000,2023-10-30 06:05:45,1078.0,11.0,1537.0,231.0,479.0,35.0,734.0,15990.0,2023-09-02 15:37:12,2.77.2,100.0,2586.0,2586.0,135.0,https://www.npmjs.com/package/casbin,170496.0,289247.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,118751.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
17,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-10-31 10:44:39.000000,2023-10-24 08:44:35,3731.0,48.0,1321.0,233.0,1722.0,75.0,1390.0,14657.0,2023-05-24 08:55:23,2.1.2,100.0,2.0,2.0,290.0,,,4019778.0,2.0,oryd/hydra,660050.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,409027440.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
18,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-11-10 01:01:21.000000,2023-11-10 00:57:03,1500.0,10.0,250.0,42.0,343.0,12.0,426.0,5245.0,2023-07-28 06:28:52,@casl/mongoose@7.2.1,100.0,57933.0,57933.0,66.0,https://www.npmjs.com/package/@casl/ability,1965869.0,1965869.0,2.0,,,,,,,,,,,,,1.0,,,,,
19,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3504.0,334.0,107.0,422.0,389.0,15597.0,2020-03-22 14:01:55,0.22.2,38.0,7664.0,7664.0,25.0,https://www.npmjs.com/package/face-api.js,150097.0,150097.0,1.0,,,,,,,,,,,,,,,,,,
20,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-11-11 20:23:54.000000,2023-11-11 19:09:52,7309.0,953.0,516.0,58.0,5052.0,303.0,1370.0,3883.0,2023-11-08 18:24:15,ockam_v0.103.0,100.0,183.0,183.0,293.0,,,13918.0,2.0,,334038.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
21,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-11-11 00:33:39.836772,2023-11-10 04:55:48,24021.0,475.0,3810.0,610.0,4514.0,,,10531.0,2023-10-16 07:04:06,6.6.13,100.0,21.0,21.0,340.0,,,5824.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2023-11-11 00:33:39.836772,128.0,850398.0,,,,,,,,,,,,
22,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-11-10 21:48:38.000000,2023-11-10 20:44:03,3155.0,133.0,273.0,37.0,3747.0,83.0,859.0,3709.0,2023-08-28 14:49:52,0.23.0,100.0,13.0,13.0,91.0,,,17349536.0,2.0,pomerium/pomerium,48850.0,https://hub.docker.com/r/pomerium/pomerium,2023-11-10 20:58:56.719868,10.0,1006215365.0,,,,,,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12848.0,1573.0,224.0,714.0,584.0,50171.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,64333.0,2.0,animcogn/face_recognition,1195.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7030.0,face_recognition,https://pypi.org/project/face_recognition,64231.0,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-10-31 07:51:11.000000,2023-09-19 06:25:53,4731.0,4.0,1647.0,181.0,1683.0,384.0,1327.0,9042.0,2023-04-14 09:36:52,r1.4.1,15.0,81.0,81.0,129.0,,,176519.0,3.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,176519.0,,,,,,,,,
25,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-11-11 20:17:03.000000,2023-11-10 20:20:38,6277.0,157.0,409.0,82.0,3349.0,143.0,1161.0,1544.0,2023-11-08 02:01:22,1.8.4,92.0,121.0,121.0,178.0,,,2275.0,2.0,ghcr.io/spiffe/spire-server,166095.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
26,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-10-01 11:57:13.000000,2023-09-10 02:01:49,2281.0,6.0,4761.0,490.0,149.0,971.0,1337.0,18824.0,2023-04-02 07:43:27,0.7,1.0,1171.0,1171.0,57.0,,,137044.0,2.0,animcogn/insightface,959306.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,-1.0,,,,,
27,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-11-10 13:45:21.000000,2023-10-25 14:03:03,2625.0,73.0,1474.0,177.0,1914.0,280.0,796.0,8557.0,2023-06-30 14:12:39,2.37.0,80.0,143.0,143.0,223.0,,,3.0,2.0,quay.io/dexidp/dex,305.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
28,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-11-10 16:42:28.000000,2023-11-06 23:34:50,3299.0,242.0,208.0,37.0,1216.0,103.0,300.0,3986.0,2023-11-08 08:43:58,1.27.0,60.0,38.0,38.0,37.0,,,51550.0,2.0,authzed/spicedb,31774.0,https://hub.docker.com/r/authzed/spicedb,2023-11-08 08:54:49.376197,4.0,1358863.0,,,,,,,,,,,,
29,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,30,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-10-24 22:47:28.000000,2023-10-24 22:47:08,1782.0,13.0,12496.0,1533.0,513.0,16.0,815.0,47486.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,2731.0,2.0,,155697.0,,,,,,,,,,,,,,,,
30,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,30,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-11-11 16:42:13.000000,2023-10-25 14:29:02,1095.0,18.0,1535.0,110.0,90.0,8.0,790.0,8078.0,,,,2121.0,2121.0,47.0,,,131805.0,2.0,,,,,,,deepface,https://pypi.org/project/deepface,131805.0,,,,,,,,,
31,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-11-10 23:10:55.000000,2023-11-10 21:45:19,3518.0,209.0,251.0,201.0,3712.0,75.0,239.0,3719.0,2023-11-02 16:41:46,0.14.2,48.0,8.0,8.0,146.0,,,230248.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2023-11-02 16:51:18.717636,11.0,10591408.0,,,,,,,,,,,,
32,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-11-11 22:10:22.000000,2023-11-01 11:36:39,608.0,26.0,63.0,39.0,211.0,4.0,83.0,304.0,2023-11-01 11:37:20,7.4.5,100.0,4114.0,4114.0,41.0,https://www.npmjs.com/package/did-jwt,144916.0,144916.0,1.0,,,,,,,,,,,,,,,,,,
33,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,8907.0,1102.0,131.0,541.0,801.0,43251.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3756.0,3.0,,165277.0,,,,,,,,,,,,,,,,
34,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3483.0,759.0,74.0,9.0,370.0,14908.0,2016-02-25 17:42:46,0.2.1,4.0,68.0,68.0,30.0,,,1642.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161002.0,,,,,,,,,,,,
35,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-11-11 09:40:08.191176,2023-11-11 09:16:57,2091.0,234.0,862.0,57.0,1290.0,107.0,992.0,7339.0,2023-11-11 09:34:33,1.452.0,100.0,3.0,3.0,145.0,,,2438.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2023-11-11 09:40:08.191176,9.0,90234.0,,,,,,,,,casbin/casdoor,,,
36,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-11-09 08:27:43.000000,2023-11-09 08:27:43,2381.0,20.0,1003.0,106.0,818.0,24.0,829.0,5211.0,2023-03-29 07:20:04,5.6.6,62.0,8223.0,8223.0,313.0,,,,3.0,,,,,,,,,,,,,,,,doorkeeper,,
37,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-11-08 03:48:48.000000,2023-10-18 14:17:30,1482.0,29.0,309.0,57.0,1086.0,45.0,256.0,4315.0,,,50.0,19.0,19.0,71.0,,,747618.0,3.0,oryd/keto,17703.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,6.0,50817985.0,,,,,,,,,,,,
38,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-11-10 15:54:00.000000,2023-11-10 14:40:53,5135.0,183.0,268.0,38.0,733.0,51.0,245.0,1185.0,2023-09-20 14:53:26,6.3.5,47.0,1424.0,1424.0,294.0,,,,3.0,,,,,,,,,,,,,,,,,,
39,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-11-10 03:31:15.000000,2023-11-06 18:14:04,132.0,14.0,5365.0,426.0,185.0,,,48815.0,2023-11-06 18:16:19,20231106,9.0,21.0,21.0,64.0,,,228040.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,228040.0,,,,,,,,,
40,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-11-11 20:01:02.000000,2023-11-11 18:12:51,4942.0,320.0,954.0,158.0,4770.0,71.0,1081.0,17793.0,2022-12-21 09:01:04,4.37.5,100.0,,,133.0,,,616.0,2.0,,28374.0,,,,,,,,,,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-11-11 16:28:36.000000,2023-11-10 06:50:20,5138.0,571.0,264.0,35.0,4507.0,70.0,237.0,6452.0,2023-11-03 05:40:52,1.10.1,50.0,7.0,7.0,43.0,,,828.0,2.0,svhd/logto,2642.0,https://hub.docker.com/r/svhd/logto,2023-11-03 05:36:21.305020,1.0,20005.0,,,,,,,,,,,,
42,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-11-10 15:03:55.000000,2023-11-10 15:02:53,2684.0,243.0,297.0,31.0,4714.0,425.0,1351.0,5185.0,2023-11-10 10:39:08,2.41.0,100.0,,,84.0,,,378.0,2.0,ghcr.io/zitadel/zitadel,1514.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
43,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-11-10 00:47:26.000000,2023-11-10 00:30:15,6344.0,71.0,538.0,140.0,4272.0,197.0,2668.0,4819.0,2023-11-07 17:37:35,release-2023-11-07,90.0,,,127.0,,,21190.0,2.0,letsencrypt/boulder-tools,59526.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-11-09 21:03:54.828343,13.0,1948996.0,,,,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-10-18 15:30:38.000000,2023-09-08 08:05:44,1354.0,4.0,321.0,48.0,715.0,49.0,275.0,3103.0,2023-07-18 10:23:06,0.40.6,100.0,2.0,2.0,109.0,,,1184271.0,3.0,oryd/oathkeeper,31496.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,33.0,87603751.0,,,,,,,,,,,,
45,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-11-10 17:32:47.000000,2023-11-10 17:32:47,1427.0,95.0,92.0,27.0,1515.0,49.0,266.0,2024.0,2023-10-31 08:08:33,0.31.0,54.0,19.0,19.0,23.0,,,1559.0,3.0,ghcr.io/cerbos/cerbos,49917.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
46,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-11-09 14:24:32.000000,2023-11-09 14:24:30,440.0,11.0,64.0,29.0,141.0,5.0,47.0,179.0,2023-11-08 18:43:25,10.0.0,52.0,1370.0,1370.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,23538.0,23538.0,2.0,,,,,,,,,,,,,,,,,True,
47,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-11-11 12:03:14.000000,2023-11-10 14:44:37,12959.0,772.0,395.0,28.0,5715.0,413.0,1225.0,5012.0,2023-11-09 17:50:51,ersion/2023.10.3,100.0,,,194.0,,,88.0,3.0,,2389.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
48,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-11-06 21:56:37.000000,2023-07-24 15:50:06,1200.0,,159.0,31.0,1520.0,107.0,100.0,3275.0,2023-04-03 23:25:23,0.27.0,100.0,78.0,78.0,63.0,,,41696.0,3.0,,2644.0,,,,,oso,https://pypi.org/project/oso,41616.0,,,,,,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-11-11 08:16:48.000000,2023-11-11 03:04:35,1684.0,226.0,111.0,16.0,1652.0,141.0,477.0,1731.0,2023-10-31 12:08:26,1.1.0-rc.15,17.0,42.0,42.0,57.0,,,233.0,3.0,kanidm/server,136.0,https://hub.docker.com/r/kanidm/server,2023-11-10 06:50:45.104634,,13221.0,,,,,,,,,,,,
50,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-11-11 15:39:14.000000,2023-11-11 15:39:13,33208.0,415.0,51.0,30.0,3707.0,350.0,2412.0,306.0,2023-11-09 16:05:09,1.0.20,100.0,,,110.0,,,223.0,3.0,,447.0,,,,,,,,,,,1.0,,,,,
