,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,updated_github_id,github-id
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-03-07 16:47:04.056164,2024-03-07 16:09:31,5000.0,93.0,1221.0,122.0,4120.0,336.0,2144.0,8994.0,2024-03-06 10:37:47,0.62.1,100.0,3510.0,3510.0,443.0,,,5286504.0,1.0,5890793.0,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2024-03-07 16:47:04.056164,41.0,512564195.0,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,14.0,465.0,68.0,496.0,79.0,293.0,2728.0,2023-01-10 13:13:43,3.2.2,48.0,502307.0,502307.0,195.0,,,93031214.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,93031214.0,,,,,,,,
15,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",39,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-03-06 18:57:13.000000,2024-03-06 18:57:12,3836.0,33.0,1930.0,239.0,4146.0,105.0,2121.0,11790.0,2023-08-15 20:00:30,1.11.1,67.0,5868.0,5868.0,376.0,,,2831523.0,1.0,7155550.0,-1.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,151.0,264193693.0,,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-03-07 15:31:17.000000,2024-03-01 13:30:43,9688.0,87.0,1207.0,127.0,1138.0,84.0,921.0,7537.0,2024-02-26 20:54:49,1.0.0,11.0,1567.0,1567.0,229.0,,,446648.0,1.0,,1.0,,,,,,speechbrain,https://pypi.org/project/speechbrain,446648.0,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-03-07 17:56:17.000000,2024-03-07 14:23:19,24332.0,816.0,5972.0,375.0,14658.0,1779.0,7308.0,19268.0,2024-03-05 08:29:04,24.0.1,53.0,,,1347.0,,,65024.0,1.0,2535954.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
18,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-03-06 11:58:47.000000,2024-03-05 14:14:07,3789.0,53.0,1341.0,232.0,1755.0,82.0,1402.0,14999.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,291.0,,,3917296.0,1.0,729101.0,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,414160029.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
19,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-02-28 01:46:29.000000,2024-02-28 01:46:28,1378.0,16.0,397.0,61.0,188.0,78.0,349.0,4180.0,2023-12-17 12:54:58,1.3.0,33.0,31218.0,31218.0,107.0,,,8250466.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,8250466.0,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-03-07 18:14:14.000000,2024-03-07 18:10:51,19201.0,542.0,3898.0,825.0,19773.0,994.0,4908.0,29391.0,2024-02-29 19:00:00,1.15.6,100.0,7007.0,7007.0,1445.0,,,,1.0,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,1.0,1200.0,310.0,157.0,336.0,428.0,22296.0,,,,1014012.0,1014012.0,38.0,https://www.npmjs.com/package/passport,10505438.0,10505438.0,2.0,,,,,,,,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-03-07 16:43:25.000000,2024-03-07 15:52:56,4155.0,105.0,890.0,108.0,1849.0,177.0,1051.0,10391.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,220.0,,,1613454.0,1.0,37994.0,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,112888693.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-03-06 19:15:16.000000,2024-03-02 20:50:36,1282.0,162.0,1709.0,130.0,145.0,5.0,915.0,9429.0,2024-02-25 15:43:18,0.0.85,5.0,2667.0,2667.0,55.0,,,209174.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,209174.0,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-03-06 19:21:44.000000,2024-03-05 06:21:05,1553.0,28.0,251.0,40.0,384.0,10.0,437.0,5437.0,2024-02-23 20:35:37,@casl/ability@6.7.0,100.0,67373.0,67373.0,68.0,https://www.npmjs.com/package/@casl/ability,2267208.0,2267208.0,1.0,,,,,,,,,,,,,,,,,,
25,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-02-22 16:28:58.000000,2024-02-07 15:34:31,1084.0,4.0,1569.0,232.0,486.0,46.0,743.0,16623.0,2024-02-07 15:35:41,2.82.0,100.0,2751.0,2751.0,139.0,https://www.npmjs.com/package/casbin,193172.0,280499.0,2.0,,,,,,,,casbin,https://pypi.org/project/casbin,87327.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
26,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3536.0,337.0,109.0,433.0,390.0,15947.0,2020-03-22 14:01:55,0.22.2,38.0,8486.0,8486.0,25.0,https://www.npmjs.com/package/face-api.js,150124.0,150124.0,2.0,,,,,,,,,,,,,,,,,,
27,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-03-07 18:14:32.000000,2024-03-07 16:24:47,8110.0,618.0,555.0,59.0,5810.0,314.0,1431.0,4305.0,2024-03-04 23:44:40,ockam_v0.117.0,100.0,183.0,183.0,308.0,,,12953.0,2.0,349742.0,1.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-03-07 17:26:00.000000,2024-03-07 16:21:55,24973.0,736.0,3829.0,605.0,4675.0,,,10704.0,2024-03-01 14:37:08,7.0.2,100.0,21.0,21.0,347.0,,,6102.0,2.0,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2024-03-07 00:32:32.242255,129.0,915376.0,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-03-06 20:06:50.000000,2024-03-06 19:08:44,3595.0,219.0,233.0,37.0,1338.0,99.0,322.0,4331.0,2024-03-05 22:50:13,1.29.5,68.0,46.0,46.0,43.0,,,65935.0,2.0,50024.0,1.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2024-03-05 22:50:13.104070,6.0,1992328.0,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-03-06 23:32:35.673985,2024-03-06 22:45:01,3373.0,136.0,274.0,38.0,4008.0,76.0,883.0,3808.0,2024-01-10 15:55:52,0.25.0,100.0,16.0,16.0,91.0,,,20800276.0,2.0,53913.0,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2024-03-06 23:32:35.673985,10.0,1289552885.0,,,,,,,,,,,
31,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-02-07 18:51:16.000000,2024-01-30 13:06:56,3603.0,4.0,388.0,31.0,523.0,75.0,356.0,537.0,2024-01-30 11:50:06,7.5.0,51.0,1693.0,1693.0,172.0,,,598068.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,598068.0,,,,,,,,
32,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,12993.0,1565.0,227.0,730.0,584.0,51293.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,83996.0,2.0,1227.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7516.0,face_recognition,https://pypi.org/project/face_recognition,83893.0,,,,,,,,
33,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-03-04 02:55:40.000000,2024-03-04 02:55:39,4740.0,4.0,1721.0,183.0,1688.0,445.0,1357.0,9830.0,2023-04-14 09:36:52,r1.4.1,15.0,92.0,92.0,135.0,,,259323.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,259323.0,,,,,,,,
34,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,32,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-03-07 15:22:55.000000,2024-03-07 15:21:25,2319.0,199.0,968.0,59.0,1418.0,110.0,1131.0,8230.0,2024-03-06 12:39:54,1.559.0,100.0,3.0,3.0,168.0,,,3323.0,2.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2024-03-06 12:45:44.195695,13.0,136269.0,,,,,,,,,,,
35,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-03-07 17:21:05.000000,2024-03-07 13:58:12,6476.0,162.0,432.0,78.0,3593.0,142.0,1213.0,1636.0,2024-03-05 22:56:54,1.9.1,99.0,136.0,136.0,185.0,,,2801.0,2.0,215743.0,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
36,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-03-07 16:24:36.000000,2024-03-07 11:49:33,12785.0,719.0,698.0,117.0,6647.0,4014.0,9163.0,738.0,2024-03-04 08:48:32,7.0.0,100.0,,,699.0,,,16003.0,2.0,10528.0,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2021-03-12 19:48:53.680553,34.0,1871456.0,,,,,,,,,,,
37,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-03-07 17:36:19.000000,2024-02-27 13:45:41,2767.0,142.0,1513.0,173.0,2082.0,291.0,805.0,8877.0,2024-01-25 14:31:22,2.38.0,81.0,152.0,152.0,233.0,,,3.0,2.0,306.0,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
38,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-03-07 17:17:37.000000,2024-03-07 13:04:08,4025.0,451.0,257.0,199.0,4157.0,80.0,251.0,3770.0,2024-02-29 17:52:18,0.15.1,51.0,8.0,8.0,155.0,,,259437.0,3.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2024-02-29 17:54:22.065218,12.0,12971868.0,,,,,,,,,,,
39,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-02-21 20:28:08.000000,2024-02-19 04:26:42,442.0,65.0,154.0,37.0,113.0,2.0,88.0,776.0,2024-01-11 16:18:23,2.0.0,25.0,998.0,998.0,27.0,,,77783.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,77783.0,,,,,,,,
40,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,30,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-03-07 17:29:17.000000,2024-03-07 17:29:16,5402.0,357.0,994.0,158.0,5207.0,61.0,1119.0,19001.0,2022-12-21 09:01:04,4.37.5,100.0,,,151.0,,,694.0,2.0,34703.0,,,,,,,,,,,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-03-07 16:13:28.000000,2024-03-07 08:57:59,5756.0,403.0,308.0,40.0,5073.0,74.0,273.0,6985.0,2024-03-01 07:10:09,1.14.0,55.0,11.0,11.0,49.0,,,1439.0,2.0,2794.0,,svhd/logto,https://hub.docker.com/r/svhd/logto,2024-03-01 07:08:17.094617,2.0,43506.0,,,,,,,,,,,
42,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-03-04 03:26:07.000000,2024-03-01 10:55:42,2670.0,64.0,120.0,59.0,307.0,28.0,255.0,796.0,2024-01-31 11:57:05,5.3.0,36.0,129.0,129.0,44.0,,,63641.0,2.0,8994.0,,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,63544.0,,,,,,,,
43,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,29,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,5011.0,497.0,152.0,1027.0,1353.0,20653.0,2023-04-02 07:43:27,0.7,1.0,1754.0,1754.0,58.0,,,203785.0,3.0,2241628.0,-1.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,
44,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-02-24 11:01:49.000000,2024-02-24 11:01:48,2400.0,11.0,1003.0,106.0,826.0,30.0,834.0,5239.0,2024-02-14 08:01:40,.5.6.9,65.0,8555.0,8555.0,319.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
45,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-03-05 09:59:17.000000,2024-03-05 09:59:16,1505.0,23.0,323.0,57.0,1122.0,36.0,273.0,4533.0,,,52.0,26.0,26.0,71.0,,,707059.0,2.0,20934.0,,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,50884741.0,,,,,,,,,,,
46,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-02-02 18:38:20.000000,2024-01-13 04:41:13,1213.0,10.0,167.0,30.0,1526.0,108.0,101.0,3359.0,2024-01-13 04:08:30,0.27.3,100.0,83.0,83.0,66.0,,,36153.0,2.0,2714.0,,,,,,,oso,https://pypi.org/project/oso,36080.0,,,,,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-03-03 15:00:02.000000,2024-02-29 16:18:26,1361.0,7.0,327.0,48.0,720.0,52.0,277.0,3175.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,110.0,,,1128156.0,3.0,36022.0,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,87959346.0,,,,,,,,,,,
48,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-03-06 19:49:59.000000,2024-02-22 20:17:12,3048.0,79.0,291.0,78.0,845.0,284.0,619.0,1761.0,2023-12-17 18:26:45,5.7.8,52.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,555.0,9262.0,1.0,,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-02-22 15:52:31.144612,5.0,992674.0,,,,,,,,,,,
49,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-03-06 15:04:58.000000,2024-03-06 15:04:53,5273.0,103.0,291.0,41.0,771.0,52.0,260.0,1291.0,2024-02-09 14:54:54,7.0.1,54.0,1704.0,1704.0,297.0,,,,2.0,,,,,,,,,,,,,,,,,,
50,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-03-07 15:26:38.000000,2024-02-28 18:12:15,616.0,8.0,64.0,40.0,215.0,4.0,85.0,315.0,2024-02-28 18:12:43,8.0.1,100.0,4539.0,4539.0,41.0,https://www.npmjs.com/package/did-jwt,192734.0,192734.0,1.0,,,,,,,,,,,,,,,,,,
51,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-03-01 11:13:04.000000,2024-03-01 11:12:44,1788.0,5.0,12687.0,1526.0,516.0,16.0,829.0,48711.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4255.0,3.0,259560.0,,,,,,,,,,,,,,,,,
52,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9284.0,1116.0,131.0,541.0,801.0,44788.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3655.0,3.0,175473.0,,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3499.0,761.0,74.0,10.0,370.0,15021.0,2016-02-25 17:42:46,0.2.1,4.0,70.0,70.0,30.0,,,1581.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161295.0,,,,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-03-07 18:08:41.000000,2024-03-07 18:03:10,6475.0,99.0,554.0,137.0,4422.0,203.0,2725.0,4941.0,2024-03-05 22:52:11,release-2024-03-05,100.0,,,129.0,,,20737.0,2.0,66109.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-03-05 20:31:13.477384,13.0,1968446.0,,,,,,,,,,,
