,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,gem_url,updated_github_id,apt_id
10,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],39,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-11-23 17:04:30.000000,2023-11-22 14:00:40,8156.0,150.0,1888.0,147.0,3136.0,167.0,2982.0,10893.0,2023-10-30 12:58:49,1.13.2,100.0,692.0,692.0,418.0,,,1669731.0,1.0,,63449804.0,,,,,,,,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-10-19 15:43:32.000000,2023-03-10 17:27:55,617.0,,1183.0,311.0,156.0,335.0,425.0,21955.0,,,,950961.0,950961.0,38.0,https://www.npmjs.com/package/passport,8938764.0,8938764.0,2.0,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-23 17:30:25.000000,2023-11-23 16:12:46,23374.0,682.0,5656.0,369.0,13408.0,1862.0,6146.0,18085.0,2023-11-23 15:05:15,23.0.0,44.0,,,1285.0,,,63767.0,1.0,quay.io/keycloak/keycloak,2231876.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-23 16:41:55.000000,2023-11-22 02:10:27,9597.0,170.0,1146.0,125.0,1035.0,99.0,866.0,6856.0,2023-11-22 02:28:28,0.5.16,10.0,1184.0,1184.0,223.0,,,159071.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,159071.0,,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-23 17:52:45.000000,2023-11-22 19:54:47,18567.0,586.0,3842.0,834.0,18340.0,924.0,4833.0,28887.0,2023-11-08 19:39:49,1.15.2,100.0,6744.0,6744.0,1424.0,,,,2.0,,,,,,,,,,,,,,,,,
15,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-23 13:02:42.000000,2023-11-23 11:21:07,4044.0,142.0,816.0,107.0,1763.0,177.0,1009.0,9599.0,2023-07-12 20:24:48,1.0.0,43.0,326.0,326.0,214.0,,,1704430.0,1.0,oryd/kratos,35139.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112442047.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
16,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12867.0,1571.0,224.0,716.0,584.0,50285.0,2018-04-02 17:18:43,1.2.2,2.0,1798.0,1798.0,54.0,,,67430.0,1.0,animcogn/face_recognition,1199.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7071.0,face_recognition,https://pypi.org/project/face_recognition,67327.0,,,,,,,,
17,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-11-21 22:30:13.000000,2023-11-21 22:26:44,1523.0,31.0,251.0,42.0,360.0,13.0,428.0,5257.0,2023-11-21 22:26:52,@casl/angular@8.2.3,100.0,59032.0,59032.0,67.0,https://www.npmjs.com/package/@casl/ability,1985763.0,1985763.0,2.0,,,,,,,,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-11-23 10:01:10.000000,2023-11-22 14:28:37,1079.0,7.0,1537.0,231.0,481.0,36.0,735.0,16048.0,2023-11-22 14:29:49,2.78.0,100.0,2592.0,2592.0,135.0,https://www.npmjs.com/package/casbin,164847.0,280161.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,115314.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
19,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3503.0,334.0,107.0,422.0,389.0,15630.0,2020-03-22 14:01:55,0.22.2,38.0,7764.0,7764.0,25.0,https://www.npmjs.com/package/face-api.js,146087.0,146087.0,2.0,,,,,,,,,,,,,,,,,
20,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],34,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-11-22 16:48:20.000000,2023-11-22 16:48:19,3736.0,33.0,1325.0,233.0,1725.0,76.0,1390.0,14697.0,2023-05-24 08:55:23,2.1.2,100.0,2.0,2.0,290.0,,,4024463.0,2.0,oryd/hydra,666220.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,409496016.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
21,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-11-23 18:10:45.067946,2023-11-23 16:14:55,24111.0,496.0,3812.0,608.0,4535.0,,,10557.0,2023-11-17 08:24:37,6.6.14,100.0,21.0,21.0,340.0,,,5857.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2023-11-23 18:10:45.067946,128.0,855138.0,,,,,,,,,,,
22,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-11-23 17:46:36.000000,2023-11-23 15:29:24,7342.0,800.0,519.0,58.0,5104.0,303.0,1374.0,3901.0,2023-11-23 16:57:52,ockam_v0.105.0,100.0,183.0,183.0,293.0,,,13995.0,2.0,,335898.0,,,,,,,,,,,build-trust/ockam/ockam,-1.0,,,
23,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-11-22 15:58:41.000000,2023-11-21 22:45:16,3172.0,140.0,273.0,37.0,3763.0,83.0,862.0,3720.0,2023-11-16 19:06:01,0.24.0,100.0,13.0,13.0,91.0,,,17680655.0,2.0,pomerium/pomerium,49081.0,https://hub.docker.com/r/pomerium/pomerium,2023-11-21 22:54:02.984837,10.0,1025418717.0,,,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-11-22 09:22:15.000000,2023-11-22 09:22:15,4732.0,5.0,1656.0,182.0,1685.0,402.0,1330.0,9135.0,2023-04-14 09:36:52,r1.4.1,15.0,84.0,84.0,129.0,,,175614.0,3.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,175614.0,,,,,,,,
25,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,32,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-11-22 12:02:21.000000,2023-11-22 12:02:21,1104.0,27.0,1558.0,112.0,91.0,9.0,790.0,8257.0,,,,2182.0,2182.0,48.0,,,145664.0,2.0,,,,,,,deepface,https://pypi.org/project/deepface,145664.0,,,,,1.0,,,
26,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-11-23 17:40:59.000000,2023-11-23 12:52:07,6298.0,157.0,412.0,83.0,3376.0,143.0,1166.0,1558.0,2023-11-22 22:09:56,1.8.5,93.0,122.0,122.0,179.0,,,2313.0,2.0,ghcr.io/spiffe/spire-server,168891.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
27,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-11-14 17:36:10.000000,2023-09-10 02:01:49,2281.0,5.0,4798.0,492.0,150.0,978.0,1344.0,19028.0,2023-04-02 07:43:27,0.7,1.0,1227.0,1227.0,57.0,,,152865.0,2.0,animcogn/insightface,1070054.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,,,
28,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-11-21 22:33:12.000000,2023-10-25 14:03:03,2625.0,63.0,1475.0,176.0,1923.0,282.0,796.0,8584.0,2023-06-30 14:12:39,2.37.0,80.0,144.0,144.0,223.0,,,3.0,2.0,quay.io/dexidp/dex,305.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-11-23 12:42:45.000000,2023-11-17 07:59:15,3336.0,247.0,211.0,37.0,1229.0,102.0,302.0,4017.0,2023-11-08 08:43:58,1.27.0,61.0,38.0,38.0,37.0,,,54190.0,2.0,authzed/spicedb,34240.0,https://hub.docker.com/r/authzed/spicedb,2023-11-15 14:11:09.368794,4.0,1427623.0,,,,,,,,,,,
30,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,30,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,13.0,12522.0,1530.0,514.0,16.0,815.0,47638.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,2945.0,3.0,,167921.0,,,,,,,,,,,,,,,
31,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-11-23 16:49:04.000000,2023-11-23 07:56:12,2384.0,23.0,1006.0,107.0,820.0,26.0,829.0,5213.0,2023-11-23 07:57:30,5.6.7,63.0,8253.0,8253.0,314.0,,,,3.0,,,,,,,,,,,,,,1.0,doorkeeper,,
32,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-11-23 18:06:07.000000,2023-11-21 16:30:02,3525.0,200.0,251.0,204.0,3736.0,75.0,239.0,3720.0,2023-11-02 16:41:46,0.14.2,48.0,8.0,8.0,146.0,,,235770.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2023-11-02 16:51:18.717636,11.0,10845460.0,,,,,,,,,,,
33,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,30,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-11-20 21:58:32.000000,2023-11-20 21:58:29,5159.0,204.0,271.0,38.0,740.0,48.0,248.0,1199.0,2023-11-14 18:44:21,6.3.6,49.0,1466.0,1466.0,295.0,,,,3.0,,,,,,,,,,,,,,,,,
34,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-11-23 17:07:12.000000,2023-11-01 11:36:39,608.0,24.0,63.0,40.0,211.0,4.0,83.0,305.0,2023-11-01 11:37:20,7.4.5,100.0,4164.0,4164.0,41.0,https://www.npmjs.com/package/did-jwt,146687.0,146687.0,1.0,,,,,,,,,,,,,,,,,
35,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,8949.0,1101.0,131.0,541.0,801.0,43393.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3780.0,3.0,,166349.0,,,,,,,,,,,,,,,
36,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3483.0,759.0,74.0,9.0,370.0,14921.0,2016-02-25 17:42:46,0.2.1,4.0,68.0,68.0,30.0,,,1642.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161009.0,,,,,,,,,,,
37,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-11-23 17:06:28.000000,2023-11-23 17:04:23,2105.0,208.0,870.0,57.0,1300.0,103.0,1010.0,7438.0,2023-11-22 16:04:23,1.460.0,100.0,3.0,3.0,148.0,,,2621.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2023-11-22 16:10:15.525570,9.0,97008.0,,,,,,,,,,casbin/casdoor,
38,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-11-21 03:50:37.000000,2023-10-18 14:17:30,1482.0,25.0,312.0,57.0,1093.0,45.0,256.0,4348.0,,,50.0,21.0,21.0,71.0,,,747719.0,3.0,oryd/keto,17868.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50824728.0,,,,,,,,,,,
39,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-11-22 05:52:42.000000,2023-11-17 19:59:28,134.0,16.0,5547.0,442.0,189.0,,,50507.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,65.0,,,224009.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,224009.0,,,,,,,,
40,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-11-23 16:18:58.000000,2023-11-23 14:33:57,4992.0,311.0,962.0,158.0,4820.0,72.0,1085.0,17920.0,2022-12-21 09:01:04,4.37.5,100.0,,,137.0,,,628.0,2.0,,28915.0,,,,,,,,,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is the most scalable Auth0 alternative designed for apps of..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-11-23 10:54:05.000000,2023-11-23 09:04:32,5242.0,599.0,269.0,35.0,4596.0,74.0,239.0,6495.0,2023-11-14 13:14:01,1.11.0,51.0,7.0,7.0,43.0,,,874.0,2.0,svhd/logto,2667.0,https://hub.docker.com/r/svhd/logto,2023-11-14 13:07:13.973838,2.0,21294.0,,,,,,,,,,,
42,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-11-23 18:03:53.000000,2023-11-23 14:17:50,2710.0,220.0,309.0,32.0,4745.0,435.0,1363.0,5337.0,2023-11-23 08:33:54,2.40.8,100.0,,,87.0,,,788.0,2.0,ghcr.io/zitadel/zitadel,2365.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,
43,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-11-22 23:04:04.000000,2023-11-22 21:45:17,6354.0,76.0,540.0,140.0,4284.0,198.0,2671.0,4838.0,2023-11-20 21:23:17,release-2023-10-10,94.0,,,127.0,,,21218.0,2.0,letsencrypt/boulder-tools,59817.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-11-09 21:03:54.828343,13.0,1950447.0,,,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-10-18 15:30:38.000000,2023-09-08 08:05:44,1354.0,4.0,320.0,48.0,715.0,49.0,275.0,3112.0,2023-07-18 10:23:06,0.40.6,100.0,2.0,2.0,109.0,,,1184838.0,3.0,oryd/oathkeeper,31923.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87645261.0,,,,,,,,,,,
45,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-11-23 14:04:28.000000,2023-11-23 14:04:27,1440.0,96.0,94.0,28.0,1528.0,47.0,272.0,2056.0,2023-10-31 08:08:33,0.31.0,54.0,19.0,19.0,23.0,,,1589.0,3.0,ghcr.io/cerbos/cerbos,50858.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
46,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-11-20 03:40:23.000000,2023-11-20 01:05:41,442.0,13.0,64.0,29.0,141.0,5.0,47.0,180.0,2023-11-08 18:43:25,10.0.0,52.0,1384.0,1384.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,22871.0,22871.0,2.0,,,,,,,,,,,,,,,,,
47,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-11-23 14:19:20.000000,2023-11-23 10:43:39,13083.0,812.0,405.0,28.0,5852.0,411.0,1251.0,5100.0,2023-11-21 19:09:26,ersion/2023.8.5,100.0,,,195.0,,,95.0,3.0,,2470.0,,,,,,,,https://charts.goauthentik.io,,,,,,,
48,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-11-20 13:55:16.000000,2023-11-18 02:39:57,1203.0,3.0,161.0,31.0,1522.0,107.0,100.0,3284.0,2023-04-03 23:25:23,0.27.0,100.0,78.0,78.0,65.0,,,39944.0,3.0,,2647.0,,,,,oso,https://pypi.org/project/oso,39864.0,,,,,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-11-23 08:01:24.000000,2023-11-22 00:18:03,1696.0,202.0,113.0,16.0,1665.0,142.0,484.0,1767.0,2023-10-31 12:08:26,1.1.0-rc.15,17.0,42.0,42.0,58.0,,,254.0,3.0,kanidm/server,144.0,https://hub.docker.com/r/kanidm/server,2023-11-20 23:39:00.355837,,14317.0,,,,,,,,,,,
50,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-11-23 16:50:30.000000,2023-11-23 16:50:29,33248.0,424.0,52.0,31.0,3740.0,332.0,2458.0,313.0,2023-11-09 16:05:09,1.0.20,100.0,,,109.0,,,334.0,3.0,,668.0,,,,,,,,,,,,,,,
51,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],27,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-11-20 19:31:14.000000,2023-11-20 01:17:52,380.0,7.0,40.0,23.0,127.0,3.0,18.0,194.0,2023-03-08 14:05:37,4.1.0,24.0,5043.0,5043.0,24.0,https://www.npmjs.com/package/did-resolver,165252.0,165252.0,2.0,,,,,,,,,,,,,,,,,
