,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-07-24 13:36:46.000000,2025-07-24 13:36:45,9700.0,191.0,2169.0,151.0,4002.0,149.0,3426.0,12994.0,2025-07-02 14:34:58,1.18.2,100.0,2006.0,2006.0,513.0,,,2886588.0,1.0,1.0,106803768.0,,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",42,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-07-24 10:30:57.032055,2025-07-24 09:49:09,5807.0,210.0,1423.0,133.0,4977.0,373.0,2414.0,10508.0,2025-06-30 09:30:13,1.6.0,100.0,5729.0,5729.0,525.0,,,5507113.0,1.0,,16215539.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-07-24 10:30:57.032055,44.0,603240926.0,,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,42,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-07-22 21:52:59.000000,2025-07-22 21:52:59,1774.0,70.0,481.0,64.0,512.0,83.0,303.0,2903.0,2025-06-20 05:53:03,3.3.1,50.0,637071.0,637071.0,199.0,,,173244712.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,173244712.0,,,,,,,,,
15,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-07-22 22:17:26.000000,2025-07-22 22:17:24,4246.0,116.0,2192.0,233.0,4795.0,232.0,2196.0,13362.0,2025-06-06 11:42:00,1.12.2,72.0,13845.0,13845.0,437.0,,,2935736.0,1.0,,8978675.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-06-06 11:43:43.926071,161.0,319315588.0,,,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-07-18 16:29:45.000000,2025-07-18 16:29:45,10544.0,40.0,1498.0,132.0,1394.0,120.0,1040.0,10168.0,2025-04-07 17:05:07,1.0.3,14.0,3829.0,3829.0,263.0,,,945422.0,1.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,945422.0,,,,,,,,,
17,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-07-23 12:26:55.000000,2025-07-23 12:26:55,2024.0,33.0,2659.0,177.0,291.0,7.0,1188.0,19922.0,2024-08-17 07:30:49,0.0.93,13.0,8309.0,8309.0,92.0,,,748632.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,748632.0,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-07-24 01:05:14.000000,2025-07-24 00:03:31,1553.0,35.0,485.0,60.0,258.0,108.0,392.0,4908.0,2025-07-20 07:41:19,1.6.1,42.0,45142.0,45142.0,129.0,,,29397765.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,29397765.0,authlib/authlib,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-07-24 18:21:30.000000,2025-07-24 18:17:51,21572.0,470.0,4295.0,791.0,24813.0,1131.0,5234.0,32805.0,2025-06-25 13:57:41,1.20.0,100.0,14811.0,14811.0,1608.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,37,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-07-21 12:44:53.000000,2025-07-21 12:41:36,1116.0,5.0,1677.0,241.0,531.0,35.0,807.0,18910.0,2025-07-21 12:43:06,2.110.0,100.0,3476.0,3476.0,154.0,https://www.npmjs.com/package/casbin,431839.0,843065.0,1.0,,,,,,,,casbin,https://pypi.org/project/casbin,411226.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1225.0,299.0,162.0,352.0,430.0,23370.0,,,,1311348.0,1311348.0,38.0,https://www.npmjs.com/package/passport,16495282.0,16495282.0,2.0,,,,,,,,,,,,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13386.0,1565.0,242.0,774.0,595.0,55129.0,2018-04-02 17:18:43,1.2.2,2.0,5525.0,5525.0,54.0,,,173873.0,2.0,,1423.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9608.0,face_recognition,https://pypi.org/project/face_recognition,173763.0,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-07-24 16:37:41.000000,2025-07-24 16:37:39,4110.0,83.0,1456.0,238.0,1915.0,79.0,1481.0,16454.0,2025-01-17 08:51:44,2.3.0,100.0,,,311.0,,,3515613.0,2.0,,963120.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,427554289.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-07-22 07:35:47.000000,2025-06-26 04:52:42,4886.0,8.0,1920.0,188.0,1898.0,250.0,1739.0,12089.0,2025-03-05 07:11:35,r1.5.0,17.0,160.0,160.0,158.0,,,477707.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,477707.0,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-07-24 16:55:13.142139,2025-07-24 16:39:01,2840.0,91.0,1370.0,79.0,1938.0,117.0,1655.0,11946.0,2025-07-24 16:48:32,1.986.0,100.0,11.0,11.0,235.0,,,11593.0,1.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-07-24 16:55:13.142139,20.0,660819.0,,,,,,,,,,,,
26,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-07-24 16:41:53.000000,2025-07-24 16:11:22,28912.0,1308.0,3913.0,595.0,5945.0,,,11277.0,2025-06-27 11:09:11,7.2.4,100.0,21.0,21.0,364.0,,,7501.0,1.0,,6.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-07-06 01:19:54.901618,131.0,1245271.0,,,,,,,,,,,,
27,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,34,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-07-24 00:39:44.000000,2025-04-16 03:36:29,1661.0,,280.0,40.0,470.0,20.0,474.0,6471.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,101103.0,101103.0,72.0,https://www.npmjs.com/package/@casl/ability,3096567.0,3096567.0,2.0,,,,,,,,,,,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-07-23 18:58:53.000000,2025-07-11 05:28:20,9717.0,340.0,556.0,56.0,7242.0,,1780.0,4557.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,188.0,188.0,318.0,,,10634.0,2.0,,404115.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-07-24 18:07:12.000000,2025-07-24 17:55:46,4977.0,216.0,325.0,51.0,1910.0,88.0,434.0,5887.0,2025-07-10 21:37:50,1.45.1,100.0,122.0,122.0,62.0,,,111724.0,2.0,,181834.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-07-10 21:44:30.648335,7.0,5065305.0,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-07-24 18:14:23.000000,2025-07-23 22:18:19,3848.0,113.0,304.0,43.0,4629.0,103.0,957.0,4368.0,2025-07-16 22:23:15,0.30.3,100.0,22.0,22.0,96.0,,,20677810.0,2.0,,67876.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-07-24 18:11:53.587215,13.0,1612782505.0,,,,,,,,,,,,
31,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-07-24 08:00:36.000000,2025-07-24 08:00:31,2694.0,47.0,762.0,68.0,261.0,,,3487.0,2025-07-17 20:37:48,9.4.0,100.0,1831.0,1831.0,74.0,https://www.npmjs.com/package/oidc-provider,539767.0,539767.0,2.0,1.0,,,,,,,,,,,,,,,,,,
32,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-07-24 16:41:05.000000,2025-07-23 20:12:44,7282.0,117.0,501.0,77.0,4593.0,144.0,1461.0,1998.0,2025-07-01 21:39:47,1.12.4,100.0,169.0,169.0,218.0,,,10559.0,2.0,,696953.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-19 04:53:23.000000,2025-02-10 21:50:06,3612.0,,416.0,29.0,549.0,92.0,358.0,587.0,2025-02-10 21:52:03,7.5.2,53.0,2080.0,2080.0,175.0,,,1551236.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1551236.0,,,,,,,,,
34,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,32,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-06-26 01:05:52.000000,2025-06-26 01:05:47,166.0,12.0,10295.0,664.0,312.0,,,85469.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,897457.0,2.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,897457.0,,,,,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-07-14 13:20:52.000000,2025-07-14 13:20:52,2368.0,8.0,5616.0,511.0,196.0,1187.0,1391.0,25959.0,2023-04-02 07:43:27,0.7,1.0,4689.0,4689.0,66.0,,,335983.0,2.0,,9071512.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,195.0,,,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-07-24 13:31:08.000000,2025-07-24 00:05:30,7778.0,473.0,1244.0,163.0,7786.0,54.0,1303.0,24741.0,2025-07-13 06:12:47,4.39.5,100.0,,,238.0,,,961.0,2.0,,59597.0,,,,,,,,,,,,,,,,,
37,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-07-24 13:03:22.000000,2025-07-24 13:03:20,4733.0,90.0,1002.0,113.0,2213.0,155.0,1244.0,12146.0,2024-10-28 10:21:42,1.3.1,47.0,,,235.0,,,1332182.0,2.0,,53258.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114498417.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
38,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-07-24 13:18:23.000000,2025-07-24 13:17:18,1657.0,51.0,358.0,56.0,1343.0,34.0,292.0,5083.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,76.0,,,582978.0,2.0,,29968.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51269171.0,,,,,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-07-24 16:47:09.000000,2025-07-24 16:47:09,16584.0,742.0,778.0,113.0,8421.0,1333.0,14924.0,833.0,2025-02-28 19:19:04,7.1.0,100.0,,,720.0,,,14970.0,2.0,,17608.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1972596.0,,,,,,,,,,,,
40,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-07-24 18:03:46.000000,2025-07-24 16:11:32,18172.0,1022.0,1227.0,71.0,12060.0,680.0,2531.0,17402.0,2025-07-22 13:08:15,ersion/2025.4.4,100.0,,,405.0,,,237.0,2.0,,6873.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
41,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-07-24 04:44:52.000000,2025-07-18 11:48:11,3359.0,96.0,1705.0,176.0,2780.0,324.0,848.0,10013.0,2025-05-22 09:03:17,2.43.1,91.0,172.0,172.0,275.0,,,3.0,2.0,,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-07-24 18:26:55.000000,2025-07-24 16:12:02,4712.0,97.0,286.0,197.0,5558.0,106.0,277.0,3957.0,2025-07-10 13:03:54,0.19.3,70.0,11.0,11.0,184.0,,,303093.0,3.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-07-10 13:10:28.292982,18.0,20004159.0,,,,,,,,,,,,
43,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,31,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-07-22 11:31:26.000000,2025-07-22 11:26:11,2934.0,74.0,130.0,62.0,322.0,37.0,309.0,970.0,2025-06-09 16:31:27,5.7.2,44.0,191.0,191.0,48.0,,,136384.0,2.0,,24468.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,136158.0,,,,,,,,,
44,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-07-24 16:09:46.000000,2025-07-24 03:16:09,7591.0,169.0,567.0,49.0,6786.0,146.0,527.0,10483.0,2025-06-27 05:47:28,1.29.0,72.0,27.0,27.0,75.0,,,5786.0,2.0,,5784.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-07-24 03:21:04.693459,5.0,276294.0,,,,,,,,,,,,
45,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-07-24 13:13:46.000000,2025-07-24 13:13:44,1466.0,37.0,360.0,50.0,761.0,61.0,297.0,3443.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,114.0,,,960041.0,3.0,,54534.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90188279.0,,,,,,,,,,,,
46,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-07-24 17:07:03.000000,2025-07-24 12:22:32,3805.0,142.0,761.0,57.0,6453.0,748.0,2228.0,11260.0,2025-07-15 15:27:51,2.70.14,100.0,1.0,1.0,202.0,,,1896.0,3.0,,9482.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,,
47,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-07-24 17:45:11.000000,2025-07-23 23:49:04,7076.0,106.0,597.0,139.0,5097.0,164.0,3022.0,5514.0,2025-07-21 21:28:38,0.20250721.0,100.0,,,139.0,,,17637.0,2.0,,37240.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-06-07 00:37:44.409943,13.0,2014786.0,,,,,,,,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-06-09 12:25:18.000000,2025-06-09 12:25:18,2507.0,4.0,1033.0,105.0,875.0,45.0,848.0,5414.0,2025-04-04 08:29:47,5.8.2,70.0,10429.0,10429.0,332.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-07-24 07:35:52.000000,2025-07-24 07:35:52,2067.0,69.0,162.0,34.0,2202.0,44.0,354.0,3962.0,2025-06-30 11:22:06,0.45.1,69.0,32.0,32.0,33.0,,,2329.0,3.0,,121158.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-07-23 22:54:50.000000,2025-07-23 22:54:50,2432.0,98.0,244.0,25.0,2534.0,213.0,835.0,3728.0,2025-06-11 06:06:42,1.6.4,40.0,42.0,42.0,123.0,,,8010.0,3.0,,420.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-07-23 04:44:45.952874,4.0,616346.0,,,,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-07-24 17:48:08.000000,2025-07-24 13:34:47,7431.0,312.0,383.0,39.0,1293.0,7.0,318.0,1555.0,2025-06-04 20:30:12,is-7.2.4,84.0,2934.0,2934.0,338.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
52,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-07-24 14:38:42.000000,2025-06-06 23:27:47,654.0,8.0,71.0,38.0,229.0,6.0,86.0,360.0,2025-06-06 23:28:08,8.0.17,100.0,5988.0,5988.0,42.0,https://www.npmjs.com/package/did-jwt,398413.0,398413.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
53,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-07-11 17:20:12.000000,2025-07-11 17:20:07,1837.0,6.0,13285.0,1540.0,526.0,33.0,845.0,54294.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7550.0,3.0,,581384.0,,,,,,,,,,,,,,,,,
