,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,pypi_id,pypi_url,pypi_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-06-19 12:37:10.000000,2025-06-19 12:37:10,9653.0,233.0,2167.0,152.0,3974.0,148.0,3412.0,12912.0,2025-06-18 11:24:16,1.18.1,100.0,1937.0,1937.0,509.0,,,3088188.0,1.0,,111174793.0,,,,,,,,,,,,,,,,,
13,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,42,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-06-21 07:48:27.000000,2025-06-21 07:48:27,1770.0,66.0,478.0,64.0,509.0,81.0,301.0,2891.0,2025-06-20 05:53:03,3.3.1,50.0,636153.0,636153.0,199.0,,,155885038.0,1.0,,,oauthlib,https://pypi.org/project/oauthlib,155885038.0,,,,,,,,,,,,,,
14,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-06-23 15:32:32.000000,2025-06-19 21:49:37,4215.0,112.0,2178.0,233.0,4762.0,234.0,2191.0,13268.0,2025-06-06 11:42:00,1.12.2,72.0,13775.0,13775.0,433.0,,,2951185.0,1.0,,8859996.0,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-06-06 11:43:43.926071,161.0,318215441.0,,,,,,,,,
15,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-06-26 13:34:50.062828,2025-06-26 12:49:37,5751.0,189.0,1409.0,134.0,4921.0,373.0,2403.0,10420.0,2025-06-04 09:21:58,1.5.1,100.0,5606.0,5606.0,521.0,,,5534232.0,1.0,,15378983.0,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-06-26 13:34:50.062828,44.0,602161461.0,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-06-18 02:07:31.000000,2025-06-10 13:24:15,10538.0,45.0,1488.0,134.0,1385.0,118.0,1037.0,10047.0,2025-04-07 17:05:07,1.0.3,14.0,3804.0,3804.0,262.0,,,934209.0,1.0,,,speechbrain,https://pypi.org/project/speechbrain,934209.0,,,,,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-06-13 08:34:59.000000,2025-06-13 08:34:10,1547.0,70.0,481.0,60.0,256.0,106.0,390.0,4880.0,2025-05-23 06:59:27,1.6.0,41.0,44795.0,44795.0,129.0,,,30617569.0,1.0,,,authlib,https://pypi.org/project/authlib,30617569.0,,,,,,authlib/authlib,,,,,,,,
18,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-06-18 13:44:53.000000,2025-06-18 13:44:53,2000.0,34.0,2605.0,178.0,287.0,6.0,1182.0,19483.0,2024-08-17 07:30:49,0.0.93,13.0,8276.0,8276.0,90.0,,,623466.0,1.0,,,deepface,https://pypi.org/project/deepface,623466.0,,,,,,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-06-26 18:29:51.000000,2025-06-26 18:26:06,21453.0,470.0,4271.0,795.0,24589.0,1118.0,5223.0,32663.0,2025-06-25 13:57:41,1.20.0,100.0,14746.0,14746.0,1596.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,37,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-06-21 15:15:01.000000,2025-06-21 15:11:39,1114.0,4.0,1673.0,241.0,526.0,44.0,798.0,18797.0,2025-06-21 15:12:58,2.108.0,100.0,3453.0,3453.0,153.0,https://www.npmjs.com/package/casbin,327083.0,590142.0,1.0,,,casbin,https://pypi.org/project/casbin,263059.0,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1223.0,299.0,162.0,351.0,430.0,23338.0,,,,1309938.0,1309938.0,38.0,https://www.npmjs.com/package/passport,16193883.0,16193883.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-06-24 10:59:41.000000,2025-06-24 10:59:40,4065.0,45.0,1451.0,239.0,1909.0,78.0,1478.0,16372.0,2025-01-17 08:51:44,2.3.0,100.0,,,308.0,,,3543081.0,2.0,,945629.0,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,427382462.0,,,,https://k8s.ory.sh/helm/charts,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13374.0,1567.0,241.0,773.0,594.0,54982.0,2018-04-02 17:18:43,1.2.2,2.0,5513.0,5513.0,54.0,,,219917.0,2.0,,1418.0,face_recognition,https://pypi.org/project/face_recognition,219808.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9491.0,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-06-26 04:52:42.000000,2025-06-26 04:52:42,4886.0,22.0,1909.0,188.0,1895.0,456.0,1523.0,12024.0,2025-03-05 07:11:35,r1.5.0,17.0,159.0,159.0,158.0,,,412041.0,2.0,,,paddlepaddle,https://pypi.org/project/paddlepaddle,412041.0,,,,,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-06-26 18:24:30.997340,2025-06-26 18:08:18,2800.0,79.0,1353.0,78.0,1896.0,116.0,1616.0,11799.0,2025-06-26 18:17:51,1.950.0,100.0,11.0,11.0,231.0,,,11145.0,1.0,,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-06-26 18:24:30.997340,19.0,624165.0,,,,,,,,,
26,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-06-26 14:36:13.000000,2025-06-26 13:21:33,28488.0,1290.0,3910.0,596.0,5804.0,,,11260.0,2025-05-30 08:52:19,7.2.3,100.0,21.0,21.0,362.0,,,7416.0,1.0,,,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-06-26 01:21:18.604457,131.0,1223649.0,,,,,,,,,
27,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,34,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-06-16 11:01:09.000000,2025-04-16 03:36:29,1661.0,2.0,280.0,40.0,470.0,19.0,473.0,6440.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,100988.0,100988.0,72.0,https://www.npmjs.com/package/@casl/ability,3177292.0,3177292.0,2.0,,,,,,,,,,,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-06-26 18:23:40.000000,2025-06-26 13:08:40,9675.0,388.0,556.0,57.0,7211.0,,1780.0,4540.0,2025-06-20 21:26:54,ockam_v0.155.0,100.0,188.0,188.0,318.0,,,10890.0,2.0,,402938.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-06-26 16:32:11.000000,2025-06-26 16:21:24,4932.0,312.0,319.0,50.0,1878.0,101.0,415.0,5811.0,2025-06-16 19:43:23,1.44.4,98.0,116.0,116.0,60.0,,,109290.0,2.0,,174321.0,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-06-16 19:49:10.837268,7.0,4849183.0,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-06-26 18:28:29.188259,2025-06-26 17:49:52,3794.0,87.0,301.0,42.0,4558.0,104.0,954.0,4329.0,2025-05-22 16:13:27,0.29.4,100.0,22.0,22.0,95.0,,,20945510.0,2.0,,68699.0,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-06-26 18:28:29.188259,12.0,1612717595.0,,,,,,,,,
31,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-06-25 11:06:46.000000,2025-06-25 11:06:41,2671.0,115.0,760.0,69.0,259.0,,,3442.0,2025-06-24 09:09:10,9.2.0,100.0,1803.0,1803.0,74.0,https://www.npmjs.com/package/oidc-provider,479787.0,479787.0,2.0,,,,,,,,,,,,,,,,,,,
32,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-06-26 16:02:56.000000,2025-06-26 12:13:22,7244.0,111.0,499.0,77.0,4547.0,145.0,1457.0,1976.0,2025-06-17 21:39:13,1.12.3,100.0,168.0,168.0,217.0,,,9868.0,2.0,,651293.0,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-19 04:53:23.000000,2025-02-10 21:50:06,3612.0,,414.0,29.0,547.0,90.0,358.0,586.0,2025-02-10 21:52:03,7.5.2,53.0,2058.0,2058.0,175.0,,,1482575.0,2.0,,,pysaml2,https://pypi.org/project/pysaml2,1482575.0,,,,,,,,,,,,,,
34,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,32,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-06-26 01:05:52.000000,2025-06-26 01:05:47,166.0,12.0,10049.0,656.0,304.0,,,83933.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,733631.0,2.0,2.0,,openai-whisper,https://pypi.org/project/openai-whisper,733631.0,,,,,,,,,,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-06-16 05:23:39.000000,2025-06-16 05:23:39,2367.0,8.0,5570.0,512.0,196.0,1182.0,1391.0,25589.0,2023-04-02 07:43:27,0.7,1.0,4657.0,4657.0,66.0,,,333397.0,2.0,-1.0,8668277.0,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,194.0,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-06-26 17:06:46.000000,2025-06-26 17:06:45,7573.0,428.0,1227.0,164.0,7566.0,55.0,1295.0,24241.0,2025-05-25 02:27:28,4.39.4,100.0,,,233.0,,,945.0,2.0,,57651.0,,,,,,,,,,,,,,,,,
37,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-06-26 09:13:24.000000,2025-06-26 09:13:23,4702.0,78.0,994.0,113.0,2210.0,156.0,1240.0,12050.0,2024-10-28 10:21:42,1.3.1,47.0,,,235.0,,,1346473.0,2.0,,52564.0,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114381575.0,,,,https://k8s.ory.sh/helm/charts,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-06-26 16:47:13.000000,2025-06-26 16:47:13,16305.0,675.0,752.0,114.0,8290.0,1245.0,14778.0,815.0,2025-02-28 19:19:04,7.1.0,100.0,,,719.0,,,15044.0,2.0,,17317.0,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1968652.0,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-06-26 17:16:42.000000,2025-06-26 15:40:40,17813.0,1042.0,1182.0,70.0,11643.0,646.0,2487.0,16688.0,2025-06-16 17:54:39,ersion/2025.6.2,100.0,,,389.0,,,228.0,2.0,,6630.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Auth infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-06-26 14:20:51.000000,2025-06-26 05:12:40,7508.0,231.0,553.0,50.0,6703.0,136.0,521.0,10330.0,2025-05-26 13:25:04,1.28.0,71.0,25.0,25.0,75.0,,,5753.0,2.0,,5712.0,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-06-26 05:16:31.615433,5.0,268959.0,,,,,,,,,
41,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-06-26 04:18:55.000000,2025-06-21 10:08:11,3346.0,132.0,1690.0,176.0,2748.0,319.0,847.0,9965.0,2025-05-22 09:03:17,2.43.1,91.0,171.0,171.0,272.0,,,3.0,2.0,,357.0,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,
42,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-06-26 03:19:59.000000,2025-06-20 11:11:44,1621.0,20.0,358.0,56.0,1332.0,35.0,291.0,5058.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,75.0,,,589513.0,2.0,,29644.0,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51255044.0,,,,,,,,,
43,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-06-26 15:46:51.000000,2025-06-25 18:34:50,4683.0,82.0,284.0,200.0,5488.0,107.0,276.0,3946.0,2025-05-08 17:05:22,0.19.2,69.0,11.0,11.0,184.0,,,303014.0,3.0,,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-05-08 17:14:37.402104,18.0,19695963.0,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-06-20 11:16:29.000000,2025-06-20 11:15:51,1442.0,13.0,356.0,50.0,759.0,63.0,295.0,3424.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,113.0,,,969791.0,3.0,,53330.0,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90136131.0,,,,,,,,,
45,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],31,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-06-26 17:15:24.000000,2025-06-06 23:27:47,654.0,18.0,71.0,38.0,228.0,5.0,86.0,357.0,2025-06-06 23:28:08,8.0.17,100.0,5976.0,5976.0,42.0,https://www.npmjs.com/package/did-jwt,462645.0,462645.0,1.0,7.0,,,,,,,,,,,,,,,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-06-19 11:05:43.000000,2025-06-19 09:56:16,2919.0,65.0,131.0,63.0,321.0,34.0,307.0,956.0,2025-06-09 16:31:27,5.7.2,44.0,186.0,186.0,48.0,,,111059.0,2.0,,23537.0,yubikey-manager,https://pypi.org/project/yubikey-manager,110840.0,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-06-26 17:35:35.000000,2025-06-26 16:17:45,3752.0,116.0,741.0,58.0,6359.0,716.0,2194.0,10954.0,2025-06-12 06:54:48,3.3.0,100.0,1.0,1.0,196.0,,,1752.0,3.0,,8764.0,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-06-09 12:25:18.000000,2025-06-09 12:25:18,2507.0,8.0,1032.0,105.0,875.0,44.0,848.0,5402.0,2025-04-04 08:29:47,5.8.2,70.0,10249.0,10249.0,332.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-06-26 07:36:44.000000,2025-06-24 14:09:04,2043.0,74.0,157.0,34.0,2174.0,43.0,350.0,3908.0,2025-06-16 14:09:23,0.45.0,68.0,31.0,31.0,33.0,,,2304.0,3.0,,117540.0,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-06-25 00:32:33.000000,2025-06-25 00:32:33,2397.0,83.0,234.0,24.0,2496.0,211.0,829.0,3635.0,2025-06-11 06:06:42,1.6.4,40.0,42.0,42.0,118.0,,,7939.0,3.0,,419.0,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-06-19 06:17:20.259273,4.0,602932.0,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-06-25 21:02:55.000000,2025-06-25 21:02:54,7332.0,307.0,382.0,41.0,1234.0,7.0,316.0,1552.0,2025-06-04 20:30:12,is-7.2.4,81.0,2917.0,2917.0,336.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
52,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-05-21 16:58:55.000000,2025-05-21 16:58:33,1835.0,4.0,13283.0,1536.0,526.0,32.0,845.0,54166.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7429.0,3.0,,564661.0,,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3501.0,750.0,77.0,5.0,382.0,15372.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1391.0,3.0,,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162861.0,,,,,,,,,
