,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",42,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-06-11 14:57:40.014813,2026-06-11 14:31:12,6495.0,250.0,1569.0,132.0,5766.0,348.0,2616.0,11895.0,2026-06-08 11:50:56,1.17.1,100.0,6925.0,6925.0,579.0,,,5290707.0,1.0,,openpolicyagent/opa,22555554.0,https://hub.docker.com/r/openpolicyagent/opa,2026-06-11 14:57:40.014813,47.0,616769526.0,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-06-11 06:13:48.000000,2026-06-11 06:13:46,4818.0,186.0,2375.0,222.0,5438.0,246.0,2262.0,14265.0,2026-06-09 07:23:24,1.14.4,82.0,14952.0,14952.0,489.0,,,2749317.0,1.0,,coredns/coredns,6289553.0,https://hub.docker.com/r/coredns/coredns,2026-06-09 07:26:10.487060,165.0,331554006.0,,,,,,,,,,,,
14,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-06-11 18:43:28.000000,2026-06-11 18:35:02,10937.0,287.0,2324.0,144.0,4794.0,151.0,3602.0,13855.0,2026-04-21 15:35:06,1.19.5,100.0,2677.0,2677.0,564.0,,,3259503.0,1.0,,,130380154.0,,,,,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-06-10 09:05:14.000000,2026-06-10 09:05:14,2124.0,11.0,3069.0,182.0,360.0,9.0,1231.0,22921.0,2026-05-09 18:30:37,0.0.100,20.0,8658.0,8658.0,98.0,,,798364.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,798364.0,,,,,,,,,
16,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-06-10 20:23:01.000000,2026-04-22 08:13:47,1819.0,1.0,500.0,62.0,550.0,89.0,309.0,2970.0,2025-06-20 05:53:03,3.3.1,50.0,650573.0,650573.0,204.0,,,342689246.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,342689246.0,,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2026-06-11 13:02:36.000000,2026-06-11 13:02:35,31302.0,841.0,8294.0,398.0,24490.0,2481.0,16507.0,34853.0,2026-06-04 17:00:13,26.6.3,100.0,,,1838.0,,,20892.0,1.0,,quay.io/keycloak/keycloak,1232677.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-05-27 11:38:10.000000,2026-05-27 11:38:10,10597.0,8.0,1664.0,137.0,1459.0,127.0,1058.0,11609.0,2026-03-30 14:41:48,1.1.0,15.0,4243.0,4243.0,275.0,,,1925129.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1925129.0,,,,,,,,,
19,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-06-10 12:26:13.000000,2026-06-10 12:26:09,1808.0,59.0,300.0,39.0,624.0,10.0,504.0,6951.0,2026-05-22 11:48:25,@casl/prisma@2.0.1,100.0,102416.0,102416.0,78.0,https://www.npmjs.com/package/@casl/ability,6014324.0,6014324.0,1.0,,,,,,,,,,,,,,,,,,,
20,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-05-21 03:20:51.000000,2026-05-21 03:20:51,1787.0,39.0,529.0,56.0,326.0,115.0,427.0,5343.0,2026-05-06 08:10:42,1.7.2,56.0,53812.0,53812.0,142.0,,,128991254.0,1.0,-1.0,,,,,,,authlib,https://pypi.org/project/authlib,128991254.0,authlib/authlib,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-06-11 19:49:38.000000,2026-06-11 17:09:49,23592.0,685.0,4590.0,778.0,25204.0,1237.0,5314.0,35774.0,2026-06-05 16:26:07,2.0.2,100.0,15863.0,15863.0,1617.0,,,,1.0,,,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1234.0,291.0,166.0,355.0,430.0,23533.0,,,,1323444.0,1323444.0,38.0,https://www.npmjs.com/package/passport,30385495.0,30385495.0,2.0,,,,,,,,,,,,,,,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-06-11 17:05:14.000000,2026-06-11 17:05:12,5169.0,143.0,1126.0,113.0,2258.0,146.0,1293.0,13710.0,2026-03-20 14:10:32,26.2.0,49.0,56.0,56.0,246.0,,,1194896.0,1.0,,oryd/kratos,64178.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115824179.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13461.0,1543.0,255.0,779.0,598.0,56500.0,2018-04-02 17:18:43,1.2.2,2.0,5652.0,5652.0,54.0,,,220501.0,2.0,,animcogn/face_recognition,1459.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,11175.0,face_recognition,https://pypi.org/project/face_recognition,220388.0,,,,,,,,,
25,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-06-11 17:05:20.000000,2026-06-11 17:05:18,4482.0,75.0,1531.0,238.0,1940.0,101.0,1498.0,17295.0,2026-03-20 13:23:08,26.2.0,100.0,,,321.0,,,3238625.0,2.0,,oryd/hydra,614829.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429894294.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-06-11 16:02:39.030081,2026-06-11 15:44:55,3640.0,306.0,1686.0,78.0,2813.0,101.0,2254.0,13781.0,2026-06-11 15:54:50,3.85.0,100.0,12.0,12.0,297.0,,,20374.0,2.0,,casbin/casdoor,2757.0,https://hub.docker.com/r/casbin/casdoor,2026-06-11 16:02:39.030081,23.0,1291763.0,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-06-11 14:04:51.000000,2026-06-11 13:40:23,33550.0,1317.0,3918.0,583.0,7755.0,,,11469.0,2026-05-15 22:47:49,7.3.7,100.0,24.0,24.0,375.0,,,9521.0,2.0,,apereo/cas,4382.0,https://hub.docker.com/r/apereo/cas,2026-06-11 01:52:11.302518,131.0,1669477.0,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-06-11 16:04:29.000000,2026-06-11 12:26:55,7898.0,231.0,606.0,78.0,5338.0,110.0,1611.0,2392.0,2026-05-28 19:16:52,1.15.1,100.0,211.0,211.0,266.0,,,15008.0,2.0,,ghcr.io/spiffe/spire-server,825440.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,34,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-05-23 06:45:57.000000,2026-05-23 06:45:57,2433.0,47.0,5966.0,522.0,214.0,1221.0,1398.0,28961.0,2023-04-02 07:43:27,0.7,1.0,5136.0,5136.0,67.0,,,370615.0,2.0,,animcogn/insightface,14083317.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,288.0,,,,,,,,,,,,
30,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-06-10 06:42:49.000000,2026-06-10 06:40:39,4904.0,6.0,1944.0,187.0,1928.0,266.0,1754.0,12614.0,2025-03-05 07:11:35,r1.5.0,17.0,170.0,170.0,164.0,,,1851942.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1851942.0,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-06-11 12:44:07.000000,2026-06-11 12:38:36,9734.0,692.0,1414.0,163.0,9852.0,52.0,1384.0,28026.0,2026-05-26 10:26:19,4.39.20,100.0,,,291.0,,,925.0,2.0,,,59232.0,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-06-11 16:35:03.000000,2026-06-11 16:11:44,4379.0,170.0,334.0,39.0,5279.0,84.0,1016.0,4853.0,2026-06-04 22:00:41,0.32.8,100.0,24.0,24.0,102.0,,,18128013.0,2.0,,pomerium/pomerium,60218.0,https://hub.docker.com/r/pomerium/pomerium,2026-06-11 16:16:57.623535,14.0,1613312077.0,,,,,,,,,,,,
33,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-06-09 12:53:21.000000,2026-06-09 12:53:17,2842.0,66.0,766.0,67.0,292.0,,4.0,3749.0,2026-05-29 05:57:40,9.8.4,100.0,2190.0,2190.0,76.0,https://www.npmjs.com/package/oidc-provider,1682144.0,1682144.0,2.0,,,,,,,,,,,,,,,,,,,
34,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,casbin,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-05-15 19:22:03.000000,2026-05-06 11:15:36,1168.0,4.0,1738.0,237.0,655.0,46.0,893.0,20184.0,2026-05-06 11:15:52,3.11.0-snapshot.3,100.0,,,165.0,https://www.npmjs.com/package/casbin,662307.0,3127067.0,2.0,,,39.0,,,,,casbin,https://pypi.org/project/casbin,2464759.0,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-06-11 20:17:06.000000,2026-06-11 20:06:13,5578.0,121.0,391.0,50.0,2500.0,99.0,488.0,6775.0,2026-05-13 18:48:19,1.53.0,100.0,174.0,174.0,77.0,,,163743.0,2.0,,authzed/spicedb,240993.0,https://hub.docker.com/r/authzed/spicedb,2026-05-13 18:54:53.601306,7.0,9172078.0,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-06-11 17:06:12.000000,2026-06-11 17:06:10,1959.0,88.0,380.0,55.0,1406.0,47.0,294.0,5360.0,2026-03-20 14:29:37,26.2.0,55.0,41.0,41.0,87.0,,,521416.0,2.0,,oryd/keto,48109.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51567968.0,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-06-11 17:05:44.000000,2026-06-11 17:05:42,1714.0,71.0,398.0,47.0,775.0,66.0,310.0,3606.0,2026-03-20 11:40:09,26.2.0,100.0,16.0,16.0,125.0,,,865532.0,2.0,,oryd/oathkeeper,28277.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90852141.0,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-06-10 23:49:41.000000,2026-06-10 23:49:41,18659.0,519.0,989.0,107.0,9736.0,1614.0,16522.0,897.0,2026-05-13 11:06:23,7.3.0,100.0,,,750.0,,,14296.0,2.0,,wso2/wso2is,23145.0,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,40.0,2028053.0,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-06-11 20:01:52.000000,2026-06-11 16:58:23,22425.0,1313.0,1647.0,68.0,18037.0,848.0,3447.0,21936.0,2026-06-10 18:33:55,ersion/2026.5.3,100.0,,,554.0,,,316.0,2.0,,,7588.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-06-11 14:42:12.000000,2026-06-11 09:41:25,8650.0,380.0,802.0,52.0,7987.0,156.0,689.0,12153.0,2026-05-29 10:38:46,1.40.1,85.0,9.0,9.0,102.0,,,7936.0,2.0,,svhd/logto,8399.0,https://hub.docker.com/r/svhd/logto,2026-06-11 09:46:34.899453,7.0,466141.0,,,,,,,,,,,,
41,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-06-11 04:03:03.000000,2026-06-10 06:45:02,3909.0,147.0,1821.0,165.0,3295.0,339.0,889.0,10879.0,2026-03-03 13:43:12,2.45.1,94.0,200.0,200.0,303.0,,,2.0,2.0,,quay.io/dexidp/dex,363.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
42,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,31,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-06-05 13:09:32.000000,2026-06-05 13:07:17,2609.0,73.0,1040.0,100.0,917.0,40.0,867.0,5498.0,2026-06-05 13:09:32,5.9.2,73.0,11279.0,11279.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
43,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-06-09 13:44:29.000000,2026-06-09 13:44:26,5111.0,90.0,303.0,185.0,6344.0,108.0,287.0,4060.0,2026-04-30 15:23:16,0.21.3,78.0,14.0,14.0,205.0,,,307709.0,3.0,,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,19.0,23693653.0,,,,,,,,,,,,
44,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,429.0,29.0,569.0,100.0,362.0,607.0,2025-10-07 20:02:21,7.5.4,55.0,2269.0,2269.0,181.0,,,2625134.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,2625134.0,,,,,,,,,
45,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-06-11 19:00:43.000000,2026-06-11 17:52:11,4481.0,114.0,1103.0,60.0,7600.0,910.0,2718.0,14011.0,2026-06-10 04:46:49,3.4.11,100.0,1.0,1.0,256.0,,,1598.0,3.0,1.0,ghcr.io/zitadel/zitadel,20783.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,
46,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-06-08 01:01:15.000000,2026-06-08 01:01:12,2746.0,89.0,331.0,20.0,2909.0,246.0,1000.0,5043.0,2026-05-22 02:06:54,1.10.3,61.0,42.0,42.0,154.0,,,9982.0,3.0,,kanidm/server,446.0,https://hub.docker.com/r/kanidm/server,2026-06-02 03:19:15.077623,4.0,877982.0,,,,,,,,,,,,
47,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-06-11 10:36:12.000000,2026-05-21 11:35:45,3040.0,13.0,144.0,59.0,343.0,41.0,324.0,1140.0,2026-04-15 13:40:47,5.9.1,47.0,238.0,238.0,54.0,,,20558.0,2.0,,,49284.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,20144.0,,,,,,,,,
48,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-06-11 17:08:51.000000,2026-06-11 12:07:51,36113.0,366.0,175.0,30.0,8329.0,277.0,5442.0,632.0,2026-05-12 12:19:48,2.1.0,100.0,16.0,16.0,146.0,,,351.0,3.0,,,11234.0,,,,,,,,,,,,,,,,
49,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,2.0,12322.0,747.0,374.0,,,102484.0,2025-06-26 01:06:09,20250625,13.0,24.0,24.0,81.0,,,2520456.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,2520456.0,,,,,,,,,
50,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-06-11 18:46:37.000000,2026-06-11 05:19:53,7369.0,74.0,620.0,130.0,5440.0,181.0,3140.0,5726.0,2026-06-08 21:06:59,0.20260608.0,100.0,,,148.0,,,16470.0,2.0,,letsencrypt/boulder-tools,34706.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-05-22 14:53:58.852186,13.0,2064819.0,,,,,,,,,,,,
51,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,29,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-06-11 18:03:39.000000,2026-05-12 16:40:43,2079.0,11.0,277.0,28.0,635.0,51.0,128.0,5463.0,2026-05-13 07:15:38,0.9.6,77.0,47.0,47.0,76.0,,,8191.0,3.0,,permitio/opal-server,2135.0,https://hub.docker.com/r/permitio/opal-server,2026-05-13 07:23:58.197862,1.0,522083.0,,,,,,,,,,,,
52,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-06-10 10:44:59.000000,2026-06-10 10:44:58,2575.0,163.0,193.0,34.0,2748.0,51.0,370.0,4451.0,2026-05-05 11:34:52,0.53.0,77.0,35.0,35.0,34.0,,,1494.0,3.0,,ghcr.io/cerbos/cerbos,94170.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
53,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,29,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-06-10 18:50:45.000000,2026-06-10 18:43:32,7432.0,302.0,317.0,411.0,4861.0,109.0,457.0,1773.0,2026-06-10 18:50:45,1.9.2,34.0,51.0,51.0,161.0,,,0.0,2.0,,,72.0,,,,,,,,,,,,,,,,
