,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,github,github-id
12,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-04-14 21:43:37.000000,2026-04-14 21:43:31,3947.0,8.0,3979.0,110.0,3351.0,387.0,4689.0,28208.0,2026-04-14 21:06:16,next-auth@4.24.14,,15492338.0,100.0,481082.0,481082.0,903.0,,,,,1.0,next-auth,https://www.npmjs.com/package/next-auth,15492338.0,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-04-30 09:17:18.000000,2026-04-30 09:17:16,4750.0,181.0,2349.0,221.0,5361.0,249.0,2253.0,14207.0,2026-04-22 12:43:18,1.14.3,6015505.0,2779345.0,81.0,14784.0,14784.0,481.0,https://hub.docker.com/r/coredns/coredns,2026-04-22 12:44:41.454579,165.0,329971504.0,1.0,,,,,,,,,,,,,,,,
14,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-04-30 18:08:39.000000,2026-04-30 18:07:40,10805.0,333.0,2312.0,145.0,4706.0,160.0,3576.0,13780.0,2026-04-21 15:35:06,1.19.5,121835328.0,3123982.0,100.0,2569.0,2569.0,558.0,,,,,1.0,,,,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-04-22 08:13:47.000000,2026-04-22 08:13:47,1819.0,24.0,496.0,62.0,543.0,87.0,309.0,2965.0,2025-06-20 05:53:03,3.3.1,,334775107.0,50.0,648335.0,648335.0,204.0,,,,,1.0,,,,oauthlib,https://pypi.org/project/oauthlib,334775107.0,,,,,,,,,,
16,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],39,True,keycloak/keycloak,quay.io/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2026-04-30 17:30:19.000000,2026-04-30 17:30:18,30912.0,858.0,8126.0,394.0,23861.0,2395.0,15998.0,34151.0,2026-04-15 13:58:02,26.6.1,1090551.0,18483.0,100.0,,,1802.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,1.0,,,,,,,2.0,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-04-26 00:06:08.000000,2026-04-03 15:45:42,10594.0,16.0,1651.0,136.0,1454.0,124.0,1057.0,11499.0,2026-03-30 14:41:48,1.1.0,,1625165.0,15.0,4165.0,4165.0,274.0,,,,,1.0,,,,speechbrain,https://pypi.org/project/speechbrain,1625165.0,,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-04-18 10:59:50.000000,2026-04-18 10:59:19,1766.0,51.0,520.0,57.0,308.0,118.0,420.0,5290.0,2026-04-19 20:34:09,1.7.0,,117402344.0,53.0,52140.0,52140.0,142.0,,,,,1.0,,,,authlib,https://pypi.org/project/authlib,117402344.0,,authlib/authlib,,,,,,,,
19,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-04-23 16:27:55.000000,2026-04-23 16:27:55,2115.0,5.0,3035.0,182.0,349.0,10.0,1230.0,22654.0,2026-03-01 10:18:45,0.0.99,,855831.0,19.0,8613.0,8613.0,97.0,,,,,1.0,,,,deepface,https://pypi.org/project/deepface,855831.0,-1.0,,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-04-30 16:31:18.000000,2026-04-30 16:28:36,23315.0,737.0,4539.0,779.0,25177.0,1229.0,5308.0,35539.0,2026-04-14 20:07:04,2.0.0,,,100.0,15716.0,15716.0,1617.0,,,,,1.0,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1234.0,291.0,166.0,355.0,430.0,23530.0,,,,27450109.0,,1322201.0,1322201.0,38.0,,,,,2.0,passport,https://www.npmjs.com/package/passport,27450109.0,,,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-04-30 10:05:07.000000,2026-04-30 10:05:05,5114.0,130.0,1105.0,112.0,2255.0,147.0,1290.0,13632.0,2026-03-20 14:10:32,26.2.0,60565.0,1217289.0,49.0,55.0,55.0,245.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115565852.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-04-30 15:39:47.000000,2026-04-23 10:00:27,1767.0,32.0,300.0,38.0,596.0,13.0,498.0,6906.0,2026-04-20 04:58:05,@casl/ability@6.8.1,,5070939.0,100.0,102254.0,102254.0,78.0,,,,,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,5070939.0,,,,,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-04-14 07:13:13.000000,2026-04-14 07:13:12,4438.0,67.0,1517.0,235.0,1938.0,100.0,1495.0,17183.0,2026-03-20 13:23:08,26.2.0,575470.0,3284662.0,100.0,,,322.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429497271.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13477.0,1543.0,251.0,779.0,598.0,56378.0,2018-04-02 17:18:43,1.2.2,1455.0,241174.0,2.0,5634.0,5634.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10938.0,2.0,,,,face_recognition,https://pypi.org/project/face_recognition,241061.0,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-04-28 17:54:14.000000,2026-04-28 17:52:47,3576.0,360.0,1642.0,75.0,2777.0,95.0,2195.0,13545.0,2026-04-28 15:48:33,3.49.0,1511.0,19318.0,100.0,12.0,12.0,287.0,https://hub.docker.com/r/casbin/casdoor,2026-04-28 15:56:54.030695,23.0,1175299.0,2.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-04-30 09:33:36.000000,2026-04-29 09:21:50,32865.0,1319.0,3919.0,583.0,7556.0,,,11454.0,2026-04-04 03:04:39,7.3.6,3965.0,8781.0,100.0,21.0,21.0,374.0,https://hub.docker.com/r/apereo/cas,2026-04-30 01:16:35.528391,131.0,1522348.0,2.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-04-30 16:05:47.000000,2026-04-30 09:16:10,7791.0,214.0,591.0,77.0,5209.0,113.0,1590.0,2330.0,2026-04-27 23:58:27,1.14.6,816841.0,14586.0,100.0,210.0,210.0,259.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-04-15 11:10:22.000000,2026-03-31 03:02:56,4901.0,5.0,1943.0,187.0,1925.0,265.0,1754.0,12593.0,2025-03-05 07:11:35,r1.5.0,,1694680.0,17.0,170.0,170.0,163.0,,,,,2.0,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1694680.0,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-03-29 11:01:56.000000,2026-03-29 11:01:56,2397.0,11.0,5924.0,515.0,211.0,1222.0,1395.0,28567.0,2023-04-02 07:43:27,0.7,13223554.0,367322.0,1.0,5037.0,5037.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,284.0,2.0,,,,,,,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-04-30 19:19:17.000000,2026-04-30 11:33:34,9427.0,622.0,1393.0,165.0,9523.0,54.0,1369.0,27662.0,2026-04-12 07:25:12,4.39.19,52686.0,836.0,100.0,,,285.0,,,,,2.0,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-04-30 18:36:03.130063,2026-04-30 18:30:04,4292.0,174.0,324.0,41.0,5153.0,84.0,1008.0,4780.0,2026-04-28 17:19:36,0.32.6,57999.0,18543659.0,100.0,24.0,24.0,102.0,https://hub.docker.com/r/pomerium/pomerium,2026-04-30 18:36:03.130063,13.0,1613220798.0,2.0,,,,,,,,,,,,,,,,
33,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-04-28 08:00:09.000000,2026-04-28 08:00:04,2827.0,86.0,760.0,66.0,288.0,,3.0,3728.0,2026-04-27 15:20:32,9.8.3,,1069049.0,100.0,2129.0,2129.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,1069049.0,,,,,,,,,,,,,
34,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-04-26 16:58:33.000000,2026-04-26 16:58:17,1167.0,4.0,1727.0,234.0,649.0,45.0,893.0,20061.0,2026-04-26 16:58:33,3.11.0-snapshot.2,13.0,2578283.0,100.0,,,164.0,,,,,2.0,casbin,https://www.npmjs.com/package/casbin,583596.0,casbin,https://pypi.org/project/casbin,1994687.0,,apache/casbin,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
35,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-04-30 16:31:47.000000,2026-04-30 16:31:45,3874.0,227.0,1806.0,166.0,3235.0,336.0,888.0,10781.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,197.0,197.0,299.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
36,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-04-30 18:29:33.000000,2026-04-30 16:25:50,5527.0,148.0,379.0,49.0,2416.0,99.0,479.0,6662.0,2026-04-30 15:50:04,1.52.0,210340.0,153609.0,100.0,169.0,169.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-04-30 15:55:15.436062,7.0,8321669.0,2.0,,,,,,,,,,,,,,,,
37,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-04-29 14:40:37.000000,2026-04-29 14:40:36,1924.0,93.0,375.0,56.0,1406.0,42.0,294.0,5333.0,2026-03-20 14:29:37,26.2.0,46241.0,531355.0,55.0,41.0,41.0,87.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51491180.0,2.0,,,,,,,,,,,,,,,,
38,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-04-29 14:41:14.000000,2026-04-29 14:41:13,1687.0,68.0,396.0,47.0,774.0,66.0,310.0,3596.0,2026-03-20 11:40:09,26.2.0,26162.0,881486.0,100.0,16.0,16.0,125.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90766437.0,2.0,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-04-30 19:11:07.000000,2026-04-30 19:11:07,21839.0,1246.0,1568.0,69.0,17168.0,794.0,3359.0,21268.0,2026-04-07 16:18:57,ersion/2026.2.2,7040.0,270.0,100.0,,,535.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-04-30 18:14:29.699212,2026-04-30 18:09:08,8463.0,326.0,765.0,51.0,7761.0,166.0,646.0,11966.0,2026-04-30 02:55:56,1.39.0,7972.0,7366.0,83.0,9.0,9.0,91.0,https://hub.docker.com/r/svhd/logto,2026-04-30 18:14:29.699212,7.0,417639.0,2.0,,,,,,,,,,,,,,,,
41,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-04-30 04:27:49.660393,2026-04-30 03:55:32,2708.0,107.0,317.0,22.0,2849.0,234.0,986.0,4895.0,2026-04-30 02:48:22,1.9.3,446.0,9557.0,56.0,42.0,42.0,152.0,https://hub.docker.com/r/kanidm/server,2026-04-30 04:27:49.660393,4.0,821548.0,2.0,,,,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-04-30 18:59:41.000000,2026-04-30 18:49:25,5082.0,101.0,301.0,186.0,6264.0,109.0,286.0,4044.0,2026-04-30 15:23:16,0.21.3,,309559.0,78.0,13.0,13.0,204.0,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,19.0,23216930.0,3.0,,,,,,,,,,,,,,,,
43,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-04-30 17:50:49.000000,2026-04-30 17:50:48,18461.0,807.0,968.0,108.0,9633.0,1495.0,16435.0,893.0,2025-10-24 04:51:27,7.2.0,21802.0,14386.0,100.0,,,748.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2015677.0,2.0,,,,,,,-1.0,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-04-30 14:13:04.000000,2026-04-30 14:02:28,4462.0,244.0,1040.0,58.0,7529.0,875.0,2704.0,13663.0,2026-04-24 05:41:55,4.14.0,17689.0,1608.0,100.0,1.0,1.0,254.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-04-24 13:41:44.000000,2026-04-15 10:54:27,3035.0,12.0,141.0,59.0,340.0,41.0,322.0,1106.0,2026-04-15 13:40:47,5.9.1,45749.0,24139.0,47.0,231.0,231.0,53.0,,,,,2.0,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,23748.0,,,,,,,,,,
46,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-04-30 18:48:26.000000,2026-04-30 05:02:21,36022.0,455.0,167.0,30.0,8173.0,256.0,5354.0,627.0,2026-04-22 06:54:36,2.0.0,11395.0,379.0,100.0,16.0,16.0,145.0,,,,,3.0,,,,,,,,,,,,,,,,
47,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,2.0,11942.0,724.0,364.0,,,98687.0,2025-06-26 01:06:09,20250625,,2225335.0,13.0,21.0,21.0,81.0,,,,,3.0,,,,openai-whisper,https://pypi.org/project/openai-whisper,2225335.0,,,,,,,,,,
48,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-04-28 17:22:51.000000,2026-04-24 17:12:42,1888.0,32.0,13260.0,1520.0,544.0,4.0,897.0,55195.0,2025-12-21 02:44:08,3.0.0,87558.0,1018.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-04-30 17:48:46.000000,2026-04-29 14:39:58,7331.0,87.0,617.0,130.0,5403.0,177.0,3128.0,5712.0,2026-04-28 21:14:02,0.20260428.0,34071.0,16677.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-04-07 23:09:29.625326,13.0,2057628.0,2.0,,,,,,,,,,,,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-04-30 07:18:14.000000,2026-04-30 07:18:14,2499.0,171.0,179.0,34.0,2666.0,49.0,368.0,4378.0,2026-04-28 06:16:35,0.52.0,73353.0,1202.0,76.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
51,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3479.0,737.0,77.0,1.0,382.0,15485.0,2024-10-04 12:56:15,0.2.2,,1288.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163689.0,3.0,,,,,,,,,,,,,,,,
52,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,28,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-04-28 15:19:29.000000,2026-04-28 15:19:20,7305.0,187.0,319.0,413.0,4808.0,109.0,452.0,1769.0,2026-04-28 00:10:31,1.9.0,64.0,0.0,32.0,47.0,47.0,159.0,,,,,2.0,,,,,,,1.0,,,,,,,,,
53,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-04-29 19:15:38.000000,2025-12-01 01:00:51,676.0,,70.0,37.0,235.0,5.0,87.0,371.0,2025-08-25 22:29:37,8.0.18,,382738.0,100.0,6231.0,6231.0,42.0,,,,,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,382738.0,,,,,,,,,,,,,
