,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,helm_id,trending,updated_github_id,brew_id,gem_url,apt_id,github,github-id
12,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,openpolicyagent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-11-20 18:14:13.000000,2025-11-20 18:13:06,6007.0,169.0,1456.0,130.0,5192.0,371.0,2467.0,10910.0,2025-11-05 09:23:17,1.10.1,18359084.0,5394704.0,100.0,6117.0,6117.0,548.0,https://hub.docker.com/r/openpolicyagent/opa,2025-11-20 15:00:39.320772,46.0,607291616.0,1.0,,,,,,,,,,,,,,,,
13,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-11-05 04:20:08.000000,2025-11-05 04:20:07,1781.0,2.0,487.0,62.0,517.0,83.0,305.0,2939.0,2025-06-20 05:53:03,3.3.1,,207831328.0,50.0,640209.0,640209.0,201.0,,,,,1.0,oauthlib,https://pypi.org/project/oauthlib,207831328.0,,,,,,,,,,,,,
14,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-10-21 18:01:33.000000,2025-10-21 18:01:32,2071.0,10.0,2833.0,174.0,305.0,9.0,1201.0,21090.0,2025-08-05 20:40:18,0.0.95,,356888.0,15.0,8422.0,8422.0,96.0,,,,,1.0,deepface,https://pypi.org/project/deepface,356888.0,,,,,,,,,,,,,
15,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-11-20 15:11:41.000000,2025-11-14 17:33:10,1140.0,14.0,1690.0,234.0,581.0,19.0,858.0,19428.0,2025-11-14 17:34:46,2.134.0,,1234845.0,100.0,3540.0,3540.0,159.0,,,,,1.0,casbin,https://pypi.org/project/casbin,886996.0,casbin,org.casbin:casbin-spring-boot-starter,https://www.npmjs.com/package/casbin,347849.0,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,,
16,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-11-20 17:04:20.000000,2025-11-20 17:03:41,22239.0,578.0,4368.0,780.0,25030.0,1172.0,5270.0,33489.0,2025-11-19 17:36:49,1.21.1,,,100.0,15183.0,15183.0,1612.0,,,,,1.0,,,,,,,,,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,quay.io/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-11-20 17:35:38.000000,2025-11-20 17:35:38,29626.0,704.0,7661.0,391.0,21911.0,2118.0,14209.0,31141.0,2025-11-12 15:24:23,26.4.5,1094158.0,18545.0,94.0,,,1694.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,1.0,,,,,,,,,,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-11-20 16:26:20.000000,2025-11-07 23:46:16,10558.0,9.0,1573.0,132.0,1412.0,129.0,1047.0,10809.0,2025-04-07 17:05:07,1.0.3,,1087925.0,14.0,3934.0,3934.0,266.0,,,,,1.0,speechbrain,https://pypi.org/project/speechbrain,1087925.0,,,,,,,,,,,,,
19,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1231.0,293.0,162.0,354.0,430.0,23457.0,,,,18335299.0,,1315631.0,1315631.0,38.0,,,,,1.0,,,,passport,,https://www.npmjs.com/package/passport,18335299.0,,,,,,,,,
20,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-11-20 17:38:21.000000,2025-11-20 17:38:20,4311.0,163.0,1486.0,234.0,1923.0,87.0,1485.0,16771.0,2025-11-07 14:57:03,25.4.0,466229.0,3404168.0,100.0,,,316.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428272533.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,1.0,,,,,,
21,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],36,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-11-20 16:38:33.000000,2025-11-20 16:38:33,10181.0,381.0,2211.0,145.0,4311.0,151.0,3496.0,13331.0,2025-10-15 15:33:31,1.19.1,94398662.0,2359966.0,100.0,,,527.0,,,,,1.0,,,,,,,,,,-5.0,,,,,,
22,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-11-19 21:31:12.000000,2025-08-12 14:47:33,1669.0,,289.0,38.0,479.0,21.0,482.0,6658.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,,3513389.0,100.0,101534.0,101534.0,73.0,,,,,2.0,,,,@casl/ability,,https://www.npmjs.com/package/@casl/ability,3513389.0,,,1.0,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13464.0,1555.0,249.0,776.0,598.0,55802.0,2018-04-02 17:18:43,1.2.2,1436.0,205181.0,2.0,5564.0,5564.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,10093.0,2.0,face_recognition,https://pypi.org/project/face_recognition,205071.0,,,,,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,7.0,1935.0,185.0,1907.0,258.0,1756.0,12378.0,2025-03-05 07:11:35,r1.5.0,,875720.0,17.0,165.0,165.0,159.0,,,,,2.0,paddlepaddle,https://pypi.org/project/paddlepaddle,875720.0,,,,,,,,,,,,,
25,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-11-20 17:38:10.719875,2025-11-20 16:12:56,30544.0,1153.0,3926.0,587.0,6679.0,,,11365.0,2025-11-09 16:48:27,7.3.1,1545.0,7999.0,100.0,21.0,21.0,369.0,https://hub.docker.com/r/apereo/cas,2025-11-20 17:38:10.719875,131.0,1354365.0,1.0,,,,,,,,,,,,,,,,
26,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-11-20 17:04:09.000000,2025-11-20 11:39:50,7456.0,137.0,535.0,74.0,4802.0,112.0,1530.0,2120.0,2025-10-23 13:05:05,1.13.3,826496.0,13549.0,100.0,201.0,201.0,237.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
27,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,33,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2025-10-29 20:49:43.000000,2025-10-27 23:10:20,3938.0,24.0,3958.0,110.0,3310.0,387.0,4661.0,27796.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,9687019.0,100.0,,,897.0,,,,,2.0,,,,next-auth,,https://www.npmjs.com/package/next-auth,9687019.0,,,-9.0,,,,,,
28,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-11-20 17:40:34.000000,2025-11-20 00:21:31,8486.0,546.0,1291.0,158.0,8517.0,59.0,1336.0,25857.0,2025-11-09 07:18:40,4.39.14,51525.0,858.0,100.0,,,261.0,,,,,2.0,,,,,,,,,,,,,,,,
29,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],33,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-11-20 13:15:10.000000,2025-11-20 13:15:09,4909.0,140.0,1040.0,111.0,2237.0,151.0,1264.0,12879.0,2025-11-07 15:48:50,25.4.0,51456.0,1277451.0,48.0,,,240.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,114904515.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-11-20 10:21:53.000000,2025-11-19 14:56:54,5278.0,256.0,347.0,48.0,2095.0,98.0,445.0,6216.0,2025-10-24 16:23:54,1.46.2,178239.0,119313.0,100.0,134.0,134.0,72.0,https://hub.docker.com/r/authzed/spicedb,2025-10-27 19:47:57.620439,7.0,5878451.0,2.0,,,,,,,,,,,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-11-20 17:54:26.000000,2025-11-19 18:09:07,4011.0,110.0,315.0,41.0,4810.0,99.0,969.0,4544.0,2025-10-24 16:32:30,0.30.7,68727.0,19672088.0,100.0,22.0,22.0,100.0,https://hub.docker.com/r/pomerium/pomerium,2025-11-19 19:34:13.261069,13.0,1613023305.0,2.0,,,,,,,,,,,,,,,,
32,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-19 11:23:01.000000,2025-11-19 11:23:01,2376.0,5.0,5752.0,507.0,199.0,1202.0,1394.0,27081.0,2023-04-02 07:43:27,0.7,10819857.0,349029.0,1.0,4820.0,4820.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,211.0,2.0,,,,,,,,,,,,,,,,
33,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,32,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-11-20 18:00:07.000000,2025-11-20 14:33:00,3047.0,154.0,1460.0,78.0,2215.0,87.0,1886.0,12634.0,2025-11-20 14:42:16,2.153.0,,13695.0,100.0,,,259.0,https://hub.docker.com/r/casbin/casdoor,2025-11-20 14:48:40.667070,22.0,835418.0,2.0,,,,,,,,,,,,,,,,
34,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-11-20 13:15:07.000000,2025-11-20 13:15:06,1785.0,97.0,371.0,53.0,1371.0,34.0,294.0,5197.0,2025-11-07 14:48:11,25.4.0,37670.0,558393.0,54.0,39.0,39.0,82.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51331014.0,2.0,,,,,,,,,,,,,,,,
35,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,32,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-11-11 18:14:51.000000,2025-11-11 18:14:51,1630.0,58.0,503.0,57.0,281.0,119.0,406.0,5111.0,2025-10-14 06:27:46,1.6.5,,46989075.0,46.0,,,134.0,,,,,2.0,authlib,https://pypi.org/project/authlib,46989075.0,,,,,,,-7.0,authlib/authlib,,,,,
36,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-11-20 13:15:44.000000,2025-11-20 13:15:43,1577.0,93.0,375.0,47.0,764.0,62.0,301.0,3518.0,2025-11-07 14:57:21,25.4.0,23275.0,922874.0,100.0,15.0,15.0,120.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,43.0,90417976.0,2.0,,,,,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-11-20 16:39:53.000000,2025-11-20 16:39:53,17428.0,465.0,923.0,108.0,8944.0,1400.0,15816.0,865.0,2025-10-24 04:51:27,7.2.0,19977.0,14698.0,100.0,,,729.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1989660.0,2.0,,,,,,,,,,,,,,,,
38,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,11251.0,683.0,338.0,,,91060.0,2025-06-26 01:06:09,20250625,,1026065.0,13.0,21.0,21.0,79.0,,,,,3.0,openai-whisper,https://pypi.org/project/openai-whisper,1026065.0,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-11-20 18:06:11.000000,2025-11-19 17:52:26,19695.0,1169.0,1360.0,68.0,14093.0,782.0,2860.0,18890.0,2025-11-19 15:08:41,ersion/2025.10.2,4732.0,169.0,100.0,,,453.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-11-20 08:55:40.000000,2025-11-20 08:49:28,7919.0,203.0,628.0,48.0,7111.0,174.0,556.0,11063.0,2025-10-31 06:54:33,1.33.0,6682.0,6192.0,76.0,30.0,30.0,79.0,https://hub.docker.com/r/svhd/logto,2025-11-20 08:54:31.031758,5.0,319990.0,2.0,,,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-11-20 18:19:30.000000,2025-11-20 16:26:30,4929.0,187.0,297.0,194.0,5873.0,107.0,281.0,3984.0,2025-11-03 18:46:15,0.20.1,,305017.0,72.0,11.0,11.0,197.0,https://hub.docker.com/r/hashicorp/boundary,2025-11-03 18:53:47.754438,18.0,21351238.0,3.0,,,,,,,,,,,,,,,,
42,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-11-20 18:13:24.000000,2025-11-17 20:22:51,4090.0,199.0,856.0,55.0,6884.0,820.0,2425.0,12205.0,2025-11-14 09:45:13,4.7.0,12229.0,1528.0,100.0,,,228.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
43,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-11-19 16:33:23.000000,2025-11-19 16:32:56,2968.0,25.0,132.0,58.0,330.0,36.0,319.0,1019.0,2025-09-03 07:38:43,5.8.0,32784.0,101194.0,45.0,198.0,198.0,48.0,,,,,2.0,yubikey-manager,https://pypi.org/project/yubikey-manager,100902.0,,,,,,,,,,,,,
44,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-11-20 17:06:13.000000,2025-11-17 01:03:54,673.0,15.0,70.0,36.0,232.0,6.0,86.0,365.0,2025-08-25 22:29:37,8.0.18,,340834.0,100.0,6045.0,6045.0,42.0,,,,,1.0,,,,did-jwt,,https://www.npmjs.com/package/did-jwt,340834.0,,,,,,,,,
45,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-11-20 02:35:15.000000,2025-11-19 14:59:27,7183.0,80.0,614.0,132.0,5223.0,170.0,3074.0,5595.0,2025-11-18 17:41:33,0.20251118.0,37358.0,17306.0,100.0,,,143.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-10-07 19:11:39.538310,13.0,2034284.0,2.0,,,,,,,,,,,,,,,,
46,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-11-03 18:17:20.000000,2025-11-02 00:53:16,9720.0,3.0,562.0,52.0,7293.0,,1780.0,4576.0,2025-06-30 22:09:21,ockam_v0.157.0,14872.0,354.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
47,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-11-20 14:34:26.000000,2025-11-20 14:34:25,2198.0,106.0,168.0,31.0,2345.0,47.0,354.0,4138.0,2025-10-28 08:42:42,0.47.0,65283.0,1165.0,71.0,33.0,33.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
48,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-11-20 14:57:41.000000,2025-11-20 14:57:39,7874.0,288.0,387.0,36.0,1430.0,4.0,320.0,1580.0,2025-09-17 16:58:52,is-7.3.2,,,100.0,2988.0,2988.0,338.0,,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,
49,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,29,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,417.0,27.0,555.0,92.0,362.0,597.0,2025-10-07 20:02:21,7.5.4,,1920918.0,55.0,,,181.0,,,,,2.0,pysaml2,https://pypi.org/project/pysaml2,1920918.0,,,,,,,-5.0,,,,,,
50,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-11-11 15:35:34.000000,2025-11-11 15:35:21,1847.0,10.0,13283.0,1531.0,528.0,38.0,850.0,54729.0,2023-06-18 18:08:19,2.2.0,43633.0,538.0,4.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
51,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3490.0,742.0,77.0,5.0,382.0,15439.0,2024-10-04 12:56:15,0.2.2,,1338.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163355.0,3.0,,,,,,,,,,,,,,,,
52,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,28,True,permitio/opal,permitio/opal-server,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-11-13 13:57:34.166625,2025-11-13 13:48:04,2064.0,11.0,247.0,29.0,585.0,48.0,121.0,5395.0,2025-10-28 09:59:58,0.9.1,1813.0,6996.0,61.0,47.0,47.0,73.0,https://hub.docker.com/r/permitio/opal-server,2025-11-13 13:57:34.166625,1.0,396981.0,3.0,,,,,,,,,,,,,,,,
53,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],28,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-11-20 18:08:11.000000,2025-11-20 14:25:12,35411.0,199.0,156.0,29.0,7331.0,416.0,4783.0,593.0,2025-11-18 09:25:03,1.14.0,10291.0,411.0,100.0,,,138.0,,,,,3.0,,,,,,,,,,,,,,,,
