,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,trending,license,maven_id,maven_url,gem_url,helm_id,brew_id,github,apt_id,github-id
18,deepface,{},biometrics,,,,13,False,serengil/deepface,deepface,8708.0,8708.0,98.0,https://pypi.org/project/deepface,618782.0,618782.0,1.0,,,,,,,,,,,,,,,,,,,,
19,ageitgey-face-recognition,{},biometrics,GPU Face Recognition built from https://github.com/ageitgey/face_recognition.,,,12,False,ageitgey/face_recognition,face_recognition,5663.0,5663.0,55.0,https://pypi.org/project/face_recognition,205237.0,205237.0,2.0,,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,2021-08-17 00:42:22.824355,20.0,20.0,11783.0,,,,,,,,,,
20,node-oidc-provider,{},authentication,,,,12,False,panva/node-oidc-provider,,2261.0,2261.0,76.0,,,2097276.0,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,2097276.0,,,,,,,,,,,,,,,,,
21,did-jwt,{},dids,,,['dif'],12,False,decentralized-identity/did-jwt,,6269.0,6269.0,42.0,,,349817.0,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,349817.0,,,,,,,,,,,,,,,,,
22,coredns,{},machine,CoreDNS docker repository.,,"['linux-foundation', 'cncf']",11,False,coredns/coredns,,15016.0,15016.0,505.0,,,,1.0,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-07-10 06:57:15.135816,2026-07-10 06:57:15.135816,166.0,166.0,333453147.0,-31.0,,,,,,,,,
23,did-jwt-vc,{},ssi-sdks,,,['dif'],11,False,decentralized-identity/did-jwt-vc,,1383.0,1383.0,22.0,,,88289.0,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,88289.0,,,,,,,,,,,,,,,,,
24,paddlespeech,{},biometrics,,,,11,False,PaddlePaddle/PaddleSpeech,paddlepaddle,172.0,172.0,163.0,https://pypi.org/project/paddlepaddle,2254827.0,2254827.0,2.0,,,,,,,,,,,,,,,,,,,,
25,open-policy-agent,{},authorization,Official build of the Open Policy Agent project.,,"['cncf', 'linux-foundation']",10,False,open-policy-agent/opa,,7120.0,7120.0,594.0,,,,1.0,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-07-23 16:55:16.590642,2026-07-23 16:55:16.590642,47.0,47.0,618718217.0,-32.0,,,,,,,,,
26,vault,{},pki,,,['hashicorp'],10,False,hashicorp/vault,,15924.0,15924.0,1619.0,,,,1.0,,,,,,,,,,,,Business Source License 1.1,,,,,,,,
27,web-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/web-did-resolver,,1488.0,1488.0,12.0,,,101810.0,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,101810.0,,,,,,,,,,,,,,,,,
28,ethr-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/ethr-did-resolver,,1921.0,1921.0,28.0,,,44025.0,2.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,44025.0,,,,,,,,,,,,,,,,,
29,whisper,{},biometrics,,,,10,False,openai/whisper,openai-whisper,24.0,24.0,81.0,https://pypi.org/project/openai-whisper,3452389.0,3452389.0,2.0,,,,,,,,,,,,,,,,,,,,
30,casbin,{},authorization,,,,9,False,casbin/casbin,casbin,,,168.0,https://pypi.org/project/casbin,2512973.0,3331519.0,2.0,casbin,https://www.npmjs.com/package/casbin,818546.0,,,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
31,oso,{},authorization,,,,9,False,osohq/oso,oso,222.0,222.0,68.0,https://pypi.org/project/oso,24945.0,24945.0,2.0,,,,,,,,,,,,,,,,,,,,
32,yubikey-manager,{},pki,,,,9,False,Yubico/yubikey-manager,yubikey-manager,241.0,241.0,54.0,https://pypi.org/project/yubikey-manager,26782.0,26782.0,1.0,,,,,,,,,,,,,,,,,,,,
33,doorkeeper,{},authentication,,,,8,False,doorkeeper-gem/doorkeeper,,11425.0,11425.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,,
34,py_webauthn,{},authentication,,,,8,False,duo-labs/py_webauthn,webauthn,,,35.0,https://pypi.org/project/webauthn,6347825.0,6347825.0,2.0,,,,,,,,,,,,,,,,,,,,
35,node-solid-server,{},ssi-agents,Node Solid Server.,,['solid'],7,False,nodesolidserver/node-solid-server,,3.0,3.0,90.0,,,1158.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,1158.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,2024-04-30 17:23:49.835167,5.0,5.0,1005923.0,,MIT,,,,,,,,
36,cert-manager,{},pki,,,['linux-foundation'],7,False,cert-manager/cert-manager,,2766.0,2766.0,573.0,,,,2.0,,,,,,,,,,,-35.0,,,,,,,,,
37,did-resolver,{},dids,,,['dif'],7,False,decentralized-identity/did-resolver,,7988.0,7988.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
38,face-api-js,{},biometrics,,,,7,False,justadudewhohacks/face-api.js,,,,25.0,,,469879.0,3.0,face-api.js,https://www.npmjs.com/package/face-api.js,469879.0,,,,,,,,,,,,,,,,,
39,insightface,{},biometrics,,,,7,False,deepinsight/insightface,,5245.0,5245.0,67.0,,,,3.0,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,2021-03-18 22:57:48.799620,,,305.0,,,,,,,,,,
40,cas,{},idp,"Welcome to the home of the Central Authentication Service project, more commonly referred to as CAS.",,,6,False,apereo/cas,,24.0,24.0,376.0,,,,1.0,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-07-23 01:13:52.813133,2026-07-23 01:13:52.813133,132.0,132.0,1822068.0,,,,,,,,,,
41,casdoor,{},idp,A UI-first centralized authentication / Single-Sign-On (SSO) platform based on OAuth 2.0 / OIDC.,,,6,False,casdoor/casdoor,,12.0,12.0,301.0,,,,1.0,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-07-22 15:18:22.508535,2026-07-22 15:18:22.508535,23.0,23.0,1427882.0,,,,,,,,,,
42,ory-kratos,{},idp,"Never build user login, user registration, 2fa, profile management ever again!.",,['ory'],6,False,ory/kratos,,56.0,56.0,246.0,,,,1.0,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,2026-03-20 14:10:20.091266,22.0,22.0,116180052.0,-31.0,,,,,https://k8s.ory.sh/helm/charts,,,,
43,logto,{},idp,The open source identity solution.,,,6,False,logto-io/logto,,14.0,14.0,111.0,,,,1.0,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-07-23 08:51:49.979494,2026-07-23 08:51:49.979494,7.0,7.0,529975.0,,MPL-2.0,,,,,,,,
44,dex,{},authentication,,,['linux-foundation'],6,False,dexidp/dex,,205.0,205.0,305.0,,,,2.0,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
45,spire,{},machine,,,"['cncf', 'linux-foundation']",6,False,spiffe/spire,,216.0,216.0,272.0,,,,2.0,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
46,veramo,{},ssi-sdks,,,,6,False,decentralized-identity/veramo,,933.0,933.0,60.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
47,keystone,{},idp,,,['openstack'],6,False,openstack/keystone,,198.0,198.0,763.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
48,solid-client-authn-js,{},authentication,,,['solid'],6,False,inrupt/solid-client-authn-js,,1004.0,1004.0,28.0,,,,2.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,,,,,
49,did-method-plc,{},dids,,,,6,False,did-method-plc/did-method-plc,,1.0,1.0,15.0,,,504904.0,3.0,did-resolver,https://www.npmjs.com/package/did-resolver,504904.0,,,,,,,,,,,,,,,,,
50,passwordlessid-webauthn,{},authentication,,,,6,False,passwordless-id/webauthn,,5603.0,5603.0,20.0,,,,2.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,,,,,
51,freeipa,{},idp,FreeIPA server in container.,,,5,False,freeipa/freeipa,,,,264.0,,,,2.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2026-07-22 15:48:08.278551,2026-07-22 15:48:08.278551,181.0,181.0,6518981.0,,,,,,,,,,
52,openface,{},biometrics,OpenFace.,,,5,False,cmusatyalab/openface,,96.0,96.0,33.0,,,,3.0,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,2018-06-18 18:11:58.528635,71.0,71.0,163988.0,,,,,,,,,,
53,boundary,{},machine,Boundary provides simple and secure access to hosts and services.,,['hashicorp'],5,False,hashicorp/boundary,,14.0,14.0,206.0,,,,2.0,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,2026-04-30 15:31:22.303713,21.0,21.0,24183858.0,,,,,,,,,,
54,spicedb,{},authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,5,False,authzed/spicedb,,177.0,177.0,79.0,,,,2.0,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2026-06-19 00:49:54.121558,2026-06-19 00:49:54.121558,7.0,7.0,10142072.0,,,,,,,,,,
55,kanidm,{},idp,Kanidm Server.,,,5,False,kanidm/kanidm,,42.0,42.0,156.0,,,,2.0,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2026-07-16 07:14:20.947906,2026-07-16 07:14:20.947906,5.0,5.0,948921.0,,,,,,,,,,
56,hanko,{},idp,,,,5,False,teamhanko/hanko,,341.0,341.0,56.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
57,ockam,{},machine,,,,5,False,build-trust/ockam,,190.0,190.0,318.0,,,,2.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
58,athenz,{},pki,,,['linux-foundation'],5,False,athenz/athenz,,380.0,380.0,111.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
59,spruceid-ssi,{},ssi-sdks,Core library for decentralized identity.,,,5,False,spruceid/ssi,,222.0,222.0,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
60,polygon-js-sdk,{},ssi-sdks,,,,5,False,0xPolygonID/js-sdk,,275.0,275.0,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
61,gotrue,{},idp,,,,5,False,netlify/gotrue,,11.0,11.0,48.0,,,,2.0,,,,,,,,,,,,MIT,,,,,,,,
62,dwn-sdk-js,{},ssi-agents,,,['web5'],5,False,TBD54566975/dwn-sdk-js,,494.0,494.0,48.0,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,,,,,,,,
63,django-passkeys,{},authentication,,,,5,False,mkalioby/django-passkeys,django-passkeys,25.0,25.0,6.0,https://pypi.org/project/django-passkeys,7253.0,7253.0,3.0,,,,,,,,,,,,,,,,,,,,
64,fido2-net-lib,{},authentication,,,,5,False,passwordless-lib/fido2-net-lib,,407.0,407.0,55.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
65,oathkeeper,{},machine,"A cloud native, security first firewall for your APIs. Integrates natively with ORY Hydra.",,['ory'],4,False,ory/oathkeeper,,16.0,16.0,125.0,,,,3.0,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,2026-03-20 11:39:54.790499,44.0,44.0,90996714.0,,,,,,,,,,
66,wso2-identity-server,{},idp,WSO2 Identity Server.,,,4,False,wso2/product-is,,,,753.0,,,,3.0,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,2026-06-02 07:04:46.132226,40.0,40.0,2044515.0,,,,,,,,,,
67,conjur,{},machine,Secrets management and machine identity for modern infrastructure.,,,4,False,cyberark/conjur,,,,117.0,,,,3.0,,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2026-07-14 23:11:57.083033,2026-07-14 23:11:57.083033,29.0,29.0,7695383.0,,LGPL,,,,,,,,
68,pomerium,{},machine,Pomerium is an identity-aware access proxy.,,,4,False,pomerium/pomerium,,24.0,24.0,103.0,,,,3.0,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-07-23 17:33:41.835147,2026-07-23 17:33:41.835147,14.0,14.0,1613418773.0,,,,,,,,,,
69,keto,{},authorization,Use best practices established by cloud providers and express complex permission environments.,,['ory'],4,False,ory/keto,,43.0,43.0,87.0,,,,3.0,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,2026-03-20 14:29:27.004272,10.0,10.0,51668557.0,,,,,,,,,,
70,opal,{},authorization,,,,4,False,permitio/opal,,47.0,47.0,79.0,,,,3.0,,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2026-07-19 12:29:18.777408,2026-07-19 12:29:18.777408,1.0,1.0,556470.0,,,,,,,,,,
71,satosa,{},authentication,,,,4,False,IdentityPython/satosa,,44.0,44.0,58.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
72,ja3,{},pki,,,,4,False,salesforce/ja3,pyja3,1.0,1.0,27.0,https://pypi.org/project/pyja3,2611.0,2611.0,2.0,,,,,,,,,,,,,,,,,,,,
73,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,4,False,spruceid/didkit,,14.0,14.0,23.0,,,,2.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
74,hyperledger-anoncreds-rs,{},ssi-sdks,,,['hyperledger'],4,False,hyperledger/anoncreds-rs,,76.0,76.0,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
75,iota-identity,{},ssi-sdks,,,,4,False,iotaledger/identity.rs,,161.0,161.0,44.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
76,barbican,{},pki,,,['openstack'],4,False,openstack/barbican,,17.0,17.0,313.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
77,tbd-ssi-sdk,{},ssi-sdks,,,['web5'],4,False,tbd54566975/ssi-sdk,,78.0,78.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
78,web5-js,{},ssi-sdks,,,['web5'],4,False,TBD54566975/web5-js,,71.0,71.0,32.0,,,,2.0,web5/api,https://www.npmjs.com/package/web5/api,,,,,,,,,,,,,,,,,,
79,digitalbazaar-vc,{},ssi-sdks,,,,4,False,digitalbazaar/vc,,638.0,638.0,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
80,keripy,{},ssi-sdks,,,,4,False,weboftrust/keripy,,76.0,76.0,39.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
81,authgear,{},idp,,,,4,False,authgear/authgear-server,,9.0,9.0,50.0,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
82,aip-identity,{},dids,"Decentralized identity and trust layer for AI agents using Ed25519-based DIDs, vouch-based trust chains, and encrypted..",,,4,False,The-Nexus-Guard/aip,aip-identity,,,,https://pypi.org/project/aip-identity,326.0,326.0,3.0,,,,,,,,,,,,MIT,,,,,,,,
83,ory-hydra,{},authentication,"Scalable, security first OAuth 2.0 and OpenID Connect server.",,['ory'],3,False,ory/hydra,,,,323.0,,,,3.0,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,2026-03-20 13:22:55.749711,78.0,78.0,430339439.0,-32.0,,,,,https://k8s.ory.sh/helm/charts,,,,
84,boulder,{},pki,,,['linux-foundation'],3,False,letsencrypt/boulder,,,,149.0,,,,3.0,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-06-15 23:34:12.383934,2026-06-15 23:34:12.383934,13.0,13.0,2072052.0,,,,,,,,,,
85,identity-server,{},authentication,,,,3,False,duendesoftware/identityserver,,,,341.0,,,,3.0,,,,,,,,,,,,https://duendesoftware.com/license,,,,,,,,
86,cerbos,{},authorization,,,,3,False,cerbos/cerbos,,35.0,35.0,35.0,,,,3.0,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,
87,keycloak,{},idp,,,['cncf'],3,False,keycloak/keycloak,,,,1857.0,,,,3.0,,,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,3.0,,,,,,,,,
88,authentik,{},idp,,,,3,False,goauthentik/authentik,,,,578.0,,,,3.0,,,,,,,,,,,,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,,,,https://charts.goauthentik.io,,,,
89,jansen,{},idp,,,['linux-foundation'],3,False,janssenproject/jans,,16.0,16.0,146.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
90,verity-sdk,{},ssi-sdks,,,,3,False,evernym/verity-sdk,,17.0,17.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
91,did-key.rs,{},dids,,,['dif'],3,False,decentralized-identity/did-key.rs,,100.0,100.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
92,deepfacelab,{},biometrics,,,,3,False,iperov/DeepFaceLab,,24.0,24.0,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
93,maxkey,{},idp,maxkey-.,,,2,False,dromara/MaxKey,,,,61.0,,,,3.0,,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2026-06-30 01:47:11.347464,2026-06-30 01:47:11.347464,5.0,5.0,50751.0,,,,,,,,,,
94,permify,{},authorization,,,,2,False,permify/permify,,4.0,4.0,79.0,,,,3.0,,,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
95,zitadel,{},idp,,,,2,False,zitadel/zitadel,,1.0,1.0,260.0,,,,3.0,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,
96,authelia,{},idp,,,,2,False,authelia/authelia,,,,296.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
97,crypto,{},pki,"Library providing privacy enhancing cryptographic primitives, ZKPs, BBS+ and BBS# signatures.",,,2,False,docknetwork/crypto,,26.0,26.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,aries-python,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-cloudagent-python,,,,167.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
99,aries-mobile-agent-react-native,{},ssi-agents,,,['hyperledger'],2,False,hyperledger/aries-mobile-agent-react-native,,9.0,9.0,66.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
100,aries-framework-go,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-framework-go,,3.0,3.0,62.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,universal-resolver,{},dids,The Universal Resolver resolves Decentralized Identifiers (DIDs) across many different DID methods.,,,2,False,decentralized-identity/universal-resolver,,,,135.0,,,,3.0,,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-07-02 21:51:06.878835,2026-07-02 21:51:06.878835,,,158082.0,,,,,,,,,,
102,beyond,{},machine,Google BeyondCorp-inspired Access Proxy.,,,2,False,cogolabs/beyond,,,,6.0,,,,3.0,,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,2021-03-16 02:43:33.655703,,,18109.0,,Apache-2.0,,,,,,,,
103,supertokens,{},idp,,,,2,False,supertokens/supertokens-core,,,,38.0,,,,3.0,,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,,,,,,,,
104,lemur,{},pki,,,,2,False,netflix/lemur,,,,162.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
105,did-spec-registries,{},dids,,,,2,False,w3c/did-spec-registries,,,,279.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
106,webauthn,{},specs,,,['w3c'],2,False,w3c/webauthn,,,,83.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
107,vc-data-model,{},specs,,,['w3c'],2,False,w3c/vc-data-model,,,,81.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
108,did-core,{},specs,,,['w3c'],2,False,w3c/did-core,,,,71.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
109,universal-wallet-interop-spec,{},specs,,,['w3c'],2,False,w3c-ccg/universal-wallet-interop-spec,,3.0,3.0,10.0,,,,1.0,,,,,,,,,,,,W3C,,,,,,,,
110,webauthn-json,{},authentication,,,,2,False,github/webauthn-json,,30.0,30.0,15.0,,,,3.0,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,,,,,
111,procivis-one-wallet,{},ssi-agents,"Digital wallet with eIDAS 2.0 compliancy, ISO 18013-5 mdocs, IETF SD-JWT VC, OID4VC, and W3C VCs.",,['w3c'],2,False,procivis/one-wallet,,,,,,,,2.0,,,,,,,,,,,,Apache-2.0,,,,,,,,
112,procivis-one-core,,ssi-sdks,"Issue, hold and verify digital identities and credentials on any device with eIDAS 2.0 compliancy, ISO 18013-5 mdocs,..",,['w3c'],2,False,,,,,,,,,3.0,,,,,,,,,,,,Apache-2.0,,,,,,procivis/one-core,,
113,ejbca-ce,{},pki,EJBCA Open source public key infrastructure (PKI) and certificate authority (CA) software.,,,1,False,Keyfactor/ejbca,,,,,,,,3.0,,,,keyfactor/ejbca-ce,https://hub.docker.com/r/keyfactor/ejbca-ce,2025-12-17 01:31:09.041590,2025-12-17 01:31:09.041590,60.0,60.0,750200.0,,,,,,,,,,
114,cfssl,{},pki,CloudFlares PKI toolkit.,,,1,False,cloudfare/cfssl,,,,,,,,3.0,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2026-04-17 14:15:15.991400,2026-04-17 14:15:15.991400,26.0,26.0,4667551.0,,,,,,,,,,
115,pyMDOC-CBOR,{},ssi-sdks,,,,1,False,IdentityPython/pyMDOC-CBOR,pymdoccobr,3.0,3.0,11.0,https://pypi.org/project/pymdoccobr,,,3.0,,,,,,,,,,,,,,,,,,,,
116,ladon,{},authorization,,,['ory'],1,False,ory/ladon,,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
117,warrant,{},authorization,,,,1,False,warrant-dev/warrant,,6.0,6.0,5.0,,,,3.0,,,,warrantdev/warrant,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,,
118,spiffe,{},machine,,,"['cncf', 'linux-foundation']",1,False,spiffe/spiffe,,,,75.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
119,waltid-identity,{},ssi-sdks,,,,1,False,walt-id/waltid-identity,,,,48.0,,,,3.0,,,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,
120,cf-identity-wallet,{},ssi-agents,,,,1,False,cardano-foundation/cf-identity-wallet,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
121,sphereon-ssi,{},ssi-sdks,,,,1,False,sphereon-opensource/ssi-sdk,,2.0,2.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
122,sphereon-openid4vci,{},ssi-sdks,,,,1,False,sphereon-opensource/openid4vci,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
