,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id,github-id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-01-09 08:35:12.000000,2024-01-06 20:50:34,1694.0,14.0,459.0,68.0,495.0,78.0,293.0,2706.0,48.0,486468.0,486468.0,195.0,,,80427889.0,1.0,,2023-01-10 13:13:43,3.2.2,,,,,,oauthlib,https://pypi.org/project/oauthlib,80427889.0,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1189.0,309.0,157.0,335.0,428.0,22178.0,,989111.0,989111.0,38.0,https://www.npmjs.com/package/passport,8231516.0,8231516.0,1.0,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-01-25 18:05:51.000000,2024-01-25 17:30:37,23862.0,687.0,5845.0,374.0,14095.0,1952.0,6681.0,18797.0,48.0,,,1316.0,,,64826.0,1.0,quay.io/keycloak/keycloak,2024-01-08 13:48:54,23.0.4,2398590.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-01-17 08:32:59.000000,2024-01-17 08:32:38,1374.0,20.0,387.0,62.0,185.0,73.0,349.0,4125.0,33.0,30356.0,30356.0,105.0,,,6050447.0,1.0,,2023-12-17 12:54:58,1.3.0,,,,,,authlib,https://pypi.org/project/authlib,6050447.0,,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-01-25 18:17:12.000000,2024-01-25 18:08:50,18892.0,431.0,3876.0,826.0,19075.0,973.0,4876.0,29192.0,100.0,6887.0,6887.0,1442.0,,,,1.0,,2023-12-05 20:48:13,1.15.4,,,,,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-01-25 15:09:55.000000,2024-01-23 22:37:45,1181.0,85.0,1652.0,127.0,117.0,3.0,849.0,8993.0,2.0,2465.0,2465.0,52.0,,,153005.0,1.0,,2024-01-25 15:09:55,0.0.81,,,,,,deepface,https://pypi.org/project/deepface,153005.0,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,36,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-01-25 15:48:13.000000,2024-01-25 15:48:12,9620.0,34.0,1182.0,122.0,1087.0,110.0,879.0,7166.0,10.0,1444.0,1444.0,226.0,,,166520.0,1.0,,2023-11-22 02:28:28,0.5.16,,,,,,speechbrain,https://pypi.org/project/speechbrain,166520.0,,,,,,,,
17,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-01-22 11:48:49.000000,2024-01-22 11:48:48,3759.0,28.0,1332.0,232.0,1739.0,83.0,1393.0,14880.0,100.0,3.0,3.0,291.0,,,3974111.0,2.0,oryd/hydra,2023-05-24 08:55:23,2.1.2,701271.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,412265761.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
18,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],35,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-01-25 16:03:59.000000,2024-01-25 09:22:43,4093.0,84.0,850.0,108.0,1800.0,169.0,1036.0,9835.0,43.0,327.0,327.0,218.0,,,1658062.0,1.0,oryd/kratos,2023-07-12 20:24:48,1.0.0,36617.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112696445.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
19,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-01-23 10:09:12.000000,2024-01-23 10:07:34,1533.0,35.0,252.0,42.0,372.0,13.0,429.0,5369.0,100.0,64184.0,64184.0,67.0,https://www.npmjs.com/package/@casl/ability,1764478.0,1764478.0,1.0,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-12-31 10:36:48.000000,2023-12-31 10:32:49,1083.0,6.0,1559.0,233.0,484.0,38.0,739.0,16395.0,100.0,2693.0,2693.0,138.0,https://www.npmjs.com/package/casbin,158920.0,235445.0,2.0,,2023-12-31 10:34:10,2.81.0,,,,,,casbin,https://pypi.org/project/casbin,76525.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
21,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3526.0,336.0,109.0,430.0,390.0,15845.0,38.0,8160.0,8160.0,25.0,https://www.npmjs.com/package/face-api.js,133196.0,133196.0,2.0,,2020-03-22 14:01:55,0.22.2,,,,,,,,,,,,,,,,
22,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-01-25 05:17:20.220618,2024-01-24 13:15:06,24574.0,597.0,3825.0,605.0,4644.0,,,10642.0,100.0,21.0,21.0,345.0,,,6012.0,2.0,apereo/cas,2023-12-29 14:54:27,7.0.0,,https://hub.docker.com/r/apereo/cas,2024-01-25 05:17:20.220618,129.0,889882.0,,,,,,,,,,,
23,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-01-25 17:59:45.000000,2024-01-25 17:46:53,7835.0,604.0,543.0,59.0,5564.0,307.0,1417.0,4252.0,100.0,183.0,183.0,305.0,,,13738.0,2.0,,2024-01-09 21:11:36,ockam_v0.116.0,343473.0,,,,,,,,,,,build-trust/ockam/ockam,,,,
24,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-01-25 15:18:32.000000,2024-01-25 10:21:28,3469.0,204.0,219.0,37.0,1283.0,98.0,315.0,4137.0,64.0,44.0,44.0,41.0,,,61585.0,2.0,authzed/spicedb,2024-01-22 11:44:28,1.29.0,42711.0,https://hub.docker.com/r/authzed/spicedb,2024-01-22 11:57:13.739577,6.0,1741750.0,,,,,,,,,,,
25,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-01-25 01:07:09.664657,2024-01-25 00:21:34,3298.0,176.0,273.0,38.0,3908.0,79.0,875.0,3770.0,100.0,13.0,13.0,91.0,,,19677551.0,2.0,pomerium/pomerium,2024-01-10 15:55:52,0.25.0,50994.0,https://hub.docker.com/r/pomerium/pomerium,2024-01-25 01:07:09.664657,10.0,1180591938.0,,,,,,,,,,,
26,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-01-13 20:33:11.000000,2022-06-10 09:12:18,238.0,,12950.0,1565.0,225.0,723.0,584.0,50917.0,2.0,21.0,21.0,54.0,,,61848.0,2.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1224.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7310.0,face_recognition,https://pypi.org/project/face_recognition,61744.0,,,,,,,,
27,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-01-16 12:11:24.000000,2024-01-16 12:11:24,4735.0,4.0,1695.0,181.0,1688.0,437.0,1346.0,9616.0,15.0,88.0,88.0,131.0,,,179550.0,3.0,,2023-04-14 09:36:52,r1.4.1,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,179550.0,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-01-25 18:14:26.000000,2024-01-25 14:15:32,6385.0,136.0,422.0,80.0,3490.0,145.0,1195.0,1604.0,96.0,130.0,130.0,182.0,,,2511.0,2.0,ghcr.io/spiffe/spire-server,2023-12-21 19:45:00,1.8.7,188350.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
29,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-01-25 17:34:07.000000,2024-01-25 16:26:06,12377.0,891.0,693.0,117.0,6426.0,3796.0,8827.0,717.0,100.0,,,697.0,,,16322.0,2.0,wso2/wso2is,2023-01-30 04:38:12,6.1.0,22381.0,https://hub.docker.com/r/wso2/wso2is,2021-03-12 19:48:53.680553,34.0,1842702.0,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,5.0,388.0,31.0,522.0,72.0,353.0,534.0,50.0,1667.0,1667.0,172.0,,,505401.0,2.0,,2023-06-11 17:22:24,7.4.2,,,,,,pysaml2,https://pypi.org/project/pysaml2,505401.0,,,,,,,,
31,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-01-25 14:32:11.000000,2024-01-25 14:26:31,2705.0,80.0,1496.0,174.0,2004.0,283.0,802.0,8756.0,81.0,145.0,145.0,230.0,,,3.0,2.0,quay.io/dexidp/dex,2024-01-25 14:31:22,2.38.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
32,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-01-25 18:04:51.000000,2024-01-25 17:43:40,3871.0,399.0,253.0,198.0,3961.0,76.0,245.0,3749.0,49.0,8.0,8.0,151.0,,,252866.0,3.0,hashicorp/boundary,2023-12-12 20:49:05,0.14.3,,https://hub.docker.com/r/hashicorp/boundary,2023-12-12 20:57:03.493064,12.0,12137573.0,,,,,,,,,,,
33,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4932.0,504.0,152.0,1008.0,1349.0,20087.0,1.0,1535.0,1535.0,58.0,,,182097.0,2.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1638865.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,
34,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-01-11 16:17:28.000000,2024-01-11 16:14:43,440.0,66.0,151.0,38.0,108.0,1.0,87.0,755.0,25.0,976.0,976.0,26.0,,,44575.0,2.0,,2024-01-11 16:18:23,2.0.0,,,,,,webauthn,https://pypi.org/project/webauthn,44575.0,,,,,,,,
35,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,29,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-01-25 15:30:25.000000,2024-01-25 15:30:24,5201.0,307.0,989.0,159.0,5041.0,70.0,1098.0,18573.0,100.0,,,146.0,,,681.0,2.0,,2022-12-21 09:01:04,4.37.5,32715.0,,,,,,,,,,,,,,,
36,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-01-23 12:06:50.669164,2024-01-23 11:52:16,2224.0,166.0,932.0,57.0,1351.0,103.0,1074.0,7925.0,100.0,3.0,3.0,160.0,,,3092.0,2.0,casbin/casdoor,2024-01-23 12:01:05,1.511.0,,https://hub.docker.com/r/casbin/casdoor,2024-01-23 12:06:50.669164,13.0,120592.0,,,,,,,,casbin/casdoor,,,
37,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,29,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-01-25 17:40:13.000000,2024-01-25 13:19:32,5572.0,516.0,293.0,38.0,4921.0,68.0,268.0,6773.0,52.0,10.0,10.0,46.0,,,1037.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2947.0,https://hub.docker.com/r/svhd/logto,2024-01-24 01:20:33.367662,2.0,27811.0,,,,,,,,,,,
38,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-01-25 08:54:56.000000,2023-12-01 16:01:35,2389.0,17.0,1002.0,106.0,821.0,29.0,832.0,5237.0,64.0,8461.0,8461.0,315.0,,,,2.0,,2023-12-01 16:03:07,.5.6.8,,,,,,,,,,,,,,doorkeeper,,
39,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-01-23 09:53:23.000000,2024-01-19 13:40:58,1492.0,10.0,317.0,56.0,1117.0,41.0,267.0,4438.0,50.0,26.0,26.0,71.0,,,726847.0,2.0,oryd/keto,,,18712.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50858257.0,,,,,,,,,,,
40,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-01-13 04:51:09.000000,2024-01-13 04:41:13,1213.0,13.0,163.0,30.0,1525.0,108.0,101.0,3344.0,100.0,82.0,82.0,66.0,,,26591.0,2.0,,2024-01-13 04:08:30,0.27.3,2708.0,,,,,oso,https://pypi.org/project/oso,26514.0,,,,,,,,
41,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-01-24 16:55:57.000000,2024-01-16 18:03:51,5261.0,175.0,279.0,41.0,767.0,47.0,258.0,1255.0,53.0,1602.0,1602.0,296.0,,,,2.0,,2024-01-24 19:01:59,7.0.0,,,,,,,,,,,,,,,,
42,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-01-25 17:49:04.000000,2024-01-18 04:03:26,614.0,8.0,64.0,40.0,213.0,4.0,84.0,310.0,100.0,4399.0,4399.0,41.0,https://www.npmjs.com/package/did-jwt,144773.0,144773.0,1.0,,2024-01-18 04:03:55,8.0.0,,,,,,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-01-16 17:12:16.000000,2023-12-18 20:11:16,136.0,12.0,6041.0,469.0,203.0,,,54831.0,10.0,21.0,21.0,66.0,,,250810.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,250810.0,,,,,,,,
44,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-01-12 15:15:19.000000,2024-01-12 15:14:56,1787.0,5.0,12620.0,1525.0,514.0,15.0,825.0,48275.0,4.0,,,97.0,,,3801.0,3.0,,2023-06-18 18:08:19,2.2.0,224275.0,,,,,,,,,,,,,,,
45,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9166.0,1115.0,131.0,541.0,801.0,44243.0,2.0,21.0,21.0,22.0,,,3733.0,3.0,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,171719.0,,,,,,,,,,,,,,,
46,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3493.0,759.0,74.0,9.0,370.0,14973.0,4.0,68.0,68.0,30.0,,,1611.0,3.0,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161198.0,,,,,,,,,,,
47,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-01-25 18:10:53.000000,2024-01-24 22:23:08,6433.0,105.0,546.0,140.0,4375.0,184.0,2706.0,4899.0,100.0,,,129.0,,,20884.0,2.0,letsencrypt/boulder-tools,2024-01-23 21:49:20,release-2024-01-22,63738.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-01-17 23:45:40.135569,13.0,1960686.0,,,,,,,,,,,
48,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-12-15 14:20:58.000000,2023-09-08 08:05:44,1354.0,,324.0,48.0,717.0,49.0,277.0,3149.0,100.0,3.0,3.0,109.0,,,1155891.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,34261.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87812670.0,,,,,,,,,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-01-25 12:56:22.000000,2024-01-25 12:56:22,1504.0,96.0,98.0,28.0,1597.0,50.0,276.0,2218.0,56.0,19.0,19.0,25.0,,,1590.0,3.0,ghcr.io/cerbos/cerbos,2024-01-16 08:53:43,0.33.0,54092.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
50,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-01-17 14:55:38.000000,2023-12-17 17:09:26,2994.0,37.0,289.0,79.0,837.0,284.0,614.0,1756.0,52.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,724.0,9451.0,1.0,nodesolidserver/node-solid-server,2023-12-17 18:26:45,5.7.8,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-12-17 18:38:41.970023,4.0,977501.0,,,,,,,,,,,
51,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,28,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-01-25 12:45:46.000000,2024-01-23 10:51:48,2639.0,40.0,116.0,59.0,301.0,28.0,251.0,778.0,35.0,126.0,126.0,43.0,,,55655.0,2.0,,2023-10-10 20:15:44,5.2.1,7444.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,55573.0,,,,,,,,
