,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,pypi_id,updated_github_id,pypi_url,pypi_monthly_downloads,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-01-29 18:22:06.000000,2026-01-29 18:22:06,10460.0,340.0,2250.0,146.0,4453.0,146.0,3542.0,13519.0,2025-12-09 16:03:17,1.19.2,106578490.0,2732781.0,100.0,2361.0,2361.0,541.0,,,,,1.0,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,openpolicyagent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-01-29 18:14:39.299857,2026-01-29 17:00:38,6144.0,186.0,1489.0,133.0,5356.0,377.0,2502.0,11213.0,2026-01-29 17:26:30,1.13.0,19728387.0,5384843.0,100.0,6333.0,6333.0,559.0,https://hub.docker.com/r/openpolicyagent/opa,2026-01-29 18:14:39.299857,46.0,610408648.0,1.0,,,,,,,,,,,,,,,,
14,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,40,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2025-12-12 15:35:36.000000,2025-12-03 23:35:13,3939.0,1.0,3979.0,109.0,3323.0,389.0,4674.0,28027.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,8968549.0,100.0,477734.0,477734.0,898.0,,,,,1.0,-1.0,next-auth,https://www.npmjs.com/package/next-auth,8968549.0,,,,,,,,,,,,
15,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-01-21 09:50:05.000000,2026-01-21 09:49:00,1677.0,49.0,511.0,57.0,292.0,116.0,414.0,5191.0,2026-01-09 08:31:38,1.6.6,,48327479.0,47.0,48403.0,48403.0,136.0,,,,,1.0,,,,,authlib,authlib/authlib,https://pypi.org/project/authlib,48327479.0,,,,,,,,
16,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-01-18 05:33:42.000000,2026-01-04 19:46:27,1785.0,2.0,489.0,62.0,521.0,84.0,305.0,2951.0,2025-06-20 05:53:03,3.3.1,,235737625.0,50.0,643159.0,643159.0,202.0,,,,,1.0,,,,,oauthlib,,https://pypi.org/project/oauthlib,235737625.0,,,,,,,,
17,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-01-25 23:05:37.000000,2026-01-25 23:04:50,2110.0,39.0,2959.0,176.0,341.0,7.0,1225.0,21956.0,2026-01-25 23:05:37,0.0.98,,345676.0,18.0,8500.0,8500.0,96.0,,,,,1.0,,,,,deepface,,https://pypi.org/project/deepface,345676.0,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2026-01-26 17:06:21.000000,2026-01-25 08:47:55,1163.0,29.0,1715.0,234.0,631.0,41.0,888.0,19783.0,2026-01-26 17:06:22,3.10.0,,1351762.0,100.0,3562.0,3562.0,161.0,,,,,1.0,,casbin,https://www.npmjs.com/package/casbin,380563.0,casbin,,https://pypi.org/project/casbin,971199.0,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-01-29 15:55:29.000000,2026-01-29 15:55:26,10574.0,19.0,1603.0,132.0,1428.0,124.0,1054.0,11108.0,2025-04-07 17:05:07,1.0.3,,1019351.0,14.0,4027.0,4027.0,269.0,,,,,1.0,,,,,speechbrain,,https://pypi.org/project/speechbrain,1019351.0,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-01-27 21:47:29.000000,2026-01-27 21:44:44,1735.0,66.0,295.0,38.0,551.0,19.0,491.0,6760.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,3453000.0,100.0,101824.0,101824.0,77.0,,,,,1.0,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,3453000.0,,,,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-01-29 18:09:11.000000,2026-01-29 18:08:04,22566.0,441.0,4435.0,781.0,25060.0,1192.0,5284.0,34569.0,2026-01-07 18:09:58,1.21.2,,,100.0,15328.0,15328.0,1612.0,,,,,1.0,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1227.0,292.0,162.0,354.0,430.0,23508.0,,,,20724628.0,,1318502.0,1318502.0,38.0,,,,,2.0,,passport,https://www.npmjs.com/package/passport,20724628.0,,,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-01-28 21:40:59.000000,2026-01-28 21:40:58,4370.0,88.0,1507.0,235.0,1929.0,92.0,1488.0,16970.0,2025-11-07 14:57:03,25.4.0,505888.0,3354883.0,100.0,,,316.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428721344.0,2.0,,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-01-29 13:20:11.000000,2026-01-29 13:20:09,4982.0,109.0,1081.0,112.0,2244.0,157.0,1269.0,13420.0,2025-11-07 15:48:50,25.4.0,54802.0,1252956.0,48.0,54.0,54.0,242.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115201992.0,1.0,,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13472.0,1549.0,250.0,779.0,598.0,56106.0,2018-04-02 17:18:43,1.2.2,1444.0,185729.0,2.0,5596.0,5596.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10494.0,2.0,,,,,face_recognition,,https://pypi.org/project/face_recognition,185617.0,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-01-29 01:54:44.992272,2026-01-29 01:37:47,3212.0,232.0,1522.0,77.0,2468.0,97.0,2021.0,12967.0,2026-01-29 01:46:36,2.273.0,1208.0,15775.0,100.0,12.0,12.0,268.0,https://hub.docker.com/r/casbin/casdoor,2026-01-29 01:54:44.992272,23.0,955829.0,1.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-01-29 16:31:24.000000,2026-01-29 16:28:10,31498.0,1191.0,3932.0,585.0,7032.0,,,11416.0,2026-01-10 02:18:14,7.3.3,2763.0,8332.0,100.0,21.0,21.0,371.0,https://hub.docker.com/r/apereo/cas,2026-01-29 01:16:43.493665,131.0,1422895.0,1.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-01-29 17:07:07.000000,2026-01-28 11:38:48,7577.0,160.0,555.0,77.0,4945.0,110.0,1552.0,2191.0,2026-01-15 18:54:44,1.14.1,843277.0,14539.0,100.0,204.0,204.0,244.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,14.0,5844.0,510.0,202.0,1210.0,1395.0,27732.0,2023-04-02 07:43:27,0.7,11836054.0,358670.0,1.0,4881.0,4881.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,233.0,2.0,,,,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-01-29 01:34:10.000000,2026-01-27 21:28:55,8789.0,420.0,1318.0,161.0,8839.0,63.0,1345.0,26528.0,2025-11-29 12:13:04,4.39.15,39942.0,654.0,100.0,,,269.0,,,,,2.0,,,,,,,,,,,,,,,,
31,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,33,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-01-27 09:27:07.000000,2026-01-27 09:27:06,4896.0,1.0,1939.0,186.0,1914.0,263.0,1758.0,12507.0,2025-03-05 07:11:35,r1.5.0,,1139907.0,17.0,166.0,166.0,161.0,,,,,2.0,-1.0,,,,paddlepaddle,,https://pypi.org/project/paddlepaddle,1139907.0,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-01-29 18:31:09.000000,2026-01-29 16:05:52,4113.0,128.0,321.0,41.0,4932.0,81.0,990.0,4671.0,2026-01-20 21:26:16,0.32.0,56783.0,19204447.0,100.0,22.0,22.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-01-29 17:29:35.623392,13.0,1613100281.0,2.0,,,,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-01-16 19:30:32.000000,2025-10-07 20:35:19,3632.0,,418.0,27.0,560.0,94.0,362.0,602.0,2025-10-07 20:02:21,7.5.4,,1954244.0,55.0,2174.0,2174.0,181.0,,,,,2.0,,,,,pysaml2,,https://pypi.org/project/pysaml2,1954244.0,,,,,,,,
34,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,32,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-01-29 15:59:49.000000,2026-01-29 09:08:25,8132.0,265.0,679.0,50.0,7354.0,159.0,605.0,11499.0,2025-12-30 09:43:29,1.35.0,7229.0,6562.0,78.0,33.0,33.0,81.0,https://hub.docker.com/r/svhd/logto,2026-01-29 09:14:06.814134,5.0,352159.0,2.0,,,,,,,,,,,,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-01-29 17:50:44.000000,2026-01-29 16:54:34,5376.0,124.0,360.0,52.0,2216.0,101.0,463.0,6395.0,2025-12-12 01:37:39,1.48.0,189333.0,124024.0,100.0,139.0,139.0,74.0,https://hub.docker.com/r/authzed/spicedb,2025-12-12 01:46:32.300906,7.0,6350315.0,2.0,,,,,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-01-29 08:56:58.000000,2026-01-29 08:56:57,1830.0,62.0,372.0,55.0,1398.0,40.0,294.0,5269.0,2025-11-07 14:48:11,25.4.0,41832.0,547061.0,54.0,40.0,40.0,82.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51378104.0,2.0,,,,,,,,,,,,,,,,
37,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-01-27 16:29:39.000000,2026-01-27 16:29:34,2741.0,18.0,765.0,66.0,274.0,,,3664.0,2025-12-07 19:27:28,9.6.0,,653143.0,100.0,1998.0,1998.0,76.0,,,,,2.0,,oidc-provider,https://www.npmjs.com/package/oidc-provider,653143.0,,,,,,,,,,,,
38,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-01-28 21:41:36.000000,2026-01-28 21:41:35,1618.0,58.0,379.0,47.0,766.0,66.0,304.0,3557.0,2025-11-07 14:57:21,25.4.0,24457.0,905967.0,100.0,15.0,15.0,120.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90571870.0,2.0,2.0,,,,,,,,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-01-29 05:09:24.000000,2026-01-29 05:09:24,17645.0,277.0,939.0,109.0,9052.0,1471.0,15946.0,876.0,2025-10-24 04:51:27,7.2.0,20732.0,14567.0,100.0,,,734.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1999976.0,2.0,,,,,,,,,,,,,,,,
40,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-01-29 18:16:43.000000,2026-01-29 18:12:38,20579.0,1080.0,1444.0,68.0,15356.0,792.0,3098.0,19930.0,2026-01-16 01:04:03,ersion/2025.12.1,5245.0,180.0,100.0,,,491.0,,,,,2.0,,,,,,,,,,,https://charts.goauthentik.io,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-01-29 15:55:36.000000,2026-01-28 17:05:07,4978.0,103.0,300.0,192.0,5984.0,109.0,281.0,4013.0,2025-12-11 17:18:44,0.21.0,,307684.0,73.0,13.0,13.0,200.0,https://hub.docker.com/r/hashicorp/boundary,2025-12-11 17:30:05.287895,19.0,22153250.0,3.0,,,,,,,,,,,,,,,,
42,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11522.0,692.0,350.0,,,93892.0,2025-06-26 01:06:09,20250625,,1146730.0,13.0,21.0,21.0,79.0,,,,,3.0,,,,,openai-whisper,,https://pypi.org/project/openai-whisper,1146730.0,,,,,,,,
43,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-01-29 04:03:07.000000,2026-01-28 07:29:04,3640.0,111.0,1771.0,168.0,2997.0,344.0,860.0,10543.0,2025-09-01 13:23:20,2.44.0,358.0,2.0,92.0,181.0,181.0,282.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
44,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-01-29 00:23:38.000000,2026-01-29 00:23:38,2601.0,76.0,282.0,21.0,2724.0,236.0,927.0,4509.0,2025-12-13 02:42:40,1.8.5,420.0,8635.0,51.0,42.0,42.0,140.0,https://hub.docker.com/r/kanidm/server,2025-12-13 04:43:49.936254,4.0,716321.0,3.0,,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-01-29 14:10:48.000000,2026-01-28 14:51:22,3012.0,51.0,136.0,59.0,333.0,36.0,322.0,1053.0,2026-01-22 14:54:05,5.9.0,38333.0,42277.0,46.0,218.0,218.0,52.0,,,,,2.0,,,,,yubikey-manager,,https://pypi.org/project/yubikey-manager,41941.0,,,,,,,,
46,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-01-29 18:25:10.000000,2026-01-29 13:48:20,35565.0,213.0,159.0,30.0,7531.0,418.0,4955.0,608.0,2026-01-22 17:46:22,1.16.0,7935.0,293.0,100.0,11.0,11.0,141.0,,,,,3.0,,,,,,,,,,,,,,,,
47,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-01-05 12:30:09.000000,2026-01-05 12:29:50,1856.0,14.0,13294.0,1528.0,535.0,41.0,852.0,54934.0,2025-12-21 02:44:08,3.0.0,60175.0,725.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
48,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-01-29 18:12:57.000000,2026-01-29 18:09:29,4214.0,142.0,920.0,63.0,7082.0,860.0,2542.0,12850.0,2026-01-23 13:17:07,4.10.0,14126.0,1412.0,100.0,1.0,1.0,239.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,,,https://charts.zitadel.com,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-01-29 00:53:49.000000,2026-01-28 21:09:15,7244.0,74.0,616.0,132.0,5301.0,177.0,3100.0,5646.0,2026-01-26 22:28:12,0.20260126.0,36060.0,16986.0,100.0,,,147.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-12-03 17:22:24.944806,13.0,2041165.0,2.0,,,,,,,,,,,,,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,15.0,559.0,52.0,7293.0,,1780.0,4592.0,2025-06-30 22:09:21,ockam_v0.157.0,15012.0,341.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
51,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-01-12 11:21:39.000000,2026-01-11 10:32:45,3308.0,95.0,298.0,73.0,892.0,296.0,643.0,1794.0,2026-01-07 15:47:40,6.0.0,,10797.0,60.0,3.0,3.0,90.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005339.0,1.0,,solid-server,https://www.npmjs.com/package/solid-server,3405.0,,,,,,,,,,,,
52,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-01-26 18:15:54.000000,2025-12-01 01:00:51,676.0,5.0,69.0,36.0,233.0,5.0,87.0,365.0,2025-08-25 22:29:37,8.0.18,,277685.0,100.0,6149.0,6149.0,42.0,,,,,1.0,,did-jwt,https://www.npmjs.com/package/did-jwt,277685.0,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3487.0,741.0,77.0,5.0,382.0,15467.0,2024-10-04 12:56:15,0.2.2,,1319.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163565.0,3.0,,,,,,,,,,,,,,,,
