,name,homepage,category,description,resource,labels,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
12,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2025-07-03 02:41:54.000000,2025-07-03 02:41:52,3914.0,5.0,3901.0,110.0,3282.0,378.0,4640.0,27541.0,2025-06-22 12:08:31,@auth/azure-tables-adapter@1.10.0,,8185486.0,100.0,474071.0,474071.0,890.0,1.0,next-auth,https://www.npmjs.com/package/next-auth,8185486.0,-1.0,,,,,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-09-22 14:33:25.000000,2025-09-22 14:33:23,4366.0,151.0,2237.0,230.0,4930.0,235.0,2205.0,13543.0,2025-09-09 00:12:27,1.12.4,9282503.0,2908856.0,74.0,14066.0,14066.0,446.0,1.0,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-09-09 00:14:02.875895,162.0,321811473.0,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-09-25 12:04:36.752600,2025-09-25 11:20:33,5902.0,149.0,1445.0,132.0,5090.0,377.0,2437.0,10729.0,2025-08-28 15:13:34,1.8.0,18172866.0,5468067.0,100.0,5943.0,5943.0,538.0,1.0,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-09-25 12:04:36.752600,44.0,605469992.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-08-17 20:01:11.000000,2025-08-17 20:01:11,1779.0,9.0,483.0,64.0,513.0,83.0,304.0,2925.0,2025-06-20 05:53:03,3.3.1,,197792995.0,50.0,638645.0,638645.0,200.0,1.0,,,,-2.0,,,,,,oauthlib,https://pypi.org/project/oauthlib,197792995.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-09-07 11:51:12.000000,2025-09-07 11:51:12,2063.0,63.0,2745.0,173.0,302.0,9.0,1196.0,20606.0,2025-08-05 20:40:18,0.0.95,,264699.0,15.0,8365.0,8365.0,96.0,1.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,264699.0,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-09-25 16:02:19.000000,2025-08-13 08:47:19,10549.0,11.0,1528.0,134.0,1398.0,125.0,1043.0,10489.0,2025-04-07 17:05:07,1.0.3,,1609437.0,14.0,3882.0,3882.0,263.0,1.0,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1609437.0,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-09-24 12:40:47.000000,2025-09-21 15:19:47,1615.0,68.0,495.0,60.0,278.0,117.0,401.0,5013.0,2025-09-20 08:11:36,1.6.4,,38446746.0,45.0,45902.0,45902.0,131.0,1.0,,,,,,,,,,authlib,https://pypi.org/project/authlib,38446746.0,authlib/authlib,,,,,,,,
19,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-09-21 12:59:27.000000,2025-09-21 12:55:57,1133.0,19.0,1683.0,240.0,559.0,18.0,845.0,19184.0,2025-09-21 12:57:33,2.127.0,,1243633.0,100.0,3517.0,3517.0,158.0,1.0,casbin,https://www.npmjs.com/package/casbin,412899.0,,,,,,,casbin,https://pypi.org/project/casbin,830734.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-09-25 18:04:02.000000,2025-09-25 18:02:49,21892.0,434.0,4326.0,788.0,24987.0,1147.0,5251.0,33187.0,2025-09-24 20:43:32,1.20.4,,,100.0,15024.0,15024.0,1613.0,1.0,,,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1228.0,297.0,162.0,354.0,430.0,23422.0,,,,17439784.0,,1313885.0,1313885.0,38.0,2.0,passport,https://www.npmjs.com/package/passport,17439784.0,,,,,,,,,,,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13436.0,1564.0,243.0,774.0,598.0,55509.0,2018-04-02 17:18:43,1.2.2,1433.0,188467.0,2.0,5545.0,5545.0,54.0,2.0,,,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9871.0,face_recognition,https://pypi.org/project/face_recognition,188357.0,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-09-25 12:32:49.000000,2025-09-25 12:32:42,4210.0,143.0,1476.0,238.0,1920.0,81.0,1484.0,16621.0,2025-01-17 08:51:44,2.3.0,697409.0,3458789.0,100.0,,,314.0,2.0,,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,78.0,427918267.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-09-16 05:07:37.000000,2025-08-12 14:47:33,1669.0,8.0,284.0,40.0,476.0,19.0,478.0,6539.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,,3200379.0,100.0,101342.0,101342.0,73.0,2.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,3200379.0,,,,,,,,,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-09-25 14:28:13.583068,2025-09-25 14:04:43,2925.0,124.0,1423.0,79.0,2036.0,106.0,1754.0,12302.0,2025-09-25 14:21:39,2.68.0,,12868.0,100.0,12.0,12.0,252.0,1.0,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-09-25 14:28:13.583068,21.0,759258.0,,,,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-09-13 11:36:18.000000,2025-09-11 11:32:04,4894.0,8.0,1925.0,188.0,1905.0,252.0,1754.0,12253.0,2025-03-05 07:11:35,r1.5.0,,616345.0,17.0,160.0,160.0,158.0,2.0,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,616345.0,,,,,,,,,
27,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-09-25 16:27:34.000000,2025-09-25 16:27:33,8131.0,555.0,1270.0,159.0,8140.0,57.0,1321.0,25344.0,2025-09-15 09:11:13,4.39.10,54360.0,906.0,100.0,,,254.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-09-25 08:32:28.000000,2025-09-25 08:14:37,29783.0,1223.0,3920.0,595.0,6349.0,,,11335.0,2025-09-06 14:22:30,7.1.6.1,819.0,7725.0,100.0,21.0,21.0,365.0,1.0,,,,-1.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-09-25 00:57:23.671999,131.0,1294863.0,,,,,,,,,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-09-25 17:58:42.000000,2025-09-25 15:58:54,3918.0,123.0,311.0,43.0,4723.0,104.0,962.0,4469.0,2025-09-08 20:57:56,0.30.6,66623.0,20162592.0,100.0,22.0,22.0,97.0,2.0,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-09-25 17:24:58.155108,13.0,1612921454.0,,,,,,,,,,,,
30,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-09-25 18:05:54.000000,2025-09-25 18:03:27,7367.0,122.0,518.0,77.0,4699.0,141.0,1489.0,2072.0,2025-09-18 18:36:52,1.13.1,790086.0,12541.0,100.0,185.0,185.0,227.0,2.0,,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
31,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-08-18 12:46:19.000000,2025-08-18 12:46:19,2371.0,4.0,5698.0,509.0,198.0,1199.0,1393.0,26601.0,2023-04-02 07:43:27,0.7,9986521.0,344364.0,1.0,4752.0,4752.0,66.0,2.0,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,205.0,,,,,,,,,,,,
32,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-09-25 12:33:24.000000,2025-09-25 12:33:15,4826.0,124.0,1014.0,112.0,2219.0,160.0,1250.0,12357.0,2024-10-28 10:21:42,1.3.1,54774.0,1304323.0,47.0,,,239.0,2.0,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114709584.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-09-25 16:46:59.000000,2025-09-23 21:55:17,5119.0,181.0,333.0,51.0,1971.0,90.0,437.0,6067.0,2025-09-16 18:18:46,1.45.4,201095.0,117276.0,100.0,128.0,128.0,66.0,2.0,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-09-16 18:27:17.667580,7.0,5527617.0,,,,,,,,,,,,
34,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-09-25 08:44:54.000000,2025-09-25 08:44:50,2711.0,40.0,765.0,68.0,263.0,,,3539.0,2025-08-29 19:50:36,9.5.1,,730489.0,100.0,1873.0,1873.0,75.0,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,730489.0,-1.0,,,,,,,,,,,,,,,,,
35,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,10859.0,678.0,325.0,,,88660.0,2025-06-26 01:06:09,20250625,,1136087.0,13.0,21.0,21.0,79.0,3.0,,,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,1136087.0,,,,,,,,,
36,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-09-25 17:50:31.000000,2025-09-25 17:12:28,18952.0,1124.0,1303.0,71.0,13086.0,705.0,2708.0,18217.0,2025-09-16 15:19:06,ersion/2025.8.3,6826.0,243.0,100.0,,,433.0,2.0,,,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
37,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-09-25 16:53:25.000000,2025-09-25 02:33:11,7796.0,282.0,605.0,51.0,6983.0,161.0,550.0,10821.0,2025-08-29 08:55:14,1.31.0,6282.0,5993.0,74.0,29.0,29.0,79.0,2.0,,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-09-25 02:38:31.791465,5.0,297848.0,,,,,,,,,,,,
38,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-09-25 12:55:51.000000,2025-09-25 12:32:09,1727.0,106.0,366.0,56.0,1356.0,36.0,291.0,5129.0,2025-03-06 12:24:46,0.14.0,32581.0,570413.0,53.0,39.0,39.0,80.0,2.0,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51301494.0,,,,,,,,,,,,
39,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,31,True,build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-09-25 18:03:34.000000,2025-09-17 15:11:56,9719.0,40.0,557.0,56.0,7276.0,,1780.0,4565.0,2025-06-30 22:09:21,ockam_v0.157.0,201277.0,5031.0,100.0,188.0,188.0,318.0,2.0,,,,-2.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
40,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-09-25 18:09:00.000000,2025-09-25 18:08:57,4824.0,139.0,288.0,195.0,5696.0,105.0,280.0,3969.0,2025-09-25 15:26:25,0.20.0,,304360.0,71.0,11.0,11.0,194.0,2.0,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-09-25 15:33:47.556037,18.0,20696519.0,,,,,,,,,,,,
41,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-09-25 12:38:02.000000,2025-09-25 12:37:20,1522.0,80.0,369.0,49.0,761.0,61.0,300.0,3480.0,2025-01-30 10:40:58,0.40.9,55008.0,941247.0,100.0,15.0,15.0,118.0,2.0,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90303635.0,,,,,,,,,,,,
42,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-09-25 16:50:00.000000,2025-09-25 16:50:00,17142.0,817.0,879.0,112.0,8781.0,1362.0,15518.0,845.0,2025-02-28 19:19:04,7.1.0,18574.0,14828.0,100.0,,,725.0,2.0,,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1981581.0,,,,,,,,,,,,
43,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-19 04:53:23.000000,2025-02-10 21:50:06,3612.0,,418.0,29.0,553.0,94.0,358.0,594.0,2025-02-10 21:52:03,7.5.2,,1935175.0,53.0,2102.0,2102.0,175.0,2.0,,,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1935175.0,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-09-25 17:37:43.000000,2025-09-25 12:30:10,3977.0,223.0,814.0,58.0,6737.0,766.0,2363.0,11776.0,2025-09-18 10:45:22,4.2.2,10697.0,1782.0,100.0,1.0,1.0,216.0,3.0,,,,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,,
45,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-09-25 04:01:47.000000,2025-09-22 15:12:10,3487.0,141.0,1730.0,175.0,2866.0,327.0,853.0,10232.0,2025-09-01 13:23:20,2.44.0,358.0,2.0,92.0,176.0,176.0,279.0,2.0,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
46,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-08-29 11:36:50.000000,2025-08-29 11:36:50,2517.0,10.0,1036.0,106.0,878.0,45.0,849.0,5431.0,2025-04-04 08:29:47,5.8.2,,,70.0,10657.0,10657.0,333.0,2.0,,,,,,,,,,,,,,,,,,doorkeeper,,,
47,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-09-25 12:43:27.000000,2025-09-25 12:43:26,2498.0,101.0,261.0,21.0,2607.0,221.0,861.0,4061.0,2025-08-22 03:43:02,1.7.3,420.0,8185.0,44.0,42.0,42.0,129.0,3.0,,,,1.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-08-31 13:31:49.732684,4.0,646192.0,,,,,,,,,,,,
48,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-09-23 14:27:42.000000,2025-09-10 11:33:16,2953.0,31.0,129.0,62.0,323.0,34.0,319.0,992.0,2025-09-03 07:38:43,5.8.0,28983.0,174728.0,45.0,195.0,195.0,48.0,2.0,,,,,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,174465.0,,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-09-25 13:55:23.000000,2025-09-22 02:12:29,665.0,11.0,71.0,38.0,232.0,6.0,86.0,362.0,2025-08-25 22:29:37,8.0.18,,335612.0,100.0,6020.0,6020.0,42.0,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,335612.0,1.0,,,,,,,,,,,,,,,,,
50,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-09-25 18:00:08.000000,2025-09-25 18:00:07,7127.0,82.0,610.0,138.0,5151.0,178.0,3047.0,5567.0,2025-09-22 21:16:42,0.20250922.0,38835.0,17434.0,100.0,,,142.0,2.0,,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-08-15 20:40:31.917769,13.0,2021392.0,,,,,,,,,,,,
51,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-09-22 10:46:00.000000,2025-09-22 10:45:59,2130.0,87.0,166.0,34.0,2265.0,44.0,354.0,4067.0,2025-08-01 06:13:35,0.46.0,130095.0,2409.0,70.0,33.0,33.0,33.0,3.0,,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-09-24 14:15:35.000000,2025-09-22 11:30:06,7693.0,326.0,384.0,39.0,1382.0,4.0,320.0,1565.0,2025-09-17 16:58:52,is-7.3.2,,,91.0,2962.0,2962.0,338.0,2.0,,,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3498.0,748.0,77.0,5.0,382.0,15413.0,2024-10-04 12:56:15,0.2.2,,1359.0,5.0,96.0,96.0,31.0,3.0,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163132.0,,,,,,,,,,,,
