,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,trending,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-06-11 18:22:07.000000,2025-06-11 18:22:07,4210.0,139.0,2170.0,233.0,4751.0,232.0,2190.0,13224.0,2025-06-06 11:42:00,1.12.2,72.0,13752.0,13752.0,432.0,,,2944708.0,1.0,8802428.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-06-06 11:43:43.926071,161.0,317557269.0,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-06-12 17:52:03.000000,2025-06-12 17:52:03,5724.0,173.0,1406.0,134.0,4894.0,376.0,2393.0,10378.0,2025-06-04 09:21:58,1.5.1,100.0,5518.0,5518.0,521.0,,,5518806.0,1.0,14996635.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-06-12 16:50:34.226360,44.0,601117518.0,,,,,,,,,,,,,
15,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-06-10 13:24:15.000000,2025-06-10 13:24:15,10538.0,66.0,1479.0,133.0,1383.0,118.0,1037.0,9965.0,2025-04-07 17:05:07,1.0.3,14.0,3787.0,3787.0,262.0,,,906091.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,906091.0,,,,,,,,,,
16,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-05-30 14:15:34.000000,2025-05-30 14:15:34,1545.0,68.0,479.0,60.0,254.0,104.0,390.0,4857.0,2025-05-23 06:59:27,1.6.0,41.0,44558.0,44558.0,129.0,,,30304864.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,30304864.0,authlib/authlib,,,,,,,,,
17,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-05-17 21:07:21.000000,2025-05-17 21:07:21,1998.0,33.0,2589.0,177.0,283.0,6.0,1181.0,19352.0,2024-08-17 07:30:49,0.0.93,13.0,8255.0,8255.0,89.0,,,636478.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,636478.0,,-1.0,,,,,,,,
18,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-06-12 18:16:27.000000,2025-06-01 07:17:17,1705.0,1.0,477.0,64.0,502.0,84.0,296.0,2885.0,2023-01-10 13:13:43,3.2.2,48.0,635578.0,635578.0,199.0,,,153103888.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,153103888.0,,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-06-12 18:17:41.000000,2025-06-12 16:46:45,21378.0,469.0,4261.0,796.0,24440.0,1113.0,5220.0,32572.0,2025-05-29 22:59:58,1.19.5,100.0,14710.0,14710.0,1592.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,37,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-06-07 08:56:45.000000,2025-06-07 08:53:33,1113.0,4.0,1669.0,241.0,525.0,43.0,797.0,18732.0,2025-06-07 08:54:49,2.107.0,100.0,3445.0,3445.0,153.0,https://www.npmjs.com/package/casbin,286555.0,455021.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,168466.0,,1.0,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1222.0,300.0,162.0,350.0,430.0,23322.0,,,,1309005.0,1309005.0,38.0,https://www.npmjs.com/package/passport,15551819.0,15551819.0,2.0,,,,,,,,,,,,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13365.0,1567.0,239.0,772.0,594.0,54908.0,2018-04-02 17:18:43,1.2.2,2.0,5509.0,5509.0,54.0,,,194476.0,2.0,1414.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9452.0,face_recognition,https://pypi.org/project/face_recognition,194367.0,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-06-10 21:23:56.000000,2025-06-04 17:32:01,4052.0,39.0,1441.0,239.0,1906.0,78.0,1478.0,16332.0,2025-01-17 08:51:44,2.3.0,100.0,,,308.0,,,3542223.0,2.0,938799.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,427288237.0,,,,,-1.0,,,https://k8s.ory.sh/helm/charts,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-06-10 07:59:28.000000,2025-06-10 07:59:28,4885.0,31.0,1905.0,188.0,1892.0,455.0,1522.0,11980.0,2025-03-05 07:11:35,r1.5.0,17.0,159.0,159.0,157.0,,,386984.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,386984.0,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-06-12 16:52:34.180337,2025-06-12 16:36:29,2788.0,80.0,1341.0,78.0,1879.0,118.0,1604.0,11718.0,2025-06-12 16:45:45,1.936.0,100.0,11.0,11.0,227.0,,,10854.0,1.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-06-12 16:52:34.180337,19.0,607869.0,,,,,,,,,,,,,
26,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-06-12 16:55:20.067307,2025-06-12 08:36:47,28251.0,1243.0,3911.0,596.0,5725.0,,,11249.0,2025-05-30 08:52:19,7.2.3,100.0,21.0,21.0,362.0,,,7348.0,1.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-06-12 16:55:20.067307,131.0,1212545.0,,,,,,,,,,,,,
27,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-06-12 18:27:13.000000,2025-06-12 17:14:28,9618.0,363.0,553.0,57.0,7163.0,,1780.0,4533.0,2025-06-10 20:29:52,ockam_v0.153.0,100.0,188.0,188.0,318.0,,,10582.0,2.0,402140.0,,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
28,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-06-12 18:20:25.000000,2025-06-11 16:22:19,4901.0,342.0,316.0,50.0,1861.0,99.0,414.0,5770.0,2025-06-09 19:45:44,1.44.3,97.0,115.0,115.0,60.0,,,107167.0,2.0,170578.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-06-09 19:52:20.767411,7.0,4755361.0,,,,,,,,,,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-06-11 20:56:39.000000,2025-06-11 15:28:24,3779.0,88.0,300.0,42.0,4538.0,101.0,953.0,4305.0,2025-05-22 16:13:27,0.29.4,100.0,22.0,22.0,95.0,,,20945195.0,2.0,68460.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-06-11 16:41:09.240858,12.0,1612693646.0,,,,,,,,,,,,,
30,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-06-10 11:06:59.000000,2025-06-10 11:06:56,2664.0,109.0,759.0,69.0,259.0,,,3435.0,2025-06-02 08:27:05,9.1.3,100.0,1793.0,1793.0,74.0,https://www.npmjs.com/package/oidc-provider,483105.0,483105.0,2.0,,,,,,,,,,,,,,,,,,,
31,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-06-12 13:25:30.000000,2025-06-12 13:25:22,7230.0,115.0,499.0,78.0,4526.0,145.0,1449.0,1971.0,2025-05-19 17:21:24,1.12.2,100.0,168.0,168.0,216.0,,,9249.0,2.0,628987.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
32,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-06-10 11:00:40.000000,2025-02-10 21:50:06,3612.0,,413.0,29.0,545.0,90.0,358.0,586.0,2025-02-10 21:52:03,7.5.2,53.0,2050.0,2050.0,175.0,,,1376091.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1376091.0,,,,,,,,,,
33,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-05-22 08:20:52.000000,2025-05-22 08:20:52,2362.0,5.0,5552.0,513.0,194.0,1178.0,1391.0,25460.0,2023-04-02 07:43:27,0.7,1.0,4631.0,4631.0,66.0,,,324448.0,2.0,8435619.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,192.0,,,,,,,,,,,,,
34,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-06-12 13:17:12.000000,2025-06-11 06:21:48,7551.0,519.0,1226.0,164.0,7541.0,53.0,1290.0,24110.0,2025-05-25 02:27:28,4.39.4,100.0,,,232.0,,,928.0,2.0,56632.0,,,,,,,,,,,,,,,,,,
35,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-06-04 17:13:04.000000,2025-06-04 17:13:02,4686.0,90.0,983.0,114.0,2208.0,152.0,1240.0,12010.0,2024-10-28 10:21:42,1.3.1,47.0,,,235.0,,,1345794.0,2.0,52207.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,20.0,114324238.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
36,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-06-12 16:51:30.000000,2025-06-12 16:51:30,16160.0,632.0,752.0,115.0,8226.0,1311.0,14625.0,809.0,2025-02-28 19:19:04,7.1.0,100.0,,,719.0,,,15028.0,2.0,17195.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,37.0,1966852.0,,,,,,,,,,,,,
37,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-06-12 18:13:27.000000,2025-06-12 12:03:15,17638.0,976.0,1160.0,69.0,11428.0,645.0,2457.0,16537.0,2025-06-06 15:28:21,ersion/2025.6.1,100.0,,,383.0,,,214.0,2.0,6223.0,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
38,logto,https://github.com/logto-io/logto,idp,"Auth infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-06-12 12:16:31.000000,2025-06-12 06:36:47,7485.0,262.0,543.0,49.0,6677.0,133.0,518.0,10265.0,2025-05-26 13:25:04,1.28.0,71.0,25.0,25.0,75.0,,,5689.0,2.0,5662.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-06-12 06:43:41.715363,5.0,265950.0,,,,,,,,,,,,,
39,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-06-12 04:31:03.000000,2025-05-22 02:49:35,3319.0,107.0,1684.0,176.0,2735.0,319.0,847.0,9939.0,2025-05-22 09:03:17,2.43.1,91.0,171.0,171.0,271.0,,,3.0,2.0,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
40,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-06-06 03:13:03.000000,2025-06-04 17:08:48,1614.0,16.0,358.0,56.0,1326.0,34.0,291.0,5048.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,75.0,,,589425.0,2.0,29418.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51247663.0,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-06-12 18:09:23.000000,2025-06-10 21:17:46,4667.0,85.0,285.0,200.0,5445.0,109.0,274.0,3946.0,2025-05-08 17:05:22,0.19.2,69.0,11.0,11.0,182.0,,,300670.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-05-08 17:14:37.402104,18.0,19543599.0,,,,,,,,,,,,,
42,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-06-06 14:06:36.000000,2025-06-04 17:26:00,1437.0,11.0,353.0,50.0,759.0,65.0,293.0,3406.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,113.0,,,969475.0,3.0,52786.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90107301.0,,,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-05-13 18:22:39.000000,2025-05-13 18:22:31,158.0,4.0,9932.0,651.0,304.0,,,83158.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,74.0,,,740287.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,740287.0,,,,,,,,,,
44,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-06-09 16:54:01.000000,2025-06-09 16:53:41,2902.0,60.0,131.0,63.0,320.0,39.0,298.0,951.0,2025-06-09 16:31:27,5.7.2,44.0,181.0,181.0,48.0,,,112358.0,2.0,22998.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,112144.0,,,,,,,,,,
45,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-06-12 14:15:37.000000,2025-06-06 23:27:47,654.0,20.0,71.0,38.0,228.0,5.0,86.0,356.0,2025-06-06 23:28:08,8.0.17,100.0,5961.0,5961.0,42.0,https://www.npmjs.com/package/did-jwt,389484.0,389484.0,1.0,,,,,,,,,,,,,,,,,,,
46,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-06-12 17:03:25.000000,2025-06-12 17:03:25,3743.0,141.0,729.0,59.0,6330.0,721.0,2167.0,10835.0,2025-06-12 06:54:48,3.3.0,100.0,,,195.0,,,1616.0,3.0,8081.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
47,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-06-09 12:25:18.000000,2025-06-09 12:25:18,2507.0,8.0,1031.0,104.0,875.0,44.0,848.0,5399.0,2025-04-04 08:29:47,5.8.2,70.0,10126.0,10126.0,332.0,,,,2.0,,,,,,,,,,,,,,,,doorkeeper,,,
48,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-06-12 11:01:08.000000,2025-06-12 10:18:56,2028.0,77.0,157.0,33.0,2162.0,42.0,349.0,3887.0,2025-06-03 06:39:10,0.44.0,67.0,29.0,29.0,33.0,,,2268.0,2.0,115692.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-06-12 05:27:07.000000,2025-06-11 04:42:15,2384.0,83.0,230.0,23.0,2485.0,210.0,825.0,3586.0,2025-06-11 06:06:42,1.6.4,40.0,42.0,42.0,115.0,,,7800.0,3.0,417.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-06-11 06:44:28.824546,4.0,592360.0,,,,,,,,,,,,,
50,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-06-12 16:52:04.000000,2025-06-12 16:45:18,7308.0,382.0,379.0,41.0,1217.0,7.0,314.0,1548.0,2025-06-04 20:30:12,is-7.2.4,80.0,2902.0,2902.0,336.0,,,,2.0,,,,,,,,,,DuendeSoftware/products,,,,,,,,,
51,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-05-21 16:58:55.000000,2025-05-21 16:58:33,1835.0,4.0,13276.0,1535.0,526.0,31.0,845.0,54097.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,7316.0,3.0,556074.0,,,,,,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3499.0,750.0,77.0,5.0,382.0,15373.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1391.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162829.0,,,,,,,,,,,,,
53,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,28,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-06-10 06:44:37.000000,2025-04-16 03:36:29,1661.0,2.0,281.0,40.0,470.0,18.0,473.0,6406.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,100935.0,100935.0,72.0,https://www.npmjs.com/package/@casl/ability,,,3.0,,,,,,,,,,,-6.0,,,,,,,,
