,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,trending,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-04-14 21:43:37.000000,2026-04-14 21:43:31,3947.0,7.0,3976.0,111.0,3358.0,388.0,4691.0,28269.0,2026-04-14 21:06:16,next-auth@4.24.14,,18235721.0,100.0,482256.0,482256.0,903.0,,,,,1.0,next-auth,https://www.npmjs.com/package/next-auth,18235721.0,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-06-04 06:59:56.000000,2026-06-04 06:58:17,4800.0,183.0,2371.0,221.0,5420.0,247.0,2260.0,14253.0,2026-04-22 12:43:18,1.14.3,6269288.0,2746758.0,81.0,14934.0,14934.0,488.0,https://hub.docker.com/r/coredns/coredns,2026-04-22 12:44:41.454579,165.0,331260614.0,1.0,,,,,,,,,,,,,,,,
14,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-06-04 19:23:44.000000,2026-06-04 06:07:07,10916.0,294.0,2319.0,144.0,4780.0,151.0,3597.0,13845.0,2026-04-21 15:35:06,1.19.5,128986581.0,3146014.0,100.0,2671.0,2671.0,563.0,,,,,1.0,,,,,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-05-29 14:58:44.000000,2026-05-29 14:58:43,2123.0,10.0,3067.0,181.0,360.0,9.0,1231.0,22884.0,2026-05-09 18:30:37,0.0.100,,828783.0,20.0,8650.0,8650.0,97.0,,,,,1.0,,,,deepface,https://pypi.org/project/deepface,828783.0,,,,,,,,,,
16,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-05-21 03:20:51.000000,2026-05-21 03:20:51,1787.0,45.0,530.0,56.0,325.0,115.0,427.0,5331.0,2026-05-06 08:10:42,1.7.2,,131625783.0,56.0,53512.0,53512.0,142.0,,,,,1.0,,,,authlib,https://pypi.org/project/authlib,131625783.0,authlib/authlib,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-05-24 07:26:52.000000,2026-04-22 08:13:47,1819.0,1.0,498.0,62.0,548.0,89.0,309.0,2969.0,2025-06-20 05:53:03,3.3.1,,358185730.0,50.0,650212.0,650212.0,204.0,,,,,1.0,,,,oauthlib,https://pypi.org/project/oauthlib,358185730.0,,-2.0,,,,,,,,
18,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,quay.io/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2026-06-04 17:05:48.000000,2026-06-04 17:05:48,31223.0,841.0,8262.0,398.0,24370.0,2477.0,16413.0,34745.0,2026-06-04 17:00:13,26.6.3,1206246.0,20444.0,100.0,,,1830.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,1.0,,,,,,,,38.0,,,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-05-27 11:38:10.000000,2026-05-27 11:38:10,10597.0,8.0,1662.0,137.0,1459.0,126.0,1058.0,11592.0,2026-03-30 14:41:48,1.1.0,,1672926.0,15.0,4231.0,4231.0,275.0,,,,,1.0,,,,speechbrain,https://pypi.org/project/speechbrain,1672926.0,,-1.0,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-05-26 04:29:32.000000,2026-05-26 04:29:32,1805.0,57.0,300.0,39.0,623.0,10.0,504.0,6948.0,2026-05-22 11:48:25,@casl/prisma@2.0.1,,6014324.0,100.0,102384.0,102384.0,78.0,,,,,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,6014324.0,,,,,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-06-04 19:56:21.000000,2026-06-04 18:41:07,23534.0,718.0,4586.0,778.0,25204.0,1238.0,5309.0,35726.0,2026-05-19 20:57:55,2.0.1,,,100.0,15855.0,15855.0,1617.0,,,,,1.0,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1236.0,291.0,167.0,355.0,430.0,23534.0,,,,30385495.0,,1323244.0,1323244.0,38.0,,,,,2.0,passport,https://www.npmjs.com/package/passport,30385495.0,,,,,,,,,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-06-04 20:00:05.000000,2026-06-04 20:00:03,5157.0,133.0,1121.0,113.0,2258.0,146.0,1293.0,13704.0,2026-03-20 14:10:32,26.2.0,63057.0,1194384.0,49.0,56.0,56.0,246.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115775996.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13479.0,1543.0,255.0,780.0,598.0,56481.0,2018-04-02 17:18:43,1.2.2,1458.0,229511.0,2.0,5651.0,5651.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,11045.0,2.0,,,,face_recognition,https://pypi.org/project/face_recognition,229399.0,,,,,,,,,,
25,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],35,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-06-04 20:00:19.000000,2026-06-04 20:00:18,4472.0,69.0,1532.0,237.0,1940.0,101.0,1498.0,17275.0,2026-03-20 13:23:08,26.2.0,606917.0,3237993.0,100.0,,,321.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429821105.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-06-04 14:23:10.080562,2026-06-04 14:05:00,3634.0,310.0,1680.0,77.0,2808.0,100.0,2248.0,13754.0,2026-06-04 14:15:33,3.80.0,2627.0,20030.0,100.0,12.0,12.0,294.0,https://hub.docker.com/r/casbin/casdoor,2026-06-04 14:23:10.080562,23.0,1272823.0,2.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-06-04 13:06:27.000000,2026-06-03 23:48:07,33308.0,1213.0,3921.0,583.0,7715.0,,,11466.0,2026-05-15 22:47:49,7.3.7,4311.0,9383.0,100.0,21.0,21.0,375.0,https://hub.docker.com/r/apereo/cas,2026-06-04 04:31:32.816139,131.0,1645395.0,2.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-06-04 19:59:48.000000,2026-06-04 18:26:39,7876.0,228.0,602.0,76.0,5308.0,111.0,1606.0,2381.0,2026-05-28 19:16:52,1.15.1,822146.0,14948.0,100.0,211.0,211.0,264.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,34,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-05-23 06:45:57.000000,2026-05-23 06:45:57,2433.0,47.0,5963.0,520.0,214.0,1221.0,1398.0,28897.0,2023-04-02 07:43:27,0.7,13930957.0,366606.0,1.0,5115.0,5115.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,288.0,2.0,,,,,,,,,,,,,,,,
30,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-05-30 01:34:57.000000,2026-03-31 03:02:56,4901.0,3.0,1943.0,187.0,1927.0,266.0,1754.0,12611.0,2025-03-05 07:11:35,r1.5.0,,1900279.0,17.0,170.0,170.0,163.0,,,,,2.0,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1900279.0,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-06-04 18:15:16.000000,2026-06-03 21:54:37,9714.0,726.0,1414.0,163.0,9835.0,52.0,1385.0,27979.0,2026-05-26 10:26:19,4.39.20,58263.0,910.0,100.0,,,291.0,,,,,2.0,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-06-04 16:33:38.000000,2026-06-04 15:13:10,4367.0,166.0,331.0,40.0,5258.0,86.0,1013.0,4842.0,2026-05-07 20:13:40,0.32.7,60104.0,18127824.0,100.0,24.0,24.0,102.0,https://hub.docker.com/r/pomerium/pomerium,2026-06-04 15:23:27.472053,14.0,1613296503.0,2.0,,,,,,,,,,,,,,,,
33,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-06-03 06:16:30.000000,2026-06-03 06:16:22,2838.0,66.0,766.0,67.0,292.0,,4.0,3743.0,2026-05-29 05:57:40,9.8.4,,1682144.0,100.0,2176.0,2176.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,1682144.0,,,,,,,,,,,,,
34,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-05-15 19:22:03.000000,2026-05-06 11:15:36,1168.0,5.0,1737.0,235.0,653.0,46.0,893.0,20168.0,2026-05-06 11:15:52,3.11.0-snapshot.3,33.0,3095908.0,100.0,,,165.0,,,,,2.0,casbin,https://www.npmjs.com/package/casbin,662307.0,casbin,https://pypi.org/project/casbin,2433601.0,apache/casbin,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
35,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-06-04 18:45:28.000000,2026-06-02 13:04:48,5566.0,118.0,390.0,50.0,2482.0,98.0,486.0,6762.0,2026-05-13 18:48:19,1.53.0,235558.0,161177.0,100.0,173.0,173.0,77.0,https://hub.docker.com/r/authzed/spicedb,2026-05-13 18:54:53.601306,7.0,9030571.0,2.0,,,,,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-06-04 19:59:56.000000,2026-06-04 19:59:54,1949.0,80.0,380.0,55.0,1406.0,47.0,294.0,5360.0,2026-03-20 14:29:37,26.2.0,47876.0,521270.0,55.0,41.0,41.0,87.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51553706.0,2.0,,,,,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-06-04 20:00:35.000000,2026-06-04 20:00:33,1705.0,64.0,398.0,47.0,775.0,66.0,310.0,3609.0,2026-03-20 11:40:09,26.2.0,27331.0,865391.0,100.0,16.0,16.0,125.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90838315.0,2.0,,,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-06-04 18:23:41.000000,2026-06-04 18:23:41,18639.0,646.0,981.0,107.0,9727.0,1618.0,16503.0,897.0,2026-05-13 11:06:23,7.3.0,22928.0,14275.0,100.0,,,749.0,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,40.0,2025562.0,2.0,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-06-04 20:02:19.000000,2026-06-04 20:01:33,22332.0,1284.0,1629.0,68.0,17916.0,845.0,3422.0,21820.0,2026-05-28 15:13:31,ersion/2026.5.2,7397.0,308.0,100.0,,,550.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-06-04 16:04:50.000000,2026-06-04 09:27:55,8610.0,371.0,801.0,51.0,7941.0,159.0,682.0,12121.0,2026-05-29 10:38:46,1.40.1,8300.0,7761.0,85.0,9.0,9.0,101.0,https://hub.docker.com/r/svhd/logto,2026-06-04 09:33:33.415522,7.0,455730.0,2.0,,,,,,,,,,,,,,,,
41,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-06-03 21:51:13.000000,2026-05-27 06:38:18,3898.0,157.0,1816.0,165.0,3282.0,339.0,888.0,10860.0,2026-03-03 13:43:12,2.45.1,363.0,2.0,94.0,200.0,200.0,302.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
42,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,31,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-05-20 11:27:57.000000,2026-05-20 11:27:40,2606.0,70.0,1039.0,100.0,916.0,39.0,866.0,5495.0,2026-05-19 16:47:34,5.9.1,,,72.0,11264.0,11264.0,341.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
43,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-06-03 20:51:54.000000,2026-06-03 20:09:39,5110.0,93.0,304.0,185.0,6343.0,108.0,287.0,4057.0,2026-04-30 15:23:16,0.21.3,,306676.0,78.0,14.0,14.0,205.0,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,19.0,23614127.0,3.0,,,,,,,,,,,,,,,,
44,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,428.0,29.0,568.0,99.0,362.0,608.0,2025-10-07 20:02:21,7.5.4,,2748193.0,55.0,2265.0,2265.0,181.0,,,,,2.0,,,,pysaml2,https://pypi.org/project/pysaml2,2748193.0,,,,,,,,,,
45,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-06-04 04:08:25.000000,2026-06-04 04:08:25,2743.0,100.0,327.0,20.0,2905.0,243.0,999.0,5025.0,2026-05-22 02:06:54,1.10.3,446.0,9874.0,61.0,42.0,42.0,154.0,https://hub.docker.com/r/kanidm/server,2026-06-02 03:19:15.077623,4.0,868534.0,3.0,,,,,,,,-1.0,,,,,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-06-03 09:20:39.000000,2026-05-21 11:35:45,3040.0,13.0,144.0,59.0,343.0,41.0,324.0,1132.0,2026-04-15 13:40:47,5.9.1,48768.0,22566.0,47.0,237.0,237.0,54.0,,,,,2.0,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,22157.0,,,,,,,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-06-04 18:16:39.000000,2026-06-04 07:06:55,36095.0,386.0,172.0,30.0,8304.0,267.0,5429.0,632.0,2026-05-12 12:19:48,2.1.0,10605.0,331.0,100.0,16.0,16.0,145.0,,,,,3.0,,,,,,,,,,,,,,,,
48,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,2.0,12230.0,740.0,370.0,,,101486.0,2025-06-26 01:06:09,20250625,,2509262.0,13.0,21.0,21.0,81.0,,,,,3.0,,,,openai-whisper,https://pypi.org/project/openai-whisper,2509262.0,,,,,,,,,,
49,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-06-04 12:42:39.000000,2026-06-04 12:33:04,4473.0,132.0,1091.0,59.0,7584.0,895.0,2716.0,13943.0,2026-05-04 07:16:10,3.4.10,20550.0,1580.0,100.0,1.0,1.0,255.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
50,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-06-04 18:43:04.000000,2026-06-04 16:22:40,7361.0,77.0,618.0,129.0,5430.0,179.0,3137.0,5722.0,2026-06-02 17:42:43,0.20260602.0,34359.0,16444.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-05-22 14:53:58.852186,13.0,2063298.0,2.0,,,,,,,,,,,,,,,,
51,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,29,True,permitio/opal,permitio/opal-server,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-05-13 07:23:58.197862,2026-05-12 16:40:43,2079.0,11.0,277.0,28.0,632.0,51.0,128.0,5458.0,2026-05-13 07:15:38,0.9.6,2126.0,8112.0,77.0,47.0,47.0,76.0,https://hub.docker.com/r/permitio/opal-server,2026-05-13 07:23:58.197862,1.0,517040.0,3.0,,,,,,,,,,,,,,,,
52,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-06-04 09:15:26.000000,2026-06-04 09:15:20,2564.0,167.0,191.0,34.0,2737.0,50.0,370.0,4442.0,2026-05-05 11:34:52,0.53.0,88425.0,1403.0,77.0,35.0,35.0,34.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
53,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,29,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-06-03 14:23:59.000000,2026-05-28 17:16:48,7367.0,238.0,317.0,411.0,4850.0,111.0,455.0,1773.0,2026-05-28 17:19:46,1.9.1,68.0,0.0,33.0,51.0,51.0,160.0,,,,,2.0,,,,,,,,,,,,,,,,
