,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,license,maven_id,maven_url,trending,gem_url,helm_id,brew_id,github,apt_id,github-id
18,coredns,{},machine,CoreDNS docker repository.,,"['linux-foundation', 'cncf']",11,False,coredns/coredns,,15025.0,15025.0,512.0,,,,1.0,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-07-10 06:57:15.135816,2026-07-10 06:57:15.135816,166.0,166.0,334043160.0,,,,,,,,,,
19,did-jwt-vc,{},ssi-sdks,,,['dif'],11,False,decentralized-identity/did-jwt-vc,,1385.0,1385.0,22.0,,,79143.0,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,79143.0,,,,,,,,,,,,,,,,,
20,paddlespeech,{},biometrics,,,,11,False,PaddlePaddle/PaddleSpeech,paddlepaddle,172.0,172.0,163.0,https://pypi.org/project/paddlepaddle,2430216.0,2430216.0,1.0,,,,,,,,,,,,,,,,,,,,
21,open-policy-agent,{},authorization,Official build of the Open Policy Agent project.,,"['cncf', 'linux-foundation']",10,False,open-policy-agent/opa,,7204.0,7204.0,603.0,,,,1.0,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-08-06 14:31:23.477215,2026-08-06 14:31:23.477215,47.0,47.0,619450668.0,,,,,,,,,,
22,vault,{},pki,,,['hashicorp'],10,False,hashicorp/vault,,15931.0,15931.0,1623.0,,,,1.0,,,,,,,,,,,Business Source License 1.1,,,,,,,,,
23,web-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/web-did-resolver,,1492.0,1492.0,12.0,,,96505.0,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,96505.0,,,,,,,,,,,,,,,,,
24,ethr-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/ethr-did-resolver,,1922.0,1922.0,28.0,,,45921.0,2.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,45921.0,,,,,,,,,,,,,,,,,
25,casbin,{},authorization,,,,9,False,casbin/casbin,casbin,,,172.0,https://pypi.org/project/casbin,2867935.0,3747269.0,2.0,casbin,https://www.npmjs.com/package/casbin,879334.0,,,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
26,oso,{},authorization,,,,9,False,osohq/oso,oso,224.0,224.0,68.0,https://pypi.org/project/oso,32633.0,32633.0,2.0,,,,,,,,,,,,,,,,,,,,
27,yubikey-manager,{},pki,,,,9,False,Yubico/yubikey-manager,yubikey-manager,241.0,241.0,53.0,https://pypi.org/project/yubikey-manager,29768.0,29768.0,1.0,,,,,,,,,,,,,,,,,,,,
28,authlib,{},authentication,,,,8,False,lepture/authlib,authlib,55950.0,55950.0,144.0,https://pypi.org/project/authlib,,,2.0,,,,,,,,,,,,,,-8.0,,,,,,
29,doorkeeper,{},authentication,,,,8,False,doorkeeper-gem/doorkeeper,,11434.0,11434.0,341.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,,
30,speechbrain,{},biometrics,,,,8,False,speechbrain/speechbrain,speechbrain,4360.0,4360.0,277.0,https://pypi.org/project/speechbrain,,,1.0,,,,,,,,,,,,,,-6.0,,,,,,
31,py_webauthn,{},authentication,,,,8,False,duo-labs/py_webauthn,webauthn,,,35.0,https://pypi.org/project/webauthn,7098781.0,7098781.0,2.0,,,,,,,,,,,,,,,,,,,,
32,ageitgey-face-recognition,{},biometrics,GPU Face Recognition built from https://github.com/ageitgey/face_recognition.,,,7,False,ageitgey/face_recognition,face_recognition,5669.0,5669.0,55.0,https://pypi.org/project/face_recognition,,,2.0,,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,2021-08-17 00:42:22.824355,20.0,20.0,12243.0,,,,-5.0,,,,,,
33,node-solid-server,{},ssi-agents,Node Solid Server.,,['solid'],7,False,nodesolidserver/node-solid-server,,3.0,3.0,90.0,,,2103.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,2103.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,2024-04-30 17:23:49.835167,5.0,5.0,1005979.0,MIT,,,,,,,,,
34,cert-manager,{},pki,,,['linux-foundation'],7,False,cert-manager/cert-manager,,2808.0,2808.0,573.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
35,did-resolver,{},dids,,,['dif'],7,False,decentralized-identity/did-resolver,,7998.0,7998.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
36,face-api-js,{},biometrics,,,,7,False,justadudewhohacks/face-api.js,,,,25.0,,,515263.0,2.0,face-api.js,https://www.npmjs.com/package/face-api.js,515263.0,,,,,,,,,,,,,,,,,
37,insightface,{},biometrics,,,,7,False,deepinsight/insightface,,5282.0,5282.0,67.0,,,,2.0,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,2021-03-18 22:57:48.799620,,,345.0,,,,,,,,,,
38,deepface,{},biometrics,,,,7,False,serengil/deepface,deepface,8715.0,8715.0,98.0,https://pypi.org/project/deepface,,,2.0,,,,,,,,,,,,,,-6.0,,,,,,
39,cas,{},idp,"Welcome to the home of the Central Authentication Service project, more commonly referred to as CAS.",,,6,False,apereo/cas,,24.0,24.0,377.0,,,,1.0,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-08-06 02:00:31.786759,2026-08-06 02:00:31.786759,132.0,132.0,1833395.0,,,,,,,,,,
40,casdoor,{},idp,A UI-first centralized authentication / Single-Sign-On (SSO) platform based on OAuth 2.0 / OIDC.,,,6,False,casdoor/casdoor,,12.0,12.0,305.0,,,,1.0,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-08-06 14:29:02.665534,2026-08-06 14:29:02.665534,23.0,23.0,1490511.0,,,,,,,,,,
41,ory-kratos,{},idp,"Never build user login, user registration, 2fa, profile management ever again!.",,['ory'],6,False,ory/kratos,,56.0,56.0,246.0,,,,1.0,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,2026-03-20 14:10:20.091266,22.0,22.0,116310577.0,,,,,,https://k8s.ory.sh/helm/charts,,,,
42,logto,{},idp,The open source identity solution.,,,6,False,logto-io/logto,,15.0,15.0,112.0,,,,1.0,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-08-06 07:50:18.687391,2026-08-06 07:50:18.687391,7.0,7.0,560696.0,MPL-2.0,,,,,,,,,
43,dex,{},authentication,,,['linux-foundation'],6,False,dexidp/dex,,210.0,210.0,308.0,,,,2.0,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
44,spire,{},machine,,,"['cncf', 'linux-foundation']",6,False,spiffe/spire,,219.0,219.0,276.0,,,,2.0,,,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
45,veramo,{},ssi-sdks,,,,6,False,decentralized-identity/veramo,,933.0,933.0,60.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
46,keystone,{},idp,,,['openstack'],6,False,openstack/keystone,,198.0,198.0,763.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
47,solid-client-authn-js,{},authentication,,,['solid'],6,False,inrupt/solid-client-authn-js,,1004.0,1004.0,28.0,,,,2.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,,,,,
48,did-method-plc,{},dids,,,,6,False,did-method-plc/did-method-plc,,1.0,1.0,15.0,,,493429.0,3.0,did-resolver,https://www.npmjs.com/package/did-resolver,493429.0,,,,,,,,,,,,,,,,,
49,passwordlessid-webauthn,{},authentication,,,,6,False,passwordless-id/webauthn,,5606.0,5606.0,20.0,,,,2.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,,,,,
50,freeipa,{},idp,FreeIPA server in container.,,,5,False,freeipa/freeipa,,,,265.0,,,,2.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2026-08-05 07:38:38.790053,2026-08-05 07:38:38.790053,181.0,181.0,6538876.0,,,,,,,,,,
51,openface,{},biometrics,OpenFace.,,,5,False,cmusatyalab/openface,,96.0,96.0,32.0,,,,3.0,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,2018-06-18 18:11:58.528635,71.0,71.0,164006.0,,,,,,,,,,
52,boundary,{},machine,Boundary provides simple and secure access to hosts and services.,,['hashicorp'],5,False,hashicorp/boundary,,14.0,14.0,206.0,,,,2.0,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,2026-04-30 15:31:22.303713,21.0,21.0,24341103.0,,,,,,,,,,
53,spicedb,{},authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,5,False,authzed/spicedb,,178.0,178.0,80.0,,,,2.0,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2026-07-24 19:50:15.694509,2026-07-24 19:50:15.694509,7.0,7.0,10585072.0,,,,,,,,,,
54,kanidm,{},idp,Kanidm Server.,,,5,False,kanidm/kanidm,,42.0,42.0,157.0,,,,2.0,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2026-08-02 03:25:48.074200,2026-08-02 03:25:48.074200,5.0,5.0,977332.0,,,,,,,,,,
55,hanko,{},idp,,,,5,False,teamhanko/hanko,,341.0,341.0,56.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
56,ockam,{},machine,,,,5,False,build-trust/ockam,,190.0,190.0,318.0,,,,2.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
57,athenz,{},pki,,,['linux-foundation'],5,False,athenz/athenz,,380.0,380.0,112.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
58,spruceid-ssi,{},ssi-sdks,Core library for decentralized identity.,,,5,False,spruceid/ssi,,222.0,222.0,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
59,polygon-js-sdk,{},ssi-sdks,,,,5,False,0xPolygonID/js-sdk,,275.0,275.0,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
60,gotrue,{},idp,,,,5,False,netlify/gotrue,,11.0,11.0,48.0,,,,2.0,,,,,,,,,,,MIT,,,,,,,,,
61,dwn-sdk-js,{},ssi-agents,,,['web5'],5,False,TBD54566975/dwn-sdk-js,,494.0,494.0,48.0,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,,,,,,,,
62,fido2-net-lib,{},authentication,,,,5,False,passwordless-lib/fido2-net-lib,,412.0,412.0,55.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
63,oathkeeper,{},machine,"A cloud native, security first firewall for your APIs. Integrates natively with ORY Hydra.",,['ory'],4,False,ory/oathkeeper,,16.0,16.0,125.0,,,,3.0,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,2026-03-20 11:39:54.790499,44.0,44.0,91058720.0,,,,,,,,,,
64,wso2-identity-server,{},idp,WSO2 Identity Server.,,,4,False,wso2/product-is,,,,753.0,,,,3.0,,,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2026-06-02 07:04:46.132226,2026-06-02 07:04:46.132226,40.0,40.0,2048677.0,,,,,,,,,,
65,conjur,{},machine,Secrets management and machine identity for modern infrastructure.,,,4,False,cyberark/conjur,,,,117.0,,,,3.0,,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2026-07-14 23:11:57.083033,2026-07-14 23:11:57.083033,29.0,29.0,7702813.0,LGPL,,,,,,,,,
66,pomerium,{},machine,Pomerium is an identity-aware access proxy.,,,4,False,pomerium/pomerium,,24.0,24.0,103.0,,,,3.0,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-08-05 18:57:44.154582,2026-08-05 18:57:44.154582,14.0,14.0,1613454924.0,,,,,,,,,,
67,keto,{},authorization,Use best practices established by cloud providers and express complex permission environments.,,['ory'],4,False,ory/keto,,43.0,43.0,87.0,,,,3.0,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,2026-03-20 14:29:27.004272,10.0,10.0,51718499.0,,,,,,,,,,
68,opal,{},authorization,,,,4,False,permitio/opal,,47.0,47.0,79.0,,,,3.0,,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2026-07-19 12:29:18.777408,2026-07-19 12:29:18.777408,1.0,1.0,564280.0,,,,,,,,,,
69,satosa,{},authentication,,,,4,False,IdentityPython/satosa,,44.0,44.0,58.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
70,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,4,False,spruceid/didkit,,14.0,14.0,23.0,,,,2.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
71,hyperledger-anoncreds-rs,{},ssi-sdks,,,['hyperledger'],4,False,hyperledger/anoncreds-rs,,76.0,76.0,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
72,iota-identity,{},ssi-sdks,,,,4,False,iotaledger/identity.rs,,161.0,161.0,44.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
73,tbd-ssi-sdk,{},ssi-sdks,,,['web5'],4,False,tbd54566975/ssi-sdk,,78.0,78.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
74,web5-js,{},ssi-sdks,,,['web5'],4,False,TBD54566975/web5-js,,71.0,71.0,32.0,,,,2.0,web5/api,https://www.npmjs.com/package/web5/api,,,,,,,,,,,,,,,,,,
75,digitalbazaar-vc,{},ssi-sdks,,,,4,False,digitalbazaar/vc,,641.0,641.0,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
76,keripy,{},ssi-sdks,,,,4,False,weboftrust/keripy,,78.0,78.0,39.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
77,authgear,{},idp,,,,4,False,authgear/authgear-server,,9.0,9.0,50.0,,,,3.0,,,,,,,,,,,Apache-2.0,,,,,,,,,
78,ory-hydra,{},authentication,"Scalable, security first OAuth 2.0 and OpenID Connect server.",,['ory'],3,False,ory/hydra,,,,323.0,,,,3.0,,,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,2026-03-20 13:22:55.749711,78.0,78.0,430497812.0,,,,,,https://k8s.ory.sh/helm/charts,,,,
79,boulder,{},pki,,,['linux-foundation'],3,False,letsencrypt/boulder,,,,149.0,,,,2.0,,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-06-15 23:34:12.383934,2026-06-15 23:34:12.383934,13.0,13.0,2074578.0,,,,,,,,,,
80,identity-server,{},authentication,,,,3,False,duendesoftware/identityserver,,,,341.0,,,,3.0,,,,,,,,,,,https://duendesoftware.com/license,,,,,,,,,
81,cerbos,{},authorization,,,,3,False,cerbos/cerbos,,35.0,35.0,35.0,,,,3.0,,,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,
82,keycloak,{},idp,,,['cncf'],3,False,keycloak/keycloak,,,,1872.0,,,,3.0,,,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
83,authentik,{},idp,,,,3,False,goauthentik/authentik,,,,583.0,,,,3.0,,,,,,,,,,,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,,,,,https://charts.goauthentik.io,,,,
84,jansen,{},idp,,,['linux-foundation'],3,False,janssenproject/jans,,16.0,16.0,146.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
85,verity-sdk,{},ssi-sdks,,,,3,False,evernym/verity-sdk,,17.0,17.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
86,did-key.rs,{},dids,,,['dif'],3,False,decentralized-identity/did-key.rs,,101.0,101.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
87,deepfacelab,{},biometrics,,,,3,False,iperov/DeepFaceLab,,24.0,24.0,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
88,whisper,{},biometrics,,,,3,False,openai/whisper,openai-whisper,24.0,24.0,82.0,https://pypi.org/project/openai-whisper,,,3.0,,,,,,,,,,,,,,-7.0,,,,,,
89,maxkey,{},idp,maxkey-.,,,2,False,dromara/MaxKey,,,,61.0,,,,3.0,,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2026-06-30 01:47:11.347464,2026-06-30 01:47:11.347464,5.0,5.0,51877.0,,,,,,,,,,
90,zitadel,{},idp,,,,2,False,zitadel/zitadel,,1.0,1.0,261.0,,,,3.0,,,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,
91,authelia,{},idp,,,,2,False,authelia/authelia,,,,300.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
92,crypto,{},pki,"Library providing privacy enhancing cryptographic primitives, ZKPs, BBS+ and BBS# signatures.",,,2,False,docknetwork/crypto,,26.0,26.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
93,aries-python,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-cloudagent-python,,,,168.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
94,aries-mobile-agent-react-native,{},ssi-agents,,,['hyperledger'],2,False,hyperledger/aries-mobile-agent-react-native,,9.0,9.0,66.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
95,aries-framework-go,{},ssi-sdks,,,['hyperledger'],2,False,hyperledger/aries-framework-go,,3.0,3.0,62.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
96,universal-resolver,{},dids,The Universal Resolver resolves Decentralized Identifiers (DIDs) across many different DID methods.,,,2,False,decentralized-identity/universal-resolver,,,,135.0,,,,3.0,,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-07-27 17:24:07.869901,2026-07-27 17:24:07.869901,,,158533.0,,,,,,,,,,
97,barbican,{},pki,,,['openstack'],2,False,openstack/barbican,,,,313.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,beyond,{},machine,Google BeyondCorp-inspired Access Proxy.,,,2,False,cogolabs/beyond,,,,6.0,,,,3.0,,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,2021-03-16 02:43:33.655703,,,18149.0,Apache-2.0,,,,,,,,,
99,supertokens,{},idp,,,,2,False,supertokens/supertokens-core,,,,39.0,,,,3.0,,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,,,,,,,,,
100,lemur,{},pki,,,,2,False,netflix/lemur,,,,162.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,did-spec-registries,{},dids,,,,2,False,w3c/did-spec-registries,,,,280.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
102,webauthn,{},specs,,,['w3c'],2,False,w3c/webauthn,,,,83.0,,,,1.0,,,,,,,,,,,W3C,,,,,,,,,
103,vc-data-model,{},specs,,,['w3c'],2,False,w3c/vc-data-model,,,,81.0,,,,1.0,,,,,,,,,,,W3C,,,,,,,,,
104,did-core,{},specs,,,['w3c'],2,False,w3c/did-core,,,,71.0,,,,1.0,,,,,,,,,,,W3C,,,,,,,,,
105,universal-wallet-interop-spec,{},specs,,,['w3c'],2,False,w3c-ccg/universal-wallet-interop-spec,,3.0,3.0,10.0,,,,1.0,,,,,,,,,,,W3C,,,,,,,,,
106,django-passkeys,{},authentication,,,,2,False,mkalioby/django-passkeys,django-passkeys,25.0,25.0,6.0,https://pypi.org/project/django-passkeys,,,3.0,,,,,,,,,,,,,,,,,,,,
107,webauthn-json,{},authentication,,,,2,False,github/webauthn-json,,30.0,30.0,15.0,,,,3.0,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,,,,,
108,procivis-one-wallet,{},ssi-agents,"Digital wallet with eIDAS 2.0 compliancy, ISO 18013-5 mdocs, IETF SD-JWT VC, OID4VC, and W3C VCs.",,['w3c'],2,False,procivis/one-wallet,,,,,,,,2.0,,,,,,,,,,,Apache-2.0,,,,,,,,,
109,procivis-one-core,,ssi-sdks,"Issue, hold and verify digital identities and credentials on any device with eIDAS 2.0 compliancy, ISO 18013-5 mdocs,..",,['w3c'],2,False,,,,,,,,,3.0,,,,,,,,,,,Apache-2.0,,,,,,,procivis/one-core,,
110,aip-identity,{},dids,"Decentralized identity and trust layer for AI agents using Ed25519-based DIDs, vouch-based trust chains, and encrypted..",,,2,False,The-Nexus-Guard/aip,aip-identity,,,,https://pypi.org/project/aip-identity,,,3.0,,,,,,,,,,,MIT,,,,,,,,,
111,ejbca-ce,{},pki,EJBCA Open source public key infrastructure (PKI) and certificate authority (CA) software.,,,1,False,Keyfactor/ejbca,,,,,,,,3.0,,,,keyfactor/ejbca-ce,https://hub.docker.com/r/keyfactor/ejbca-ce,2025-12-17 01:31:09.041590,2025-12-17 01:31:09.041590,61.0,61.0,764933.0,,,,,,,,,,
112,cfssl,{},pki,CloudFlares PKI toolkit.,,,1,False,cloudfare/cfssl,,,,,,,,3.0,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2026-04-17 14:15:15.991400,2026-04-17 14:15:15.991400,26.0,26.0,4678727.0,,,,,,,,,,
113,pyMDOC-CBOR,{},ssi-sdks,,,,1,False,IdentityPython/pyMDOC-CBOR,pymdoccobr,3.0,3.0,11.0,https://pypi.org/project/pymdoccobr,,,3.0,,,,,,,,,,,,,,,,,,,,
114,permify,{},authorization,,,,1,False,permify/permify,,,,79.0,,,,3.0,,,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
115,ladon,{},authorization,,,['ory'],1,False,ory/ladon,,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
116,warrant,{},authorization,,,,1,False,warrant-dev/warrant,,6.0,6.0,5.0,,,,3.0,,,,warrantdev/warrant,https://hub.docker.com/r/warrantdev/warrant,,,,,,,,,,,,,,,
117,spiffe,{},machine,,,"['cncf', 'linux-foundation']",1,False,spiffe/spiffe,,,,76.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
118,ja3,{},pki,,,,1,False,salesforce/ja3,pyja3,1.0,1.0,27.0,https://pypi.org/project/pyja3,,,3.0,,,,,,,,,,,,,,,,,,,,
119,waltid-identity,{},ssi-sdks,,,,1,False,walt-id/waltid-identity,,,,48.0,,,,3.0,,,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,
120,cf-identity-wallet,{},ssi-agents,,,,1,False,cardano-foundation/cf-identity-wallet,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
121,sphereon-ssi,{},ssi-sdks,,,,1,False,sphereon-opensource/ssi-sdk,,2.0,2.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
122,sphereon-openid4vci,{},ssi-sdks,,,,1,False,sphereon-opensource/openid4vci,,,,22.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
123,sphereon-pex,{},ssi-sdks,,,,1,False,sphereon-opensource/pex,,1.0,1.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
