,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-02-20 17:30:37.000000,2025-02-20 17:30:37,9364.0,203.0,2077.0,150.0,3821.0,148.0,3334.0,12483.0,2025-02-14 14:13:35,1.12.16,100.0,1549.0,1549.0,484.0,,,3095139.0,1.0,111425026.0,1.0,,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-02-20 17:34:52.000000,2025-02-20 17:34:51,5506.0,145.0,1361.0,129.0,4659.0,371.0,2313.0,9995.0,2025-01-27 16:03:11,1.1.0,100.0,4988.0,4988.0,498.0,,,5620883.0,1.0,12157574.0,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-02-19 13:26:18.284370,43.0,595239720.0,,,,,,,,,,,,
14,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-02-18 06:07:12.000000,2025-02-18 06:05:47,4070.0,26.0,2107.0,235.0,4581.0,205.0,2174.0,12841.0,2024-11-21 19:41:27,1.12.0,70.0,13461.0,13461.0,414.0,,,2977177.0,1.0,8346982.0,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2024-11-21 19:43:25.886232,159.0,309715196.0,,,,,,,,,,,,
15,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,40,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-02-13 22:06:21.000000,2025-02-13 22:06:21,10389.0,60.0,1404.0,136.0,1325.0,104.0,1023.0,9377.0,2024-10-31 10:06:07,1.0.2,13.0,2874.0,2874.0,257.0,,,3852186.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,3852186.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-02-20 17:48:33.000000,2025-02-20 17:48:28,1864.0,178.0,2444.0,166.0,271.0,8.0,1155.0,17807.0,2024-08-17 07:30:49,0.0.93,13.0,5612.0,5612.0,82.0,,,474414.0,1.0,,1.0,,,,,,deepface,https://pypi.org/project/deepface,474414.0,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-02-06 06:35:56.000000,2025-02-06 06:35:56,1703.0,3.0,475.0,64.0,496.0,82.0,294.0,2852.0,2023-01-10 13:13:43,3.2.2,48.0,600887.0,600887.0,197.0,,,144285348.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,144285348.0,,,,,,,,,
18,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-02-20 17:01:50.000000,2025-02-20 17:01:50,27512.0,708.0,6905.0,387.0,18904.0,1730.0,11602.0,25405.0,2025-02-11 08:50:51,26.1.2,74.0,,,1555.0,,,73066.0,1.0,3653349.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
19,ory-hydra,https://github.com/ory/hydra,authentication,The most scalable and customizable OpenID Certified OpenID Connect and OAuth Provider on the market. Become an OpenID..,,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-02-20 15:53:42.000000,2025-02-19 17:56:00,3993.0,98.0,1416.0,235.0,1880.0,70.0,1466.0,15934.0,2025-01-17 08:51:44,2.3.0,100.0,3.0,3.0,302.0,,,3655570.0,1.0,891624.0,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,426429618.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
20,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-02-20 16:14:31.000000,2025-02-20 16:14:28,4561.0,94.0,955.0,111.0,2139.0,154.0,1215.0,11557.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,230.0,,,1408752.0,1.0,48582.0,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,114044492.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
21,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-02-20 12:38:06.000000,2025-02-20 12:38:06,1466.0,37.0,460.0,61.0,224.0,91.0,370.0,4705.0,2025-01-28 13:42:59,1.4.1,37.0,39286.0,39286.0,127.0,,,15549942.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,15549942.0,,,,,,,,,
22,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2025-02-20 17:57:21.000000,2025-02-20 14:53:58,20820.0,302.0,4161.0,808.0,23258.0,1073.0,5177.0,31799.0,2025-01-30 14:18:52,1.18.4,100.0,14411.0,14411.0,1559.0,,,,1.0,,,,,,,,,,,,,,,,,,,
23,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1224.0,302.0,161.0,348.0,429.0,23187.0,,,,1206083.0,1206083.0,38.0,https://www.npmjs.com/package/passport,12719533.0,12719533.0,2.0,,,,,,,,,,,,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-02-19 22:49:29.000000,2025-02-19 22:46:27,1658.0,38.0,272.0,39.0,461.0,18.0,466.0,6229.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,91328.0,91328.0,70.0,https://www.npmjs.com/package/@casl/ability,2773018.0,2773018.0,1.0,,,,,,,,,,,,,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13315.0,1571.0,235.0,758.0,594.0,54185.0,2018-04-02 17:18:43,1.2.2,2.0,4131.0,4131.0,54.0,,,153318.0,2.0,1402.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9088.0,face_recognition,https://pypi.org/project/face_recognition,153209.0,,,,,,,,,
26,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-12-28 12:15:32.000000,2024-12-28 12:11:50,1109.0,2.0,1652.0,243.0,516.0,42.0,794.0,18189.0,2024-12-28 12:13:32,2.103.0,100.0,3323.0,3323.0,151.0,https://www.npmjs.com/package/casbin,251983.0,382627.0,2.0,,-1.0,,,,,,casbin,https://pypi.org/project/casbin,130644.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
27,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-02-20 12:30:36.000000,2025-02-20 12:30:36,4847.0,63.0,1872.0,184.0,1836.0,544.0,1398.0,11512.0,2024-06-27 03:45:31,r1.4.2,16.0,139.0,139.0,153.0,,,317125.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,317125.0,,,,,,,,,
28,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3698.0,345.0,111.0,446.0,393.0,16974.0,2020-03-22 14:01:55,0.22.2,38.0,12209.0,12209.0,25.0,https://www.npmjs.com/package/face-api.js,183910.0,183910.0,2.0,,,,,,,,,,,,,,,,,,,
29,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-02-20 15:45:36.927747,2025-02-20 00:18:27,26599.0,504.0,3903.0,601.0,5102.0,,,11153.0,2025-01-24 12:51:19,7.1.4,100.0,21.0,21.0,359.0,,,7072.0,2.0,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-02-20 15:45:36.927747,131.0,1138719.0,,,,,,,,,,,,
30,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,33,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-02-18 13:10:32.026084,2025-02-18 12:54:10,2689.0,98.0,1273.0,77.0,1767.0,122.0,1481.0,11057.0,2025-02-18 13:04:05,1.843.0,100.0,7.0,7.0,214.0,,,9132.0,2.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-02-18 13:10:32.026084,17.0,474890.0,,,,,,,,,,,,
31,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-02-20 16:13:11.000000,2025-02-20 04:18:21,4474.0,244.0,288.0,45.0,1682.0,96.0,403.0,5396.0,2025-02-14 18:03:35,1.40.1,90.0,95.0,95.0,55.0,,,95791.0,2.0,131740.0,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-02-14 18:13:33.514354,7.0,3888309.0,,,,,,,,,,,,
32,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-02-20 17:11:52.000000,2025-02-20 16:54:46,9208.0,152.0,558.0,58.0,6844.0,318.0,1462.0,4512.0,2025-01-20 21:45:48,ockam_v0.147.0,100.0,188.0,188.0,318.0,,,11285.0,2.0,395003.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-02-20 15:29:59.000000,2025-02-19 16:45:21,3665.0,70.0,286.0,41.0,4389.0,103.0,940.0,4164.0,2024-11-11 19:02:17,0.28.0,100.0,22.0,22.0,95.0,,,22090428.0,2.0,66352.0,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-02-19 17:50:11.612935,11.0,1612517746.0,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-02-10 21:51:01.000000,2025-02-10 21:50:06,3612.0,7.0,406.0,30.0,536.0,84.0,358.0,575.0,2025-02-10 21:52:03,7.5.2,53.0,1959.0,1959.0,174.0,,,981310.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,981310.0,,,,,,,,,
35,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-02-20 16:27:05.000000,2025-02-20 16:27:04,6880.0,372.0,1169.0,166.0,6811.0,62.0,1230.0,22857.0,2025-02-16 10:16:32,4.38.19,100.0,,,205.0,,,838.0,2.0,48624.0,,,,,,,,,,,,,,,,,,
36,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-02-20 17:58:41.000000,2025-02-20 08:44:09,7067.0,137.0,482.0,77.0,4338.0,142.0,1404.0,1874.0,2025-02-13 21:08:41,1.11.2,100.0,168.0,168.0,208.0,,,7368.0,2.0,493700.0,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-02-20 16:50:52.000000,2025-02-20 16:50:52,15315.0,1051.0,744.0,116.0,7822.0,1028.0,14205.0,794.0,2024-03-04 08:48:32,7.0.0,100.0,,,715.0,,,15339.0,2.0,15061.0,,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1951592.0,,,,,,,,,,,,
38,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,6.0,9001.0,621.0,295.0,,,76642.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,469964.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,469964.0,,,,,,,,,
39,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-02-18 12:25:10.000000,2025-02-18 12:25:10,2351.0,4.0,5426.0,519.0,185.0,1146.0,1387.0,24315.0,2023-04-02 07:43:27,0.7,1.0,3432.0,3432.0,64.0,,,301978.0,3.0,6643473.0,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,184.0,,,,,,,,,,,,
40,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-02-20 15:37:49.000000,2025-02-20 15:37:46,3203.0,141.0,1633.0,175.0,2580.0,307.0,844.0,9698.0,2025-02-19 13:18:29,2.42.0,88.0,169.0,169.0,264.0,,,3.0,2.0,356.0,1.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-02-20 15:28:20.000000,2025-02-20 15:27:43,4569.0,130.0,282.0,201.0,5168.0,114.0,264.0,3912.0,2025-02-10 20:09:25,0.19.0,67.0,10.0,10.0,179.0,,,300924.0,3.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-02-10 19:02:25.711112,18.0,18356371.0,,,,,,,,,,,,
42,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-02-18 17:27:23.000000,2025-02-18 17:27:19,2544.0,11.0,753.0,71.0,252.0,,,3316.0,2025-02-17 22:11:03,8.8.0,100.0,1571.0,1571.0,74.0,https://www.npmjs.com/package/oidc-provider,302988.0,302988.0,2.0,,,,,,,,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2025-02-20 16:06:49.000000,2025-02-20 15:39:48,3562.0,145.0,646.0,53.0,6011.0,597.0,2023.0,9730.0,2025-02-18 11:17:49,2.70.0,100.0,,,176.0,,,1243.0,2.0,6218.0,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
44,logto,https://github.com/logto-io/logto,idp,"An identity and access management (IAM) system with authentication, authorization, MFA, SSO, user management, and..",,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-02-20 11:08:05.000000,2025-02-20 10:57:01,7168.0,157.0,480.0,51.0,6362.0,161.0,430.0,9511.0,2025-02-07 07:18:44,1.24.0,66.0,21.0,21.0,70.0,,,5640.0,2.0,5030.0,,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-02-20 11:04:18.007077,5.0,241714.0,,,,,,,,,,,,
45,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-01-31 07:17:13.000000,2025-01-31 07:17:13,2499.0,18.0,1028.0,105.0,869.0,39.0,848.0,5360.0,2024-12-09 07:54:33,5.8.1,69.0,9846.0,9846.0,330.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
46,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],30,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-02-17 03:46:14.000000,2025-01-10 16:10:03,1591.0,47.0,349.0,55.0,1289.0,36.0,288.0,4936.0,,,52.0,36.0,36.0,74.0,,,617180.0,2.0,26762.0,,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51196437.0,,,,,,,,,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-01-30 10:42:01.000000,2025-01-30 10:42:00,1424.0,37.0,348.0,48.0,753.0,59.0,293.0,3353.0,2025-01-30 10:40:58,0.40.9,100.0,3.0,3.0,112.0,,,1010449.0,3.0,48307.0,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,40.0,89880613.0,,,,,,,,,,,,
48,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-02-11 19:21:40.000000,2025-02-02 05:29:42,512.0,34.0,172.0,35.0,135.0,,102.0,894.0,2025-02-02 05:30:22,2.5.1,31.0,1295.0,1295.0,30.0,,,331958.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,331958.0,,,,,,,,,
49,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-02-20 15:25:05.000000,2025-01-23 17:44:21,634.0,11.0,70.0,39.0,227.0,4.0,86.0,349.0,2025-01-23 17:44:48,8.0.8,100.0,5596.0,5596.0,42.0,https://www.npmjs.com/package/did-jwt,333376.0,333376.0,1.0,,,,,,,,,,,,,,,,,,,
50,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3503.0,753.0,77.0,2.0,382.0,15303.0,2024-10-04 12:56:15,0.2.2,5.0,87.0,87.0,31.0,,,1436.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162369.0,,,,,,,,,,,,
51,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-02-20 17:48:36.000000,2025-02-20 15:14:55,16433.0,546.0,1012.0,60.0,9902.0,642.0,2166.0,14997.0,2025-01-29 21:14:29,ersion/2024.12.3,100.0,,,344.0,,,174.0,3.0,5227.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,,
52,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-02-20 12:21:57.000000,2025-02-20 12:21:56,1921.0,78.0,151.0,33.0,2059.0,42.0,340.0,3624.0,2024-11-26 14:18:43,0.40.0,63.0,29.0,29.0,33.0,,,2161.0,3.0,101602.0,,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
53,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-02-20 08:07:48.000000,2025-02-20 08:07:48,2276.0,116.0,198.0,23.0,2352.0,193.0,763.0,3129.0,2025-02-10 09:12:21,1.5.0,35.0,42.0,42.0,103.0,,,7138.0,3.0,415.0,,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-02-11 07:35:01.054671,3.0,513575.0,,,,,,,,,,,,
