,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,new_addition,gem_url,updated_github_id,apt_id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-11-20 18:36:48.000000,2023-10-25 05:42:36,1677.0,3.0,459.0,69.0,493.0,77.0,293.0,2674.0,48.0,467271.0,467271.0,195.0,,,84951068.0,1.0,-1.0,,2023-01-10 13:13:43,3.2.2,,,,,,oauthlib,https://pypi.org/project/oauthlib,84951068.0,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1184.0,311.0,157.0,335.0,425.0,21991.0,,955102.0,955102.0,38.0,https://www.npmjs.com/package/passport,8821355.0,8821355.0,2.0,,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-30 18:09:14.000000,2023-11-30 18:04:35,23435.0,689.0,5664.0,370.0,13497.0,1874.0,6213.0,18151.0,45.0,,,1286.0,,,64326.0,1.0,,quay.io/keycloak/keycloak,2023-11-29 06:07:19,23.0.1,2251425.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-30 16:42:30.000000,2023-11-29 16:54:56,9599.0,172.0,1149.0,124.0,1046.0,100.0,869.0,6890.0,10.0,1225.0,1225.0,224.0,,,162932.0,1.0,,,2023-11-22 02:28:28,0.5.16,,,,,,speechbrain,https://pypi.org/project/speechbrain,162932.0,,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-30 17:49:23.000000,2023-11-30 17:49:22,18593.0,531.0,3841.0,831.0,18387.0,927.0,4840.0,28924.0,100.0,6753.0,6753.0,1424.0,,,,2.0,,,2023-11-30 17:18:31,1.13.11,,,,,,,,,,,,,,,,
15,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-29 19:26:55.000000,2023-11-29 13:05:01,4046.0,130.0,822.0,107.0,1767.0,176.0,1012.0,9620.0,43.0,326.0,326.0,214.0,,,1704859.0,1.0,,oryd/kratos,2023-07-12 20:24:48,1.0.0,35314.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112470095.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
16,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-11-28 07:06:37.000000,2023-11-28 07:03:49,1524.0,31.0,252.0,42.0,362.0,13.0,428.0,5268.0,100.0,59614.0,59614.0,67.0,https://www.npmjs.com/package/@casl/ability,1954161.0,1954161.0,2.0,,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-11-24 07:59:06.000000,2023-11-24 07:55:12,1080.0,5.0,1537.0,231.0,481.0,35.0,736.0,16086.0,100.0,2601.0,2601.0,135.0,https://www.npmjs.com/package/casbin,161565.0,267686.0,2.0,,,2023-11-24 07:56:26,2.79.0,,,,,,casbin,https://pypi.org/project/casbin,106121.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
18,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3506.0,335.0,107.0,422.0,389.0,15674.0,38.0,7811.0,7811.0,25.0,https://www.npmjs.com/package/face-api.js,139050.0,139050.0,1.0,,,2020-03-22 14:01:55,0.22.2,,,,,,,,,,,,,,,,
19,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],34,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-11-27 21:28:19.000000,2023-11-22 16:48:19,3736.0,33.0,1325.0,232.0,1725.0,78.0,1391.0,14708.0,100.0,2.0,2.0,290.0,,,4027332.0,2.0,,oryd/hydra,2023-05-24 08:55:23,2.1.2,669998.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,409783054.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
20,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-11-30 15:32:30.000000,2023-11-30 09:00:57,24133.0,485.0,3816.0,607.0,4554.0,,,10561.0,100.0,21.0,21.0,342.0,,,5884.0,2.0,,apereo/cas,2023-11-17 08:24:37,6.6.14,,https://hub.docker.com/r/apereo/cas,2023-11-30 00:33:06.431728,128.0,859106.0,,,,,,,,,,,
21,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-11-30 17:52:16.000000,2023-11-29 19:45:50,7408.0,816.0,520.0,58.0,5154.0,299.0,1382.0,3916.0,100.0,183.0,183.0,294.0,,,14021.0,2.0,,,2023-11-23 16:57:52,ockam_v0.105.0,336527.0,,,,,,,,,,,build-trust/ockam/ockam,,,,
22,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-11-30 03:59:14.086165,2023-11-30 03:16:12,3179.0,132.0,274.0,37.0,3774.0,83.0,863.0,3724.0,100.0,13.0,13.0,91.0,,,17916951.0,2.0,,pomerium/pomerium,2023-11-16 19:06:01,0.24.0,49304.0,https://hub.docker.com/r/pomerium/pomerium,2023-11-30 03:59:14.086165,10.0,1039123630.0,,,,,,,,,,,
23,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,9.0,385.0,31.0,522.0,68.0,353.0,530.0,50.0,1609.0,1609.0,172.0,,,583500.0,2.0,,,2023-06-11 17:22:24,7.4.2,,,,,,pysaml2,https://pypi.org/project/pysaml2,583500.0,,,,,True,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12875.0,1572.0,224.0,716.0,584.0,50352.0,2.0,21.0,21.0,54.0,,,69552.0,2.0,-3.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1205.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7094.0,face_recognition,https://pypi.org/project/face_recognition,69449.0,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-11-22 09:22:15.000000,2023-11-22 09:22:15,4732.0,5.0,1660.0,182.0,1685.0,414.0,1332.0,9189.0,15.0,85.0,85.0,129.0,,,174707.0,3.0,,,2023-04-14 09:36:52,r1.4.1,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,174707.0,,,,,,,,
26,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,32,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-11-29 15:05:28.000000,2023-11-27 12:22:55,1105.0,28.0,1569.0,115.0,95.0,9.0,794.0,8386.0,,2213.0,2213.0,48.0,,,142063.0,2.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,142063.0,,,,,,,,
27,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-11-30 17:16:30.000000,2023-11-30 14:34:51,6306.0,151.0,411.0,82.0,3389.0,142.0,1170.0,1563.0,93.0,124.0,124.0,179.0,,,2329.0,2.0,,ghcr.io/spiffe/spire-server,2023-11-22 22:09:56,1.8.5,170059.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
28,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-11-29 04:07:01.000000,2023-10-25 14:03:03,2625.0,63.0,1479.0,176.0,1926.0,282.0,796.0,8605.0,80.0,144.0,144.0,223.0,,,3.0,2.0,,quay.io/dexidp/dex,2023-06-30 14:12:39,2.37.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-11-30 17:07:13.676851,2023-11-29 16:04:30,3350.0,236.0,214.0,37.0,1235.0,103.0,304.0,4025.0,63.0,38.0,38.0,38.0,,,55616.0,2.0,,authzed/spicedb,2023-11-30 17:07:14,1.28.0,35120.0,https://hub.docker.com/r/authzed/spicedb,2023-11-30 17:07:13.676851,4.0,1465203.0,,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-11-14 17:36:10.000000,2023-09-10 02:01:49,2281.0,2.0,4815.0,493.0,150.0,983.0,1344.0,19129.0,1.0,1264.0,1264.0,57.0,,,161966.0,2.0,-1.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1133760.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,,,
31,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-11-28 10:26:15.000000,2023-11-23 07:56:12,2384.0,21.0,1006.0,107.0,820.0,26.0,829.0,5213.0,63.0,8268.0,8268.0,314.0,,,,3.0,,,2023-11-23 07:57:30,5.6.7,,,,,,,,,,,,,,doorkeeper,,
32,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-11-30 18:11:40.000000,2023-11-30 14:38:07,3531.0,196.0,250.0,201.0,3754.0,75.0,240.0,3722.0,48.0,8.0,8.0,146.0,,,239260.0,3.0,,hashicorp/boundary,2023-11-02 16:41:46,0.14.2,,https://hub.docker.com/r/hashicorp/boundary,2023-11-02 16:51:18.717636,11.0,11005994.0,,,,,,,,,,,
33,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,30,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-11-28 14:48:34.000000,2023-11-28 14:48:13,5166.0,198.0,270.0,38.0,740.0,50.0,248.0,1205.0,49.0,1476.0,1476.0,295.0,,,,3.0,,,2023-11-14 18:44:21,6.3.6,,,,,,,,,,,,,,,,
34,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-11-30 16:55:44.000000,2023-11-01 11:36:39,608.0,23.0,63.0,40.0,211.0,4.0,83.0,306.0,100.0,4198.0,4198.0,41.0,https://www.npmjs.com/package/did-jwt,153290.0,153290.0,1.0,,,2023-11-01 11:37:20,7.4.5,,,,,,,,,,,,,,,,
35,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,8.0,12531.0,1530.0,514.0,15.0,816.0,47716.0,4.0,,,97.0,,,3062.0,3.0,-1.0,,2023-06-18 18:08:19,2.2.0,174577.0,,,,,,,,,,,,,,,
36,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,8973.0,1104.0,131.0,541.0,801.0,43498.0,2.0,21.0,21.0,22.0,,,3792.0,3.0,,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,166864.0,,,,,,,,,,,,,,,
37,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3481.0,759.0,74.0,9.0,370.0,14923.0,4.0,68.0,68.0,30.0,,,1643.0,3.0,,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161021.0,,,,,,,,,,,
38,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-11-30 10:21:38.269474,2023-11-30 10:05:30,2109.0,186.0,876.0,57.0,1304.0,101.0,1013.0,7494.0,100.0,3.0,3.0,149.0,,,2685.0,2.0,,casbin/casdoor,2023-11-30 10:15:57,1.463.0,,https://hub.docker.com/r/casbin/casdoor,2023-11-30 10:21:38.269474,10.0,99381.0,,,,,,,,,,casbin/casdoor,
39,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-11-30 03:13:29.000000,2023-10-18 14:17:30,1482.0,19.0,312.0,57.0,1095.0,39.0,262.0,4354.0,50.0,21.0,21.0,71.0,,,747773.0,3.0,,oryd/keto,,,17989.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50828243.0,,,,,,,,,,,
40,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-11-28 19:03:16.000000,2023-11-17 19:59:28,134.0,16.0,5655.0,448.0,190.0,,,51425.0,10.0,21.0,21.0,65.0,,,214027.0,3.0,,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,214027.0,,,,,,,,
41,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-11-30 15:45:56.000000,2023-11-30 14:32:57,5015.0,314.0,962.0,158.0,4846.0,68.0,1089.0,17975.0,100.0,,,137.0,,,636.0,2.0,,,2022-12-21 09:01:04,4.37.5,29271.0,,,,,,,,,,,,,,,
42,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-11-30 17:50:45.000000,2023-11-30 11:00:55,5289.0,627.0,273.0,35.0,4663.0,72.0,243.0,6513.0,51.0,7.0,7.0,44.0,,,894.0,2.0,,svhd/logto,2023-11-14 13:14:01,1.11.0,2681.0,https://hub.docker.com/r/svhd/logto,2023-11-14 13:07:13.973838,2.0,21852.0,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-11-30 16:20:21.000000,2023-11-29 15:52:12,2718.0,216.0,313.0,32.0,4771.0,441.0,1365.0,5425.0,100.0,,,87.0,,,829.0,2.0,,ghcr.io/zitadel/zitadel,2023-11-29 11:53:43,2.41.6,2488.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,
44,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-11-30 18:16:55.000000,2023-11-28 19:34:04,6362.0,77.0,540.0,139.0,4286.0,194.0,2675.0,4841.0,95.0,,,127.0,,,21235.0,2.0,,letsencrypt/boulder-tools,2023-11-27 20:50:52,release-2023-11-27,60003.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-11-09 21:03:54.828343,13.0,1951150.0,,,,,,,,,,,
45,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-11-30 18:06:28.000000,2023-11-30 09:00:37,1447.0,95.0,94.0,28.0,1536.0,47.0,272.0,2068.0,55.0,19.0,19.0,23.0,,,1601.0,3.0,,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,51257.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
46,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-11-27 17:12:12.000000,2023-11-27 17:12:10,445.0,16.0,65.0,29.0,141.0,5.0,47.0,182.0,53.0,1397.0,1397.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,24462.0,24462.0,2.0,,,2023-11-27 17:12:41,10.0.1,,,,,,,,,,,,,,,,
47,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-11-30 12:03:58.000000,2023-11-29 13:50:23,13101.0,750.0,406.0,28.0,5881.0,421.0,1257.0,5145.0,100.0,,,196.0,,,95.0,3.0,,,2023-11-21 19:09:26,ersion/2023.8.5,2481.0,,,,,,,,https://charts.goauthentik.io,,,,,,,
48,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-11-20 13:55:16.000000,2023-11-18 02:39:57,1203.0,3.0,160.0,31.0,1522.0,107.0,100.0,3288.0,100.0,78.0,78.0,65.0,,,32702.0,3.0,,,2023-04-03 23:25:23,0.27.0,2651.0,,,,,oso,https://pypi.org/project/oso,32622.0,,,,,,,,
49,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],27,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-11-30 10:56:42.000000,2023-09-08 08:05:44,1354.0,2.0,320.0,48.0,716.0,47.0,277.0,3116.0,100.0,2.0,2.0,109.0,,,1185108.0,3.0,,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,32144.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87665059.0,,,,,,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-11-30 14:10:49.000000,2023-11-29 23:25:34,1708.0,195.0,113.0,17.0,1682.0,139.0,487.0,1786.0,17.0,42.0,42.0,59.0,,,279.0,3.0,,kanidm/server,2023-10-31 12:08:26,1.1.0-rc.15,140.0,https://hub.docker.com/r/kanidm/server,2023-11-30 02:35:30.871035,,15791.0,,,,,,,,,,,
51,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-11-30 17:39:18.000000,2023-11-30 17:25:31,33306.0,469.0,53.0,31.0,3947.0,345.0,2488.0,315.0,100.0,,,110.0,,,357.0,3.0,,,2023-11-09 16:05:09,1.0.20,715.0,,,,,,,,,,,,,,,
