,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id,new_addition
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-12-22 23:10:56.000000,2023-10-25 05:42:36,1677.0,1.0,459.0,69.0,494.0,78.0,293.0,2695.0,48.0,479270.0,479270.0,195.0,,,78504797.0,1.0,,2023-01-10 13:13:43,3.2.2,,,,,,,oauthlib,https://pypi.org/project/oauthlib,78504797.0,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1186.0,310.0,157.0,336.0,426.0,22102.0,,976678.0,976678.0,38.0,https://www.npmjs.com/package/passport,7647728.0,7647728.0,2.0,,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-01-04 18:10:07.000000,2024-01-04 17:45:32,23660.0,670.0,5793.0,374.0,13839.0,1895.0,6468.0,18569.0,47.0,,,1297.0,,,63161.0,1.0,quay.io/keycloak/keycloak,2023-12-15 14:11:09,23.0.3,2336986.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-01-04 17:11:44.000000,2023-12-13 18:07:01,9603.0,52.0,1168.0,123.0,1068.0,107.0,874.0,7056.0,10.0,1377.0,1377.0,224.0,,,172683.0,1.0,,2023-11-22 02:28:28,0.5.16,,,,,,,speechbrain,https://pypi.org/project/speechbrain,172683.0,,,,,,,,
14,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-01-02 16:47:36.000000,2023-12-30 01:05:49,1371.0,17.0,386.0,62.0,185.0,66.0,347.0,4098.0,33.0,29904.0,29904.0,105.0,,,6114592.0,2.0,,2023-12-17 12:54:58,1.3.0,,,,,,,authlib,https://pypi.org/project/authlib,6114592.0,,,,,,,,
15,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-01-04 18:18:07.000000,2024-01-04 18:01:38,18737.0,408.0,3861.0,828.0,18711.0,947.0,4864.0,29080.0,100.0,6823.0,6823.0,1432.0,,,,2.0,,2023-12-05 20:48:13,1.15.4,,,,,,,,,,,,,,,,,
16,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-01-04 17:19:33.000000,2023-12-28 13:09:05,3749.0,31.0,1329.0,231.0,1733.0,83.0,1392.0,14813.0,100.0,3.0,3.0,291.0,,,3966933.0,2.0,oryd/hydra,2023-05-24 08:55:23,2.1.2,688646.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,411538054.0,1.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
17,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],35,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-01-04 17:09:38.000000,2023-12-28 16:19:33,4067.0,97.0,846.0,107.0,1783.0,167.0,1029.0,9750.0,43.0,327.0,327.0,215.0,,,1656609.0,1.0,oryd/kratos,2023-07-12 20:24:48,1.0.0,35986.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112598530.0,-1.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
18,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-01-02 03:59:18.000000,2024-01-02 03:57:49,1529.0,32.0,253.0,42.0,368.0,14.0,428.0,5327.0,100.0,62419.0,62419.0,67.0,https://www.npmjs.com/package/@casl/ability,1659186.0,1659186.0,1.0,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,,
19,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-12-31 10:36:48.000000,2023-12-31 10:32:49,1083.0,6.0,1554.0,232.0,484.0,38.0,737.0,16270.0,100.0,2642.0,2642.0,138.0,https://www.npmjs.com/package/casbin,145358.0,222841.0,2.0,,2023-12-31 10:34:10,2.81.0,,,,,,,casbin,https://pypi.org/project/casbin,77483.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
20,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3511.0,336.0,107.0,429.0,389.0,15776.0,38.0,8018.0,8018.0,25.0,https://www.npmjs.com/package/face-api.js,122626.0,122626.0,1.0,,2020-03-22 14:01:55,0.22.2,,,,,,,,,,,,,,,,,
21,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-01-04 18:06:47.912957,2024-01-03 22:55:50,24361.0,499.0,3822.0,605.0,4606.0,,,10626.0,100.0,21.0,21.0,345.0,,,5917.0,2.0,apereo/cas,2023-12-29 14:54:27,7.0.0,,https://hub.docker.com/r/apereo/cas,2024-01-04 18:06:47.912957,129.0,875754.0,,,,,,,,,,,,
22,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,33,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-01-02 21:54:18.000000,2024-01-02 21:54:15,1144.0,61.0,1629.0,125.0,106.0,3.0,832.0,8759.0,,2370.0,2370.0,50.0,,,154237.0,1.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,154237.0,,,,,,,,
23,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-01-04 17:11:29.000000,2024-01-04 11:04:48,7732.0,754.0,537.0,59.0,5455.0,302.0,1410.0,4144.0,100.0,183.0,183.0,301.0,,,13636.0,2.0,,2023-12-29 22:08:37,ockam_v0.114.0,340909.0,,,,,-1.0,,,,,,,build-trust/ockam/ockam,,,,
24,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-01-04 17:31:52.000000,2024-01-04 01:18:18,3281.0,170.0,272.0,37.0,3892.0,79.0,871.0,3759.0,100.0,13.0,13.0,91.0,,,18813259.0,2.0,pomerium/pomerium,2023-11-16 19:06:01,0.24.0,50434.0,https://hub.docker.com/r/pomerium/pomerium,2024-01-04 02:07:11.100230,10.0,1128735084.0,,,,,,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12920.0,1567.0,224.0,719.0,584.0,50722.0,2.0,21.0,21.0,54.0,,,63738.0,2.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1223.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7237.0,,face_recognition,https://pypi.org/project/face_recognition,63635.0,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-12-05 06:57:20.000000,2023-12-05 06:57:20,4734.0,3.0,1683.0,181.0,1688.0,433.0,1339.0,9461.0,15.0,87.0,87.0,130.0,,,180075.0,3.0,,2023-04-14 09:36:52,r1.4.1,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,180075.0,,,,,,,,
27,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-01-04 18:16:51.000000,2024-01-04 18:15:15,6353.0,155.0,417.0,81.0,3447.0,141.0,1183.0,1592.0,96.0,126.0,126.0,180.0,,,2344.0,2.0,ghcr.io/spiffe/spire-server,2023-12-21 19:45:00,1.8.7,175821.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
28,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,5.0,386.0,31.0,522.0,71.0,353.0,534.0,50.0,1653.0,1653.0,172.0,,,486671.0,2.0,,2023-06-11 17:22:24,7.4.2,,,,,,,pysaml2,https://pypi.org/project/pysaml2,486671.0,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-01-04 05:33:09.000000,2024-01-04 05:23:42,3437.0,277.0,221.0,37.0,1269.0,102.0,307.0,4075.0,63.0,39.0,39.0,39.0,,,57323.0,2.0,authzed/spicedb,2023-11-30 17:07:14,1.28.0,39616.0,https://hub.docker.com/r/authzed/spicedb,2023-11-30 17:07:13.676851,6.0,1621375.0,,,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4897.0,499.0,152.0,998.0,1347.0,19708.0,1.0,1416.0,1416.0,58.0,,,160259.0,2.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1442324.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,,,,
31,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-01-03 18:38:54.000000,2023-12-29 09:50:29,2655.0,68.0,1490.0,175.0,1967.0,284.0,798.0,8706.0,80.0,144.0,144.0,227.0,,,3.0,2.0,quay.io/dexidp/dex,2023-06-30 14:12:39,2.37.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
32,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-01-04 18:08:07.000000,2023-12-13 12:52:28,612.0,12.0,64.0,40.0,211.0,4.0,83.0,309.0,100.0,4344.0,4344.0,41.0,https://www.npmjs.com/package/did-jwt,135711.0,135711.0,1.0,,2023-12-13 12:52:55,7.4.7,,,,,,,,,,,,,,,,,
33,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-01-04 18:00:34.000000,2024-01-03 14:19:43,2161.0,160.0,910.0,57.0,1325.0,97.0,1044.0,7711.0,100.0,3.0,3.0,152.0,,,2870.0,2.0,casbin/casdoor,2024-01-02 15:58:24,1.487.0,,https://hub.docker.com/r/casbin/casdoor,2024-01-02 16:03:46.344910,11.0,111960.0,,,,,,,,,casbin/casdoor,,,
34,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-12-01 16:03:07.000000,2023-12-01 16:01:35,2389.0,19.0,1005.0,106.0,820.0,26.0,831.0,5226.0,64.0,8348.0,8348.0,315.0,,,,3.0,,2023-12-01 16:03:07,.5.6.8,,,,,,,,,,,,,,,doorkeeper,,
35,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-12-29 17:50:43.000000,2023-12-29 09:17:56,1486.0,13.0,318.0,56.0,1109.0,45.0,262.0,4406.0,50.0,24.0,24.0,71.0,,,726663.0,2.0,oryd/keto,,,18423.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50845647.0,,,,,,,,,,,,
36,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],29,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-01-04 18:14:17.000000,2024-01-03 22:09:30,3591.0,170.0,253.0,200.0,3890.0,75.0,244.0,3741.0,49.0,8.0,8.0,148.0,,,244271.0,3.0,hashicorp/boundary,2023-12-12 20:49:05,0.14.3,,https://hub.docker.com/r/hashicorp/boundary,2023-12-12 20:57:03.493064,12.0,11725017.0,,,,,,,,,,,,
37,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-01-04 17:51:45.000000,2024-01-03 15:24:38,5223.0,165.0,276.0,39.0,760.0,50.0,253.0,1235.0,50.0,1555.0,1555.0,296.0,,,,3.0,,2023-12-15 13:49:36,6.3.7,,,,,,,,,,,,,,,,,
38,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-01-04 08:15:20.000000,2023-12-18 20:11:16,136.0,13.0,5899.0,462.0,199.0,,,53658.0,10.0,21.0,21.0,66.0,,,228173.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,228173.0,,,,,,,,
39,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9088.0,1113.0,131.0,541.0,801.0,43958.0,2.0,21.0,21.0,22.0,,,3689.0,3.0,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,169697.0,,,,,-1.0,,,,,,,,,,,
40,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-01-04 17:42:56.000000,2024-01-03 11:42:23,5122.0,309.0,977.0,158.0,4966.0,68.0,1093.0,18332.0,100.0,,,143.0,,,643.0,2.0,,2022-12-21 09:01:04,4.37.5,30899.0,,,,,,,,,,,,,,,,
41,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3487.0,758.0,74.0,9.0,370.0,14952.0,4.0,68.0,68.0,30.0,,,1611.0,3.0,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161143.0,-1.0,,,,,,,,,,,
42,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-01-04 07:11:57.000000,2024-01-04 03:16:11,5454.0,602.0,283.0,35.0,4814.0,80.0,250.0,6608.0,52.0,9.0,9.0,45.0,,,942.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2879.0,https://hub.docker.com/r/svhd/logto,2023-12-27 05:47:21.677349,2.0,24967.0,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-01-04 18:05:41.000000,2024-01-04 16:12:20,2773.0,195.0,332.0,36.0,4838.0,453.0,1400.0,5831.0,100.0,,,93.0,,,608.0,2.0,ghcr.io/zitadel/zitadel,2024-01-04 17:15:19,2.43.1,2435.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,1.0,,,,https://charts.zitadel.com,,,,,,,
44,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-01-04 14:07:14.000000,2024-01-04 14:07:12,6404.0,85.0,539.0,139.0,4337.0,181.0,2703.0,4869.0,97.0,,,127.0,,,20814.0,2.0,letsencrypt/boulder-tools,2023-12-11 22:36:34,release-2023-12-11,63208.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-12-20 18:46:54.576324,13.0,1955653.0,,,,,,,,,,,,
45,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,28,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-01-02 04:44:39.000000,2023-12-20 18:11:56,1209.0,9.0,163.0,31.0,1525.0,108.0,101.0,3323.0,100.0,82.0,82.0,65.0,,,30335.0,3.0,,2023-12-20 19:06:36,0.27.2,2677.0,,,,,,oso,https://pypi.org/project/oso,30259.0,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-12-15 14:20:58.000000,2023-09-08 08:05:44,1354.0,,325.0,48.0,717.0,49.0,277.0,3133.0,100.0,3.0,3.0,109.0,,,1155161.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,33247.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87758185.0,,,,,,,,,,,,
47,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-01-04 17:06:11.000000,2024-01-02 14:13:58,1476.0,85.0,97.0,28.0,1568.0,50.0,274.0,2180.0,55.0,19.0,19.0,24.0,,,1553.0,3.0,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,52830.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
48,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-12-31 11:01:38.000000,2023-12-17 17:09:26,2994.0,39.0,290.0,79.0,836.0,283.0,614.0,1757.0,52.0,3.0,3.0,85.0,https://www.npmjs.com/package/solid-server,719.0,9378.0,1.0,nodesolidserver/node-solid-server,2023-12-17 18:26:45,5.7.8,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-12-17 18:38:41.970023,4.0,969874.0,1.0,,,,,,,,,,,
49,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],28,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-01-01 19:17:08.000000,2024-01-01 00:01:06,385.0,12.0,41.0,24.0,127.0,3.0,18.0,199.0,24.0,5388.0,5388.0,24.0,https://www.npmjs.com/package/did-resolver,145460.0,145460.0,1.0,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,,,,
50,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-01-03 06:01:38.000000,2024-01-03 06:01:37,457.0,25.0,66.0,29.0,143.0,5.0,47.0,186.0,56.0,1440.0,1440.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,18286.0,18286.0,1.0,,2024-01-03 06:02:08,10.1.2,,,,,,,,,,,,,,,,,
