,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,gem_url,brew_id,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-10-09 11:24:15.000000,2025-10-09 11:24:15,10054.0,356.0,2188.0,149.0,4233.0,151.0,3468.0,13200.0,2025-10-07 16:22:07,1.19.0,100.0,2163.0,2163.0,522.0,,,2233261.0,1.0,,87097184.0,,,,,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-10-08 20:48:53.393158,2025-10-08 15:26:37,4392.0,162.0,2242.0,228.0,4954.0,236.0,2208.0,13590.0,2025-10-08 20:47:23,1.13.1,76.0,14103.0,14103.0,446.0,,,2849038.0,1.0,,4996768.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2025-10-08 20:48:53.393158,162.0,322367698.0,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-10-08 17:27:05.043191,2025-10-08 16:37:28,5925.0,150.0,1451.0,132.0,5116.0,371.0,2447.0,10765.0,2025-09-26 09:19:45,1.9.0,100.0,5976.0,5976.0,544.0,,,5408393.0,1.0,,17239954.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-10-08 17:27:05.043191,45.0,605899720.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-08-17 20:01:11.000000,2025-08-17 20:01:11,1779.0,7.0,483.0,64.0,513.0,83.0,304.0,2927.0,2025-06-20 05:53:03,3.3.1,50.0,638986.0,638986.0,200.0,,,201032470.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,201032470.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-09-26 12:24:25.000000,2025-09-26 12:24:21,2069.0,54.0,2772.0,173.0,304.0,9.0,1197.0,20712.0,2025-08-05 20:40:18,0.0.95,15.0,8383.0,8383.0,96.0,,,273747.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,273747.0,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-10-03 13:27:22.000000,2025-10-03 13:24:41,1625.0,77.0,497.0,59.0,281.0,118.0,401.0,5042.0,2025-09-20 08:11:36,1.6.4,45.0,46140.0,46140.0,133.0,,,42119760.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,42119760.0,authlib/authlib,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-10-09 16:50:30.000000,2025-10-09 15:03:02,1134.0,19.0,1687.0,239.0,563.0,18.0,846.0,19242.0,2025-10-09 16:48:35,2.128.0,100.0,3521.0,3521.0,158.0,https://www.npmjs.com/package/casbin,413386.0,1346416.0,1.0,,,,,,,,casbin,https://pypi.org/project/casbin,933030.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-10-09 16:40:06.000000,2025-10-09 16:40:06,10553.0,11.0,1531.0,133.0,1400.0,126.0,1044.0,10538.0,2025-04-07 17:05:07,1.0.3,14.0,3899.0,3899.0,263.0,,,1400093.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1400093.0,,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-10-09 18:04:48.000000,2025-10-09 03:14:31,22007.0,494.0,4334.0,788.0,24998.0,1153.0,5254.0,33261.0,2025-09-24 20:43:32,1.20.4,100.0,15063.0,15063.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1229.0,296.0,162.0,354.0,430.0,23431.0,,,,1314314.0,1314314.0,38.0,https://www.npmjs.com/package/passport,17485342.0,17485342.0,2.0,,,,,,,,,,,,,,,,,,,
22,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-10-01 21:49:59.000000,2025-08-12 14:47:33,1669.0,8.0,284.0,38.0,476.0,18.0,481.0,6560.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101383.0,101383.0,73.0,https://www.npmjs.com/package/@casl/ability,3313784.0,3313784.0,2.0,,,,,,,,,,,,,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13441.0,1561.0,243.0,774.0,598.0,55563.0,2018-04-02 17:18:43,1.2.2,2.0,5552.0,5552.0,54.0,,,190793.0,2.0,,1433.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9931.0,face_recognition,https://pypi.org/project/face_recognition,190683.0,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],35,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-10-09 13:05:34.000000,2025-10-09 13:05:32,4255.0,163.0,1480.0,237.0,1920.0,82.0,1484.0,16645.0,2025-01-17 08:51:44,2.3.0,100.0,,,314.0,,,3428972.0,2.0,,438006.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,428013266.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-10-09 14:31:11.719707,2025-10-09 14:15:08,2937.0,117.0,1432.0,78.0,2048.0,110.0,1764.0,12367.0,2025-10-09 14:24:27,2.78.0,100.0,12.0,12.0,254.0,,,12938.0,1.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-10-09 14:31:11.719707,21.0,776332.0,,,,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-09-28 02:58:15.000000,2025-09-28 02:58:15,4895.0,9.0,1924.0,187.0,1905.0,252.0,1755.0,12270.0,2025-03-05 07:11:35,r1.5.0,17.0,161.0,161.0,159.0,,,1579764.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1579764.0,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-10-09 16:07:05.000000,2025-10-09 15:26:43,29900.0,1200.0,3920.0,593.0,6438.0,,,11348.0,2025-10-03 16:24:31,7.3.0,100.0,21.0,21.0,365.0,,,7745.0,1.0,1.0,857.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-10-09 00:55:42.583343,130.0,1305983.0,,,,,,,,,,,,
28,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,34,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,417.0,28.0,555.0,91.0,362.0,594.0,2025-10-07 20:02:21,7.5.4,55.0,2107.0,2107.0,181.0,,,1887481.0,2.0,3.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1887481.0,,,,,,,,,
29,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-10-09 13:13:09.000000,2025-10-09 13:12:00,8241.0,529.0,1276.0,158.0,8262.0,58.0,1326.0,25458.0,2025-10-08 08:03:01,4.39.12,100.0,,,255.0,,,801.0,2.0,,47275.0,,,,,,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-10-09 14:22:54.000000,2025-10-09 12:57:32,3940.0,107.0,313.0,42.0,4748.0,100.0,966.0,4480.0,2025-09-08 20:57:56,0.30.6,100.0,22.0,22.0,97.0,,,19913811.0,2.0,,55749.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-10-09 14:19:07.932450,13.0,1612947128.0,,,,,,,,,,,,
31,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-10-09 17:36:56.000000,2025-10-09 17:34:46,7398.0,138.0,522.0,76.0,4732.0,132.0,1502.0,2081.0,2025-10-08 13:06:40,1.12.6,100.0,186.0,186.0,229.0,,,13059.0,2.0,,796610.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
32,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-09-27 16:27:11.000000,2025-09-27 16:27:10,2372.0,5.0,5712.0,507.0,198.0,1199.0,1393.0,26698.0,2023-04-02 07:43:27,0.7,1.0,4766.0,4766.0,67.0,,,339827.0,2.0,,10194777.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,205.0,,,,,,,,,,,,
33,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],32,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-10-09 10:57:55.000000,2025-10-09 10:57:53,4849.0,126.0,1020.0,111.0,2221.0,158.0,1253.0,12398.0,2024-10-28 10:21:42,1.3.1,47.0,,,239.0,,,1290011.0,2.0,,50538.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,21.0,114745851.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-10-09 18:21:43.000000,2025-10-09 15:54:47,5146.0,176.0,338.0,50.0,1990.0,93.0,438.0,6104.0,2025-10-06 23:53:10,1.46.0,100.0,129.0,129.0,68.0,,,116199.0,2.0,,171720.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-10-06 23:59:43.616194,7.0,5619173.0,,,,,,,,,,,,
35,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-09-30 08:34:08.000000,2025-09-30 08:34:04,2712.0,39.0,765.0,67.0,263.0,,,3559.0,2025-08-29 19:50:36,9.5.1,100.0,1884.0,1884.0,75.0,https://www.npmjs.com/package/oidc-provider,751686.0,751686.0,2.0,,,,,,,,,,,,,,,,,,,
36,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,10955.0,680.0,327.0,,,89158.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,1312621.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,1312621.0,,,,,,,,,
37,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-10-09 09:32:55.000000,2025-10-09 06:20:26,7816.0,270.0,609.0,49.0,7003.0,162.0,554.0,10891.0,2025-09-30 06:37:14,1.32.0,75.0,30.0,30.0,79.0,,,5980.0,2.0,,6411.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-10-09 06:25:22.932292,5.0,303098.0,,,,,,,,,,,,
38,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-10-09 10:57:47.000000,2025-10-09 10:57:46,1750.0,106.0,369.0,54.0,1360.0,35.0,293.0,5140.0,2025-03-06 12:24:46,0.14.0,53.0,39.0,39.0,80.0,,,564226.0,2.0,,33275.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51308199.0,,,,,,,,,,,,
39,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-10-09 18:29:38.000000,2025-10-09 17:44:18,4842.0,140.0,292.0,194.0,5739.0,106.0,280.0,3966.0,2025-09-25 15:26:25,0.20.0,71.0,11.0,11.0,195.0,,,302236.0,2.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-09-25 15:33:47.556037,18.0,20854289.0,,,,,,,,,,,,
40,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-10-09 10:58:21.000000,2025-10-09 10:58:20,1545.0,86.0,374.0,48.0,762.0,61.0,300.0,3483.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,118.0,,,931615.0,2.0,,35765.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,43.0,90330216.0,,,,,,,,,,,,
41,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-10-09 17:33:20.000000,2025-10-09 17:33:20,17246.0,778.0,896.0,111.0,8838.0,1346.0,15670.0,855.0,2025-02-28 19:19:04,7.1.0,100.0,,,727.0,,,14741.0,2.0,,18826.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,38.0,1983420.0,,,,,,,,,,,,
42,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,30,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-10-09 17:59:41.000000,2025-10-09 17:47:29,19203.0,1218.0,1313.0,71.0,13373.0,701.0,2749.0,18347.0,2025-09-30 00:03:11,ersion/2025.8.4,100.0,,,438.0,,,147.0,2.0,-1.0,4282.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-10-09 17:26:30.000000,2025-10-09 11:46:29,4009.0,226.0,828.0,57.0,6779.0,782.0,2385.0,11943.0,2025-10-07 12:55:04,4.3.1,100.0,1.0,1.0,221.0,,,1601.0,2.0,,11207.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,,
44,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-10-09 04:04:14.000000,2025-09-26 17:16:26,3495.0,147.0,1730.0,174.0,2888.0,328.0,853.0,10273.0,2025-09-01 13:23:20,2.44.0,92.0,176.0,176.0,279.0,,,2.0,2.0,,358.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-10-07 09:08:55.000000,2025-10-02 07:52:09,2959.0,32.0,131.0,60.0,325.0,35.0,319.0,995.0,2025-09-03 07:38:43,5.8.0,45.0,196.0,196.0,48.0,,,210096.0,2.0,,30087.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,209825.0,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-10-06 22:28:50.000000,2025-10-06 00:50:17,666.0,12.0,70.0,37.0,232.0,6.0,86.0,363.0,2025-08-25 22:29:37,8.0.18,100.0,6026.0,6026.0,42.0,https://www.npmjs.com/package/did-jwt,347906.0,347906.0,1.0,,,,,,,,,,,,,,,,,,,
47,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-10-09 16:40:01.000000,2025-10-09 16:39:58,7144.0,77.0,611.0,136.0,5173.0,179.0,3054.0,5570.0,2025-10-07 21:18:35,0.20251007.0,100.0,,,142.0,,,17397.0,2.0,,39301.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-10-07 19:11:39.538310,13.0,2029544.0,,,,,,,,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-08-29 11:36:50.000000,2025-08-29 11:36:50,2517.0,10.0,1034.0,104.0,878.0,45.0,849.0,5432.0,2025-04-04 08:29:47,5.8.2,70.0,10700.0,10700.0,333.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-10-06 02:43:22.000000,2025-10-06 02:43:15,2507.0,85.0,264.0,20.0,2618.0,219.0,865.0,4102.0,2025-08-22 03:43:02,1.7.3,44.0,42.0,42.0,129.0,,,8179.0,3.0,-1.0,420.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-10-03 06:44:24.601723,4.0,653991.0,,,,,,,,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-10-09 09:05:38.000000,2025-10-07 20:53:24,2142.0,84.0,165.0,33.0,2280.0,45.0,354.0,4084.0,2025-08-01 06:13:35,0.46.0,70.0,33.0,33.0,33.0,,,1275.0,3.0,,70175.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-10-09 00:19:27.000000,2025-10-09 00:19:24,7726.0,315.0,383.0,38.0,1392.0,4.0,320.0,1566.0,2025-09-17 16:58:52,is-7.3.2,92.0,2967.0,2967.0,338.0,,,,2.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3496.0,746.0,77.0,5.0,382.0,15418.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1348.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163157.0,,,,,,,,,,,,
53,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,28,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-10-07 22:35:00.739883,2025-09-09 21:45:13,2055.0,15.0,236.0,31.0,576.0,52.0,113.0,5373.0,2025-08-03 10:53:17,0.8.3,56.0,47.0,47.0,71.0,,,6769.0,3.0,,1688.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2025-10-07 22:35:00.739883,1.0,377365.0,,,,,,,,,,,,
