,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-11-20 18:36:48.000000,2023-10-25 05:42:36,1677.0,1.0,459.0,69.0,493.0,78.0,293.0,2686.0,48.0,472640.0,472640.0,195.0,,,83419982.0,1.0,,2023-01-10 13:13:43,3.2.2,,,,,,oauthlib,https://pypi.org/project/oauthlib,83419982.0,,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1183.0,310.0,157.0,334.0,426.0,22039.0,,964717.0,964717.0,38.0,https://www.npmjs.com/package/passport,9697220.0,9697220.0,2.0,,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-12-14 17:59:55.000000,2023-12-14 16:23:27,23562.0,694.0,5746.0,371.0,13688.0,1882.0,6350.0,18350.0,45.0,,,1290.0,,,63629.0,1.0,quay.io/keycloak/keycloak,2023-11-29 06:07:19,23.0.1,2290677.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-12-14 16:42:54.000000,2023-12-13 18:07:01,9603.0,167.0,1158.0,125.0,1058.0,103.0,873.0,6946.0,10.0,1277.0,1277.0,224.0,,,180214.0,1.0,,2023-11-22 02:28:28,0.5.16,,,,,,speechbrain,https://pypi.org/project/speechbrain,180214.0,,,,,,,,,
14,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2023-12-10 07:31:02.000000,2023-11-29 14:24:06,1361.0,13.0,384.0,63.0,183.0,57.0,345.0,4071.0,32.0,29544.0,29544.0,103.0,,,7091694.0,2.0,,2023-11-21 13:51:56,1.2.1,,,,,,authlib,https://pypi.org/project/authlib,7091694.0,True,,,,,,,,
15,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-12-14 18:16:39.000000,2023-12-13 23:06:31,18689.0,490.0,3844.0,829.0,18608.0,927.0,4857.0,28987.0,100.0,6779.0,6779.0,1429.0,,,,2.0,,2023-12-05 20:48:13,1.15.4,,,,,,,,,,,,,,,,,
16,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-12-14 09:27:25.000000,2023-12-14 09:27:24,4062.0,128.0,830.0,108.0,1776.0,170.0,1020.0,9672.0,43.0,326.0,326.0,215.0,,,1680289.0,1.0,oryd/kratos,2023-07-12 20:24:48,1.0.0,35706.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112528525.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
17,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-12-12 06:10:57.000000,2023-12-12 06:09:00,1526.0,31.0,251.0,42.0,364.0,14.0,428.0,5288.0,100.0,60783.0,60783.0,67.0,https://www.npmjs.com/package/@casl/ability,2098478.0,2098478.0,1.0,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-11-24 07:59:06.000000,2023-11-24 07:55:12,1080.0,4.0,1540.0,232.0,481.0,35.0,737.0,16149.0,100.0,2622.0,2622.0,135.0,https://www.npmjs.com/package/casbin,179577.0,284716.0,2.0,,2023-11-24 07:56:26,2.79.0,,,,,,casbin,https://pypi.org/project/casbin,105139.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
19,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],34,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-12-13 15:39:10.000000,2023-12-13 10:12:05,3740.0,34.0,1325.0,232.0,1727.0,78.0,1391.0,14752.0,100.0,2.0,2.0,291.0,,,3994672.0,2.0,oryd/hydra,2023-05-24 08:55:23,2.1.2,677834.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,410439531.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
20,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-12-14 18:14:38.000000,2023-12-14 18:05:36,7551.0,861.0,524.0,58.0,5278.0,292.0,1401.0,3949.0,100.0,183.0,183.0,299.0,,,13540.0,2.0,,2023-12-12 22:29:05,ockam_v0.109.0,338510.0,,,,,,,,,,,,build-trust/ockam/ockam,1.0,,,
21,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3511.0,335.0,107.0,424.0,389.0,15719.0,38.0,7898.0,7898.0,25.0,https://www.npmjs.com/package/face-api.js,148580.0,148580.0,1.0,,2020-03-22 14:01:55,0.22.2,,,,,,,,,,,,,,,,,
22,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-12-14 14:17:20.000000,2023-12-13 22:54:44,24234.0,527.0,3822.0,606.0,4583.0,,,10592.0,100.0,21.0,21.0,343.0,,,5894.0,2.0,apereo/cas,2023-11-17 08:24:37,6.6.14,,https://hub.docker.com/r/apereo/cas,2023-12-14 00:30:22.642834,129.0,866453.0,,,,,,,,,,,,
23,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-12-14 18:11:59.800617,2023-12-14 17:47:13,3246.0,182.0,272.0,37.0,3854.0,85.0,864.0,3736.0,100.0,13.0,13.0,91.0,,,18223611.0,2.0,pomerium/pomerium,2023-11-16 19:06:01,0.24.0,49786.0,https://hub.docker.com/r/pomerium/pomerium,2023-12-14 18:11:59.800617,10.0,1075133152.0,,,,,,,,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12889.0,1567.0,224.0,718.0,584.0,50510.0,2.0,21.0,21.0,54.0,,,73741.0,2.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1218.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7159.0,face_recognition,https://pypi.org/project/face_recognition,73638.0,,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-12-05 06:57:20.000000,2023-12-05 06:57:20,4734.0,5.0,1669.0,182.0,1688.0,423.0,1339.0,9327.0,15.0,86.0,86.0,130.0,,,190222.0,3.0,,2023-04-14 09:36:52,r1.4.1,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,190222.0,,,,,,,,,
26,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,32,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-12-14 14:03:46.000000,2023-12-14 14:03:46,1122.0,41.0,1595.0,118.0,100.0,3.0,813.0,8549.0,,2286.0,2286.0,49.0,,,144851.0,2.0,,,,,,,,,deepface,https://pypi.org/project/deepface,144851.0,,,,,,,,,
27,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-12-14 18:15:30.000000,2023-12-14 18:15:29,6324.0,153.0,414.0,83.0,3415.0,141.0,1174.0,1577.0,95.0,125.0,125.0,180.0,,,2336.0,2.0,ghcr.io/spiffe/spire-server,2023-12-08 19:59:47,1.8.6,172867.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
28,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,9.0,386.0,31.0,522.0,69.0,353.0,532.0,50.0,1620.0,1620.0,172.0,,,548539.0,2.0,,2023-06-11 17:22:24,7.4.2,,,,,,pysaml2,https://pypi.org/project/pysaml2,548539.0,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-11-14 17:36:10.000000,2023-09-10 02:01:49,2281.0,,4848.0,496.0,150.0,988.0,1347.0,19323.0,1.0,1317.0,1317.0,57.0,,,157259.0,2.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1258067.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,1.0,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-12-14 17:38:19.000000,2023-12-14 17:32:03,3387.0,267.0,219.0,37.0,1253.0,101.0,306.0,4045.0,63.0,38.0,38.0,38.0,,,56504.0,2.0,authzed/spicedb,2023-11-30 17:07:14,1.28.0,37279.0,https://hub.docker.com/r/authzed/spicedb,2023-11-30 17:07:13.676851,6.0,1543490.0,,,,,,,,,,,,
31,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-12-14 04:05:00.000000,2023-10-25 14:03:03,2625.0,60.0,1479.0,176.0,1941.0,282.0,797.0,8648.0,80.0,144.0,144.0,223.0,,,3.0,2.0,quay.io/dexidp/dex,2023-06-30 14:12:39,2.37.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
32,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-12-14 17:53:28.000000,2023-12-13 19:16:44,3584.0,214.0,251.0,201.0,3833.0,74.0,244.0,3729.0,49.0,8.0,8.0,147.0,,,240917.0,3.0,hashicorp/boundary,2023-12-12 20:49:05,0.14.3,,https://hub.docker.com/r/hashicorp/boundary,2023-12-12 20:57:03.493064,11.0,11323114.0,,,,,,,,,,,,
33,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-12-14 00:36:45.000000,2023-12-13 12:52:28,612.0,23.0,63.0,40.0,211.0,4.0,83.0,307.0,100.0,4282.0,4282.0,41.0,https://www.npmjs.com/package/did-jwt,164586.0,164586.0,1.0,,2023-12-13 12:52:55,7.4.7,,,,,,,,,,,,,,,,,
34,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9030.0,1106.0,131.0,541.0,801.0,43685.0,2.0,21.0,21.0,22.0,,,3732.0,3.0,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,167949.0,,,,,,,,,,,,,,,,
35,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3487.0,759.0,74.0,9.0,370.0,14935.0,4.0,68.0,68.0,30.0,,,1627.0,3.0,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161084.0,,,,,,,,,,,,
36,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-12-14 16:21:18.190692,2023-12-14 16:06:05,2129.0,166.0,890.0,56.0,1313.0,98.0,1031.0,7567.0,100.0,3.0,3.0,152.0,,,2750.0,2.0,casbin/casdoor,2023-12-14 16:15:56,1.475.0,,https://hub.docker.com/r/casbin/casdoor,2023-12-14 16:21:18.190692,11.0,104519.0,,,,,,,,,,casbin/casdoor,,
37,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-12-01 16:03:07.000000,2023-12-01 16:01:35,2389.0,25.0,1006.0,107.0,820.0,26.0,831.0,5218.0,64.0,8304.0,8304.0,314.0,,,,3.0,,2023-12-01 16:03:07,.5.6.8,,,,,,,,,,,,,,,,doorkeeper,
38,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-12-13 03:58:55.000000,2023-10-18 14:17:30,1482.0,19.0,313.0,56.0,1101.0,41.0,262.0,4376.0,50.0,22.0,22.0,71.0,,,737057.0,2.0,oryd/keto,,,18323.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50836281.0,,,,,,,,,,,,
39,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-12-14 17:11:13.000000,2023-12-14 15:16:08,5174.0,171.0,274.0,38.0,748.0,51.0,249.0,1217.0,49.0,1502.0,1502.0,295.0,,,,3.0,,2023-11-14 18:44:21,6.3.6,,,,,,,,,,,,,,,,,
40,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-12-14 15:13:06.000000,2023-12-11 15:39:08,135.0,17.0,5762.0,456.0,194.0,,,52532.0,10.0,21.0,21.0,66.0,,,220001.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,220001.0,,,,,,,,,
41,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,6.0,12569.0,1525.0,514.0,17.0,816.0,47863.0,4.0,,,97.0,,,3255.0,3.0,,2023-06-18 18:08:19,2.2.0,188847.0,,,,,,,,,,,,,,,,
42,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-12-14 09:24:21.000000,2023-12-14 09:23:26,5067.0,323.0,967.0,158.0,4900.0,68.0,1091.0,18118.0,100.0,,,141.0,,,637.0,2.0,,2022-12-21 09:01:04,4.37.5,29942.0,,,,,,,,,,,,,,,,
43,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-12-14 17:03:00.000000,2023-12-14 09:03:26,5365.0,574.0,277.0,35.0,4732.0,76.0,246.0,6555.0,52.0,8.0,8.0,45.0,,,922.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2787.0,https://hub.docker.com/r/svhd/logto,2023-12-14 09:08:52.656079,2.0,23510.0,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-12-14 18:07:39.000000,2023-12-14 18:07:39,2747.0,200.0,323.0,34.0,4800.0,457.0,1385.0,5610.0,100.0,,,90.0,,,639.0,2.0,ghcr.io/zitadel/zitadel,2023-12-14 11:43:29,2.42.2,2557.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,
45,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-12-14 03:18:01.000000,2023-12-14 03:18:00,6390.0,91.0,539.0,139.0,4319.0,187.0,2691.0,4854.0,97.0,,,127.0,,,21077.0,2.0,letsencrypt/boulder-tools,2023-12-11 22:36:34,release-2023-12-11,62779.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-12-11 21:33:11.761923,13.0,1953564.0,,,,,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-12-13 08:51:35.000000,2023-09-08 08:05:44,1354.0,,321.0,48.0,717.0,49.0,277.0,3121.0,100.0,2.0,2.0,109.0,,,1169841.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,32777.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87704473.0,,,,,,,,,,,,
47,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-12-12 15:20:24.000000,2023-12-12 15:20:23,1461.0,89.0,94.0,28.0,1552.0,48.0,272.0,2139.0,55.0,19.0,19.0,24.0,,,1577.0,3.0,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,52067.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
48,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],28,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-12-12 07:51:14.000000,2023-12-11 01:44:47,383.0,10.0,40.0,23.0,127.0,3.0,18.0,196.0,24.0,5270.0,5270.0,24.0,https://www.npmjs.com/package/did-resolver,180654.0,180654.0,2.0,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,1.0,,,
49,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-12-11 04:55:36.000000,2023-12-11 01:09:56,449.0,20.0,66.0,29.0,142.0,5.0,47.0,183.0,54.0,1421.0,1421.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,25453.0,25453.0,2.0,,2023-12-05 16:34:39,10.1.0,,,,,,,,,,,,,,,,,
50,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-12-14 17:55:13.000000,2023-12-14 17:55:11,13193.0,691.0,411.0,28.0,5989.0,441.0,1268.0,5245.0,100.0,,,198.0,,,92.0,3.0,,2023-11-21 19:09:26,ersion/2023.8.5,2509.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
51,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-12-06 15:05:05.000000,2023-11-18 02:39:57,1203.0,3.0,162.0,31.0,1523.0,109.0,100.0,3316.0,100.0,80.0,80.0,65.0,,,34794.0,3.0,,2023-04-03 23:25:23,0.27.0,2653.0,,,,,oso,https://pypi.org/project/oso,34716.0,,,,,,,,,
