,name,homepage,category,description,resource,labels,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,maven_id,maven_url,gem_url,helm_id,brew_id,github,apt_id,github-id
13,oauthlib,{},authentication,,,,20,False,oauthlib/oauthlib,,,,,,,,,,,,,,,,,216548620.0,,205.0,1.0,655936.0,655936.0,oauthlib,https://pypi.org/project/oauthlib,216548620.0,,,,,,,,,,,,,,,,,,
14,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],19,False,hyperledger/aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,156.0,1.0,2046.0,388.0,1196.0,238.0,2023-05-09 10:57:15,0.3.2,,,14.0,62.0,1.0,3.0,3.0,,,,hyperledger-aries/aries-framework-go,,,,,,,,,,,,,,,,,
15,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],18,False,tbd54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-12-11 23:50:38.000000,2024-10-03 18:09:33,367.0,,59.0,,399.0,49.0,107.0,211.0,2024-10-03 18:13:37,0.0.1-beta,,,5.0,23.0,1.0,81.0,81.0,,,,,,,,,,,,,,,,,,,,,
16,nextauthjs,{},authentication,,,,18,False,nextauthjs/next-auth,,,,,,,,,,,,,,,,,21030202.0,,906.0,1.0,485879.0,485879.0,,,,,next-auth,https://www.npmjs.com/package/next-auth,21030202.0,,,,,,,,,,,,,,
17,passport,{},authentication,,,,18,False,jaredhanson/passport,,,,,,,,,,,,,,,,,29294908.0,,38.0,1.0,1326300.0,1326300.0,,,,,passport,https://www.npmjs.com/package/passport,29294908.0,,,,,,,,,,,,,,
18,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,17,False,github/webauthn-json,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2025-08-25 21:02:41.000000,2025-08-11 13:26:58,295.0,,62.0,94.0,36.0,,53.0,789.0,2023-01-31 02:32:05,2.1.1,,,52.0,15.0,2.0,30.0,30.0,,,,,github/webauthn-json,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,,,,,,
19,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,17,True,walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2026-01-13 10:53:25.000000,2026-01-13 10:53:25,1540.0,,34.0,6.0,198.0,,166.0,112.0,2023-12-13 10:55:46,1.2312131048.0,224.0,437.0,98.0,18.0,1.0,,,,,,,,,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-12-13 10:55:45.426370,26503.0,,,,,,,,,,
20,authlib,{},authentication,,,,17,False,lepture/authlib,,,,,,,,,,,,,,,,,102713650.0,,149.0,2.0,57747.0,57747.0,authlib,https://pypi.org/project/authlib,102713650.0,,,,,,,,,,,,,,,,,,
21,casl,{},authorization,,,,16,False,stalniy/casl,,,,,,,,,,,,,,,,,5963902.0,,78.0,1.0,102767.0,102767.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,5963902.0,,,,,,,,,,,,,,
22,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,15,False,walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2026-01-13 10:56:36.000000,2026-01-13 10:56:35,1377.0,,22.0,3.0,111.0,1.0,47.0,32.0,2023-12-13 10:51:55,1.2312131047.0,,112.0,48.0,13.0,2.0,,,,,,,,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-12-13 10:51:53.446549,6738.0,,,,,,,,,,
23,laragear-webauthn,https://github.com/Laragear/WebAuthn,authentication,"Authenticate users with Passkeys: fingerprints, patterns and biometric data.",,,14,True,laragear/webauthn,https://github.com/Laragear/WebAuthn,MIT,2022-06-14 09:13:53,2026-05-08 18:29:07.000000,2026-05-08 18:25:42,178.0,,44.0,4.0,,,,400.0,2026-05-08 18:29:08,5.0.2,,,27.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
24,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,14,False,spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2025-07-10 12:39:09.000000,2025-07-10 12:39:09,313.0,,82.0,7.0,258.0,46.0,77.0,317.0,,,,,,23.0,2.0,6.0,6.0,,,,,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,
25,tbd-ssi-service,https://github.com/TBD54566975/ssi-service,ssi-agents,The Self Sovereign Identity Service.,,['web5'],14,False,tbd54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2024-05-06 00:08:36.000000,2024-02-05 20:54:24,451.0,,52.0,,536.0,87.0,126.0,149.0,,,,,3.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,speechbrain,{},biometrics,,,,14,False,speechbrain/speechbrain,,,,,,,,,,,,,,,,,981484.0,,283.0,1.0,4448.0,4448.0,speechbrain,https://pypi.org/project/speechbrain,981484.0,,,,,,,,,,,,,,,,,,
27,ageitgey-face-recognition,{},biometrics,GPU Face Recognition built from https://github.com/ageitgey/face_recognition.,,,13,False,ageitgey/face_recognition,,,,2021-08-17 00:42:22.824355,,,,,,,,,21.0,,,,101189.0,,55.0,2.0,5679.0,5679.0,face_recognition,https://pypi.org/project/face_recognition,101189.0,,,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,12486.0,21.0,,,,,,,,,
28,pysaml2,{},authentication,,,,13,False,IdentityPython/pysaml2,,,,,,,,,,,,,,,,,2357923.0,,182.0,2.0,2334.0,2334.0,pysaml2,https://pypi.org/project/pysaml2,2357923.0,,,,,,,,,,,,,,,,,,
29,waltid-idpkit,https://github.com/walt-id/waltid-idpkit,ssi-sdks,OIDC identity provider for digital identity.,,,12,False,walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2026-01-13 10:57:48.000000,2026-01-13 10:57:48,352.0,,4.0,2.0,36.0,,36.0,26.0,2023-09-07 16:06:04,1.2309071555.0,,35.0,28.0,10.0,2.0,,,,,,,,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2024-07-17 14:26:13.313442,1893.0,,,,,,,,,,
30,node-oidc-provider,{},authentication,,,,12,False,panva/node-oidc-provider,,,,,,,,,,,,,,,,,2721253.0,,76.0,2.0,2393.0,2393.0,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,2721253.0,,,,,,,,,,,,,,
31,did-jwt,{},dids,,,['dif'],12,False,decentralized-identity/did-jwt,,,,,,,,,,,,,,,,,384246.0,,44.0,1.0,6304.0,6304.0,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,384246.0,,,,,,,,,,,,,,
32,deepface,{},biometrics,,,,12,False,serengil/deepface,,,,,,,,,,,,,,,,,78417.0,,102.0,2.0,8754.0,8754.0,deepface,https://pypi.org/project/deepface,78417.0,,,,,,,,,,,,,,,,,,
33,coredns,{},machine,CoreDNS docker repository.,,"['linux-foundation', 'cncf']",11,False,coredns/coredns,,,,2026-08-19 01:41:39.289838,,,,,,,,,166.0,,,,,,520.0,1.0,15072.0,15072.0,,,,,,,,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2026-08-19 01:41:39.289838,336371879.0,166.0,,,,,,,,,
34,did-jwt-vc,{},ssi-sdks,,,['dif'],11,False,decentralized-identity/did-jwt-vc,,,,,,,,,,,,,,,,,69155.0,,23.0,2.0,1394.0,1394.0,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,69155.0,,,,,,,,,,,,,,
35,paddlespeech,{},biometrics,,,,11,False,PaddlePaddle/PaddleSpeech,,,,,,,,,,,,,,,,,950742.0,,164.0,2.0,172.0,172.0,paddlepaddle,https://pypi.org/project/paddlepaddle,950742.0,,,,,,,,,,,,,,,,,,
36,open-policy-agent,{},authorization,Official build of the Open Policy Agent project.,,"['cncf', 'linux-foundation']",10,False,open-policy-agent/opa,,,,2026-09-24 21:08:03.578066,,,,,,,,,48.0,,,,,,612.0,1.0,7567.0,7567.0,,,,,,,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2026-09-24 21:08:03.578066,622749495.0,48.0,,,,,,,,,
37,credible,https://github.com/spruceid/wallet,ssi-agents,A reference credential wallet built on Flutter and DIDKit.,,,10,False,spruceid/wallet,https://github.com/spruceid/wallet,Apache-2.0,2020-07-23 21:18:28,2025-07-10 12:31:18.000000,2025-07-10 12:31:18,195.0,,19.0,6.0,74.0,12.0,25.0,47.0,,,,,,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
38,vault,{},pki,,,['hashicorp'],10,False,hashicorp/vault,,Business Source License 1.1,,,,,,,,,,,,,,,,,1625.0,1.0,15965.0,15965.0,,,,,,,,,,,,,,,,,,,,,
39,web-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/web-did-resolver,,,,,,,,,,,,,,,,,71898.0,,14.0,1.0,1500.0,1500.0,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,71898.0,,,,,,,,,,,,,,
40,ethr-did-resolver,{},dids,,,['dif'],10,False,decentralized-identity/ethr-did-resolver,,,,,,,,,,,,,,,,,31243.0,,39.0,1.0,1929.0,1929.0,,,,,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,31243.0,,,,,,,,,,,,,,
41,whisper,{},biometrics,,,,10,False,openai/whisper,,,,,,,,,,,,,,,,,5142089.0,,83.0,3.0,24.0,24.0,openai-whisper,https://pypi.org/project/openai-whisper,5142089.0,,,,,,,,,,,,,,,,,,
42,kepler,https://github.com/spruceid/kepler,ssi-sdks,Decentralized storage based on permissioned data overlays called orbits.,,,9,False,spruceid/kepler,https://github.com/spruceid/kepler,Apache-2.0,2021-03-22 16:14:05,2023-10-20 13:00:41.000000,2023-07-27 11:22:21,202.0,,14.0,6.0,123.0,9.0,15.0,81.0,,,,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
43,oso,{},authorization,,,,9,False,osohq/oso,,,,,,,,,,,,,,,,,19219.0,,69.0,2.0,224.0,224.0,oso,https://pypi.org/project/oso,19219.0,,,,,,,,,,,,,,,,,,
44,yubikey-manager,{},pki,,,,9,False,Yubico/yubikey-manager,,,,,,,,,,,,,,,,,39392.0,,53.0,2.0,244.0,244.0,yubikey-manager,https://pypi.org/project/yubikey-manager,39392.0,,,,,,,,,,4.0,,,,,,,,
45,sphereon-siop-oid4vp,https://github.com/Sphereon-Opensource/SIOP-OID4VP,ssi-sdks,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,,,8,False,sphereon-opensource/siop-oid4vp,https://github.com/Sphereon-Opensource/SIOP-OID4VP,,2021-09-08 22:32:38,2024-07-15 18:12:12.000000,2024-07-15 18:11:29,664.0,,22.0,1.0,56.0,4.0,18.0,76.0,2024-04-24 21:53:08,0.6.4,47.0,0.0,15.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
46,casbin,{},authorization,,,,8,False,casbin/casbin,,,,,,,,,,,,,,,,,2927502.0,,173.0,2.0,,,casbin,https://pypi.org/project/casbin,2160880.0,,casbin,https://www.npmjs.com/package/casbin,766622.0,,,,,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
47,doorkeeper,{},authentication,,,,8,False,doorkeeper-gem/doorkeeper,,,,,,,,,,,,,,,,,,,344.0,2.0,11502.0,11502.0,,,,,,,,,,,,,,,,doorkeeper,,,,,
48,py_webauthn,{},authentication,,,,8,False,duo-labs/py_webauthn,,,,,,,,,,,,,,,,,6390537.0,,35.0,2.0,,,webauthn,https://pypi.org/project/webauthn,6390537.0,,,,,,,,,,,,,,,,,,
49,did-webs-resolver,https://github.com/hyperledger-labs/did-webs-resolver,dids,A reference implementation for the did:webs DID method specified here https://github.com/trustoverip/tswg-did-method-..,,,7,False,hyperledger-labs/did-webs-resolver,https://github.com/hyperledger-labs/did-webs-resolver,Apache-2.0,2023-09-19 23:27:32,2024-10-28 15:31:49.000000,2024-10-28 15:31:49,124.0,,10.0,2.0,41.0,13.0,33.0,13.0,,,,,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
50,node-solid-server,{},ssi-agents,Node Solid Server.,,['solid'],7,False,nodesolidserver/node-solid-server,,MIT,,2024-04-30 17:23:49.835167,,,,,,,,,5.0,,,,1655.0,,92.0,2.0,3.0,3.0,,,,,solid-server,https://www.npmjs.com/package/solid-server,1655.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,1006330.0,5.0,,,,,,,,,
51,cert-manager,{},pki,,,['linux-foundation'],7,False,cert-manager/cert-manager,,,,,,,,,,,,,,,,,,,592.0,2.0,2923.0,2923.0,,,,,,,,,,,,,,,,,,,,,
52,did-resolver,{},dids,,,['dif'],7,False,decentralized-identity/did-resolver,,,,,,,,,,,,,,,,,,,27.0,2.0,8039.0,8039.0,,,,,,,,,,,,,,,,,,,,,
53,insightface,{},biometrics,,,,7,False,deepinsight/insightface,,,,2021-03-18 22:57:48.799620,,,,,,,,,,,,,,,67.0,3.0,5373.0,5373.0,,,,,,,,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,371.0,,,,,,,,,,
54,cas,{},idp,"Welcome to the home of the Central Authentication Service project, more commonly referred to as CAS.",,,6,False,apereo/cas,,,,2026-09-24 15:04:39.364963,,,,,,,,,131.0,,,,,,383.0,1.0,24.0,24.0,,,,,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2026-09-24 15:04:39.364963,1889488.0,131.0,,,,,,,,,
55,casdoor,{},idp,A UI-first centralized authentication / Single-Sign-On (SSO) platform based on OAuth 2.0 / OIDC.,,,6,False,casdoor/casdoor,,,,2026-09-23 17:29:20.809469,,,,,,,,,23.0,,,,,,313.0,1.0,12.0,12.0,,,,,,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2026-09-23 17:29:20.809469,1715525.0,23.0,,,,,,,,,
56,ory-kratos,{},idp,"Never build user login, user registration, 2fa, profile management ever again!.",,['ory'],6,False,ory/kratos,,,,2026-03-20 14:10:20.091266,,,,,,,,,22.0,,,,,,247.0,1.0,56.0,56.0,,,,,,,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,116866289.0,22.0,,,,,https://k8s.ory.sh/helm/charts,,,,
57,logto,{},idp,The open source identity solution.,,,6,False,logto-io/logto,,MPL-2.0,,2026-09-24 15:00:35.703966,,,,,,,,,7.0,,,,,,119.0,1.0,17.0,17.0,,,,,,,,svhd/logto,https://hub.docker.com/r/svhd/logto,2026-09-24 15:00:35.703966,683892.0,7.0,,,,,,,,,
58,waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,ssi-agents,Custodian identity wallet white-label solution.,,,6,False,walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,,2023-07-27 19:04:55,2024-01-09 08:33:17.000000,2024-01-09 08:32:53,181.0,,2.0,1.0,69.0,,6.0,2.0,2023-11-24 22:29:54,1.2311242224.0,,131.0,48.0,9.0,2.0,,,,,,,,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-06-29 16:56:55.416195,5014.0,,,,,,,,,,
59,dex,{},authentication,,,['linux-foundation'],6,False,dexidp/dex,,,,,,,,,,,,,,,,,,,309.0,3.0,211.0,211.0,,,,,,,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,
60,ockam,{},machine,,,,6,False,build-trust/ockam,,,,,,,,,,,,,,,,,,,318.0,2.0,191.0,191.0,,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
61,veramo,{},ssi-sdks,,,,6,False,decentralized-identity/veramo,,,,,,,,,,,,,,,,,,,62.0,2.0,941.0,941.0,,,,,,,,,,,,,,,,,,,,,
62,keystone,{},idp,,,['openstack'],6,False,openstack/keystone,,,,,,,,,,,,,,,,,,,765.0,1.0,201.0,201.0,,,,,,,,,,,,,,,,,,,,,
63,solid-client-authn-js,{},authentication,,,['solid'],6,False,inrupt/solid-client-authn-js,,,,,,,,,,,,,,,,,,,28.0,3.0,1009.0,1009.0,,,,,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,,
64,did-method-plc,{},dids,,,,6,False,did-method-plc/did-method-plc,,,,,,,,,,,,,,,,,514034.0,,16.0,3.0,1.0,1.0,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,514034.0,,,,,,,,,,,,,,
65,face-api-js,{},biometrics,,,,6,False,justadudewhohacks/face-api.js,,,,,,,,,,,,,,,,,404859.0,,25.0,3.0,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,404859.0,,,,,,,,,,,,,,
66,django-passkeys,{},authentication,,,,6,False,mkalioby/django-passkeys,,,,,,,,,,,,,,,,,12386.0,,6.0,3.0,27.0,27.0,django-passkeys,https://pypi.org/project/django-passkeys,12386.0,,,,,,,,,,,,,,,,,,
67,passwordlessid-webauthn,{},authentication,,,,6,False,passwordless-id/webauthn,,,,,,,,,,,,,,,,,,,19.0,3.0,5636.0,5636.0,,,,,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,,
68,freeipa,{},idp,FreeIPA server in container.,,,5,False,freeipa/freeipa,,,,2026-09-23 10:08:57.677108,,,,,,,,,182.0,,,,,,265.0,2.0,,,,,,,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2026-09-23 10:08:57.677108,6780165.0,182.0,,,,,,,,,
69,openface,{},biometrics,OpenFace.,,,5,False,cmusatyalab/openface,,,,2018-06-18 18:11:58.528635,,,,,,,,,71.0,,,,,,32.0,3.0,96.0,96.0,,,,,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,164085.0,71.0,,,,,,,,,
70,boundary,{},machine,Boundary provides simple and secure access to hosts and services.,,['hashicorp'],5,False,hashicorp/boundary,,,,2026-04-30 15:31:22.303713,,,,,,,,,21.0,,,,,,206.0,2.0,14.0,14.0,,,,,,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,24888432.0,21.0,,,,,,,,,
71,spicedb,{},authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,5,False,authzed/spicedb,,,,2026-09-11 18:06:44.773572,,,,,,,,,7.0,,,,,,80.0,2.0,185.0,185.0,,,,,,,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2026-09-11 18:06:44.773572,11890299.0,7.0,,,,,,,,,
72,kanidm,{},idp,Kanidm Server.,,,5,False,kanidm/kanidm,,,,2026-09-24 08:14:34.019267,,,,,,,,,6.0,,,,,,163.0,2.0,42.0,42.0,,,,,,,,kanidm/server,https://hub.docker.com/r/kanidm/server,2026-09-24 08:14:34.019267,1101110.0,6.0,,,,,,,,,
73,hanko,{},idp,,,,5,False,teamhanko/hanko,,,,,,,,,,,,,,,,,,,59.0,2.0,344.0,344.0,,,,,,,,,,,,,,,,,,,,,
74,athenz,{},pki,,,['linux-foundation'],5,False,athenz/athenz,,,,,,,,,,,,,,,,,,,115.0,2.0,384.0,384.0,,,,,,,,,,,,,,,,,,,,,
75,spruceid-ssi,{},ssi-sdks,Core library for decentralized identity.,,,5,False,spruceid/ssi,,,,,,,,,,,,,,,,,,,34.0,2.0,226.0,226.0,,,,,,,,,,,,,,,,,,,,,
76,polygon-js-sdk,{},ssi-sdks,,,,5,False,0xPolygonID/js-sdk,,,,,,,,,,,,,,,,,,,21.0,2.0,278.0,278.0,,,,,,,,,,,,,,,,,,,,,
77,gotrue,{},idp,,,,5,False,netlify/gotrue,,MIT,,,,,,,,,,,,,,,,,48.0,2.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
78,dwn-sdk-js,{},ssi-agents,,,['web5'],5,False,TBD54566975/dwn-sdk-js,,,,,,,,,,,,,,,,,,,48.0,3.0,502.0,502.0,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,,,,,
79,fido2-net-lib,{},authentication,,,,5,False,passwordless-lib/fido2-net-lib,,,,,,,,,,,,,,,,,,,54.0,3.0,428.0,428.0,,,,,,,,,,,,,,,,,,,,,
80,oathkeeper,{},machine,"A cloud native, security first firewall for your APIs. Integrates natively with ORY Hydra.",,['ory'],4,False,ory/oathkeeper,,,,2026-03-20 11:39:54.790499,,,,,,,,,44.0,,,,,,125.0,2.0,16.0,16.0,,,,,,,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,91276644.0,44.0,,,,,,,,,
81,conjur,{},machine,Secrets management and machine identity for modern infrastructure.,,,4,False,cyberark/conjur,,LGPL,,2026-07-14 23:11:57.083033,,,,,,,,,30.0,,,,,,118.0,2.0,,,,,,,,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2026-07-14 23:11:57.083033,7728885.0,30.0,,,,,,,,,
82,pomerium,{},machine,Pomerium is an identity-aware access proxy.,,,4,False,pomerium/pomerium,,,,2026-09-24 19:20:39.242449,,,,,,,,,14.0,,,,,,104.0,2.0,24.0,24.0,,,,,,,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2026-09-24 19:20:39.242449,1613591227.0,14.0,,,,,,,,,
83,keto,{},authorization,Use best practices established by cloud providers and express complex permission environments.,,['ory'],4,False,ory/keto,,,,2026-03-20 14:29:27.004272,,,,,,,,,10.0,,,,,,87.0,3.0,43.0,43.0,,,,,,,,oryd/keto,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,51942633.0,10.0,,,,,,,,,
84,opal,{},authorization,,,,4,False,permitio/opal,,,,2026-09-23 07:49:12.504701,,,,,,,,,1.0,,,,,,79.0,3.0,47.0,47.0,,,,,,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2026-09-23 07:49:12.504701,598670.0,1.0,,,,,,,,,
85,satosa,{},authentication,,,,4,False,IdentityPython/satosa,,,,,,,,,,,,,,,,,,,58.0,3.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,
86,ja3,{},pki,,,,4,False,salesforce/ja3,,,,,,,,,,,,,,,,,3452.0,,27.0,3.0,1.0,1.0,pyja3,https://pypi.org/project/pyja3,3452.0,,,,,,,,,,,,,,,,,,
87,hyperledger-anoncreds-rs,{},ssi-sdks,,,['hyperledger'],4,False,hyperledger/anoncreds-rs,,,,,,,,,,,,,,,,,,,28.0,3.0,76.0,76.0,,,,,,,,,,,,,,,,,,,,,
88,iota-identity,{},ssi-sdks,,,,4,False,iotaledger/identity.rs,,,,,,,,,,,,,,,,,,,44.0,3.0,161.0,161.0,,,,,,,,,,,,,3.0,,,,,,,,
