,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,new_addition,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],42,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-03-18 11:08:42.000000,2025-03-18 11:08:41,9399.0,205.0,2098.0,149.0,3852.0,144.0,3354.0,12598.0,2025-02-14 14:13:35,1.12.16,100.0,1630.0,1630.0,489.0,,,3152288.0,1.0,116634679.0,,,,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-03-19 14:19:22.232766,2025-03-19 13:35:58,5554.0,154.0,1371.0,131.0,4712.0,380.0,2331.0,10082.0,2025-02-28 14:35:54,1.2.0,100.0,5121.0,5121.0,502.0,,,5586085.0,1.0,12808927.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2025-03-19 14:19:22.232766,43.0,595957358.0,,,,,,,,,,,,,,
14,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,40,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-03-14 16:42:30.000000,2025-03-14 16:42:30,1965.0,249.0,2494.0,173.0,275.0,7.0,1164.0,18280.0,2024-08-17 07:30:49,0.0.93,13.0,6154.0,6154.0,85.0,,,654054.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,654054.0,,,,,,,,,,,
15,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-03-18 20:02:40.000000,2025-03-18 20:01:41,4075.0,30.0,2123.0,232.0,4624.0,215.0,2176.0,12941.0,2024-11-21 19:41:27,1.12.0,70.0,13562.0,13562.0,416.0,,,2966628.0,1.0,8454479.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2024-11-21 19:43:25.886232,160.0,311444094.0,,,,,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-03-17 18:13:13.000000,2025-03-17 18:13:13,10456.0,64.0,1424.0,134.0,1332.0,113.0,1027.0,9540.0,2024-10-31 10:06:07,1.0.2,13.0,3064.0,3064.0,256.0,,,2253588.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,2253588.0,,,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-03-08 06:23:18.000000,2025-03-08 06:23:18,1704.0,3.0,477.0,63.0,497.0,83.0,294.0,2861.0,2023-01-10 13:13:43,3.2.2,48.0,609170.0,609170.0,198.0,,,141242937.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,141242937.0,,,,,,,,,,,
18,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-03-20 18:26:59.000000,2025-03-20 18:00:32,20923.0,298.0,4192.0,803.0,23525.0,1084.0,5193.0,32021.0,2025-03-05 20:28:28,1.19.0,100.0,14486.0,14486.0,1566.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
19,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-03-20 16:27:14.000000,2025-03-20 10:44:09,4606.0,105.0,959.0,112.0,2167.0,155.0,1222.0,11651.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,231.0,,,1392438.0,1.0,50021.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,114113883.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,,
20,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-02-28 15:17:00.000000,2025-02-28 14:43:08,1477.0,37.0,465.0,60.0,228.0,94.0,375.0,4741.0,2025-03-20 12:55:14,1.5.1,39.0,40387.0,40387.0,129.0,,,15380624.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,15380624.0,-1.0,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1222.0,301.0,161.0,350.0,430.0,23224.0,,,,1227247.0,1227247.0,38.0,https://www.npmjs.com/package/passport,13522171.0,13522171.0,2.0,,,,,,,,,,,,,,,,,,,,
22,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,36,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-03-18 00:57:13.000000,2025-03-18 00:53:54,1110.0,2.0,1661.0,242.0,518.0,42.0,792.0,18337.0,2025-03-18 00:55:22,2.104.0,100.0,3364.0,3364.0,152.0,https://www.npmjs.com/package/casbin,339228.0,569420.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,230192.0,1.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-03-17 11:12:12.000000,2025-03-17 11:12:11,4016.0,111.0,1419.0,235.0,1885.0,71.0,1473.0,16035.0,2025-01-17 08:51:44,2.3.0,100.0,,,306.0,,,3626994.0,2.0,898104.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2025-01-17 08:51:35.201104,77.0,426708594.0,,,,-1.0,https://k8s.ory.sh/helm/charts,,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,36,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-03-20 01:57:14.000000,2025-03-20 01:57:14,4859.0,43.0,1884.0,187.0,1860.0,546.0,1406.0,11668.0,2025-03-05 07:11:35,r1.5.0,17.0,144.0,144.0,155.0,,,426075.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,426075.0,,,,,,,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-03-17 13:34:52.000000,2025-02-22 01:51:04,1659.0,39.0,275.0,39.0,464.0,16.0,471.0,6281.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,93446.0,93446.0,70.0,https://www.npmjs.com/package/@casl/ability,2955454.0,2955454.0,1.0,,,,,,,,,,,,,,,,,,,,
26,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13325.0,1568.0,235.0,764.0,594.0,54407.0,2018-04-02 17:18:43,1.2.2,2.0,4325.0,4325.0,54.0,,,157570.0,2.0,1405.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,9180.0,face_recognition,https://pypi.org/project/face_recognition,157461.0,,,,,,,,,,,
27,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,33,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-03-20 01:20:57.803296,2025-03-20 01:05:27,2713.0,97.0,1289.0,77.0,1795.0,120.0,1511.0,11246.0,2025-03-20 01:14:30,1.865.0,100.0,9.0,9.0,219.0,,,9793.0,1.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2025-03-20 01:20:57.803296,18.0,519033.0,,,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-03-20 13:06:50.446863,2025-03-20 03:43:48,27039.0,770.0,3912.0,600.0,5273.0,,,11172.0,2025-02-21 09:55:29,7.1.5,100.0,21.0,21.0,360.0,,,7149.0,1.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2025-03-20 13:06:50.446863,131.0,1158248.0,,,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-03-20 12:43:40.000000,2025-03-18 12:11:37,4571.0,219.0,294.0,47.0,1715.0,96.0,407.0,5488.0,2025-03-03 15:59:50,1.41.0,91.0,101.0,101.0,56.0,,,98736.0,2.0,141593.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2025-03-03 16:10:19.783199,7.0,4100709.0,,,,,,,,,,,,,,
30,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-03-20 18:19:56.000000,2025-03-20 17:59:48,9260.0,155.0,556.0,57.0,6910.0,316.0,1464.0,4515.0,2025-03-13 15:48:39,ockam_v0.149.0,100.0,188.0,188.0,318.0,,,11341.0,2.0,396947.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-03-20 17:03:30.565202,2025-03-20 15:50:22,3699.0,82.0,289.0,40.0,4432.0,103.0,943.0,4202.0,2024-11-11 19:02:17,0.28.0,100.0,22.0,22.0,95.0,,,21792492.0,2.0,67928.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-03-20 17:03:30.565202,11.0,1612559279.0,,,,,,,,,,,,,,
32,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,33,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-03-20 17:11:56.000000,2025-03-20 17:11:55,15541.0,1005.0,745.0,115.0,7940.0,1068.0,14386.0,801.0,2025-02-28 19:19:04,7.1.0,100.0,,,715.0,,,15253.0,1.0,15684.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-17 10:47:26.776430,36.0,1954537.0,,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-03-06 05:02:42.000000,2025-02-10 21:50:06,3612.0,7.0,408.0,29.0,539.0,85.0,358.0,579.0,2025-02-10 21:52:03,7.5.2,53.0,1982.0,1982.0,174.0,,,1005864.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1005864.0,,,,,,,,,,,
34,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-03-20 12:18:35.000000,2025-03-20 12:15:38,7094.0,446.0,1185.0,165.0,7032.0,51.0,1255.0,23150.0,2025-03-18 03:57:41,4.39.1,100.0,,,216.0,,,882.0,2.0,51167.0,,,,,,,,,,,,,,,,,,,
35,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-03-20 17:44:25.000000,2025-03-20 17:42:40,7117.0,142.0,485.0,76.0,4388.0,148.0,1415.0,1896.0,2025-02-13 21:08:41,1.11.2,100.0,168.0,168.0,213.0,,,7657.0,2.0,520691.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
36,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-03-10 08:57:02.000000,2025-03-10 08:57:02,2357.0,9.0,5446.0,515.0,188.0,1152.0,1388.0,24616.0,2023-04-02 07:43:27,0.7,1.0,3663.0,3663.0,66.0,,,305744.0,2.0,7032086.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,186.0,,,,,,,,,,,,,,
37,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-03-20 04:47:51.000000,2025-03-17 20:59:37,3213.0,134.0,1645.0,174.0,2624.0,315.0,845.0,9750.0,2025-02-19 13:18:29,2.42.0,88.0,170.0,170.0,267.0,,,3.0,2.0,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
38,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-03-17 11:12:33.000000,2025-03-17 11:12:32,1601.0,32.0,350.0,55.0,1300.0,36.0,289.0,4961.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,609983.0,2.0,27799.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,8.0,51207989.0,,,,,,,,,,,,,,
39,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-03-20 16:27:12.000000,2025-03-19 19:59:17,4593.0,105.0,284.0,197.0,5230.0,116.0,264.0,3922.0,2025-03-04 18:32:32,0.19.1,68.0,10.0,10.0,179.0,,,300650.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-03-04 18:35:27.449762,18.0,18640330.0,,,,,,,,,,,,,,
40,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-03-17 11:12:22.000000,2025-03-17 11:12:21,1429.0,32.0,349.0,48.0,755.0,62.0,293.0,3362.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,112.0,,,999848.0,3.0,50135.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,40.0,89935135.0,,,,,,,,,,,,,,
41,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-03-13 14:42:05.000000,2025-03-13 14:13:39,2555.0,21.0,756.0,70.0,252.0,,,3343.0,2025-03-06 15:43:40,8.8.1,100.0,1597.0,1597.0,74.0,https://www.npmjs.com/package/oidc-provider,334690.0,334690.0,2.0,,,,,,,,,,,,,,,,,,,,
42,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-03-07 19:43:28.000000,2025-03-07 19:43:16,526.0,40.0,173.0,34.0,138.0,,103.0,902.0,2025-03-07 19:43:46,2.5.2,32.0,1325.0,1325.0,30.0,,,502326.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,502326.0,,,,,,,,,,,
43,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,4.0,9234.0,630.0,298.0,,,78470.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,709581.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,709581.0,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2025-03-20 15:04:03.000000,2025-03-20 09:35:54,3617.0,145.0,662.0,54.0,6110.0,633.0,2067.0,10039.0,2025-03-18 16:05:48,2.66.14,100.0,,,180.0,,,1411.0,2.0,7058.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,,,
45,logto,https://github.com/logto-io/logto,idp,"An identity and access management (IAM) infrastructure with authentication, authorization, MFA, SSO, user management,..",,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-03-20 11:49:56.581513,2025-03-20 11:45:53,7243.0,178.0,493.0,50.0,6440.0,164.0,453.0,9696.0,2025-02-28 07:22:39,1.25.0,68.0,22.0,22.0,70.0,,,5671.0,2.0,5233.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-03-20 11:49:56.581513,5.0,248499.0,,,,,,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-03-20 16:47:30.000000,2025-03-19 02:57:53,636.0,13.0,70.0,38.0,227.0,4.0,86.0,349.0,2025-03-19 02:58:20,8.0.9,100.0,5687.0,5687.0,42.0,https://www.npmjs.com/package/did-jwt,323004.0,323004.0,1.0,,,,,,,,,,,,,,,,,,,,
47,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-03-20 17:42:51.000000,2025-03-20 16:44:12,16706.0,631.0,1030.0,63.0,10243.0,655.0,2255.0,15349.0,2025-03-17 19:16:49,ersion/2025.2.2,100.0,,,354.0,,,207.0,3.0,5818.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,,,
48,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3506.0,750.0,77.0,2.0,382.0,15322.0,2024-10-04 12:56:15,0.2.2,5.0,89.0,89.0,31.0,,,1425.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162466.0,,,,,,,,,,,,,,
49,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-01-31 07:17:13.000000,2025-01-31 07:17:13,2499.0,7.0,1031.0,104.0,869.0,41.0,848.0,5373.0,2024-12-09 07:54:33,5.8.1,69.0,9928.0,9928.0,330.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-03-19 08:18:45.000000,2025-03-19 08:18:44,1957.0,85.0,151.0,34.0,2094.0,41.0,343.0,3685.0,2025-03-05 10:10:53,0.41.0,64.0,29.0,29.0,33.0,,,2193.0,3.0,105283.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,,
51,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-03-20 03:06:51.000000,2025-03-20 03:06:51,2307.0,100.0,212.0,25.0,2392.0,192.0,790.0,3247.0,2025-02-10 09:12:21,1.5.0,35.0,42.0,42.0,106.0,,,7212.0,3.0,416.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-02-11 07:35:01.054671,3.0,526049.0,,,,,,,,,,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-03-20 18:09:00.000000,2025-03-20 18:08:59,6985.0,436.0,372.0,43.0,1070.0,14.0,301.0,1535.0,2025-03-18 15:53:09,is-7.2.0,75.0,2660.0,2660.0,333.0,,,,2.0,,,,,,,,,,5.0,,,,,,DuendeSoftware/products,,,,
53,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-03-20 12:19:22.000000,2025-03-20 12:19:02,2852.0,37.0,125.0,62.0,320.0,38.0,290.0,919.0,2025-03-18 11:59:27,5.6.1,41.0,169.0,169.0,48.0,,,130645.0,2.0,16271.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,130489.0,,,,,,,,,,,
