,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,maven_id,maven_url,updated_github_id,helm_id,brew_id,gem_url,new_addition,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-01-14 18:54:09.000000,2026-01-14 18:54:09,4559.0,155.0,2310.0,225.0,5145.0,242.0,2229.0,13896.0,2026-01-08 01:10:06,1.14.0,78.0,14375.0,14375.0,465.0,,,2811733.0,1.0,coredns/coredns,5418097.0,https://hub.docker.com/r/coredns/coredns,2026-01-08 01:11:52.845822,164.0,326076250.0,,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-01-15 13:26:48.000000,2026-01-15 13:25:12,10399.0,318.0,2235.0,147.0,4419.0,150.0,3531.0,13465.0,2025-12-09 16:03:17,1.19.2,100.0,2334.0,2334.0,534.0,,,2667276.0,1.0,,104023795.0,,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-01-15 17:54:02.396318,2026-01-15 17:09:47,6120.0,179.0,1484.0,131.0,5323.0,375.0,2489.0,11139.0,2026-01-14 22:23:15,1.12.3,100.0,6301.0,6301.0,555.0,,,5359028.0,1.0,openpolicyagent/opa,19200355.0,https://hub.docker.com/r/openpolicyagent/opa,2026-01-15 17:54:02.396318,46.0,609721892.0,,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-01-05 16:15:12.000000,2026-01-04 19:46:27,1785.0,2.0,489.0,62.0,520.0,84.0,305.0,2950.0,2025-06-20 05:53:03,3.3.1,50.0,642220.0,642220.0,202.0,,,222215090.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,222215090.0,-1.0,,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-01-13 21:39:35.000000,2026-01-13 21:39:35,2102.0,33.0,2894.0,174.0,334.0,5.0,1220.0,21555.0,2026-01-13 18:38:08,0.0.97,17.0,8481.0,8481.0,96.0,,,288303.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,288303.0,,,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2026-01-14 05:48:29.000000,2026-01-08 15:46:41,1162.0,28.0,1714.0,235.0,625.0,38.0,887.0,19704.0,2026-01-08 15:48:06,3.9.0,100.0,3555.0,3555.0,161.0,https://www.npmjs.com/package/casbin,306836.0,1202209.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,895373.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-01-05 12:21:45.000000,2025-12-15 16:37:20,10572.0,19.0,1597.0,132.0,1428.0,125.0,1053.0,11046.0,2025-04-07 17:05:07,1.0.3,14.0,4000.0,4000.0,269.0,,,929151.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,929151.0,,,,,,,,,,,
19,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-01-15 16:29:28.000000,2026-01-10 07:17:58,1641.0,14.0,508.0,57.0,289.0,118.0,411.0,5173.0,2026-01-09 08:31:38,1.6.6,47.0,47801.0,47801.0,136.0,,,44332248.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,44332248.0,,,,authlib/authlib,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-01-15 18:05:30.000000,2026-01-15 18:05:27,22465.0,403.0,4391.0,779.0,25051.0,1188.0,5282.0,33813.0,2026-01-07 18:09:58,1.21.2,100.0,15320.0,15320.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-01-14 21:52:18.000000,2026-01-10 13:48:43,1728.0,59.0,294.0,38.0,541.0,18.0,490.0,6742.0,2026-01-05 10:09:39,@casl/mongoose@8.0.4,100.0,101747.0,101747.0,77.0,https://www.npmjs.com/package/@casl/ability,2925183.0,2925183.0,2.0,,,,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1228.0,293.0,162.0,354.0,430.0,23493.0,,,,1317995.0,1317995.0,38.0,https://www.npmjs.com/package/passport,17379100.0,17379100.0,2.0,,,,,,,,,,,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-01-15 09:17:40.000000,2026-01-15 09:17:39,4365.0,101.0,1505.0,235.0,1927.0,92.0,1487.0,16932.0,2025-11-07 14:57:03,25.4.0,100.0,,,316.0,,,3353987.0,2.0,oryd/hydra,496432.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428619679.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-01-15 09:18:36.000000,2026-01-15 09:18:34,4967.0,108.0,1070.0,112.0,2240.0,155.0,1267.0,13367.0,2025-11-07 15:48:50,25.4.0,48.0,54.0,54.0,241.0,,,1252233.0,1.0,oryd/kratos,53976.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115136585.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13469.0,1548.0,250.0,778.0,598.0,56051.0,2018-04-02 17:18:43,1.2.2,2.0,5590.0,5590.0,54.0,,,184675.0,2.0,animcogn/face_recognition,1444.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10313.0,face_recognition,https://pypi.org/project/face_recognition,184565.0,,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,35,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-01-15 14:15:57.000000,2026-01-15 10:17:12,3182.0,235.0,1512.0,77.0,2418.0,86.0,2002.0,12881.0,2026-01-15 10:26:00,2.247.0,100.0,12.0,12.0,267.0,,,15112.0,1.0,casbin/casdoor,850.0,https://hub.docker.com/r/casbin/casdoor,2026-01-15 10:34:16.912306,23.0,925282.0,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-01-15 12:18:29.000000,2026-01-15 12:14:16,31043.0,957.0,3931.0,586.0,6909.0,,,11401.0,2026-01-10 02:18:14,7.3.3,100.0,21.0,21.0,371.0,,,8246.0,1.0,apereo/cas,2438.0,https://hub.docker.com/r/apereo/cas,2026-01-15 01:11:53.057099,131.0,1409606.0,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-01-15 18:25:05.000000,2026-01-14 20:29:28,7517.0,110.0,549.0,76.0,4885.0,111.0,1549.0,2179.0,2025-12-11 22:27:36,1.14.0,100.0,203.0,203.0,242.0,,,13800.0,2.0,ghcr.io/spiffe/spire-server,841860.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,14.0,5824.0,511.0,202.0,1209.0,1395.0,27582.0,2023-04-02 07:43:27,0.7,1.0,4868.0,4868.0,67.0,,,352332.0,2.0,animcogn/insightface,11626898.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,213.0,,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-01-15 14:43:44.000000,2026-01-15 10:14:35,8728.0,442.0,1313.0,161.0,8775.0,61.0,1340.0,26396.0,2025-11-29 12:13:04,4.39.15,100.0,,,265.0,,,634.0,2.0,,38679.0,,,,,,,,,,,,,,,,,,
31,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,33,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,,1937.0,186.0,1910.0,262.0,1758.0,12493.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,160.0,,,994761.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,994761.0,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-01-15 15:50:40.000000,2026-01-14 23:19:10,4093.0,119.0,320.0,42.0,4915.0,80.0,991.0,4649.0,2025-12-11 00:32:08,0.31.3,100.0,22.0,22.0,101.0,,,19204267.0,2.0,pomerium/pomerium,56614.0,https://hub.docker.com/r/pomerium/pomerium,2026-01-15 00:42:47.361712,13.0,1613085359.0,,,,,,,,,,,,,,
33,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-01-13 19:54:58.000000,2025-10-07 20:35:19,3632.0,,417.0,27.0,558.0,94.0,362.0,601.0,2025-10-07 20:02:21,7.5.4,55.0,2169.0,2169.0,181.0,,,1568272.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1568272.0,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-01-15 18:28:15.000000,2026-01-15 18:15:16,5343.0,134.0,356.0,51.0,2181.0,99.0,461.0,6362.0,2025-12-12 01:37:39,1.48.0,100.0,139.0,139.0,74.0,,,121277.0,2.0,authzed/spicedb,186615.0,https://hub.docker.com/r/authzed/spicedb,2025-12-12 01:46:32.300906,7.0,6207912.0,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-01-15 09:16:53.000000,2026-01-15 09:16:52,1824.0,66.0,373.0,55.0,1393.0,40.0,294.0,5254.0,2025-11-07 14:48:11,25.4.0,54.0,40.0,40.0,82.0,,,546920.0,2.0,oryd/keto,41328.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51365369.0,,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-01-14 15:25:43.000000,2026-01-14 15:25:40,2738.0,25.0,765.0,66.0,273.0,,,3650.0,2025-12-07 19:27:28,9.6.0,100.0,1983.0,1983.0,76.0,https://www.npmjs.com/package/oidc-provider,549972.0,549972.0,2.0,,,,,,,,,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-01-15 09:17:30.000000,2026-01-15 09:17:29,1613.0,58.0,379.0,48.0,766.0,67.0,303.0,3549.0,2025-11-07 14:57:21,25.4.0,100.0,15.0,15.0,120.0,,,905607.0,2.0,oryd/oathkeeper,24277.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90536099.0,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-01-13 17:17:39.000000,2026-01-13 17:17:39,17582.0,247.0,938.0,109.0,9026.0,1445.0,15919.0,875.0,2025-10-24 04:51:27,7.2.0,100.0,,,731.0,,,14548.0,2.0,wso2/wso2is,20593.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1997628.0,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-01-15 18:22:44.000000,2026-01-15 17:03:33,20378.0,1058.0,1436.0,69.0,15078.0,787.0,3026.0,19705.0,2026-01-13 23:04:04,ersion/2025.12.0,100.0,,,484.0,,,165.0,2.0,,4796.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-01-15 10:47:57.000000,2026-01-15 10:42:24,8082.0,232.0,670.0,50.0,7298.0,158.0,600.0,11434.0,2025-12-30 09:43:29,1.35.0,78.0,33.0,33.0,81.0,,,6433.0,2.0,svhd/logto,7188.0,https://hub.docker.com/r/svhd/logto,2026-01-15 10:46:47.911360,5.0,345110.0,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-01-15 17:41:06.000000,2026-01-15 17:41:02,4963.0,110.0,298.0,192.0,5942.0,108.0,281.0,4004.0,2025-12-11 17:18:44,0.21.0,73.0,13.0,13.0,199.0,,,305516.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-12-11 17:30:05.287895,19.0,21997155.0,,,,,,,,,,,,,,
42,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,30,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11477.0,688.0,345.0,,,93221.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,984708.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,984708.0,,,,,,,,,,,
43,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-01-14 04:03:30.000000,2026-01-13 17:50:54,3620.0,96.0,1771.0,168.0,2977.0,343.0,860.0,10503.0,2025-09-01 13:23:20,2.44.0,92.0,180.0,180.0,282.0,,,2.0,2.0,quay.io/dexidp/dex,358.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
44,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-01-15 06:32:19.000000,2026-01-15 06:32:19,2584.0,70.0,282.0,21.0,2708.0,241.0,917.0,4451.0,2025-12-13 02:42:40,1.8.5,51.0,42.0,42.0,140.0,,,8513.0,3.0,kanidm/server,420.0,https://hub.docker.com/r/kanidm/server,2025-12-13 04:43:49.936254,4.0,706243.0,,,,,,,,,,,,,,
45,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-01-15 18:15:26.000000,2026-01-15 13:52:08,35525.0,209.0,160.0,29.0,7486.0,419.0,4909.0,604.0,2025-12-19 10:44:44,1.15.0,100.0,10.0,10.0,141.0,,,341.0,3.0,,9215.0,,,,,,,,,,,,,,,,,,
46,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-01-05 12:30:09.000000,2026-01-05 12:29:50,1856.0,16.0,13286.0,1531.0,533.0,39.0,852.0,54877.0,2025-12-21 02:44:08,3.0.0,5.0,,,98.0,,,649.0,3.0,,53923.0,,,,,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-01-15 15:42:16.000000,2026-01-15 15:07:23,4186.0,153.0,909.0,61.0,7022.0,850.0,2517.0,12725.0,2026-01-15 06:31:24,3.4.6,100.0,1.0,1.0,237.0,,,1363.0,3.0,ghcr.io/zitadel/zitadel,13637.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-01-15 18:36:37.000000,2026-01-14 17:26:03,7219.0,69.0,614.0,132.0,5274.0,175.0,3087.0,5628.0,2026-01-13 06:32:02,0.20260112.0,100.0,,,145.0,,,17020.0,2.0,letsencrypt/boulder-tools,37168.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-12-03 17:22:24.944806,13.0,2039063.0,,,,,,,,,,,,,,
49,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,15.0,559.0,52.0,7293.0,,1780.0,4588.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,189.0,189.0,318.0,,,340.0,3.0,,14999.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
50,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-01-12 11:21:39.000000,2026-01-11 10:32:45,3308.0,97.0,297.0,73.0,892.0,295.0,643.0,1794.0,2026-01-07 15:47:40,6.0.0,60.0,3.0,3.0,90.0,https://www.npmjs.com/package/solid-server,3801.0,11192.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005297.0,,,,,,,,,,,,,,
51,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-01-15 13:19:22.000000,2026-01-07 10:04:09,2992.0,32.0,135.0,58.0,332.0,37.0,319.0,1044.0,2025-09-03 07:38:43,5.8.0,45.0,212.0,212.0,51.0,,,39714.0,2.0,,36151.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,39397.0,,,,,,,,,,,
52,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-01-15 18:39:30.000000,2025-12-01 01:00:51,676.0,8.0,69.0,36.0,233.0,5.0,87.0,364.0,2025-08-25 22:29:37,8.0.18,100.0,6140.0,6140.0,42.0,https://www.npmjs.com/package/did-jwt,233489.0,233489.0,1.0,,,,,,,,,,-1.0,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3489.0,741.0,77.0,5.0,382.0,15465.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1318.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163496.0,,,,,,,,,,,,,,
