,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,maven_id,maven_url,updated_github_id,helm_id,brew_id,gem_url,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-12-04 01:13:12.000000,2025-12-04 01:13:12,4488.0,165.0,2290.0,227.0,5066.0,241.0,2221.0,13778.0,2025-10-08 20:47:23,1.13.1,76.0,14279.0,14279.0,459.0,,,2859419.0,1.0,coredns/coredns,9450105.0,https://hub.docker.com/r/coredns/coredns,2025-10-08 20:48:53.393158,164.0,324591163.0,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-12-04 15:58:48.000000,2025-12-04 15:58:48,10240.0,355.0,2215.0,146.0,4336.0,156.0,3500.0,13366.0,2025-10-15 15:33:31,1.19.1,100.0,2260.0,2260.0,528.0,,,2361068.0,1.0,,96803789.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-12-04 13:59:35.602057,2025-12-04 13:17:18,6038.0,179.0,1466.0,131.0,5230.0,372.0,2472.0,10977.0,2025-11-26 13:24:07,1.11.0,100.0,6178.0,6178.0,550.0,,,5360019.0,1.0,openpolicyagent/opa,18812673.0,https://hub.docker.com/r/openpolicyagent/opa,2025-12-04 13:59:35.602057,46.0,607928620.0,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-11-05 04:20:08.000000,2025-11-05 04:20:07,1781.0,2.0,488.0,62.0,518.0,84.0,305.0,2949.0,2025-06-20 05:53:03,3.3.1,50.0,640785.0,640785.0,201.0,,,210271447.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,210271447.0,-1.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-11-23 14:17:49.000000,2025-11-23 14:15:18,2076.0,15.0,2851.0,174.0,309.0,10.0,1202.0,21210.0,2025-11-23 14:17:49,0.0.96,16.0,8440.0,8440.0,96.0,,,359682.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,359682.0,,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-11-21 07:09:42.000000,2025-11-14 17:33:10,1140.0,12.0,1693.0,234.0,582.0,17.0,859.0,19477.0,2025-11-14 17:34:46,2.134.0,100.0,3548.0,3548.0,159.0,https://www.npmjs.com/package/casbin,351759.0,1245779.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,894020.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-12-03 11:40:38.000000,2025-12-03 11:40:03,10570.0,21.0,1581.0,131.0,1422.0,128.0,1049.0,10874.0,2025-04-07 17:05:07,1.0.3,14.0,3945.0,3945.0,269.0,,,1105229.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1105229.0,,,,,,,,,,
19,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-11-27 11:50:06.000000,2025-11-27 11:50:06,1631.0,25.0,507.0,57.0,283.0,117.0,409.0,5120.0,2025-10-14 06:27:46,1.6.5,46.0,46956.0,46956.0,136.0,,,51242450.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,51242450.0,,,,authlib/authlib,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-12-04 18:02:52.000000,2025-12-04 17:05:12,22300.0,557.0,4374.0,780.0,25035.0,1180.0,5273.0,33563.0,2025-11-19 17:36:49,1.21.1,100.0,15237.0,15237.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1230.0,293.0,162.0,354.0,430.0,23468.0,,,,1316604.0,1316604.0,38.0,https://www.npmjs.com/package/passport,19691427.0,19691427.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-12-04 17:20:46.000000,2025-12-04 17:20:45,4331.0,161.0,1492.0,234.0,1925.0,88.0,1485.0,16803.0,2025-11-07 14:57:03,25.4.0,100.0,,,316.0,,,3378160.0,2.0,oryd/hydra,476489.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428361362.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-12-04 16:12:27.000000,2025-12-04 16:12:25,4937.0,158.0,1051.0,112.0,2238.0,151.0,1266.0,13090.0,2025-11-07 15:48:50,25.4.0,48.0,54.0,54.0,240.0,,,1264168.0,1.0,oryd/kratos,51968.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,114972789.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13462.0,1553.0,249.0,778.0,598.0,55871.0,2018-04-02 17:18:43,1.2.2,2.0,5571.0,5571.0,54.0,,,216997.0,2.0,animcogn/face_recognition,1437.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,10132.0,face_recognition,https://pypi.org/project/face_recognition,216888.0,,,,,,,,,,
25,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,35,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-12-04 15:18:27.000000,2025-12-04 15:08:41,3099.0,192.0,1475.0,78.0,2275.0,86.0,1929.0,12697.0,2025-12-04 15:18:28,2.178.1,100.0,12.0,12.0,261.0,,,13774.0,1.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-12-04 10:34:04.100467,22.0,854037.0,,,,1.0,,,,,,,,,
26,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-12-04 18:05:23.000000,2025-12-03 06:52:35,1671.0,2.0,291.0,38.0,485.0,22.0,483.0,6672.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101587.0,101587.0,73.0,https://www.npmjs.com/package/@casl/ability,3474092.0,3474092.0,2.0,,,,,,,,,,,,,,,,,,,
27,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,3.0,1935.0,185.0,1908.0,258.0,1756.0,12406.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,159.0,,,1007930.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1007930.0,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-12-04 12:16:47.000000,2025-12-04 12:10:52,30692.0,1168.0,3924.0,586.0,6738.0,,,11370.0,2025-11-09 16:48:27,7.3.1,100.0,21.0,21.0,370.0,,,8036.0,2.0,apereo/cas,1698.0,https://hub.docker.com/r/apereo/cas,2025-12-04 01:13:25.437770,131.0,1368154.0,,,,,,,,,,,,,
29,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-12-04 07:56:06.000000,2025-12-04 07:54:27,7474.0,126.0,539.0,74.0,4822.0,113.0,1533.0,2138.0,2025-10-23 13:05:05,1.13.3,100.0,203.0,203.0,238.0,,,13407.0,2.0,ghcr.io/spiffe/spire-server,831254.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,34,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,416.0,27.0,555.0,92.0,362.0,598.0,2025-10-07 20:02:21,7.5.4,55.0,2144.0,2144.0,181.0,,,1946676.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1946676.0,,,,,,,,,,
31,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,15.0,5773.0,507.0,200.0,1203.0,1394.0,27219.0,2023-04-02 07:43:27,0.7,1.0,4832.0,4832.0,67.0,,,345136.0,2.0,animcogn/insightface,11044289.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,211.0,,,,,,,,,,,,,
32,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-12-04 18:06:43.000000,2025-12-04 06:10:50,8560.0,539.0,1298.0,158.0,8592.0,60.0,1338.0,26005.0,2025-11-29 12:13:04,4.39.15,100.0,,,263.0,,,578.0,2.0,,34721.0,,,,,,,,,,,,,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-12-04 18:17:19.000000,2025-12-04 16:12:29,5294.0,218.0,349.0,49.0,2116.0,98.0,448.0,6254.0,2025-11-21 00:35:17,1.47.1,100.0,136.0,136.0,72.0,,,118681.0,2.0,authzed/spicedb,180038.0,https://hub.docker.com/r/authzed/spicedb,2025-11-21 00:43:55.729586,7.0,5958728.0,,,,,,,,,,,,,
34,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-12-04 17:07:44.000000,2025-12-03 23:42:52,4030.0,114.0,317.0,42.0,4833.0,82.0,988.0,4551.0,2025-12-03 22:10:47,0.31.2,100.0,22.0,22.0,100.0,,,19435179.0,2.0,pomerium/pomerium,55993.0,https://hub.docker.com/r/pomerium/pomerium,2025-12-04 01:07:11.294257,13.0,1613048476.0,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-12-04 12:41:58.000000,2025-12-04 12:41:57,1801.0,102.0,371.0,53.0,1383.0,35.0,293.0,5213.0,2025-11-07 14:48:11,25.4.0,54.0,40.0,40.0,82.0,,,552490.0,2.0,oryd/keto,37986.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51340125.0,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-12-04 08:28:27.000000,2025-12-04 08:28:24,2731.0,21.0,766.0,66.0,270.0,,,3614.0,2025-10-24 08:28:38,9.5.2,100.0,1939.0,1939.0,76.0,https://www.npmjs.com/package/oidc-provider,751649.0,751649.0,2.0,,,,,,,,,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-12-04 12:54:09.000000,2025-12-04 12:54:08,1594.0,100.0,377.0,47.0,765.0,61.0,302.0,3527.0,2025-11-07 14:57:21,25.4.0,100.0,15.0,15.0,120.0,,,913879.0,2.0,oryd/oathkeeper,23588.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,43.0,90450018.0,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-12-04 17:14:23.000000,2025-12-04 17:14:23,17460.0,435.0,926.0,109.0,8966.0,1415.0,15842.0,867.0,2025-10-24 04:51:27,7.2.0,100.0,,,729.0,,,14604.0,2.0,wso2/wso2is,20137.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1991607.0,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-12-04 18:20:24.000000,2025-12-04 18:19:42,19877.0,1173.0,1376.0,67.0,14350.0,780.0,2911.0,19116.0,2025-11-19 15:08:41,ersion/2025.10.2,100.0,,,460.0,,,165.0,2.0,,4789.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-12-04 08:17:07.000000,2025-12-04 06:15:13,7953.0,194.0,639.0,49.0,7150.0,176.0,559.0,11142.0,2025-11-28 05:34:41,1.34.0,77.0,30.0,30.0,80.0,,,6216.0,2.0,svhd/logto,6846.0,https://hub.docker.com/r/svhd/logto,2025-12-04 06:20:33.038659,5.0,327321.0,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-12-04 18:15:40.000000,2025-12-04 16:07:16,4933.0,140.0,297.0,193.0,5889.0,107.0,281.0,3987.0,2025-11-03 18:46:15,0.20.1,72.0,13.0,13.0,197.0,,,302934.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-11-03 18:53:47.754438,18.0,21508346.0,,,,,,,,,,,,,
42,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-12-04 04:03:33.000000,2025-11-03 12:52:37,3550.0,88.0,1755.0,170.0,2937.0,332.0,858.0,10414.0,2025-09-01 13:23:20,2.44.0,92.0,177.0,177.0,280.0,,,2.0,2.0,quay.io/dexidp/dex,358.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
43,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-12-03 18:47:00.000000,2025-12-01 01:00:51,676.0,14.0,69.0,36.0,232.0,6.0,86.0,365.0,2025-08-25 22:29:37,8.0.18,100.0,6118.0,6118.0,42.0,https://www.npmjs.com/package/did-jwt,369935.0,369935.0,1.0,,,,,,,,,,,,,,,,,,,
44,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,11309.0,685.0,340.0,,,91562.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,972778.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,972778.0,-2.0,,,,,,,,,
45,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-12-04 14:56:34.000000,2025-12-04 07:07:07,4104.0,175.0,866.0,55.0,6913.0,830.0,2430.0,12311.0,2025-11-14 09:45:13,4.7.0,100.0,1.0,1.0,229.0,,,1414.0,3.0,ghcr.io/zitadel/zitadel,12731.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
46,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-12-04 00:50:43.000000,2025-12-03 21:55:18,7192.0,81.0,614.0,132.0,5233.0,170.0,3077.0,5597.0,2025-12-02 16:31:55,0.20251202.0,100.0,,,143.0,,,17103.0,2.0,letsencrypt/boulder-tools,37072.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-12-03 17:22:24.944806,13.0,2035290.0,,,,,,,,,,,,,
47,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-12-02 05:52:39.000000,2025-12-02 05:52:38,2565.0,88.0,274.0,20.0,2679.0,230.0,904.0,4297.0,2025-11-28 06:02:02,1.8.3,49.0,42.0,42.0,137.0,,,8343.0,3.0,kanidm/server,420.0,https://hub.docker.com/r/kanidm/server,2025-11-28 06:11:45.064769,4.0,683716.0,,,,,,,,,,,,,
48,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-12-04 08:10:11.000000,2025-12-04 08:08:38,7898.0,266.0,387.0,37.0,1442.0,4.0,320.0,1582.0,2025-12-04 08:20:29,is-7.4.2,100.0,2996.0,2996.0,338.0,,,,2.0,,,,,,,,,,,,,DuendeSoftware/products,,,,,,
49,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-12-03 08:34:15.000000,2025-12-03 08:22:08,2982.0,31.0,133.0,58.0,330.0,37.0,319.0,1028.0,2025-09-03 07:38:43,5.8.0,45.0,202.0,202.0,50.0,,,48023.0,2.0,,33685.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,47725.0,,,,,,,,,,
50,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-11-24 15:44:49.000000,2025-11-23 15:10:40,1851.0,14.0,13288.0,1531.0,528.0,38.0,850.0,54767.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,600.0,3.0,,49255.0,,,,,,,,,,,,,,,,,
51,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3492.0,742.0,77.0,5.0,382.0,15444.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1328.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163381.0,,,,,,,,,,,,,
52,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,28,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-12-02 03:49:33.000000,2025-11-26 13:54:19,2068.0,15.0,248.0,29.0,589.0,49.0,121.0,5397.0,2025-11-24 15:12:00,0.9.2,63.0,47.0,47.0,74.0,,,6982.0,3.0,permitio/opal-server,1821.0,https://hub.docker.com/r/permitio/opal-server,2025-11-26 14:32:30.834193,1.0,403108.0,,,,,,,,,,,,,
53,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,28,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-11-03 18:17:20.000000,2025-11-02 00:53:16,9720.0,3.0,559.0,52.0,7291.0,,1780.0,4579.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,189.0,189.0,317.0,,,346.0,3.0,,14885.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
